학년도,학기,소속,학과,과목번호,분반,과목명,학점,수업시간/강의실,시간,교수진,수강생수,영어강의,중국어강의,공학인증,국제학생,Honors과목,홀짝구분,승인과목,시험일자,수강대상,권장학년,수강신청 참조사항,과목 설명,비고
2019 학년도,2학기,학부,영미어문전공,ENG2001,1,영문학개론,3.0,"화,목 16:30~17:45 [J327]",3.0,황은주,30,,,,,,,,,전학년,1학년,,,
2019 학년도,2학기,학부,영미어문전공,ENG2003,1,언어학개론,3.0,"화,목 15:00~16:15 [K405]",3.0,Barrie Michael Jonathan Mathew,63,O,,,,,,,,전학년,1-4학년,,,
2019 학년도,2학기,학부,영미어문전공,ENG2003,2,언어학개론,3.0,"화,목 09:00~10:15 [J327]",3.0,채서영,23,O,,,,,,,,전학년,1-4학년,,,1-4학년/ 20명 이하 1학년 위주
2019 학년도,2학기,학부,영미어문전공,ENG2005,1,영국문화사,3.0,"화,목 09:00~10:15 [J219]",3.0,김치헌,45,O,,,,,,,,전학년,2-4학년,,,
2019 학년도,2학기,학부,영미어문전공,ENG2007,1,영미수필,3.0,"화,목 10:30~11:45 [J327]",3.0,신경원,25,,,,,,,,,전학년,2-4학년,,,
2019 학년도,2학기,학부,영미어문전공,ENG2009,1,영미단편소설,3.0,"수,금 13:30~14:45 [J327]",3.0,황은주,33,,,,,,,,,전학년,2-4학년,,,
2019 학년도,2학기,학부,영미어문전공,ENG2101,1,영문학작문,3.0,"화,목 16:30~17:45 [J319]",3.0,김영주,18,,,,,,,,,"1,2학년",1-2학년,,,1-2학년 대상
2019 학년도,2학기,학부,영미어문전공,ENG2101,2,영문학작문,3.0,"월,수 12:00~13:15 [J321]",3.0,장기윤,16,O,,,,,,,,"1,2학년",1-2학년,,,"1-2학년대상, 교환학생,영어원어민수강 제한"
2019 학년도,2학기,학부,영미어문전공,ENG2101,3,영문학작문,3.0,"월,수 10:30~11:45 [J211]",3.0,"Disney, Daniel James Philip",8,O,,,,,,,,"3,4학년",1-2학년,,,3-4학년 대상
2019 학년도,2학기,학부,영미어문전공,ENG2103,1,작문과수사학,3.0,"화,목 13:30~14:45 [J108]",3.0,채서영,18,,,,,,,,,"2,3,4학년",2-4학년,,영작문연습(ENG2107)의 대체과목,2-4학년/ 20명 이하
