학년도,학기,소속,학과,과목번호,분반,과목명,학점,수업시간/강의실,시간,교수진,수강생수,영어강의,중국어강의,공학인증,국제학생,Honors과목,홀짝구분,승인과목,시험일자,수강대상,권장학년,수강신청 참조사항,과목 설명,비고
2017 학년도,2학기,학부,영미어문전공,ENG2001,1,영문학개론,3.0,월 15:00~16:15 / 수 16:30~17:45 [J215],3.0,장기윤,28,O,,,,O,,,,전학년,1학년,,,
2017 학년도,2학기,학부,영미어문전공,ENG2003,1,언어학개론,3.0,월 12:00~13:15 / 금 10:30~11:45 [J311],3.0,이성범,80,,,,,O,,,,전학년,1-4학년,,,
2017 학년도,2학기,학부,영미어문전공,ENG2003,2,언어학개론,3.0,"수,금 09:00~10:15 [J219]",3.0,채서영,16,O,,,,O,,,,전학년,1-4학년,,,
2017 학년도,2학기,학부,영미어문전공,ENG2004,1,현대영미문학,3.0,"화,목 12:00~13:15 [J313]",3.0,신경원,15,,,,,,,,,전학년,2-4학년,,,
2017 학년도,2학기,학부,영미어문전공,ENG2005,1,영국문화사,3.0,"화,목 09:00~10:15 [J327]",3.0,김치헌,42,O,,,,,,,,전학년,2-4학년,,,
2017 학년도,2학기,학부,영미어문전공,ENG2009,1,영미단편소설,3.0,"수,금 09:00~10:15 [J602]",3.0,황은주,10,,,,,,,,,전학년,2-4학년,,,
2017 학년도,2학기,학부,영미어문전공,ENG2101,1,영문학작문,3.0,"화,목 09:00~10:15 [J217]",3.0,BonfiglioRichardPaul,18,O,,,,O,,,,"1,2학년",1-2학년,,,"1,2학년 전용반"
2017 학년도,2학기,학부,영미어문전공,ENG2101,2,영문학작문,3.0,월 12:00~13:15 / 금 10:30~11:45 [J315],3.0,윤주옥,10,O,,,,O,,,,"1,2학년",1-2학년,,,"1,2학년 전용반/교환학생수강불가"
2017 학년도,2학기,학부,영미어문전공,ENG2101,3,영문학작문,3.0,월 10:30~11:45 / 수 12:00~13:15 [J315],3.0,김부성,13,O,,,,O,,,,"3,4학년",1-2학년,,,"3,4학년 전용반"
2017 학년도,2학기,학부,영미어문전공,ENG2103,1,작문과수사학,3.0,"수,금 15:00~16:15 [J321]",3.0,채서영,12,,,,,,,,,"2,3,4학년",2-4학년,,영작문연습(ENG2107)의 대체과목,
2017 학년도,2학기,학부,영미어문전공,ENG2104,1,실용영문법,3.0,"화,목 13:30~14:45 [J107]",3.0,Yoo Isaiah WonHo,59,O,,,,,,,,전학년,2-4학년,,,
2017 학년도,2학기,학부,영미어문전공,ENG3001,1,초서연구,3.0,월 13:30~14:45 / 금 12:00~13:15 [J315],3.0,윤주옥,20,,,,,,,,,전학년,2-4학년,,,
2017 학년도,2학기,학부,영미어문전공,ENG3004,1,셰익스피어,3.0,"화,목 13:30~14:45 [J209]",3.0,김태원,23,,,,,,,,,"2,3,4학년",2-4학년,,,
2017 학년도,2학기,학부,영미어문전공,ENG3010,1,빅토리아시대의소설,3.0,"화,목 10:30~11:45 [J217]",3.0,BonfiglioRichardPaul,27,O,,,,,,,,"2,3,4학년",2-4학년,,,
2017 학년도,2학기,학부,영미어문전공,ENG3012,1,초기및19세기미국소설,3.0,"수,금 15:00~16:15 [J215]",3.0,장기윤,12,O,,,,,,,,"2,3,4학년",2-4학년,,,
2017 학년도,2학기,학부,영미어문전공,ENG3103,1,현대영국희곡,3.0,월 09:00~10:15 / 수 10:30~11:45 [J325],3.0,Chambers Claire Maria,19,O,,,,,,,,전학년,2-4학년,,,
2017 학년도,2학기,학부,영미어문전공,ENG3104,1,현대영국소설,3.0,"화,목 10:30~11:45 [J209]",3.0,김영주,44,,,,,,,,,전학년,2-4학년,,,
2017 학년도,2학기,학부,영미어문전공,ENG3203,1,식민주의및탈식민주의문학,3.0,월 15:00~16:15 / 수 16:30~17:45 [J315],3.0,김부성,12,O,,,,,,,,전학년,2-4학년,,,
