학년도,학기,소속,학과,과목번호,분반,과목명,학점,수업시간/강의실,시간,교수진,수강생수,영어강의,중국어강의,공학인증,국제학생,Honors과목,홀짝구분,승인과목,시험일자,수강대상,권장학년,수강신청 참조사항,과목 설명,비고
2016 학년도,1학기,학부,학부,CCMC2101,1,의학화학,2.0,,,,1,,,,,,,,,,1-4학년,,,
2016 학년도,1학기,학부,학부,CCMC2102,1,발생과유전,2.0,,,,2,,,,,,,,,,1-4학년,,,
2016 학년도,1학기,학부,학부,CCMC2103,1,의과학발달사,2.0,,,,1,,,,,,,,,,1-4학년,,,
2016 학년도,1학기,학부,학부,E10075,1,성의사회학,3.0,,,,1,,,,,,,,,,1-4학년,,,
2016 학년도,1학기,학부,학부,E10094,1,여성학,3.0,,,,1,,,,,,,,,,1학년,,,
2016 학년도,1학기,학부,학부,E11053,1,21세기사회와문학의대화,3.0,,,,1,,,,,,,,,,1-4학년,,,
2016 학년도,1학기,학부,학부,E11201,1,문화예술현장의이해,3.0,,,,1,,,,,,,,,,1-4학년,,,
2016 학년도,1학기,학부,학부,E11218,1,K-MOOC:영화스토리텔링의이해,3.0,,,,1,,,,,,,,,,1-4학년,,,
2016 학년도,1학기,학부,학부,HB9411101,1,이란의사회와문화,2.0,,,,1,,,,,,,,,,1-4학년,,,
2016 학년도,1학기,학부,학부,KGERM135,1,유럽문화속여성상,3.0,,,,1,,,,,,,,,,1-4학년,,,
2016 학년도,1학기,학부,학부,KPHEK112,1,수상스키,1.0,,,,1,,,,,,,,,,1-4학년,,고려대교류과목,
2016 학년도,1학기,학부,학부,KPHEK126,1,피트니스앤헬스,1.0,,,,1,,,,,,,,,,1-4학년,,,
2016 학년도,1학기,학부,학부,SN043.076,1,종교상징의세계,3.0,,,,1,,,,,,,,,,1-4학년,,,
2016 학년도,1학기,학부,학부,SN348.455,1,전산천문학,3.0,,,,1,,,,,,,,,,1-4학년,,,
2016 학년도,1학기,학부,학부,YUARC2301,1,서양건축사,3.0,,,,1,,,,,,,,,,1-4학년,,,
