과목코드-분반,과목명,2019_1_1학년,2019_1_2학년,2019_1_3학년,2019_1_4학년
CHM4051-01,연구프로젝트I,쿼터없음,쿼터없음,신청없음,1 : 0.10
CHM4055-01,첨단화학캡스톤디자인,쿼터없음,쿼터없음,1 : 5.00,1 : 1.67
CHM4203-01,화학특허와기술이전,신청없음,신청없음,1 : 0.20,1 : 0.12
CHMG101-01,고급분석화학,신청없음,신청없음,신청없음,1 : 0.06
CHMG301-01,고급유기화학I,신청없음,신청없음,신청없음,1 : 0.03
CHMG401-01,고급무기화학,신청없음,신청없음,신청없음,1 : 0.01
CHS2002-01,현대한국의형성,1 : 0.06,1 : 0.30,1 : 0.12,1 : 0.14
CHS2002-02,현대한국의형성,1 : 0.20,1 : 1.13,1 : 1.80,1 : 1.60
CHS2002-03,현대한국의형성,1 : 0.20,1 : 1.33,1 : 1.80,1 : 1.40
CHS2002-04,현대한국의형성,신청없음,1 : 0.30,1 : 0.04,1 : 0.03
CHS2002-05,현대한국의형성,1 : 0.36,1 : 0.33,1 : 0.04,신청없음
CHS2003-01,현대동아시아의형성,1 : 0.02,1 : 0.47,1 : 0.10,1 : 0.08
CHS2003-02,현대동아시아의형성,1 : 0.68,1 : 3.23,1 : 3.20,1 : 2.80
CHS2003-03,현대동아시아의형성,1 : 0.07,1 : 0.43,1 : 0.18,1 : 0.09
CHS2004-01,현대서양의형성,신청없음,1 : 0.20,1 : 0.07,1 : 0.06
CHS2004-02,현대서양의형성,1 : 0.13,1 : 1.50,1 : 1.80,1 : 2.80
CHS2004-03,현대서양의형성,1 : 0.07,1 : 1.00,1 : 0.80,1 : 0.83
CHS2006-01,역사란무엇인가,1 : 0.06,1 : 1.95,1 : 0.30,1 : 0.12
CHU4002-01,인물로본한국사,신청없음,1 : 0.20,1 : 0.08,1 : 0.15
CHU4011-01,영화로본역사,1 : 0.03,1 : 0.85,1 : 0.43,1 : 0.45
CHU4018-01,이주의역사,1 : 0.02,1 : 0.10,1 : 0.05,1 : 0.11
CHU4019-01,인물로본일본사,1 : 0.01,1 : 0.15,1 : 0.03,1 : 0.11
COR1003-01,영어글로벌의사소통I,1 : 0.05,1 : 1.00,1 : 0.33,신청없음
COR1003-02,영어글로벌의사소통I,1 : 0.09,1 : 1.00,신청없음,신청없음
COR1003-03,영어글로벌의사소통I,신청없음,1 : 1.00,신청없음,1 : 0.20
COR1003-04,영어글로벌의사소통I,신청없음,1 : 0.67,신청없음,신청없음
COR1003-05,영어글로벌의사소통I,신청없음,1 : 1.00,신청없음,신청없음
COR1003-06,영어글로벌의사소통I,1 : 0.04,1 : 0.33,신청없음,신청없음
COR1003-07,영어글로벌의사소통I,1 : 0.05,1 : 1.00,신청없음,1 : 0.20
COR1003-08,영어글로벌의사소통I,신청없음,신청없음,1 : 0.17,신청없음
COR1003-09,영어글로벌의사소통I,신청없음,1 : 0.33,신청없음,1 : 0.14
COR1003-10,영어글로벌의사소통I,1 : 0.04,1 : 0.67,1 : 0.25,신청없음
COR1003-11,영어글로벌의사소통I,신청없음,신청없음,1 : 0.17,1 : 0.29
COR1003-12,영어글로벌의사소통I,1 : 0.04,1 : 1.00,신청없음,신청없음
COR1003-14,영어글로벌의사소통I,1 : 0.08,신청없음,1 : 0.33,신청없음
COR1003-15,영어글로벌의사소통I,1 : 0.05,1 : 3.67,1 : 0.33,1 : 0.50
COR1003-16,영어글로벌의사소통I,1 : 0.04,1 : 0.67,신청없음,신청없음
COR1003-17,영어글로벌의사소통I,1 : 0.48,1 : 1.67,신청없음,신청없음
COR1003-18,영어글로벌의사소통I,1 : 0.59,1 : 3.00,1 : 0.33,신청없음
COR1003-19,영어글로벌의사소통I,1 : 0.23,1 : 4.33,1 : 0.33,신청없음
COR1003-20,영어글로벌의사소통I,1 : 0.38,1 : 4.00,1 : 0.67,신청없음
COR1003-21,영어글로벌의사소통I,1 : 0.17,1 : 0.67,신청없음,신청없음
COR1003-22,영어글로벌의사소통I,1 : 0.35,1 : 2.33,1 : 0.67,1 : 0.33
COR1003-23,영어글로벌의사소통I,신청없음,1 : 0.33,신청없음,신청없음
COR1003-24,영어글로벌의사소통I,1 : 0.59,1 : 1.67,신청없음,1 : 0.20
COR1003-25,영어글로벌의사소통I,1 : 0.35,1 : 2.67,신청없음,신청없음
COR1003-26,영어글로벌의사소통I,1 : 0.08,신청없음,신청없음,1 : 0.13
COR1003-27,영어글로벌의사소통I,1 : 0.05,1 : 1.00,신청없음,1 : 0.20
COR1003-28,영어글로벌의사소통I,1 : 0.04,1 : 0.67,신청없음,신청없음
COR1003-29,영어글로벌의사소통I,1 : 0.04,1 : 0.33,신청없음,1 : 0.29
COR1003-30,영어글로벌의사소통I,1 : 0.04,신청없음,신청없음,신청없음
COR1003-31,영어글로벌의사소통I,신청없음,1 : 3.33,1 : 0.33,신청없음
COR1003-32,영어글로벌의사소통I,1 : 0.04,1 : 3.00,신청없음,신청없음
COR1003-33,영어글로벌의사소통I,신청없음,1 : 0.33,신청없음,신청없음
COR1003-34,영어글로벌의사소통I,1 : 0.08,1 : 2.00,1 : 1.00,신청없음
COR1003-35,영어글로벌의사소통I,1 : 0.17,1 : 6.00,1 : 1.00,1 : 3.00
COR1003-36,영어글로벌의사소통I,1 : 0.38,1 : 7.00,1 : 1.00,신청없음
COR1003-37,영어글로벌의사소통I,1 : 0.43,1 : 7.00,1 : 6.00,1 : 2.00
COR1005-01,영어글로벌의사소통I(고급),1 : 0.04,1 : 5.00,1 : 4.00,1 : 0.50
COR1005-02,영어글로벌의사소통I(고급),신청없음,1 : 2.00,1 : 3.00,신청없음
COR1007-01,성찰과성장1,1 : 0.05,1 : 0.75,1 : 0.75,신청없음
COR1007-02,성찰과성장1,1 : 0.15,1 : 3.75,1 : 1.00,1 : 0.67
COR1007-03,성찰과성장1,1 : 0.01,1 : 0.50,신청없음,신청없음
COR1007-04,성찰과성장1,1 : 0.05,1 : 2.25,1 : 0.67,신청없음
COR1007-05,성찰과성장1,1 : 0.01,1 : 0.25,1 : 0.33,신청없음
COR1007-06,성찰과성장1,1 : 0.05,신청없음,1 : 0.14,신청없음
COR1007-08,성찰과성장1,신청없음,1 : 0.25,신청없음,1 : 0.22
COR1007-09,성찰과성장1,신청없음,1 : 0.50,신청없음,신청없음
COR1007-10,성찰과성장1,신청없음,1 : 0.25,1 : 0.17,신청없음
COR1007-11,성찰과성장1,신청없음,신청없음,1 : 0.14,신청없음
COR1007-14,성찰과성장1,신청없음,1 : 0.25,신청없음,신청없음
COR1007-18,성찰과성장1,신청없음,신청없음,신청없음,1 : 0.10
COR1007-20,성찰과성장1,신청없음,1 : 0.50,신청없음,신청없음
COR1009-01,컴퓨팅사고력,1 : 0.57,쿼터없음,쿼터없음,쿼터없음
COR1009-02,컴퓨팅사고력,1 : 0.08,쿼터없음,쿼터없음,쿼터없음
COR1009-03,컴퓨팅사고력,1 : 0.10,쿼터없음,쿼터없음,쿼터없음
COR1009-04,컴퓨팅사고력,1 : 0.07,쿼터없음,쿼터없음,쿼터없음
COR1009-05,컴퓨팅사고력,1 : 0.15,쿼터없음,쿼터없음,쿼터없음
COR1009-06,컴퓨팅사고력,1 : 0.17,1 : 0.90,쿼터없음,쿼터없음
COR1009-07,컴퓨팅사고력,1 : 0.17,쿼터없음,쿼터없음,쿼터없음
COR1009-08,컴퓨팅사고력,1 : 0.03,쿼터없음,쿼터없음,쿼터없음
COR1009-09,컴퓨팅사고력,신청없음,쿼터없음,쿼터없음,쿼터없음
COR1009-10,컴퓨팅사고력,1 : 0.05,쿼터없음,쿼터없음,쿼터없음
COR1009-11,컴퓨팅사고력,1 : 0.07,쿼터없음,쿼터없음,쿼터없음
COR1009-12,컴퓨팅사고력,신청없음,쿼터없음,쿼터없음,쿼터없음
COR1009-13,컴퓨팅사고력,1 : 0.26,쿼터없음,쿼터없음,쿼터없음
COR1009-14,컴퓨팅사고력,1 : 0.03,쿼터없음,쿼터없음,쿼터없음
COR1009-15,컴퓨팅사고력,신청없음,1 : 0.10,쿼터없음,쿼터없음
COR1009-16,컴퓨팅사고력,신청없음,1 : 0.10,쿼터없음,쿼터없음
COR1009-17,컴퓨팅사고력,1 : 0.05,1 : 0.10,쿼터없음,쿼터없음
COR1009-18,컴퓨팅사고력,신청없음,1 : 0.20,쿼터없음,쿼터없음
COR1011-01,컴퓨팅사고력(고급),신청없음,1 : 0.40,쿼터없음,쿼터없음
COR1011-02,컴퓨팅사고력(고급),신청없음,1 : 0.40,쿼터없음,쿼터없음
COR1012-01,인문사회글쓰기,신청없음,1 : 0.50,1 : 0.33,신청없음
COR1012-02,인문사회글쓰기,신청없음,1 : 0.50,신청없음,1 : 0.25
COR1012-03,인문사회글쓰기,1 : 0.04,1 : 1.00,신청없음,1 : 0.67
COR1012-04,인문사회글쓰기,신청없음,신청없음,1 : 0.25,신청없음
COR1012-05,인문사회글쓰기,신청없음,1 : 0.50,신청없음,신청없음
COR1012-06,인문사회글쓰기,신청없음,1 : 1.50,신청없음,1 : 0.67
COR1012-08,인문사회글쓰기,신청없음,1 : 1.50,1 : 0.50,1 : 0.50
COR1012-09,인문사회글쓰기,신청없음,1 : 0.50,신청없음,1 : 0.25
COR1012-10,인문사회글쓰기,1 : 0.03,신청없음,신청없음,신청없음
COR1012-11,인문사회글쓰기,신청없음,1 : 0.50,신청없음,1 : 0.25
COR1012-13,인문사회글쓰기,1 : 0.08,1 : 2.00,1 : 0.50,1 : 0.50
COR1012-14,인문사회글쓰기,1 : 0.07,1 : 2.00,신청없음,신청없음
COR1012-15,인문사회글쓰기,1 : 0.04,1 : 1.50,1 : 0.50,1 : 0.50
COR1012-16,인문사회글쓰기,신청없음,1 : 0.50,신청없음,1 : 0.25
COR1012-17,인문사회글쓰기,신청없음,신청없음,신청없음,1 : 0.20
COR1012-18,인문사회글쓰기,1 : 0.07,신청없음,신청없음,신청없음
COR1013-01,자연계글쓰기,신청없음,1 : 0.50,신청없음,신청없음
COR1013-02,자연계글쓰기,신청없음,1 : 1.00,신청없음,신청없음
COR1013-05,자연계글쓰기,신청없음,1 : 0.50,1 : 0.33,신청없음
COR1013-06,자연계글쓰기,신청없음,신청없음,신청없음,1 : 0.20
COR1013-07,자연계글쓰기,1 : 0.03,신청없음,신청없음,1 : 0.20
COR1013-08,자연계글쓰기,1 : 0.03,1 : 0.50,신청없음,신청없음
COR1013-10,자연계글쓰기,신청없음,1 : 0.50,신청없음,신청없음
COR1014-01,한국어글쓰기,1 : 0.47,1 : 2.50,1 : 0.50,신청없음
COR1014-02,한국어글쓰기,1 : 0.22,1 : 2.50,신청없음,신청없음
COR1014-03,한국어글쓰기,1 : 0.65,1 : 1.00,신청없음,1 : 0.33
COR1014-04,한국어글쓰기,1 : 0.50,1 : 1.50,신청없음,신청없음
COR1014-05,한국어글쓰기,1 : 0.80,1 : 7.00,1 : 1.50,1 : 2.00
COR1014-06,한국어글쓰기,1 : 0.75,1 : 3.50,1 : 2.50,신청없음
COR1014-07,한국어글쓰기,1 : 0.05,신청없음,1 : 0.25,신청없음
COR1014-09,한국어글쓰기,1 : 0.18,1 : 2.00,신청없음,1 : 0.33
COR1014-10,한국어글쓰기,1 : 0.17,1 : 3.50,신청없음,신청없음
COR1015-12,알바트로스세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음
COR1015-13,알바트로스세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음
COR1015-38,알바트로스세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음
CSE2003-01,기초공학설계,신청없음,쿼터없음,쿼터없음,쿼터없음
CSE2003-02,기초공학설계,1 : 0.02,쿼터없음,쿼터없음,쿼터없음
CSE2003-03,기초공학설계,신청없음,쿼터없음,쿼터없음,쿼터없음
CSE2009-01,컴퓨터공학및정보통신개론,쿼터없음,신청없음,1 : 0.30,1 : 0.42
CSE2009-02,컴퓨터공학및정보통신개론,쿼터없음,1 : 0.40,1 : 1.25,1 : 1.40
CSE3013-01,컴퓨터공학설계및실험I,쿼터없음,1 : 1.54,쿼터없음,쿼터없음
CSE3013-02,컴퓨터공학설계및실험I,쿼터없음,1 : 0.75,쿼터없음,쿼터없음
CSE3013-03,컴퓨터공학설계및실험I,쿼터없음,1 : 1.36,쿼터없음,쿼터없음
CSE3013-04,컴퓨터공학설계및실험I,쿼터없음,1 : 0.25,쿼터없음,쿼터없음
CSE3013-05,컴퓨터공학설계및실험I,쿼터없음,1 : 0.18,쿼터없음,쿼터없음
CSE3016-01,컴퓨터공학실험II,쿼터없음,1 : 0.55,쿼터없음,쿼터없음
CSE3030-01,어셈블리프로그래밍,1 : 0.03,1 : 0.61,쿼터없음,쿼터없음
CSE3030-02,어셈블리프로그래밍,신청없음,1 : 0.80,쿼터없음,쿼터없음
CSE3080-01,자료구조,신청없음,1 : 0.79,쿼터없음,쿼터없음
CSE3080-02,자료구조,1 : 0.07,1 : 0.83,쿼터없음,쿼터없음
CSE4010-01,컴퓨터구조와논리I,쿼터없음,쿼터없음,1 : 1.06,1 : 0.40
CSE4010-02,컴퓨터구조와논리I,쿼터없음,쿼터없음,1 : 0.80,1 : 0.60
CSE4050-01,프로그래밍언어,쿼터없음,쿼터없음,1 : 0.60,1 : 0.17
CSE4050-02,프로그래밍언어,쿼터없음,쿼터없음,1 : 0.67,1 : 0.34
CSE4100-01,시스템프로그래밍,쿼터없음,쿼터없음,1 : 0.67,1 : 0.17
CSE4100-02,시스템프로그래밍,쿼터없음,쿼터없음,1 : 0.59,1 : 0.24
