과목코드-분반,과목명,2019_1_1학년,2019_1_2학년,2019_1_3학년,2019_1_4학년
AAT2001-01,Intro to Art & Technology,쿼터없음,1 : 0.07,1 : 0.45,1 : 0.24
AAT2002-01,Humanities & creativity,1 : 0.20,1 : 0.50,1 : 1.13,1 : 1.60
AAT2003-01,Intro to Digital Arts,1 : 0.14,1 : 0.90,1 : 1.09,1 : 0.60
AAT2004-01,Intro to Creative Computing,쿼터없음,1 : 0.33,1 : 0.65,1 : 0.46
AAT2005-01,Creative Capstone Project I,쿼터없음,쿼터없음,1 : 0.30,1 : 0.11
AAT2006-01,Creative Capstone Project II,쿼터없음,쿼터없음,쿼터없음,1 : 0.13
AAT3001-01,Modern & Contemporary Art,신청없음,1 : 2.20,1 : 2.20,1 : 2.80
AAT3003-01,Digital Fabrication,쿼터없음,1 : 2.08,1 : 1.33,1 : 1.67
AAT3006-01,Spatial Dynamics,신청없음,1 : 0.60,1 : 0.43,1 : 0.15
AAT4002-01,Web Studio,쿼터없음,1 : 0.07,1 : 0.17,1 : 0.34
AAT4003-01,Live Performance Studio,쿼터없음,1 : 0.10,신청없음,1 : 0.14
AAT4007-01,Storytelling Workshop,쿼터없음,1 : 0.20,1 : 0.22,1 : 0.22
AAT4011-01,Immersive Media Studio,쿼터없음,신청없음,1 : 0.10,1 : 0.19
AAT4015-01,졸업창작프로젝트I,쿼터없음,쿼터없음,1 : 0.07,신청없음
AAT4017-01,졸업창작프로젝트III,쿼터없음,쿼터없음,신청없음,1 : 0.03
AIC4010-01,인공지능종합설계Ⅰ,쿼터없음,쿼터없음,쿼터없음,1 : 0.04
AMC2014-01,번역연습,쿼터없음,1 : 1.40,1 : 1.20,1 : 3.60
AMC2020-01,문화와글쓰기,신청없음,1 : 0.71,1 : 0.80,1 : 0.50
AMC2031-01,미국학입문,쿼터없음,1 : 0.20,1 : 0.17,1 : 0.08
AMC2031-02,미국학입문,1 : 0.03,쿼터없음,쿼터없음,쿼터없음
AMC2033-01,미국문화사,1 : 0.05,1 : 1.13,1 : 0.40,1 : 0.42
AMC3040-01,대중음악,쿼터없음,1 : 0.67,1 : 0.45,1 : 0.29
AMC3055-01,미국영화주제연구,쿼터없음,신청없음,1 : 0.20,1 : 0.15
AMC3056-01,세계속의미국영화,쿼터없음,1 : 0.20,1 : 0.22,1 : 0.19
AMC3065-01,세계속의미국문화,쿼터없음,신청없음,1 : 0.10,신청없음
AMC4099-01,논문세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음
AMC4125-01,인간과과학기술,쿼터없음,1 : 0.40,1 : 0.19,1 : 0.31
AMC4155-01,미국아시아계문화,쿼터없음,1 : 0.20,1 : 0.22,1 : 0.12
AMC4199-01,미국문화세미나,쿼터없음,1 : 0.20,1 : 0.17,1 : 0.12
BIO1101-01,일반생물학I,1 : 0.06,1 : 1.40,1 : 0.30,1 : 0.25
BIO1101-02,일반생물학I,1 : 0.10,1 : 1.87,1 : 0.80,1 : 1.14
BIO1101-03,일반생물학I,1 : 0.02,1 : 0.47,1 : 0.06,신청없음
BIO1101-04,일반생물학I,신청없음,1 : 0.07,신청없음,신청없음
BIO1105-01,일반생물학실험I,1 : 0.10,신청없음,신청없음,쿼터없음
BIO1105-02,일반생물학실험I,1 : 0.20,1 : 1.33,1 : 1.50,쿼터없음
BIO1105-03,일반생물학실험I,1 : 0.10,1 : 0.67,1 : 0.33,쿼터없음
BIO1105-06,일반생물학실험I,1 : 0.10,1 : 1.00,신청없음,쿼터없음
BIO1105-07,일반생물학실험I,1 : 0.10,신청없음,신청없음,쿼터없음
BIO1105-09,일반생물학실험I,신청없음,1 : 1.67,신청없음,쿼터없음
BIO2121-01,현대생물학실험I,1 : 0.33,1 : 2.29,1 : 0.33,1 : 0.33
BIO2121-02,현대생물학실험I,신청없음,1 : 0.43,1 : 0.14,1 : 0.14
BIO2121-03,현대생물학실험I,1 : 0.50,1 : 2.71,1 : 0.33,신청없음
BIO2121-04,현대생물학실험I,신청없음,1 : 0.29,신청없음,신청없음
BIO2131-01,생화학I,1 : 0.06,1 : 0.52,1 : 0.23,1 : 0.15
BIO2141-01,세포학,1 : 0.03,1 : 0.30,1 : 0.14,1 : 0.15
BIO2311-01,생명유기화학,신청없음,1 : 0.12,1 : 0.10,1 : 0.19
BIO2350-01,숙주미생물상호작용,신청없음,1 : 0.23,1 : 0.18,1 : 0.05
BIO2601-01,유전자클로닝개론,신청없음,1 : 0.18,1 : 0.35,1 : 0.20
BIO3123-01,현대생물학실험III,쿼터없음,신청없음,1 : 0.11,1 : 0.18
BIO3123-02,현대생물학실험III,쿼터없음,1 : 0.33,1 : 0.38,1 : 0.13
BIO3123-03,현대생물학실험III,쿼터없음,신청없음,1 : 1.89,1 : 1.00
BIO3123-04,현대생물학실험III,쿼터없음,신청없음,1 : 0.33,1 : 0.11
BIO3212-01,생명공학개론,신청없음,1 : 0.05,1 : 0.16,1 : 0.10
BIO3311-01,발생학,신청없음,신청없음,1 : 0.03,1 : 0.15
BIO3712-01,미생물생리학,신청없음,신청없음,1 : 0.11,1 : 0.05
BIO4203-01,생명과학특허와기술이전,신청없음,신청없음,1 : 0.04,신청없음
BIO4252-01,암생물학,신청없음,신청없음,1 : 0.09,1 : 0.12
BIO4321-01,인체생리학,신청없음,신청없음,1 : 0.11,1 : 0.06
BIO4521-01,식물발달생물학,신청없음,신청없음,1 : 0.09,1 : 0.13
BIO4921-01,특수연구,쿼터없음,쿼터없음,쿼터없음,1 : 0.05
BIO4931-01,응용바이오기술실험,쿼터없음,쿼터없음,쿼터없음,1 : 0.10
BNT3006-01,의공학개론I,쿼터없음,쿼터없음,1 : 0.40,1 : 0.34
BNT3091-01,특수연구I,쿼터없음,쿼터없음,쿼터없음,1 : 0.10
BNTG003-01,기술과경제정책,쿼터없음,신청없음,신청없음,1 : 0.13
BNTG008-01,바이오융합산업기술,쿼터없음,쿼터없음,신청없음,1 : 0.35
BNTG031-01,지식재산권과특허,쿼터없음,신청없음,1 : 0.10,1 : 0.11
CBE2003-01,화공생명공학양론,쿼터없음,1 : 0.37,쿼터없음,쿼터없음
CBE2003-02,화공생명공학양론,쿼터없음,1 : 0.39,쿼터없음,쿼터없음
CBE2004-01,물리화학,쿼터없음,1 : 0.44,1 : 0.12,1 : 0.05
CBE2004-02,물리화학,쿼터없음,1 : 0.36,신청없음,신청없음
CBE2005-01,응용유기화학,쿼터없음,1 : 0.62,1 : 0.55,1 : 0.53
CBE2005-02,응용유기화학,쿼터없음,1 : 0.89,1 : 0.69,1 : 0.70
CBE2008-01,화공생명공학기초실험I,신청없음,1 : 0.93,쿼터없음,쿼터없음
CBE2008-02,화공생명공학기초실험I,신청없음,1 : 0.80,쿼터없음,쿼터없음
CBE2008-03,화공생명공학기초실험I,1 : 0.20,1 : 1.80,쿼터없음,쿼터없음
CBE2008-04,화공생명공학기초실험I,신청없음,1 : 0.73,쿼터없음,쿼터없음
CBE2008-05,화공생명공학기초실험I,신청없음,1 : 0.93,쿼터없음,쿼터없음
CBE2011-01,화공수학I,쿼터없음,1 : 0.55,1 : 0.03,1 : 0.05
CBE2011-02,화공수학I,쿼터없음,1 : 0.65,1 : 0.07,신청없음
CBE3002-01,공정열역학,쿼터없음,쿼터없음,1 : 0.35,1 : 0.41
CBE3003-01,반응공학,쿼터없음,쿼터없음,1 : 1.17,1 : 0.90
CBE3004-01,화공유체역학,쿼터없음,쿼터없음,1 : 0.58,1 : 0.11
CBE3004-02,화공유체역학,쿼터없음,쿼터없음,1 : 0.35,1 : 0.04
CBE3007-01,고분자공학,쿼터없음,쿼터없음,1 : 0.50,1 : 0.18
CBE3007-02,고분자공학,쿼터없음,쿼터없음,1 : 0.50,1 : 0.08
CBE3013-01,응용분자생물학,쿼터없음,쿼터없음,1 : 0.35,1 : 0.18
CBE3015-01,화공생명공학요소실험I,쿼터없음,쿼터없음,1 : 0.87,1 : 0.29
CBE3015-02,화공생명공학요소실험I,쿼터없음,쿼터없음,1 : 0.67,1 : 0.10
CBE3015-03,화공생명공학요소실험I,쿼터없음,쿼터없음,1 : 0.67,1 : 0.10
CBE3015-04,화공생명공학요소실험I,쿼터없음,쿼터없음,1 : 0.93,1 : 0.17
CBE3015-05,화공생명공학요소실험I,쿼터없음,쿼터없음,1 : 0.73,신청없음
CBE4001-01,화공생명공학심화종합설계,쿼터없음,쿼터없음,1 : 0.20,1 : 0.82
CBE4003-01,이동현상,쿼터없음,쿼터없음,1 : 0.20,1 : 0.26
CBE4004-01,분리정제공정,쿼터없음,쿼터없음,1 : 0.20,1 : 0.60
CBE4007-01,공정공학,쿼터없음,쿼터없음,1 : 0.20,1 : 0.07
CBE4008-01,반도체공정,쿼터없음,쿼터없음,1 : 0.94,1 : 0.62
CBE4011-01,전기화학,쿼터없음,쿼터없음,1 : 0.09,1 : 0.03
CBE4013-01,생물화학공학,쿼터없음,쿼터없음,1 : 0.30,1 : 0.30
CBE4013-02,생물화학공학,쿼터없음,쿼터없음,1 : 0.10,1 : 0.39
CBE4017-01,화공생명공학공정실험,쿼터없음,쿼터없음,1 : 0.40,1 : 1.17
CBE4017-02,화공생명공학공정실험,쿼터없음,쿼터없음,1 : 0.60,1 : 0.71
CBE4017-03,화공생명공학공정실험,쿼터없음,쿼터없음,신청없음,1 : 0.95
CBE4020-01,에너지공학,신청없음,쿼터없음,1 : 0.67,1 : 0.50
CBEG005-01,화공산업과기술경영-기업가정신,쿼터없음,쿼터없음,1 : 2.80,1 : 0.77
CHI2001-01,전공기초중국어1,1 : 0.05,1 : 0.50,1 : 0.20,1 : 0.23
CHI2006-01,"오늘의중국,중국인",1 : 0.08,1 : 0.40,1 : 0.44,1 : 0.43
CHI2011-01,중국학입문,1 : 0.30,1 : 0.80,1 : 1.67,1 : 1.00
CHI3001-01,중국어회화1,신청없음,1 : 0.20,1 : 0.06,1 : 0.14
CHI3003-01,중국어3,1 : 0.20,1 : 0.60,1 : 0.57,1 : 1.09
CHI3009-01,빅데이터로본중국사회,신청없음,1 : 0.60,1 : 0.50,1 : 1.08
CHI3011-01,중국고전시의세계,신청없음,1 : 0.20,1 : 0.28,1 : 0.04
CHI3014-01,중국고전명문산책,신청없음,1 : 0.90,1 : 1.55,1 : 1.60
CHI3017-01,중국어문법의이해,신청없음,1 : 0.60,1 : 0.93,1 : 1.09
CHI3018-01,중국언어의이해,1 : 0.03,1 : 0.30,1 : 0.24,1 : 0.13
CHI3019-01,중국언어로보는중국문화,신청없음,1 : 0.70,1 : 0.62,1 : 0.60
CHI3025-01,영화와현대중국,신청없음,1 : 1.00,1 : 1.00,1 : 1.00
CHI3028-01,사서와현대인의수양,신청없음,1 : 0.10,1 : 0.16,1 : 0.15
CHI4003-01,중국문학사,신청없음,1 : 0.20,1 : 1.28,1 : 2.40
CHI4012-01,현대중국:구조와쟁점,신청없음,1 : 0.20,1 : 0.28,1 : 0.33
CHM1001-01,일반화학I,신청없음,쿼터없음,쿼터없음,쿼터없음
CHM1001-02,일반화학I,신청없음,쿼터없음,쿼터없음,1 : 1.00
CHM1001-03,일반화학I,신청없음,쿼터없음,쿼터없음,1 : 3.50
CHM1001-04,일반화학I,1 : 0.01,쿼터없음,쿼터없음,1 : 2.00
CHM1001-05,일반화학I,1 : 0.01,쿼터없음,쿼터없음,1 : 1.50
CHM1001-06,일반화학I,1 : 0.07,쿼터없음,쿼터없음,1 : 1.00
CHM1001-07,일반화학I,신청없음,쿼터없음,쿼터없음,신청없음
CHM1001-08,일반화학I,1 : 0.04,쿼터없음,쿼터없음,1 : 2.00
CHM1051-01,일반화학실험I,1 : 0.13,쿼터없음,쿼터없음,1 : 1.00
CHM1051-02,일반화학실험I,신청없음,쿼터없음,쿼터없음,1 : 0.50
CHM1051-03,일반화학실험I,신청없음,쿼터없음,쿼터없음,1 : 0.50
CHM1051-06,일반화학실험I,1 : 0.06,쿼터없음,쿼터없음,쿼터없음
CHM1051-07,일반화학실험I,1 : 0.06,쿼터없음,쿼터없음,신청없음
CHM1051-09,일반화학실험I,신청없음,쿼터없음,쿼터없음,1 : 0.50
CHM1051-10,일반화학실험I,신청없음,쿼터없음,쿼터없음,1 : 0.50
CHM1051-11,일반화학실험I,신청없음,쿼터없음,쿼터없음,1 : 0.50
CHM1051-12,일반화학실험I,신청없음,쿼터없음,쿼터없음,신청없음
CHM1051-17,일반화학실험I,신청없음,쿼터없음,쿼터없음,1 : 1.00
CHM2101-01,분석화학,신청없음,1 : 0.43,1 : 0.16,1 : 0.23
CHM2151-01,분석화학실험,쿼터없음,1 : 1.58,쿼터없음,1 : 1.00
CHM2151-02,분석화학실험,쿼터없음,1 : 0.83,쿼터없음,신청없음
CHM2151-03,분석화학실험,쿼터없음,1 : 0.25,쿼터없음,1 : 0.50
CHM2151-04,분석화학실험,쿼터없음,1 : 0.75,쿼터없음,신청없음
CHM2202-01,물리화학II,신청없음,1 : 0.03,1 : 0.26,1 : 0.18
CHM2231-01,물리화학특론,신청없음,신청없음,1 : 0.04,1 : 0.03
CHM2251-01,물리화학실험I,쿼터없음,신청없음,1 : 1.38,1 : 1.50
CHM2251-02,물리화학실험I,쿼터없음,1 : 0.50,1 : 1.13,1 : 2.00
CHM2251-03,물리화학실험I,쿼터없음,1 : 0.50,1 : 0.20,1 : 0.21
CHM2301-01,유기화학I,신청없음,1 : 0.47,1 : 0.54,1 : 0.23
CHM2301-02,유기화학I,신청없음,1 : 0.80,1 : 0.38,1 : 0.20
CHM2303-03,유기화학III,신청없음,신청없음,1 : 0.06,1 : 0.08
CHM2331-01,유기화학특론I,신청없음,신청없음,1 : 0.10,1 : 0.14
CHM2352-01,유기화학실험II,쿼터없음,쿼터없음,1 : 0.15,1 : 0.14
CHM2401-01,무기화학I,신청없음,1 : 0.20,1 : 0.75,1 : 0.19
CHM2501-01,고분자화학,신청없음,신청없음,1 : 0.08,1 : 0.05
CHM2602-01,생화학II,신청없음,신청없음,1 : 0.18,1 : 0.16
CHM2651-01,생화학실험,쿼터없음,쿼터없음,1 : 0.83,1 : 0.82
CHM2651-02,생화학실험,쿼터없음,쿼터없음,1 : 0.67,1 : 0.92
CHM2651-03,생화학실험,쿼터없음,쿼터없음,1 : 2.00,1 : 1.10
