전공,입력코드,과목명,구분,전체,2학년,3학년,4학년,1학년
기계공학전공,MEE2022-01,열역학I,경쟁률,1 : 0.62,1 : 0.80,1 : 0.21,신청없음,쿼터없음
기계공학전공,MEE2022-02,열역학I,경쟁률,1 : 0.82,1 : 0.82,1 : 0.56,1 : 0.17,쿼터없음
기계공학전공,MEE2025-01,모형설계제작,경쟁률,1 : 2.08,1 : 2.30,1 : 1.00,1 : 0.50,쿼터없음
기계공학전공,MEE2025-02,모형설계제작,경쟁률,1 : 0.88,1 : 1.00,신청없음,1 : 0.25,쿼터없음
기계공학전공,MEE2025-03,모형설계제작,경쟁률,1 : 1.17,1 : 1.25,1 : 1.00,신청없음,쿼터없음
기계공학전공,MEE2026-01,2DCAD,경쟁률,1 : 0.40,1 : 0.30,1 : 0.16,1 : 0.13,쿼터없음
기계공학전공,MEE3001-01,재료거동학,경쟁률,1 : 0.22,쿼터없음,1 : 0.17,1 : 0.13,쿼터없음
기계공학전공,MEE3003-01,진동학,경쟁률,1 : 0.63,쿼터없음,1 : 0.86,1 : 0.10,쿼터없음
기계공학전공,MEE3004-01,생산공정,경쟁률,1 : 0.50,쿼터없음,1 : 0.52,1 : 0.06,쿼터없음
기계공학전공,MEE3004-02,생산공정,경쟁률,1 : 0.70,쿼터없음,1 : 0.74,1 : 0.22,쿼터없음
기계공학전공,MEE3006-01,기계공학해석,경쟁률,1 : 0.68,쿼터없음,1 : 0.79,1 : 0.08,쿼터없음
기계공학전공,MEE3013-01,자동제어,경쟁률,1 : 0.51,쿼터없음,1 : 0.63,1 : 0.16,쿼터없음
기계공학전공,MEE3026-01,기계공학실험II,경쟁률,1 : 0.84,쿼터없음,1 : 0.60,1 : 0.79,쿼터없음
기계공학전공,MEE3026-02,기계공학실험II,경쟁률,1 : 0.56,쿼터없음,1 : 0.10,1 : 0.54,쿼터없음
기계공학전공,MEE3032-01,열전달,경쟁률,1 : 0.47,쿼터없음,1 : 0.64,1 : 0.22,쿼터없음
기계공학전공,MEE4002-01,냉동및공기조화,경쟁률,1 : 0.25,쿼터없음,1 : 0.24,1 : 0.15,쿼터없음
기계공학전공,MEE4004-01,3D-CAD,경쟁률,1 : 0.56,쿼터없음,1 : 0.28,1 : 0.47,쿼터없음
기계공학전공,MEE4014-01,MEMS설계제작,경쟁률,1 : 0.25,쿼터없음,1 : 0.16,1 : 0.18,쿼터없음
기계공학전공,MEE4015-01,바이오역학,경쟁률,1 : 0.14,쿼터없음,1 : 0.10,1 : 0.09,쿼터없음
기계공학전공,MEE4021-01,창의적종합설계,경쟁률,1 : 0.30,쿼터없음,쿼터없음,1 : 0.27,쿼터없음
기계공학전공,MEE4021-02,창의적종합설계,경쟁률,1 : 1.53,쿼터없음,쿼터없음,1 : 1.50,쿼터없음
기계공학전공,MEE4032-01,미소열유체역학,경쟁률,1 : 0.14,쿼터없음,1 : 0.10,1 : 0.09,쿼터없음
기계공학전공,MEEG013-01,고급제어1,경쟁률,1 : 0.10,쿼터없음,1 : 0.05,1 : 0.08,쿼터없음
기계공학전공,MEEG018-01,시스템모델링및해석,경쟁률,1 : 0.35,쿼터없음,1 : 0.25,1 : 0.26,쿼터없음
경영학전공,MGT2001-01,현대기업과기업윤리,경쟁률,1 : 0.40,쿼터없음,1 : 0.34,1 : 0.26,쿼터없음
경영학전공,MGT2002-01,경영통계학,경쟁률,1 : 0.57,1 : 2.40,1 : 2.40,1 : 0.40,1 : 0.27
경영학전공,MGT2002-02,경영통계학,경쟁률,1 : 0.16,1 : 0.40,1 : 0.50,쿼터없음,1 : 0.07
경영학전공,MGT2002-03,경영통계학,경쟁률,1 : 0.76,1 : 5.80,1 : 3.40,쿼터없음,1 : 0.07
경영학전공,MGT2002-04,경영통계학,경쟁률,1 : 0.16,1 : 0.80,1 : 0.83,1 : 0.17,1 : 0.03
경영학전공,MGT2002-05,경영통계학,경쟁률,1 : 0.30,1 : 1.40,1 : 1.80,쿼터없음,1 : 0.03
경영학전공,MGT2003-01,회계학원론,경쟁률,1 : 1.95,1 : 2.67,1 : 1.43,1 : 3.00,1 : 0.80
경영학전공,MGT2003-02,회계학원론,경쟁률,1 : 0.43,1 : 0.53,1 : 0.14,1 : 0.21,1 : 0.02
경영학전공,MGT2003-03,회계학원론,경쟁률,1 : 0.55,1 : 0.47,1 : 0.26,1 : 0.38,신청없음
경영학전공,MGT2003-04,회계학원론,경쟁률,1 : 0.47,1 : 0.30,1 : 0.41,쿼터없음,1 : 0.10
경영학전공,MGT2003-05,회계학원론,경쟁률,1 : 0.63,1 : 0.37,1 : 0.43,1 : 0.42,1 : 0.03
경영학전공,MGT2003-06,회계학원론,경쟁률,1 : 0.17,1 : 0.10,1 : 0.05,쿼터없음,1 : 0.20
경영학전공,MGT2003-07,회계학원론,경쟁률,1 : 2.57,1 : 2.93,1 : 2.40,쿼터없음,1 : 0.60
경영학전공,MGT2003-08,회계학원론,경쟁률,1 : 1.16,1 : 0.53,1 : 1.07,1 : 4.20,1 : 0.30
경영학전공,MGT3001-01,조직행동이론,경쟁률,1 : 0.97,1 : 1.20,1 : 1.45,1 : 1.00,신청없음
경영학전공,MGT3001-02,조직행동이론,경쟁률,1 : 2.06,1 : 1.48,1 : 2.48,1 : 4.60,쿼터없음
경영학전공,MGT3001-03,조직행동이론,경쟁률,1 : 1.26,1 : 4.30,1 : 1.07,1 : 0.43,쿼터없음
경영학전공,MGT3001-04,조직행동이론,경쟁률,1 : 0.54,1 : 0.43,1 : 0.35,1 : 0.35,신청없음
경영학전공,MGT3002-01,경영정보시스템,경쟁률,1 : 0.40,1 : 0.04,1 : 0.22,1 : 0.28,쿼터없음
경영학전공,MGT3002-02,경영정보시스템,경쟁률,1 : 0.30,1 : 0.04,1 : 0.14,1 : 0.19,쿼터없음
경영학전공,MGT3002-03,경영정보시스템,경쟁률,1 : 0.37,1 : 0.12,1 : 0.19,1 : 0.24,쿼터없음
경영학전공,MGT3002-04,경영정보시스템,경쟁률,1 : 1.63,1 : 0.44,1 : 1.67,1 : 1.90,쿼터없음
경영학전공,MGT3003-01,생산관리론,경쟁률,1 : 0.87,1 : 1.45,1 : 0.76,1 : 0.42,쿼터없음
경영학전공,MGT3003-02,생산관리론,경쟁률,1 : 1.09,1 : 2.15,1 : 1.08,1 : 0.24,쿼터없음
경영학전공,MGT3003-03,생산관리론,경쟁률,1 : 2.19,1 : 4.40,1 : 1.92,1 : 0.68,쿼터없음
