전공,입력코드,과목명,구분,전체,2학년,3학년,4학년,1학년
물리학전공,PHY1101-11,일반물리실험I,경쟁률,1 : 0.44,1 : 3.00,1 : 1.00,신청없음,신청없음
물리학전공,PHY1101-12,일반물리실험I,경쟁률,1 : 0.38,1 : 3.00,신청없음,신청없음,신청없음
물리학전공,PHY1101-13,일반물리실험I,경쟁률,1 : 0.19,1 : 0.50,신청없음,1 : 0.67,신청없음
물리학전공,PHY1101-14,일반물리실험I,경쟁률,1 : 0.38,1 : 0.50,1 : 0.50,1 : 1.00,1 : 0.17
물리학전공,PHY1101-15,일반물리실험I,경쟁률,1 : 0.31,1 : 2.00,1 : 1.00,신청없음,신청없음
물리학전공,PHY1101-16,일반물리실험I,경쟁률,1 : 0.38,1 : 1.00,1 : 1.00,1 : 3.00,신청없음
물리학전공,PHY1101-17,일반물리실험I,경쟁률,1 : 0.31,1 : 0.50,1 : 1.50,1 : 1.00,신청없음
물리학전공,PHY1101-18,일반물리실험I,경쟁률,1 : 0.06,신청없음,1 : 0.33,신청없음,신청없음
물리학전공,PHY1101-19,일반물리실험I,경쟁률,1 : 0.19,1 : 1.50,신청없음,신청없음,신청없음
물리학전공,PHY1101-20,일반물리실험I,경쟁률,1 : 0.25,1 : 0.50,신청없음,신청없음,1 : 0.20
물리학전공,PHY1101-21,일반물리실험I,경쟁률,1 : 0.44,1 : 2.00,1 : 2.00,1 : 1.00,신청없음
물리학전공,PHY1101-22,일반물리실험I,경쟁률,1 : 0.31,1 : 2.00,1 : 1.00,신청없음,신청없음
물리학전공,PHY1101-23,일반물리실험I,경쟁률,1 : 0.31,1 : 2.00,1 : 1.00,신청없음,신청없음
물리학전공,PHY1101-24,일반물리실험I,경쟁률,1 : 0.31,1 : 2.00,1 : 1.00,신청없음,신청없음
물리학전공,PHY1101-25,일반물리실험I,경쟁률,1 : 0.25,1 : 1.00,신청없음,1 : 1.00,신청없음
물리학전공,PHY1101-26,일반물리실험I,경쟁률,1 : 0.13,1 : 1.00,신청없음,신청없음,신청없음
물리학전공,PHY1101-27,일반물리실험I,경쟁률,1 : 0.69,1 : 4.50,1 : 1.00,신청없음,1 : 0.08
물리학전공,PHY1101-28,일반물리실험I,경쟁률,1 : 0.75,1 : 5.00,신청없음,1 : 0.50,1 : 0.08
물리학전공,PHY1101-29,일반물리실험I,경쟁률,1 : 0.25,1 : 2.00,신청없음,신청없음,신청없음
물리학전공,PHY1101-30,일반물리실험I,경쟁률,1 : 0.25,1 : 1.00,신청없음,1 : 1.00,신청없음
물리학전공,PHY2001-01,역학I,경쟁률,1 : 0.44,1 : 0.90,신청없음,1 : 0.09,쿼터없음
물리학전공,PHY2003-01,전자기학I,경쟁률,1 : 0.41,1 : 0.80,1 : 0.15,1 : 0.02,쿼터없음
물리학전공,PHY2005-01,수리물리학I,경쟁률,1 : 0.47,1 : 0.83,1 : 0.28,1 : 0.03,쿼터없음
물리학전공,PHY2101-01,실험물리학I,경쟁률,1 : 0.25,1 : 0.33,신청없음,신청없음,쿼터없음
물리학전공,PHY2101-02,실험물리학I,경쟁률,1 : 0.75,1 : 1.00,신청없음,신청없음,쿼터없음
물리학전공,PHY2101-03,실험물리학I,경쟁률,1 : 0.50,1 : 0.67,신청없음,신청없음,쿼터없음
물리학전공,PHY2101-04,실험물리학I,경쟁률,1 : 0.50,1 : 0.50,1 : 0.25,신청없음,쿼터없음
물리학전공,PHY3001-01,양자물리학I,경쟁률,1 : 0.29,신청없음,1 : 0.34,1 : 0.06,쿼터없음
물리학전공,PHY3003-01,열역학,경쟁률,1 : 0.24,1 : 0.10,1 : 0.29,1 : 0.02,쿼터없음
물리학전공,PHY3101-01,실험물리학III,경쟁률,1 : 0.64,신청없음,1 : 0.75,신청없음,쿼터없음
물리학전공,PHY3101-02,실험물리학III,경쟁률,1 : 0.64,신청없음,1 : 0.75,신청없음,쿼터없음
물리학전공,PHY3101-03,실험물리학III,경쟁률,1 : 0.36,신청없음,1 : 0.33,1 : 0.10,쿼터없음
물리학전공,PHY3501-01,물리캡스톤디자인I,경쟁률,1 : 0.17,신청없음,1 : 0.06,1 : 0.13,쿼터없음
물리학전공,PHY4001-01,고체물리학I,경쟁률,1 : 0.16,신청없음,1 : 0.06,1 : 0.12,쿼터없음
물리학전공,PHY4003-01,현대광학I,경쟁률,1 : 0.10,신청없음,1 : 0.10,1 : 0.05,쿼터없음
물리학전공,PHY4010-01,일반상대성이론,경쟁률,1 : 0.14,신청없음,1 : 0.06,1 : 0.10,쿼터없음
물리학전공,PHY4016-01,디스플레이물리,경쟁률,1 : 0.24,신청없음,1 : 0.14,1 : 0.16,쿼터없음
물리학전공,PHY4201-01,특수연구,경쟁률,1 : 0.06,쿼터없음,신청없음,1 : 0.06,쿼터없음
물리학전공,PHY4203-01,물리특허와기술이전,경쟁률,1 : 0.02,신청없음,신청없음,1 : 0.02,쿼터없음
물리학전공,PHYG001-01,고전물리I,경쟁률,1 : 0.04,쿼터없음,신청없음,1 : 0.04,쿼터없음
정치외교학전공,POL2002-01,정치학개론,경쟁률,1 : 0.29,1 : 0.56,1 : 0.24,1 : 0.09,1 : 0.02
정치외교학전공,POL2002-02,정치학개론,경쟁률,1 : 0.10,1 : 0.23,1 : 0.04,1 : 0.01,1 : 0.02
정치외교학전공,POL3061-01,한국정치사,경쟁률,1 : 0.55,1 : 0.96,1 : 0.63,1 : 0.38,1 : 0.02
정치외교학전공,POL3080-01,현대북한의정치,경쟁률,1 : 0.29,1 : 0.48,1 : 0.30,1 : 0.10,1 : 0.01
정치외교학전공,POL3081-01,남북한관계의이해,경쟁률,1 : 0.03,신청없음,1 : 0.05,1 : 0.01,신청없음
정치외교학전공,POL3090-01,정치과정의이해,경쟁률,1 : 0.10,1 : 0.15,1 : 0.09,1 : 0.03,신청없음
정치외교학전공,POL3094-01,정당과정당제,경쟁률,1 : 0.21,1 : 0.15,1 : 0.24,1 : 0.10,신청없음
정치외교학전공,POL3098-01,의회정치론,경쟁률,1 : 0.15,1 : 0.05,1 : 0.15,1 : 0.09,신청없음
정치외교학전공,POL3100-01,정치사상의이해,경쟁률,1 : 0.19,1 : 0.23,1 : 0.25,1 : 0.03,1 : 0.01
정치외교학전공,POL3108-01,근대정치사상,경쟁률,1 : 0.09,신청없음,1 : 0.09,1 : 0.06,신청없음
정치외교학전공,POL3130-01,국제정치론,경쟁률,1 : 0.63,1 : 0.76,1 : 0.94,1 : 0.52,1 : 0.01
정치외교학전공,POL3142-01,미국외교정책,경쟁률,1 : 0.17,1 : 0.23,1 : 0.15,1 : 0.07,신청없음
정치외교학전공,POL3165-01,중국정치의이해,경쟁률,1 : 0.15,1 : 0.33,1 : 0.06,1 : 0.06,1 : 0.01
정치외교학전공,POL3167-01,정치발전과저발전의정치,경쟁률,1 : 0.10,1 : 0.03,1 : 0.09,1 : 0.07,신청없음
정치외교학전공,POL3173-01,동남아정치의이해,경쟁률,1 : 0.10,신청없음,1 : 0.08,1 : 0.08,1 : 0.01
정치외교학전공,POL3188-01,행복의정치학,경쟁률,1 : 0.37,1 : 0.32,1 : 0.33,1 : 0.27,1 : 0.01
정치외교학전공,POL4067-01,한국정치경제론,경쟁률,1 : 0.04,1 : 0.05,1 : 0.01,1 : 0.03,신청없음
정치외교학전공,POL4082-01,통일한반도의미래상,경쟁률,1 : 0.27,1 : 0.44,1 : 0.24,1 : 0.11,1 : 0.01
정치외교학전공,POL4114-01,한국현대정치사상사,경쟁률,1 : 0.08,1 : 0.03,1 : 0.10,1 : 0.03,신청없음
정치외교학전공,POL4133-01,국제정치이론,경쟁률,1 : 0.44,1 : 0.25,1 : 0.51,1 : 0.32,신청없음
정치외교학전공,POL4146-01,중국의외교정책,경쟁률,1 : 0.09,1 : 0.08,1 : 0.05,1 : 0.07,신청없음
정치외교학전공,POL4147-01,국제관계특강,경쟁률,1 : 0.13,1 : 0.13,1 : 0.07,1 : 0.10,신청없음
정치외교학전공,POL4149-01,통화금융의국제정치,경쟁률,1 : 0.26,1 : 0.18,1 : 0.26,1 : 0.17,신청없음
정치외교학전공,POL4169-01,비교정치특강,경쟁률,1 : 0.11,1 : 0.10,1 : 0.08,1 : 0.06,신청없음
심리학전공,PSY2001-01,일반심리학,경쟁률,1 : 0.61,1 : 1.33,1 : 0.60,1 : 0.30,1 : 0.04
심리학전공,PSY2001-02,일반심리학,경쟁률,1 : 0.58,1 : 0.85,1 : 1.15,쿼터없음,신청없음
심리학전공,PSY2002-01,심리통계,경쟁률,1 : 0.50,1 : 0.50,1 : 0.27,1 : 0.29,쿼터없음
심리학전공,PSY2004-01,인지심리학,경쟁률,1 : 0.88,1 : 0.85,1 : 1.04,1 : 0.60,쿼터없음
심리학전공,PSY3001-01,임상심리학,경쟁률,1 : 0.74,1 : 0.70,1 : 0.70,1 : 0.52,쿼터없음
심리학전공,PSY3005-01,적응심리학,경쟁률,1 : 0.47,1 : 0.40,1 : 0.58,1 : 0.28,1 : 0.03
심리학전공,PSY3008-01,성격심리학,경쟁률,1 : 0.71,1 : 0.95,1 : 0.95,1 : 0.43,1 : 0.09
심리학전공,PSY3010-01,인사심리학,경쟁률,1 : 0.35,쿼터없음,1 : 0.45,1 : 0.13,쿼터없음
심리학전공,PSY3012-01,생리및생물심리학,경쟁률,1 : 0.48,1 : 0.83,1 : 0.70,1 : 0.20,신청없음
심리학전공,PSY3022-01,다문화심리학,경쟁률,1 : 0.49,1 : 0.63,1 : 0.47,1 : 0.36,1 : 0.02
심리학전공,PSY4005-01,집단상담,경쟁률,1 : 0.50,1 : 0.10,1 : 0.32,1 : 0.35,쿼터없음
심리학전공,PSY4007-01,진로상담,경쟁률,1 : 0.38,1 : 0.13,1 : 0.46,1 : 0.16,신청없음
심리학전공,PSY4009-01,집단행동의심리학,경쟁률,1 : 0.58,1 : 0.35,1 : 0.48,1 : 0.32,쿼터없음
심리학전공,PSY4014-01,유아및아동심리학,경쟁률,1 : 0.83,1 : 1.35,1 : 1.05,1 : 0.33,쿼터없음
심리학전공,PSY4032-01,상담면접기법,경쟁률,1 : 0.30,1 : 0.10,1 : 0.11,1 : 0.22,쿼터없음
심리학전공,PSY4036-01,발달정신병리학,경쟁률,1 : 0.54,1 : 0.60,1 : 0.42,1 : 0.32,쿼터없음
심리학전공,PSY4041-01,판단과의사결정,경쟁률,1 : 0.70,1 : 1.40,1 : 0.50,1 : 0.37,쿼터없음
공공인재연계전공,PUB2005-01,법과현대사회,경쟁률,1 : 0.49,1 : 0.80,1 : 0.46,1 : 0.33,1 : 0.02
공공인재연계전공,PUB3003-01,법치행정의이해,경쟁률,1 : 0.57,1 : 0.53,1 : 0.73,1 : 0.48,신청없음
공공인재연계전공,PUB3010-01,기업과법,경쟁률,1 : 0.11,1 : 0.06,1 : 0.08,1 : 0.08,신청없음
공공인재연계전공,PUB4001-01,국제사회와법,경쟁률,1 : 0.90,1 : 0.33,1 : 0.90,1 : 1.00,신청없음
공공인재연계전공,PUB4008-01,국제경제와법,경쟁률,1 : 0.25,1 : 0.07,1 : 0.17,1 : 0.23,신청없음
종교학전공,REL2001-01,종교의이해,경쟁률,1 : 0.06,1 : 0.10,1 : 0.03,1 : 0.04,신청없음
종교학전공,REL2002-01,세계종교입문,경쟁률,1 : 0.11,1 : 0.25,1 : 0.03,1 : 0.04,1 : 0.01
종교학전공,REL3001-01,힌두교의이해,경쟁률,1 : 0.06,1 : 0.10,1 : 0.03,1 : 0.04,신청없음
종교학전공,REL3005-01,일본종교의이해,경쟁률,1 : 0.21,1 : 0.25,1 : 0.26,1 : 0.07,신청없음
종교학전공,REL3008-01,유교의중심사상,경쟁률,1 : 0.16,1 : 0.10,1 : 0.21,1 : 0.06,신청없음
종교학전공,REL3009-01,도교의중심사상,경쟁률,1 : 0.14,1 : 0.15,1 : 0.16,1 : 0.04,신청없음
종교학전공,REL3011-01,세계민속종교,경쟁률,1 : 0.05,1 : 0.10,1 : 0.03,1 : 0.02,신청없음
종교학전공,REL3012-01,그리스도교의중심사상,경쟁률,1 : 0.03,1 : 0.05,1 : 0.03,신청없음,신청없음
종교학전공,REL3018-01,불교강독,경쟁률,1 : 0.03,1 : 0.05,신청없음,1 : 0.02,신청없음
종교학전공,REL3023-01,신화의이해,경쟁률,1 : 0.13,1 : 0.05,1 : 0.15,1 : 0.06,신청없음
종교학전공,RELG002-01,종교학사,경쟁률,1 : 0.03,신청없음,신청없음,1 : 0.03,신청없음
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,ROT4001-01,무관후보생교육I,경쟁률,1 : 0.48,쿼터없음,1 : 0.44,쿼터없음,쿼터없음
,ROT4003-01,무관후보생교육III,경쟁률,1 : 0.24,쿼터없음,쿼터없음,1 : 0.24,쿼터없음
"교양학부(사회,정외,신방,경제,법,경영,심리)",SHS2001-01,현대사회의이해,경쟁률,1 : 0.30,1 : 0.36,1 : 0.29,1 : 0.06,1 : 0.08
"교양학부(사회,정외,신방,경제,법,경영,심리)",SHS2001-02,현대사회의이해,경쟁률,1 : 0.18,1 : 0.20,1 : 0.13,1 : 0.06,1 : 0.04
"교양학부(사회,정외,신방,경제,법,경영,심리)",SHS2002-01,한국과세계,경쟁률,1 : 0.08,1 : 0.18,1 : 0.01,신청없음,1 : 0.03
"교양학부(사회,정외,신방,경제,법,경영,심리)",SHS2002-02,한국과세계,경쟁률,1 : 0.58,1 : 1.30,1 : 0.60,1 : 0.21,1 : 0.06
"교양학부(사회,정외,신방,경제,법,경영,심리)",SHS2002-03,한국과세계,경쟁률,1 : 0.32,1 : 0.55,1 : 0.31,1 : 0.11,1 : 0.02
"교양학부(사회,정외,신방,경제,법,경영,심리)",SHS2003-01,커뮤니케이션과사회,경쟁률,1 : 0.50,1 : 1.35,1 : 0.70,1 : 0.23,1 : 0.05
"교양학부(사회,정외,신방,경제,법,경영,심리)",SHS2004-01,경제와사회,경쟁률,1 : 0.36,1 : 0.63,1 : 0.29,1 : 0.28,1 : 0.06
"교양학부(사회,정외,신방,경제,법,경영,심리)",SHS2005-01,법과공학,경쟁률,1 : 0.24,1 : 0.40,1 : 0.13,1 : 0.06,1 : 0.05
"교양학부(사회,정외,신방,경제,법,경영,심리)",SHS2005-02,법과공학,경쟁률,1 : 0.73,1 : 1.47,1 : 0.65,1 : 0.48,1 : 0.07
"교양학부(사회,정외,신방,경제,법,경영,심리)",SHS2005-03,법과공학,경쟁률,1 : 0.51,1 : 0.87,1 : 0.58,1 : 0.27,1 : 0.06
"교양학부(사회,정외,신방,경제,법,경영,심리)",SHS2005-04,법과공학,경쟁률,1 : 0.95,1 : 1.70,1 : 1.10,1 : 0.60,1 : 0.26
"교양학부(사회,정외,신방,경제,법,경영,심리)",SHS2005-05,법과공학,경쟁률,1 : 1.65,1 : 2.73,1 : 1.95,1 : 2.00,1 : 0.13
"교양학부(사회,정외,신방,경제,법,경영,심리)",SHS2006-01,기업과경영의이해,경쟁률,1 : 0.30,1 : 0.35,1 : 0.21,1 : 0.20,1 : 0.02
"교양학부(사회,정외,신방,경제,법,경영,심리)",SHS2006-02,기업과경영의이해,경쟁률,1 : 0.13,1 : 0.15,1 : 0.08,1 : 0.07,신청없음
"교양학부(사회,정외,신방,경제,법,경영,심리)",SHS2007-01,생활속의심리학,경쟁률,1 : 0.47,1 : 0.71,1 : 0.25,1 : 0.23,1 : 0.18
"교양학부(사회,정외,신방,경제,법,경영,심리)",SHS2007-02,생활속의심리학,경쟁률,1 : 1.71,1 : 2.60,1 : 1.87,1 : 3.00,1 : 0.40
교양학부,SHU4001-01,북한의이해와통일후한국,경쟁률,1 : 0.26,1 : 0.15,1 : 0.22,1 : 0.18,1 : 0.01
교양학부,SHU4006-01,인권과정의,경쟁률,1 : 0.17,1 : 0.20,1 : 0.04,1 : 0.15,신청없음
교양학부,SHU4014-01,식량과사회,경쟁률,1 : 0.25,1 : 0.20,1 : 0.14,1 : 0.12,쿼터없음
교양학부,SHU4019-01,삶과교육,경쟁률,1 : 0.27,1 : 0.10,1 : 0.13,1 : 0.23,신청없음
교양학부,SHU4024-01,결혼준비특강,경쟁률,1 : 1.77,1 : 1.33,1 : 0.80,1 : 2.41,쿼터없음
교양학부,SHU4031-01,인권과교육,경쟁률,1 : 0.43,1 : 0.13,1 : 0.11,1 : 0.53,신청없음
교양학부,SHU4050-01,국제개발협력의이해,경쟁률,1 : 2.00,1 : 1.53,1 : 2.80,1 : 4.90,신청없음
교양학부,SHU4052-01,세계대전의이해,경쟁률,1 : 1.41,1 : 2.60,1 : 1.37,1 : 1.63,1 : 0.03
교양학부,SHU4053-01,정보사회의이해,경쟁률,1 : 0.28,1 : 0.20,1 : 0.04,1 : 0.32,신청없음
교양학부,SHU4054-01,자기표현의심리적이해,경쟁률,1 : 0.77,1 : 0.55,1 : 0.55,1 : 0.58,쿼터없음
교양학부,SHU4057-01,공감의시대,경쟁률,1 : 0.06,1 : 0.05,1 : 0.05,1 : 0.04,신청없음
교양학부,SHU4063-01,인간과기업가정신,경쟁률,1 : 0.22,1 : 0.07,1 : 0.13,1 : 0.21,1 : 0.01
교양학부,SHU4064-01,문제해결을위한효과적인정보탐색이란?,경쟁률,1 : 0.10,1 : 0.10,1 : 0.11,1 : 0.04,신청없음
사회학전공,SOC2001-01,사회학개론,경쟁률,1 : 0.29,1 : 0.60,1 : 0.14,1 : 0.11,1 : 0.03
사회학전공,SOC2001-02,사회학개론,경쟁률,1 : 0.29,1 : 0.45,1 : 0.29,1 : 0.12,신청없음
사회학전공,SOC2002-01,인류학개론,경쟁률,1 : 0.25,1 : 0.50,1 : 0.23,1 : 0.07,신청없음
사회학전공,SOC2003-01,사회조사방법론,경쟁률,1 : 0.45,1 : 0.55,1 : 0.52,1 : 0.29,신청없음
사회학전공,SOC2006-01,사회학사,경쟁률,1 : 0.45,1 : 0.75,1 : 0.36,1 : 0.31,1 : 0.02
사회학전공,SOC3002-01,문화이론,경쟁률,1 : 0.29,1 : 0.30,1 : 0.18,1 : 0.23,신청없음
사회학전공,SOC3017-01,예술사회학,경쟁률,1 : 0.30,1 : 0.45,1 : 0.29,1 : 0.14,신청없음
사회학전공,SOC3018-01,일상생활의사회학,경쟁률,1 : 0.20,1 : 0.25,1 : 0.14,1 : 0.12,신청없음
사회학전공,SOC3030-01,"지식,문화,권력",경쟁률,1 : 0.30,1 : 0.10,1 : 0.32,1 : 0.22,신청없음
사회학전공,SOC3031-01,과학사회학,경쟁률,1 : 0.14,1 : 0.10,1 : 0.11,1 : 0.09,신청없음
사회학전공,SOC3034-01,국제이주와초국가주의,경쟁률,1 : 0.19,1 : 0.10,1 : 0.05,1 : 0.20,신청없음
사회학전공,SOC3041-01,세계사회의형성과발전,경쟁률,1 : 0.05,신청없음,신청없음,1 : 0.07,신청없음
사회학전공,SOC3048-01,역사사회학,경쟁률,1 : 0.18,1 : 0.15,1 : 0.19,1 : 0.08,신청없음
사회학전공,SOC3054-01,정보사회학,경쟁률,1 : 0.29,1 : 0.40,1 : 0.16,1 : 0.21,신청없음
스포츠미디어연계전공,SPM3005-01,레크레이션의이론과실제,경쟁률,1 : 0.32,1 : 0.10,1 : 0.25,1 : 0.27,신청없음
스포츠미디어연계전공,SPM3006-01,스포츠경영특강,경쟁률,1 : 0.26,1 : 0.30,1 : 0.27,1 : 0.13,신청없음
스포츠미디어연계전공,SPM3007-01,스포츠사회학,경쟁률,1 : 0.06,1 : 0.10,1 : 0.04,1 : 0.03,신청없음
스포츠미디어연계전공,SPM3011-01,스포츠생리학,경쟁률,1 : 0.42,1 : 0.20,1 : 0.22,1 : 0.42,신청없음
스포츠미디어연계전공,SPM3012-01,스포츠심리학,경쟁률,1 : 0.46,1 : 0.50,1 : 0.10,1 : 0.45,1 : 0.04
스포츠미디어연계전공,SPM3014-01,스포츠소비자행동론,경쟁률,1 : 0.06,1 : 0.10,1 : 0.04,1 : 0.03,신청없음
스포츠미디어연계전공,SPM3015-01,서사적체육:스포츠와스토리텔링,경쟁률,1 : 0.26,1 : 0.11,1 : 0.24,1 : 0.18,신청없음
스포츠미디어연계전공,SPM3101-01,스쿠바다이빙,경쟁률,1 : 0.69,1 : 0.22,1 : 0.13,1 : 0.87,신청없음
스포츠미디어연계전공,SPM3101-02,스쿠바다이빙,경쟁률,1 : 0.51,1 : 0.33,1 : 0.33,1 : 0.53,신청없음
스포츠미디어연계전공,SPM3103-01,패러글라이딩,경쟁률,1 : 0.66,1 : 0.11,1 : 0.24,1 : 0.82,신청없음
스포츠미디어연계전공,SPM3106-01,체력트레이닝,경쟁률,1 : 1.34,1 : 0.89,1 : 0.70,1 : 2.67,신청없음
스포츠미디어연계전공,SPM3110-01,라켓볼,경쟁률,1 : 0.89,신청없음,1 : 0.22,1 : 1.17,신청없음
스포츠미디어연계전공,SPM3111-01,참선,경쟁률,1 : 3.75,1 : 3.00,1 : 3.20,1 : 5.80,1 : 3.00
스포츠미디어연계전공,SPM3111-02,참선,경쟁률,1 : 2.50,1 : 1.80,1 : 2.80,1 : 4.40,1 : 1.00
스포츠미디어연계전공,SPM3113-01,댄스스포츠I,경쟁률,1 : 0.37,1 : 0.33,1 : 0.13,1 : 0.32,1 : 0.04
스포츠미디어연계전공,SPM3114-01,댄스스포츠II,경쟁률,1 : 0.23,1 : 0.22,1 : 0.13,1 : 0.17,신청없음
스포츠미디어연계전공,SPM3116-01,태권도,경쟁률,1 : 0.34,1 : 0.22,1 : 0.06,1 : 0.38,신청없음
스포츠미디어연계전공,SPM3119-01,파워요가,경쟁률,1 : 0.71,1 : 0.44,1 : 0.29,1 : 0.84,1 : 0.09
스포츠미디어연계전공,SPM3120-01,댄스피트니스,경쟁률,1 : 0.37,1 : 0.22,1 : 0.31,1 : 0.30,신청없음
"교양학부(수학,생명,컴퓨터 기타)",STS2001-01,자연과인간,경쟁률,1 : 0.11,1 : 0.25,1 : 0.07,1 : 0.01,1 : 0.01
"교양학부(수학,생명,컴퓨터 기타)",STS2002-01,생명과환경,경쟁률,1 : 0.13,1 : 0.10,1 : 0.04,1 : 0.07,1 : 0.06
"교양학부(수학,생명,컴퓨터 기타)",STS2002-02,생명과환경,경쟁률,1 : 0.46,1 : 0.60,1 : 0.38,1 : 0.54,1 : 0.17
"교양학부(수학,생명,컴퓨터 기타)",STS2002-03,생명과환경,경쟁률,1 : 0.01,1 : 0.05,신청없음,신청없음,신청없음
"교양학부(수학,생명,컴퓨터 기타)",STS2002-04,생명과환경,경쟁률,1 : 0.21,1 : 0.45,1 : 0.13,1 : 0.11,1 : 0.04
"교양학부(수학,생명,컴퓨터 기타)",STS2004-01,대학수학,경쟁률,1 : 0.88,1 : 5.00,1 : 3.00,1 : 3.00,1 : 0.26
"교양학부(수학,생명,컴퓨터 기타)",STS2004-02,대학수학,경쟁률,1 : 0.15,1 : 0.80,1 : 0.75,신청없음,1 : 0.04
"교양학부(수학,생명,컴퓨터 기타)",STS2004-03,대학수학,경쟁률,1 : 0.13,1 : 1.00,신청없음,1 : 0.40,1 : 0.02
"교양학부(수학,생명,컴퓨터 기타)",STS2004-04,대학수학,경쟁률,1 : 0.27,1 : 1.40,1 : 1.67,1 : 1.50,1 : 0.02
"교양학부(수학,생명,컴퓨터 기타)",STS2004-05,대학수학,경쟁률,1 : 0.08,1 : 0.20,1 : 0.14,1 : 0.13,1 : 0.04
"교양학부(수학,생명,컴퓨터 기타)",STS2004-06,대학수학,경쟁률,1 : 0.10,1 : 0.60,1 : 0.20,1 : 0.33,신청없음
"교양학부(수학,생명,컴퓨터 기타)",STS2004-07,대학수학,경쟁률,1 : 0.50,1 : 4.40,1 : 0.33,1 : 0.75,1 : 0.08
"교양학부(수학,생명,컴퓨터 기타)",STS2004-08,대학수학,경쟁률,1 : 0.25,1 : 0.80,1 : 0.50,1 : 0.25,1 : 0.15
"교양학부(수학,생명,컴퓨터 기타)",STS2004-09,대학수학,경쟁률,1 : 0.17,1 : 1.40,1 : 0.33,신청없음,1 : 0.04
"교양학부(수학,생명,컴퓨터 기타)",STS2004-10,대학수학,경쟁률,1 : 0.05,1 : 0.40,1 : 0.17,신청없음,신청없음
"교양학부(수학,생명,컴퓨터 기타)",STS2004-11,대학수학,경쟁률,1 : 0.87,1 : 6.20,1 : 1.00,1 : 3.00,1 : 0.24
"교양학부(수학,생명,컴퓨터 기타)",STS2004-12,대학수학,경쟁률,1 : 0.08,1 : 0.20,1 : 0.43,신청없음,1 : 0.02
"교양학부(수학,생명,컴퓨터 기타)",STS2005-01,미적분학I,경쟁률,1 : 0.02,신청없음,신청없음,신청없음,1 : 0.02
"교양학부(수학,생명,컴퓨터 기타)",STS2005-02,미적분학I,경쟁률,1 : 0.25,1 : 1.80,1 : 1.00,1 : 0.50,1 : 0.04
"교양학부(수학,생명,컴퓨터 기타)",STS2005-04,미적분학I,경쟁률,1 : 0.12,1 : 0.40,1 : 0.33,1 : 0.33,1 : 0.02
"교양학부(수학,생명,컴퓨터 기타)",STS2005-05,미적분학I,경쟁률,1 : 0.28,1 : 1.80,1 : 1.33,1 : 1.00,1 : 0.04
"교양학부(수학,생명,컴퓨터 기타)",STS2005-06,미적분학I,경쟁률,1 : 0.67,1 : 5.80,1 : 2.67,1 : 0.50,1 : 0.04
"교양학부(수학,생명,컴퓨터 기타)",STS2005-07,미적분학I,경쟁률,1 : 0.13,1 : 1.40,1 : 0.33,신청없음,신청없음
"교양학부(수학,생명,컴퓨터 기타)",STS2005-08,미적분학I,경쟁률,1 : 0.15,1 : 1.20,1 : 1.00,신청없음,신청없음
"교양학부(수학,생명,컴퓨터 기타)",STS2005-09,미적분학I,경쟁률,1 : 0.60,1 : 3.60,1 : 3.67,1 : 1.50,1 : 0.08
"교양학부(수학,생명,컴퓨터 기타)",STS2005-10,미적분학I,경쟁률,1 : 0.08,1 : 1.00,신청없음,신청없음,신청없음
"교양학부(수학,생명,컴퓨터 기타)",STS2005-11,미적분학I,경쟁률,1 : 0.10,1 : 1.20,신청없음,신청없음,신청없음
"교양학부(수학,생명,컴퓨터 기타)",STS2005-12,미적분학I,경쟁률,1 : 0.32,1 : 2.20,1 : 1.33,1 : 0.50,1 : 0.06
"교양학부(수학,생명,컴퓨터 기타)",STS2005-13,미적분학I,경쟁률,1 : 0.53,1 : 5.00,1 : 1.33,신청없음,1 : 0.06
"교양학부(수학,생명,컴퓨터 기타)",STS2008-01,고급응용C프로그래밍,경쟁률,1 : 1.10,1 : 1.10,1 : 2.00,1 : 1.10,1 : 0.20
"교양학부(수학,생명,컴퓨터 기타)",STS2008-02,고급응용C프로그래밍,경쟁률,1 : 0.90,1 : 1.30,1 : 1.20,1 : 1.10,신청없음
"교양학부(수학,생명,컴퓨터 기타)",STS2008-03,고급응용C프로그래밍,경쟁률,1 : 0.51,1 : 0.48,쿼터없음,쿼터없음,쿼터없음
"교양학부(수학,생명,컴퓨터 기타)",STS2008-04,고급응용C프로그래밍,경쟁률,1 : 0.51,1 : 0.48,쿼터없음,쿼터없음,쿼터없음
"교양학부(수학,생명,컴퓨터 기타)",STS2010-01,과학사,경쟁률,1 : 0.26,1 : 0.30,1 : 0.26,1 : 0.13,신청없음
"교양학부(수학,생명,컴퓨터 기타)",STS2010-02,과학사,경쟁률,1 : 0.28,1 : 0.35,1 : 0.39,1 : 0.03,1 : 0.02
"교양학부(수학,생명,컴퓨터 기타)",STS2011-01,고급응용소프트웨어프로그래밍,경쟁률,1 : 0.05,1 : 0.05,쿼터없음,쿼터없음,쿼터없음
"교양학부(수학,생명,컴퓨터 기타)",STS2011-02,고급응용소프트웨어프로그래밍,경쟁률,1 : 0.06,1 : 0.05,쿼터없음,쿼터없음,쿼터없음
교양학부,STU4003-01,인간과환경,경쟁률,1 : 0.11,1 : 0.15,1 : 0.16,신청없음,신청없음
