개설전공 ,입력코드,과목명,구분,전체,1학년,2학년,3학년,4학년
사회학전공,SOC2001-03,사회학개론,경쟁률,1 : 1.45,1 : 1.95,1 : 1.80,1 : 1.15,1 : 0.90
사회학전공,SOC2002-01,인류학개론,경쟁률,1 : 0.19,1 : 0.35,1 : 0.06,1 : 0.02,1 : 0.07
사회학전공,SOC2004-01,사회통계학,경쟁률,1 : 0.40,1 : 0.10,1 : 0.42,1 : 0.10,1 : 0.17
사회학전공,SOC2007-01,이론과사회:현대에서포스트모던이론까지,경쟁률,1 : 0.41,1 : 0.20,1 : 0.33,1 : 0.14,1 : 0.19
사회학전공,SOC3006-01,사회변동론,경쟁률,1 : 0.18,1 : 0.05,1 : 0.15,1 : 0.06,1 : 0.06
사회학전공,SOC3013-01,현대가족연구,경쟁률,1 : 0.06,신청없음,1 : 0.05,신청없음,1 : 0.04
사회학전공,SOC3023-01,환경사회학,경쟁률,1 : 0.23,1 : 0.30,1 : 0.24,신청없음,1 : 0.06
사회학전공,SOC3024-01,정치사회학,경쟁률,1 : 0.24,1 : 0.05,1 : 0.23,1 : 0.06,1 : 0.09
사회학전공,SOC3033-01,이미지와상상력의사회학,경쟁률,1 : 0.25,1 : 0.25,1 : 0.20,1 : 0.04,1 : 0.09
사회학전공,SOC3038-01,사회적행위와문화,경쟁률,1 : 0.14,1 : 0.15,1 : 0.16,신청없음,1 : 0.03
사회학전공,SOC3040-01,"다문화,시민,국가",경쟁률,1 : 0.20,신청없음,1 : 0.05,1 : 0.09,1 : 0.12
사회학전공,SOC3047-01,한국사회사,경쟁률,1 : 0.44,1 : 0.10,1 : 0.24,1 : 0.20,1 : 0.24
사회학전공,SOC3053-01,사회학과기업현장의만남,경쟁률,1 : 0.64,1 : 0.45,1 : 0.35,1 : 0.20,1 : 0.44
사회학전공,SOCG009-01,연구방법실습(종합설계),경쟁률,1 : 0.27,쿼터없음,1 : 0.20,1 : 0.11,1 : 0.15
스포츠미디어연계전공,SPM3001-01,운동처방,경쟁률,1 : 1.10,1 : 0.30,1 : 0.59,1 : 0.64,1 : 1.22
스포츠미디어연계전공,SPM3007-01,스포츠사회학,경쟁률,1 : 0.02,신청없음,신청없음,1 : 0.03,신청없음
스포츠미디어연계전공,SPM3008-01,스포츠커뮤니케이션,경쟁률,1 : 0.04,1 : 0.10,신청없음,신청없음,1 : 0.02
스포츠미디어연계전공,SPM3009-01,스포츠마케팅,경쟁률,1 : 0.70,1 : 0.80,1 : 0.83,1 : 0.35,1 : 0.42
스포츠미디어연계전공,SPM3012-01,스포츠심리학,경쟁률,1 : 0.38,1 : 0.60,1 : 0.21,1 : 0.12,1 : 0.18
스포츠미디어연계전공,SPM3013-01,스포츠정치철학,경쟁률,1 : 0.12,1 : 0.10,1 : 0.11,1 : 0.06,1 : 0.02
스포츠미디어연계전공,SPM3015-01,서사적체육:스포츠와스토리텔링,경쟁률,1 : 0.31,신청없음,1 : 0.18,신청없음,1 : 0.25
스포츠미디어연계전공,SPM3101-01,스쿠바다이빙,경쟁률,1 : 0.47,쿼터없음,쿼터없음,1 : 0.07,1 : 0.45
스포츠미디어연계전공,SPM3101-02,스쿠바다이빙,경쟁률,1 : 1.10,쿼터없음,쿼터없음,1 : 0.33,1 : 1.08
스포츠미디어연계전공,SPM3106-01,체력트레이닝,경쟁률,1 : 1.03,1 : 0.38,1 : 0.43,1 : 0.41,1 : 1.05
스포츠미디어연계전공,SPM3108-01,호신술I,경쟁률,1 : 1.23,1 : 0.38,1 : 0.71,1 : 0.62,1 : 1.57
스포츠미디어연계전공,SPM3110-01,라켓볼,경쟁률,1 : 1.31,신청없음,1 : 0.29,1 : 0.24,1 : 1.44
스포츠미디어연계전공,SPM3111-01,참선,경쟁률,1 : 1.57,1 : 1.25,1 : 1.44,1 : 0.78,1 : 2.27
스포츠미디어연계전공,SPM3111-02,참선,경쟁률,1 : 4.06,1 : 1.00,1 : 3.33,1 : 2.89,1 : 8.67
스포츠미디어연계전공,SPM3113-01,댄스스포츠I,경쟁률,1 : 0.43,1 : 0.13,신청없음,1 : 0.04,1 : 0.39
스포츠미디어연계전공,SPM3114-01,댄스스포츠II,경쟁률,1 : 0.63,1 : 0.25,1 : 0.27,1 : 0.15,1 : 0.50
스포츠미디어연계전공,SPM3115-01,암벽등반,경쟁률,1 : 4.40,1 : 1.13,1 : 2.00,1 : 3.67,1 : 10.44
스포츠미디어연계전공,SPM3119-01,파워요가,경쟁률,1 : 1.63,1 : 0.13,1 : 0.63,1 : 0.53,1 : 2.38
"교양학부(수학,생명,컴퓨터 기타)",STS2002-01,생명과환경,경쟁률,1 : 0.48,1 : 0.53,1 : 0.10,1 : 0.04,1 : 0.13
"교양학부(수학,생명,컴퓨터 기타)",STS2002-02,생명과환경,경쟁률,1 : 0.20,1 : 0.28,1 : 0.01,1 : 0.01,1 : 0.01
"교양학부(수학,생명,컴퓨터 기타)",STS2004-01,대학수학,경쟁률,1 : 1.35,1 : 1.25,1 : 2.00,1 : 0.67,1 : 2.33
"교양학부(수학,생명,컴퓨터 기타)",STS2004-02,대학수학,경쟁률,1 : 1.23,1 : 0.93,1 : 1.78,1 : 3.33,1 : 1.50
"교양학부(수학,생명,컴퓨터 기타)",STS2004-03,대학수학,경쟁률,1 : 0.34,1 : 0.18,1 : 0.20,1 : 0.05,신청없음
"교양학부(수학,생명,컴퓨터 기타)",STS2004-04,대학수학,경쟁률,1 : 0.18,1 : 0.09,1 : 0.05,1 : 0.04,1 : 0.04
"교양학부(수학,생명,컴퓨터 기타)",STS2004-05,대학수학,경쟁률,1 : 0.28,1 : 0.24,1 : 0.06,신청없음,1 : 0.04
"교양학부(수학,생명,컴퓨터 기타)",STS2004-06,대학수학,경쟁률,1 : 2.18,1 : 2.00,1 : 3.00,1 : 4.00,1 : 2.50
"교양학부(수학,생명,컴퓨터 기타)",STS2004-07,대학수학,경쟁률,1 : 0.22,1 : 0.18,1 : 0.04,1 : 0.04,신청없음
"교양학부(수학,생명,컴퓨터 기타)",STS2006-01,미적분학II,경쟁률,1 : 0.12,1 : 0.10,1 : 0.02,1 : 0.02,신청없음
"교양학부(수학,생명,컴퓨터 기타)",STS2006-02,미적분학II,경쟁률,1 : 0.11,1 : 0.09,1 : 0.02,신청없음,1 : 0.02
"교양학부(수학,생명,컴퓨터 기타)",STS2006-03,미적분학II,경쟁률,1 : 0.49,1 : 0.49,1 : 0.09,1 : 0.03,1 : 0.03
"교양학부(수학,생명,컴퓨터 기타)",STS2006-04,미적분학II,경쟁률,1 : 0.62,1 : 0.49,1 : 0.21,1 : 0.10,1 : 0.11
"교양학부(수학,생명,컴퓨터 기타)",STS2006-05,미적분학II,경쟁률,1 : 2.91,1 : 2.82,1 : 4.60,1 : 2.00,1 : 2.50
"교양학부(수학,생명,컴퓨터 기타)",STS2006-06,미적분학II,경쟁률,1 : 2.08,1 : 1.89,1 : 4.60,1 : 1.67,1 : 1.50
"교양학부(수학,생명,컴퓨터 기타)",STS2006-07,미적분학II,경쟁률,1 : 0.48,1 : 0.40,1 : 0.16,1 : 0.09,신청없음
"교양학부(수학,생명,컴퓨터 기타)",STS2006-08,미적분학II,경쟁률,1 : 1.22,1 : 1.04,1 : 1.80,1 : 3.33,1 : 1.50
"교양학부(수학,생명,컴퓨터 기타)",STS2006-09,미적분학II,경쟁률,1 : 0.11,1 : 0.07,1 : 0.05,신청없음,신청없음
"교양학부(수학,생명,컴퓨터 기타)",STS2006-10,미적분학II,경쟁률,1 : 0.91,1 : 0.76,1 : 0.72,1 : 0.38,1 : 0.14
"교양학부(수학,생명,컴퓨터 기타)",STS2006-11,미적분학II,경쟁률,1 : 0.35,1 : 0.25,1 : 0.09,1 : 0.09,1 : 0.02
"교양학부(수학,생명,컴퓨터 기타)",STS2006-12,미적분학II,경쟁률,1 : 0.68,1 : 0.58,1 : 0.32,1 : 0.05,1 : 0.09
"교양학부(수학,생명,컴퓨터 기타)",STS2008-01,C언어,경쟁률,1 : 4.80,1 : 8.00,1 : 5.71,1 : 4.25,1 : 2.44
"교양학부(수학,생명,컴퓨터 기타)",STS2008-02,C언어,경쟁률,1 : 1.90,1 : 3.00,1 : 3.14,1 : 1.50,1 : 0.56
"교양학부(수학,생명,컴퓨터 기타)",STS2008-03,C언어,경쟁률,1 : 2.00,1 : 2.33,1 : 4.00,1 : 1.13,1 : 1.00
"교양학부(수학,생명,컴퓨터 기타)",STS2008-04,C언어,경쟁률,1 : 2.40,1 : 1.67,1 : 3.86,1 : 2.38,1 : 1.78
"교양학부(수학,생명,컴퓨터 기타)",STS2010-01,과학사,경쟁률,1 : 0.15,1 : 0.20,1 : 0.03,1 : 0.11,1 : 0.01
"교양학부(수학,생명,컴퓨터 기타)",STS2010-02,과학사,경쟁률,1 : 0.61,1 : 0.85,1 : 0.74,1 : 0.38,1 : 0.14
교양학부,STU4007-01,지구과학,경쟁률,1 : 0.53,1 : 0.30,1 : 0.41,1 : 0.20,1 : 0.27
교양학부,STU4010-01,건강과한의학,경쟁률,1 : 0.63,1 : 0.30,1 : 0.51,1 : 0.29,1 : 0.42
교양학부,STU4012-01,물리학의세계,경쟁률,1 : 0.11,쿼터없음,1 : 0.13,신청없음,1 : 0.06
교양학부,STU4017-01,건강과의·약학,경쟁률,1 : 0.26,쿼터없음,1 : 0.24,1 : 0.14,1 : 0.13
교양학부,STU4020-01,수학과문화,경쟁률,1 : 0.10,신청없음,1 : 0.15,신청없음,1 : 0.03
교양학부,STU4022-01,현대과학과동양사상,경쟁률,1 : 0.02,신청없음,신청없음,신청없음,1 : 0.02
교양학부,STU4023-01,우주와인생,경쟁률,1 : 0.04,쿼터없음,신청없음,신청없음,1 : 0.04
스타트업연계전공,SUA2003-01,창의적문제해결과신제품개발(스타트업),경쟁률,1 : 0.28,신청없음,1 : 0.50,1 : 0.15,1 : 0.09
스타트업연계전공,SUA2005-01,실전스타트업(캐쉬클래스),경쟁률,1 : 0.33,1 : 0.20,1 : 0.56,1 : 0.05,1 : 0.18
스타트업연계전공,SUA4003-01,벤처창업과투자유치실습,경쟁률,1 : 0.10,신청없음,1 : 0.10,신청없음,1 : 0.08
스타트업연계전공,SUA4009-01,스타트업마케팅실습,경쟁률,1 : 0.33,신청없음,1 : 0.40,1 : 0.14,1 : 0.18
스타트업연계전공,SUA4010-01,스타트업사업운영실습,경쟁률,1 : 0.10,신청없음,신청없음,1 : 0.04,1 : 0.08
스타트업연계전공,SUA4011-01,스타트업을위한온라인협업모델링,경쟁률,1 : 0.15,1 : 0.20,신청없음,1 : 0.04,1 : 0.11
교양학부(사고와언어표현의탐구),TLS1001-01,독서와토론,경쟁률,1 : 0.07,1 : 0.13,신청없음,신청없음,신청없음
교양학부(사고와언어표현의탐구),TLS1001-02,독서와토론,경쟁률,1 : 0.17,1 : 0.33,신청없음,신청없음,신청없음
교양학부(사고와언어표현의탐구),TLS1002-01,비평적글쓰기연습,경쟁률,1 : 0.77,1 : 0.73,1 : 0.89,1 : 0.33,1 : 0.22
교양학부(사고와언어표현의탐구),TLS1002-02,비평적글쓰기연습,경쟁률,1 : 0.30,1 : 0.27,1 : 0.06,1 : 0.20,신청없음
교양학부(사고와언어표현의탐구),TLS1002-03,비평적글쓰기연습,경쟁률,1 : 0.27,1 : 0.33,1 : 0.07,1 : 0.11,신청없음
교양학부(사고와언어표현의탐구),TLS1002-04,비평적글쓰기연습,경쟁률,1 : 1.83,1 : 2.53,1 : 2.20,1 : 0.60,1 : 0.43
교양학부(사고와언어표현의탐구),TLS1002-05,비평적글쓰기연습,경쟁률,1 : 0.90,1 : 0.53,1 : 0.67,1 : 0.33,1 : 0.73
교양학부(사고와언어표현의탐구),TLS1002-06,비평적글쓰기연습,경쟁률,1 : 0.87,1 : 1.07,1 : 1.40,신청없음,1 : 0.30
교양학부(사고와언어표현의탐구),TLS1002-07,비평적글쓰기연습,경쟁률,1 : 0.37,1 : 0.20,1 : 0.29,1 : 0.12,1 : 0.05
교양학부(사고와언어표현의탐구),TLS1003-01,스토리텔링글쓰기연습,경쟁률,1 : 0.47,1 : 0.67,1 : 0.30,1 : 0.08,신청없음
교양학부(사고와언어표현의탐구),TLS1003-02,스토리텔링글쓰기연습,경쟁률,1 : 0.37,1 : 0.53,1 : 0.08,1 : 0.06,1 : 0.05
교양학부(사고와언어표현의탐구),TLS1003-03,스토리텔링글쓰기연습,경쟁률,1 : 0.63,1 : 1.27,신청없음,신청없음,신청없음
교양학부(사고와언어표현의탐구),TLS1004-01,글로벌의사소통II,경쟁률,1 : 0.31,1 : 0.83,신청없음,1 : 0.07,1 : 0.10
교양학부(사고와언어표현의탐구),TLS1004-02,글로벌의사소통II,경쟁률,1 : 0.23,1 : 0.17,1 : 0.18,1 : 0.13,1 : 0.05
교양학부(사고와언어표현의탐구),TLS1004-03,글로벌의사소통II,경쟁률,1 : 0.85,1 : 2.50,1 : 0.67,1 : 0.22,1 : 0.07
교양학부(사고와언어표현의탐구),TLS1004-04,글로벌의사소통II,경쟁률,1 : 1.88,1 : 5.33,1 : 1.17,1 : 0.43,1 : 0.64
교양학부(사고와언어표현의탐구),TLS1004-05,글로벌의사소통II,경쟁률,1 : 1.58,1 : 5.83,1 : 0.67,1 : 0.11,1 : 0.07
교양학부(사고와언어표현의탐구),TLS1004-06,글로벌의사소통II,경쟁률,1 : 1.58,1 : 3.00,1 : 1.17,1 : 0.71,1 : 1.22
교양학부(사고와언어표현의탐구),TLS1004-07,글로벌의사소통II,경쟁률,1 : 0.58,1 : 1.83,1 : 0.50,1 : 0.10,신청없음
교양학부(사고와언어표현의탐구),TLS1004-08,글로벌의사소통II,경쟁률,1 : 0.69,1 : 1.67,1 : 0.67,1 : 0.11,1 : 0.20
교양학부(사고와언어표현의탐구),TLS1004-09,글로벌의사소통II,경쟁률,1 : 0.73,1 : 0.83,1 : 1.29,1 : 0.14,1 : 0.31
교양학부(사고와언어표현의탐구),TLS1004-10,글로벌의사소통II,경쟁률,1 : 1.58,1 : 5.33,1 : 0.83,1 : 0.13,1 : 0.21
교양학부(사고와언어표현의탐구),TLS1004-11,글로벌의사소통II,경쟁률,1 : 0.81,1 : 1.83,1 : 0.67,1 : 0.11,1 : 0.33
교양학부(사고와언어표현의탐구),TLS1004-12,글로벌의사소통II,경쟁률,1 : 0.62,1 : 1.83,1 : 0.50,1 : 0.10,1 : 0.06
교양학부(사고와언어표현의탐구),TLS1004-13,글로벌의사소통II,경쟁률,1 : 0.62,1 : 2.00,1 : 0.17,1 : 0.08,1 : 0.11
교양학부(사고와언어표현의탐구),TLS1004-14,글로벌의사소통II,경쟁률,1 : 0.23,1 : 0.83,1 : 0.14,신청없음,신청없음
교양학부(사고와언어표현의탐구),TLS1004-15,글로벌의사소통II,경쟁률,1 : 0.88,1 : 1.33,1 : 1.00,1 : 0.71,1 : 0.44
교양학부(사고와언어표현의탐구),TLS1004-16,글로벌의사소통II,경쟁률,1 : 0.69,1 : 1.67,1 : 0.83,1 : 0.25,1 : 0.08
교양학부(사고와언어표현의탐구),TLS1004-17,글로벌의사소통II,경쟁률,1 : 0.42,1 : 1.17,1 : 0.17,1 : 0.08,1 : 0.11
교양학부(사고와언어표현의탐구),TLS1005-01,영어읽기와토론연습,경쟁률,1 : 1.50,1 : 2.50,1 : 1.83,1 : 0.86,1 : 0.88
교양학부(사고와언어표현의탐구),TLS1006-01,실용영어와발표연습,경쟁률,1 : 0.46,1 : 0.33,1 : 0.20,1 : 0.07,1 : 0.33
교양학부(사고와언어표현의탐구),TLS1006-02,실용영어와발표연습,경쟁률,1 : 0.88,1 : 1.00,1 : 0.50,1 : 0.40,1 : 0.77
