전공,입력코드,과목명,구분,1학년,2학년,3학년,4학년
교육문화연계전공,EDU3037-01,생활지도및상담,경쟁률,신청없음,1 : 0.40,1 : 0.29,1 : 0.29
교육문화연계전공,EDU3045-01,특수교육학개론,경쟁률,신청없음,신청없음,1 : 0.25,1 : 0.18
교육문화연계전공,EDU3046-01,교직실무,경쟁률,쿼터없음,쿼터없음,1 : 0.32,1 : 0.60
교육문화연계전공,EDUF981-01,외국어교과교육론,경쟁률,쿼터없음,신청없음,1 : 0.50,1 : 0.30
교육문화연계전공,EDUF983-01,외국어교과교재연구및지도법,경쟁률,쿼터없음,신청없음,1 : 0.30,1 : 0.17
교육문화연계전공,EDUS982-01,과학교과논리및논술,경쟁률,쿼터없음,신청없음,1 : 0.05,1 : 0.03
교육문화연계전공,EDUS983-01,과학교과교재연구및지도,경쟁률,쿼터없음,신청없음,1 : 0.05,1 : 0.07
전자공학전공,EEE1002-01,C언어기초,경쟁률,1 : 0.24,1 : 0.05,신청없음,1 : 0.08
전자공학전공,EEE1002-02,C언어기초,경쟁률,1 : 1.14,1 : 3.00,1 : 2.00,1 : 0.33
전자공학전공,EEE1002-03,C언어기초,경쟁률,1 : 0.67,1 : 0.20,신청없음,신청없음
전자공학전공,EEE1002-04,C언어기초,경쟁률,1 : 0.52,1 : 0.46,1 : 0.10,1 : 0.17
전자공학전공,EEE2011-01,전자공학세미나I,경쟁률,쿼터없음,1 : 0.04,1 : 0.20,쿼터없음
전자공학전공,EEE2041-01,기초공학프로그래밍,경쟁률,쿼터없음,쿼터없음,신청없음,신청없음
전자공학전공,EEE2052-01,디지털논리회로실험,경쟁률,쿼터없음,1 : 0.55,1 : 0.17,쿼터없음
전자공학전공,EEE2052-02,디지털논리회로실험,경쟁률,쿼터없음,1 : 0.86,1 : 0.60,쿼터없음
전자공학전공,EEE2052-03,디지털논리회로실험,경쟁률,쿼터없음,1 : 0.95,1 : 0.67,쿼터없음
전자공학전공,EEE2052-04,디지털논리회로실험,경쟁률,쿼터없음,1 : 0.68,1 : 0.33,쿼터없음
전자공학전공,EEE2052-05,디지털논리회로실험,경쟁률,쿼터없음,1 : 0.55,1 : 0.33,쿼터없음
전자공학전공,EEE2102-01,전자장론II,경쟁률,쿼터없음,1 : 0.50,1 : 0.28,1 : 0.06
전자공학전공,EEE2104-01,고급공학수학II,경쟁률,쿼터없음,1 : 0.40,1 : 0.20,1 : 0.02
전자공학전공,EEE2104-02,고급공학수학II,경쟁률,쿼터없음,1 : 0.72,1 : 0.17,1 : 0.17
전자공학전공,EEE2108-01,공학프로그래밍,경쟁률,쿼터없음,1 : 0.24,1 : 0.14,1 : 0.10
전자공학전공,EEE2108-02,공학프로그래밍,경쟁률,쿼터없음,1 : 0.80,1 : 0.47,1 : 0.15
전자공학전공,EEE2108-03,공학프로그래밍,경쟁률,쿼터없음,1 : 0.88,1 : 1.13,1 : 1.00
전자공학전공,EEE2111-01,기초회로이론,경쟁률,1 : 0.35,1 : 0.14,1 : 0.02,신청없음
전자공학전공,EEE2111-02,기초회로이론,경쟁률,1 : 0.48,1 : 0.61,1 : 0.09,1 : 0.07
전자공학전공,EEE2111-03,기초회로이론,경쟁률,1 : 0.35,1 : 0.25,1 : 0.05,1 : 0.02
전자공학전공,EEE2120-01,물리전자공학I,경쟁률,쿼터없음,1 : 0.48,1 : 0.08,1 : 0.02
전자공학전공,EEE2120-02,물리전자공학I,경쟁률,쿼터없음,1 : 0.67,1 : 0.25,1 : 0.06
전자공학전공,EEE2153-01,신호및시스템,경쟁률,쿼터없음,1 : 0.42,1 : 0.24,1 : 0.04
전자공학전공,EEE2153-02,신호및시스템,경쟁률,쿼터없음,1 : 0.60,1 : 0.21,1 : 0.05
전자공학전공,EEE3132-01,전자회로II,경쟁률,쿼터없음,쿼터없음,1 : 0.55,1 : 0.06
전자공학전공,EEE3132-02,전자회로II,경쟁률,쿼터없음,쿼터없음,1 : 0.20,1 : 0.06
전자공학전공,EEE3142-01,디지털제어,경쟁률,쿼터없음,쿼터없음,1 : 0.17,1 : 0.06
전자공학전공,EEE3146-01,반도체공학I,경쟁률,쿼터없음,쿼터없음,1 : 0.47,1 : 0.18
전자공학전공,EEE3149-01,디지털통신,경쟁률,쿼터없음,쿼터없음,1 : 0.44,1 : 0.11
전자공학전공,EEE3149-02,디지털통신,경쟁률,쿼터없음,쿼터없음,1 : 0.38,1 : 0.05
전자공학전공,EEE3163-01,고급디지털회로설계,경쟁률,쿼터없음,쿼터없음,1 : 0.49,1 : 0.18
전자공학전공,EEE3178-01,컴퓨터아키텍쳐,경쟁률,쿼터없음,쿼터없음,1 : 0.30,1 : 0.08
전자공학전공,EEE3182-01,고급전자회로실험,경쟁률,쿼터없음,쿼터없음,1 : 0.58,1 : 0.21
전자공학전공,EEE3182-02,고급전자회로실험,경쟁률,쿼터없음,쿼터없음,1 : 0.58,1 : 0.14
전자공학전공,EEE3182-03,고급전자회로실험,경쟁률,쿼터없음,쿼터없음,1 : 1.00,1 : 3.00
전자공학전공,EEE3182-04,고급전자회로실험,경쟁률,쿼터없음,쿼터없음,1 : 0.21,신청없음
전자공학전공,EEE3182-05,고급전자회로실험,경쟁률,쿼터없음,쿼터없음,1 : 0.21,1 : 0.17
전자공학전공,EEE4125-01,광전자공학,경쟁률,쿼터없음,쿼터없음,쿼터없음,1 : 0.28
전자공학전공,EEE4161-01,인터넷통신망,경쟁률,쿼터없음,쿼터없음,쿼터없음,1 : 0.23
전자공학전공,EEE4168-01,마이크로프로세서시스템설계,경쟁률,쿼터없음,쿼터없음,쿼터없음,1 : 0.13
전자공학전공,EEE4169-01,VLSI시스템설계,경쟁률,쿼터없음,쿼터없음,쿼터없음,1 : 0.43
전자공학전공,EEE4185-01,디자인프로젝트(종합설계),경쟁률,쿼터없음,쿼터없음,쿼터없음,1 : 0.27
전자공학전공,EEEG274-01,휴대폰설계기술(캡스톤디자인),경쟁률,쿼터없음,쿼터없음,쿼터없음,1 : 0.17
영미어문전공,ENG2001-01,영문학개론,경쟁률,1 : 0.52,1 : 0.09,1 : 0.23,1 : 0.04
영미어문전공,ENG2003-01,언어학개론,경쟁률,1 : 0.62,1 : 0.36,1 : 0.11,1 : 0.01
영미어문전공,ENG2003-02,언어학개론,경쟁률,1 : 0.20,1 : 0.22,1 : 0.13,1 : 0.03
영미어문전공,ENG2004-01,현대영미문학,경쟁률,쿼터없음,1 : 0.08,1 : 0.11,1 : 0.11
영미어문전공,ENG2005-01,영국문화사,경쟁률,신청없음,1 : 0.48,1 : 0.46,1 : 0.52
영미어문전공,ENG2009-01,영미단편소설,경쟁률,신청없음,1 : 0.10,1 : 0.14,1 : 0.24
영미어문전공,ENG2101-01,영문학작문,경쟁률,1 : 1.60,1 : 0.10,쿼터없음,쿼터없음
영미어문전공,ENG2101-02,영문학작문,경쟁률,1 : 0.70,1 : 0.23,쿼터없음,쿼터없음
영미어문전공,ENG2101-03,영문학작문,경쟁률,쿼터없음,쿼터없음,1 : 0.90,1 : 0.36
영미어문전공,ENG2103-01,작문과수사학,경쟁률,쿼터없음,1 : 0.20,1 : 0.17,쿼터없음
영미어문전공,ENG2104-01,실용영문법,경쟁률,1 : 0.40,1 : 1.10,1 : 0.60,1 : 0.63
영미어문전공,ENG3001-01,초서연구,경쟁률,신청없음,1 : 0.24,1 : 0.24,1 : 0.08
영미어문전공,ENG3004-01,셰익스피어,경쟁률,쿼터없음,1 : 0.50,1 : 0.36,1 : 0.19
영미어문전공,ENG3010-01,빅토리아시대의소설,경쟁률,쿼터없음,1 : 0.80,1 : 0.50,1 : 0.33
영미어문전공,ENG3012-01,초기및19세기미국소설,경쟁률,쿼터없음,1 : 0.60,1 : 0.21,1 : 0.24
영미어문전공,ENG3103-01,현대영국희곡,경쟁률,신청없음,1 : 0.13,1 : 0.17,1 : 0.21
영미어문전공,ENG3104-01,현대영국소설,경쟁률,신청없음,1 : 0.48,1 : 0.61,1 : 1.29
영미어문전공,ENG3203-01,식민주의및탈식민주의문학,경쟁률,신청없음,1 : 0.04,신청없음,1 : 0.04
영미어문전공,ENG3204-01,모더니즘과포스트모더니즘,경쟁률,1 : 0.30,1 : 0.47,1 : 0.29,1 : 0.16
영미어문전공,ENG3207-01,영어권대중문학,경쟁률,신청없음,1 : 0.20,1 : 0.26,1 : 0.17
영미어문전공,ENG3216-01,영문학특강,경쟁률,쿼터없음,1 : 0.30,1 : 0.14,1 : 0.10
영미어문전공,ENG3217-01,정신분석학과문학,경쟁률,1 : 0.20,1 : 0.05,1 : 0.18,1 : 0.24
영미어문전공,ENG3222-01,소설의기원과발달,경쟁률,쿼터없음,1 : 0.28,1 : 0.09,1 : 0.10
영미어문전공,ENG3303-01,영어사,경쟁률,신청없음,1 : 0.55,1 : 0.21,1 : 0.10
영미어문전공,ENG3304-01,영어음운론,경쟁률,쿼터없음,1 : 0.20,1 : 0.22,1 : 0.08
영미어문전공,ENG3309-01,언어와인지,경쟁률,쿼터없음,1 : 1.10,1 : 0.73,1 : 0.28
영미어문전공,ENG3312-01,언어와사회,경쟁률,쿼터없음,1 : 0.69,1 : 0.47,1 : 0.17
영미어문전공,ENG3313-01,영어교육론,경쟁률,쿼터없음,1 : 0.30,1 : 0.18,1 : 0.04
영미어문전공,ENG4099-01,개별연구논문,경쟁률,쿼터없음,쿼터없음,신청없음,1 : 0.05
영미어문전공,ENGG005-01,20세기영국문학프로세미나,경쟁률,쿼터없음,쿼터없음,신청없음,1 : 0.05
영미어문전공,ENGG230-01,언어와인지과학,경쟁률,쿼터없음,신청없음,1 : 0.08,1 : 0.08
"교양학부(철학,종교)",ETS2001-01,현대세계와윤리문제,경쟁률,1 : 1.50,1 : 0.60,1 : 0.21,1 : 0.14
"교양학부(철학,종교)",ETS2001-02,현대세계와윤리문제,경쟁률,1 : 0.15,1 : 0.16,1 : 0.04,신청없음
"교양학부(철학,종교)",ETS2002-01,논리와비판적사고,경쟁률,1 : 0.20,1 : 0.14,1 : 0.02,1 : 0.06
"교양학부(철학,종교)",ETS2002-02,논리와비판적사고,경쟁률,1 : 3.60,1 : 1.55,1 : 0.60,1 : 0.57
"교양학부(철학,종교)",ETS2002-03,논리와비판적사고,경쟁률,1 : 0.55,1 : 0.34,1 : 0.15,1 : 0.04
"교양학부(철학,종교)",ETS2002-04,논리와비판적사고,경쟁률,1 : 3.30,1 : 1.50,1 : 0.70,1 : 0.19
"교양학부(철학,종교)",ETS2002-05,논리와비판적사고,경쟁률,1 : 0.75,1 : 0.48,1 : 0.12,1 : 0.04
"교양학부(철학,종교)",ETS2002-06,논리와비판적사고,경쟁률,1 : 0.40,1 : 0.06,1 : 0.04,신청없음
"교양학부(철학,종교)",ETS2003-01,철학산책,경쟁률,1 : 0.35,1 : 0.33,신청없음,1 : 0.06
"교양학부(철학,종교)",ETS2004-01,종교와세계문화,경쟁률,1 : 3.60,1 : 1.35,1 : 0.25,1 : 0.17
"교양학부(철학,종교)",ETS2004-02,종교와세계문화,경쟁률,1 : 1.00,1 : 0.45,1 : 0.06,1 : 0.04
"교양학부(철학,종교)",ETS2004-03,종교와세계문화,경쟁률,1 : 0.20,신청없음,1 : 0.04,신청없음
"교양학부(철학,종교)",ETS2004-04,종교와세계문화,경쟁률,1 : 6.51,1 : 1.96,1 : 2.20,1 : 1.70
교양학부,ETU4001-01,환경윤리,경쟁률,1 : 0.05,1 : 0.13,1 : 0.06,1 : 0.11
교양학부,ETU4004-01,동아시아철학고전읽기,경쟁률,1 : 0.10,1 : 0.03,1 : 0.09,1 : 0.07
교양학부,ETU4006-01,이성과신앙,경쟁률,신청없음,신청없음,1 : 0.02,1 : 0.04
교양학부,ETU4008-01,삶과죽음,경쟁률,1 : 0.20,1 : 0.11,1 : 0.06,1 : 0.12
교양학부,ETU4010-01,한국문화와종교,경쟁률,1 : 0.20,1 : 0.17,1 : 0.04,1 : 0.13
교양학부,ETU4016-01,"종교,폭력,평화",경쟁률,1 : 0.15,1 : 0.08,1 : 0.04,1 : 0.04
교양학부,ETU4018-01,행복의추구,경쟁률,1 : 0.10,1 : 0.16,1 : 0.15,1 : 0.19
유럽문화전공,EUR2101-01,유럽문화와상호문화소통,경쟁률,1 : 0.28,1 : 0.20,신청없음,1 : 0.01
유럽문화전공,EUR2102-01,유럽예술감상,경쟁률,1 : 0.90,1 : 1.55,1 : 0.50,1 : 0.20
유럽문화전공,EUR2206-01,독문법1,경쟁률,1 : 1.20,1 : 0.70,1 : 0.23,1 : 0.05
유럽문화전공,EUR2239-01,독일문화의이해,경쟁률,1 : 0.60,1 : 0.50,1 : 0.29,1 : 0.32
유럽문화전공,EUR2301-01,기초프랑스어,경쟁률,1 : 1.50,1 : 0.80,1 : 0.06,1 : 0.13
유럽문화전공,EUR2304-01,프랑스어문법2,경쟁률,1 : 0.33,1 : 0.30,1 : 0.05,1 : 0.04
유럽문화전공,EUR2315-01,프랑스문화의이해,경쟁률,1 : 0.44,1 : 0.10,1 : 0.07,1 : 0.04
유럽문화전공,EUR3203-01,독작문1,경쟁률,1 : 0.40,1 : 0.81,1 : 0.62,1 : 0.50
유럽문화전공,EUR3235-01,독일문학과연극,경쟁률,신청없음,1 : 0.45,1 : 0.29,1 : 0.32
유럽문화전공,EUR3237-01,독일어권문학연구,경쟁률,신청없음,1 : 0.25,1 : 0.04,1 : 0.03
유럽문화전공,EUR3249-01,독일의대중문화와매체,경쟁률,1 : 0.20,1 : 1.50,1 : 0.90,1 : 1.38
유럽문화전공,EUR3320-01,시청각프랑스어1,경쟁률,1 : 0.40,1 : 0.72,1 : 0.25,1 : 0.20
유럽문화전공,EUR3322-01,시청각프랑스어3,경쟁률,신청없음,1 : 0.03,1 : 0.07,1 : 0.04
유럽문화전공,EUR3324-01,프랑스어작문2,경쟁률,1 : 0.07,1 : 0.10,1 : 0.17,1 : 0.04
유럽문화전공,EUR3343-01,프랑스언어학,경쟁률,신청없음,1 : 0.35,1 : 0.07,1 : 0.05
유럽문화전공,EUR3371-01,프랑스연극,경쟁률,신청없음,1 : 0.20,1 : 0.19,1 : 0.15
유럽문화전공,EUR4106-01,유럽의젠더연구,경쟁률,1 : 0.10,1 : 0.47,신청없음,1 : 0.10
유럽문화전공,EUR4207-01,시사독일어,경쟁률,1 : 0.20,1 : 0.11,1 : 0.15,1 : 0.06
유럽문화전공,EUR4219-01,시청각독어2,경쟁률,1 : 0.30,1 : 0.24,1 : 0.09,1 : 0.10
유럽문화전공,EUR4299-01,독일문화개별연구논문,경쟁률,쿼터없음,쿼터없음,쿼터없음,쿼터없음
유럽문화전공,EUR4397-01,프랑스문학강독II,경쟁률,1 : 0.03,1 : 0.07,1 : 0.14,1 : 0.17
유럽문화전공,EUR4399-01,프랑스문화개별연구논문,경쟁률,쿼터없음,쿼터없음,쿼터없음,쿼터없음
여성학연계전공,GES2002-01,여성학개론,경쟁률,1 : 0.13,1 : 0.04,1 : 0.05,1 : 0.15
여성학연계전공,GES3007-01,여성과정치,경쟁률,1 : 0.07,신청없음,1 : 0.05,1 : 0.02
여성학연계전공,GES3008-01,종교와성이데올로기,경쟁률,신청없음,신청없음,1 : 0.02,1 : 0.02
여성학연계전공,GES3012-01,여성과대중문화,경쟁률,1 : 2.67,1 : 1.13,1 : 0.53,1 : 0.64
여성학연계전공,GES3019-01,성과사랑,경쟁률,1 : 0.13,1 : 0.11,1 : 0.13,1 : 0.16
여성학연계전공,GES3021-01,상담과젠더,경쟁률,신청없음,1 : 0.03,1 : 0.02,1 : 0.02
교양학부(교양신학),HFS2001-01,철학적인간학,경쟁률,쿼터없음,1 : 0.16,1 : 0.06,1 : 0.02
교양학부(교양신학),HFS2001-02,철학적인간학,경쟁률,쿼터없음,1 : 1.14,1 : 1.30,1 : 0.70
교양학부(교양신학),HFS2001-03,철학적인간학,경쟁률,쿼터없음,1 : 0.48,1 : 0.36,1 : 0.18
교양학부(교양신학),HFS2001-04,철학적인간학,경쟁률,쿼터없음,1 : 1.04,1 : 1.50,1 : 0.50
교양학부(교양신학),HFS2001-05,철학적인간학,경쟁률,쿼터없음,1 : 0.62,1 : 0.38,1 : 0.14
교양학부(교양신학),HFS2002-01,신학적인간학,경쟁률,쿼터없음,1 : 1.38,1 : 1.00,1 : 0.90
교양학부(교양신학),HFS2002-02,신학적인간학,경쟁률,쿼터없음,1 : 2.16,1 : 2.90,1 : 2.30
교양학부(교양신학),HFS2002-03,신학적인간학,경쟁률,쿼터없음,1 : 0.42,1 : 0.08,1 : 0.07
교양학부(교양신학),HFS2002-04,신학적인간학,경쟁률,쿼터없음,1 : 1.24,1 : 1.00,1 : 0.90
교양학부(교양신학),HFS2003-01,그리스도교윤리,경쟁률,쿼터없음,1 : 1.58,1 : 2.40,1 : 1.40
교양학부(교양신학),HFS2003-02,그리스도교윤리,경쟁률,쿼터없음,1 : 0.66,1 : 0.11,1 : 0.15
교양학부(교양신학),HFS2003-03,그리스도교윤리,경쟁률,쿼터없음,1 : 1.78,1 : 1.30,1 : 1.00
교양학부(교양신학),HFS2003-04,그리스도교윤리,경쟁률,쿼터없음,1 : 0.38,1 : 0.29,1 : 0.21
교양학부,HFU4003-01,생명윤리,경쟁률,1 : 0.27,1 : 0.26,1 : 0.18,1 : 0.14
교양학부,HFU4004-01,성서와생활,경쟁률,1 : 0.13,1 : 0.03,신청없음,1 : 0.01
교양학부,HFU4008-01,신앙과과학,경쟁률,신청없음,1 : 0.03,1 : 0.02,신청없음
교양학부,HFU4009-01,영성과문화예술,경쟁률,1 : 0.50,1 : 0.16,1 : 0.10,1 : 0.17
교양학부,HFU4014-01,영성수련,경쟁률,1 : 1.20,1 : 0.87,1 : 0.88,1 : 4.50
교양학부,HFU4023-01,진·선·미·성,경쟁률,신청없음,신청없음,신청없음,1 : 0.07
교양학부,HFU4025-01,성찰과성장2,경쟁률,쿼터없음,1 : 1.20,1 : 0.90,1 : 2.73
교양학부,HFU4026-01,치유의행복학,경쟁률,1 : 1.20,1 : 2.80,1 : 1.30,1 : 1.80
사학전공,HIS2002-01,현대세계의역사적이해,경쟁률,1 : 0.70,1 : 0.35,1 : 0.08,1 : 0.04
사학전공,HIS2003-01,한국사개론,경쟁률,1 : 0.70,1 : 0.62,1 : 0.23,1 : 0.12
사학전공,HIS2004-01,동아시아사개론,경쟁률,1 : 0.05,1 : 0.28,1 : 0.13,1 : 0.08
사학전공,HIS3002-01,고려시대사,경쟁률,신청없음,1 : 0.13,1 : 0.11,1 : 0.04
사학전공,HIS3003-01,조선시대사,경쟁률,1 : 0.30,1 : 0.18,1 : 0.17,1 : 0.10
사학전공,HIS3005-01,한국현대사,경쟁률,1 : 0.60,1 : 0.86,1 : 0.46,1 : 0.15
사학전공,HIS3006-01,중국고대사,경쟁률,1 : 0.05,1 : 0.36,1 : 0.16,1 : 0.07
사학전공,HIS3010-01,중국현대사,경쟁률,1 : 0.05,1 : 0.23,1 : 0.04,1 : 0.06
사학전공,HIS3012-01,근대일본의형성,경쟁률,1 : 0.25,1 : 0.29,1 : 0.11,1 : 0.05
사학전공,HIS3018-01,아시아지역사특강1,경쟁률,신청없음,신청없음,1 : 0.03,1 : 0.01
사학전공,HIS3028-01,서양현대사,경쟁률,신청없음,1 : 0.10,1 : 0.02,1 : 0.03
사학전공,HIS3033-01,러시아혁명사,경쟁률,1 : 0.05,1 : 0.10,1 : 0.24,1 : 0.06
사학전공,HIS3037-01,미국사개설,경쟁률,1 : 0.05,1 : 0.26,1 : 0.14,1 : 0.11
사학전공,HIS3064-01,서양지성사1,경쟁률,신청없음,신청없음,신청없음,1 : 0.01
사학전공,HIS3069-01,근대시민혁명사,경쟁률,신청없음,1 : 0.23,1 : 0.08,신청없음
사학전공,HIS3071-01,문화유산현장실습2,경쟁률,신청없음,1 : 0.13,1 : 0.04,1 : 0.11
사학전공,HIS4007-01,한국사강독3,경쟁률,신청없음,1 : 0.03,1 : 0.10,1 : 0.08
사학전공,HIS4012-01,서양사특강1,경쟁률,신청없음,신청없음,1 : 0.03,1 : 0.05
사학전공,HIS4013-01,서양사특강2,경쟁률,신청없음,신청없음,1 : 0.03,1 : 0.04
사학전공,HIS4018-01,서양사명저해제2,경쟁률,신청없음,1 : 0.03,신청없음,1 : 0.05
교양학부(체육),HLU4001-01,영양과다이어트,경쟁률,1 : 0.30,1 : 0.35,신청없음,1 : 0.41
교양학부(체육),HLU4004-01,수영,경쟁률,1 : 1.88,1 : 2.00,1 : 2.33,1 : 5.00
교양학부(체육),HLU4006-01,요가,경쟁률,1 : 2.25,1 : 2.89,1 : 2.89,1 : 6.11
교양학부(체육),HLU4006-02,요가,경쟁률,1 : 1.25,1 : 2.89,1 : 1.44,1 : 4.78
교양학부(체육),HLU4007-01,테니스,경쟁률,1 : 0.88,1 : 1.10,1 : 1.11,1 : 2.56
교양학부(체육),HLU4007-02,테니스,경쟁률,1 : 0.50,1 : 0.23,1 : 0.16,1 : 0.76
교양학부(체육),HLU4007-03,테니스,경쟁률,1 : 0.25,1 : 0.20,1 : 0.10,1 : 0.29
교양학부(체육),HLU4007-04,테니스,경쟁률,신청없음,1 : 0.47,1 : 0.39,1 : 1.45
교양학부(체육),HLU4008-01,탁구,경쟁률,1 : 1.13,1 : 1.00,1 : 1.56,1 : 2.78
교양학부(체육),HLU4009-01,배드민턴,경쟁률,1 : 1.25,1 : 1.33,1 : 0.67,1 : 2.33
교양학부(체육),HLU4011-01,농구,경쟁률,1 : 0.25,1 : 0.27,신청없음,1 : 0.28
교양학부(체육),HLU4013-01,축구,경쟁률,1 : 0.25,1 : 0.13,1 : 0.23,1 : 0.54
교양학부(체육),HLU4013-02,축구,경쟁률,1 : 0.25,1 : 0.20,1 : 0.33,1 : 0.30
교양학부(체육),HLU4014-01,야구,경쟁률,1 : 0.38,1 : 0.21,1 : 0.20,1 : 0.44
교양학부(체육),HLU4015-01,골프,경쟁률,1 : 0.13,1 : 0.13,1 : 0.30,1 : 0.64
교양학부(체육),HLU4015-02,골프,경쟁률,신청없음,1 : 0.06,1 : 0.04,1 : 0.24
교양학부(체육),HLU4015-03,골프,경쟁률,1 : 0.13,1 : 0.13,1 : 0.13,1 : 0.45
교양학부(체육),HLU4102-01,테니스II,경쟁률,신청없음,1 : 0.18,1 : 0.17,1 : 0.61
교양학부(중핵자유),HSS3001-01,인간과인성,경쟁률,1 : 0.06,1 : 0.15,1 : 0.08,1 : 0.48
교양학부(중핵자유),HSS3002-01,사회봉사,경쟁률,1 : 1.10,1 : 1.13,1 : 0.70,1 : 4.00
교양학부(중핵자유),HSS3002-02,사회봉사,경쟁률,1 : 0.20,1 : 0.35,1 : 0.03,1 : 0.38
교양학부(중핵자유),HSS3005-01,수화의이해,경쟁률,1 : 1.45,1 : 2.30,1 : 1.23,1 : 2.53
교양학부(중핵자유),HSS3005-02,수화의이해,경쟁률,1 : 1.28,1 : 2.16,1 : 0.97,1 : 4.39
교양학부(중핵자유),HSS3013-01,현대인문세미나,경쟁률,쿼터없음,1 : 0.54,1 : 0.60,1 : 0.58
교양학부(중핵자유),HSS3014-01,신입생세미나,경쟁률,신청없음,1 : 0.05,쿼터없음,쿼터없음
교양학부(중핵자유),HSS3016-01,진로탐색,경쟁률,1 : 4.03,1 : 0.69,쿼터없음,쿼터없음
교양학부(중핵자유),HSS3017-01,학습매니지먼트,경쟁률,1 : 0.10,1 : 0.25,1 : 0.32,쿼터없음
교양학부(중핵자유),HSS3019-01,세계를간다,경쟁률,쿼터없음,쿼터없음,쿼터없음,쿼터없음
교양학부(중핵자유),HSS3024-01,글로벌기업CEO특강,경쟁률,쿼터없음,1 : 1.73,1 : 1.37,쿼터없음
일본문화전공,JPN2001-01,중급일본어I,경쟁률,신청없음,1 : 0.10,1 : 0.11,1 : 0.06
일본문화전공,JPN2003-01,미디어일본어,경쟁률,1 : 0.40,1 : 0.19,1 : 0.13,1 : 0.17
일본문화전공,JPN2004-01,일본어회화,경쟁률,1 : 0.10,1 : 0.32,1 : 0.04,1 : 0.25
일본문화전공,JPN2010-01,일본학개론,경쟁률,신청없음,신청없음,1 : 0.17,신청없음
일본문화전공,JPN2011-01,일본소설강독,경쟁률,신청없음,1 : 0.12,1 : 0.19,1 : 0.11
일본문화전공,JPN2012-01,영화를통한일본이해,경쟁률,1 : 0.50,1 : 0.85,1 : 0.56,1 : 0.35
일본문화전공,JPN3002-01,일본의법과사회,경쟁률,신청없음,1 : 0.08,1 : 0.13,1 : 0.13
일본문화전공,JPN3021-01,일본의기업경영,경쟁률,신청없음,신청없음,1 : 0.03,1 : 0.02
한국과국제개발협력연계전공,KIC2002-01,공적개발원조,경쟁률,1 : 0.10,1 : 0.05,1 : 0.09,1 : 0.01
한국과국제개발협력연계전공,KIC3013-01,한국 국제개발협력 정책과 사례,경쟁률,신청없음,1 : 0.03,1 : 0.03,1 : 0.05
한국과국제개발협력연계전공,KIC3015-01,국제개발협력실습I,경쟁률,신청없음,신청없음,1 : 0.03,신청없음
국어국문학전공,KOR2001-01,국어학입문,경쟁률,1 : 2.13,1 : 0.53,1 : 0.12,1 : 0.12
국어국문학전공,KOR2200-01,국문학개설,경쟁률,1 : 3.00,1 : 1.13,1 : 0.47,1 : 0.38
국어국문학전공,KOR3002-01,국어의음운체계,경쟁률,1 : 0.40,1 : 1.25,1 : 0.80,1 : 0.58
국어국문학전공,KOR3003-01,국어의문장구조,경쟁률,1 : 1.00,1 : 1.40,1 : 1.00,1 : 1.10
국어국문학전공,KOR3010-01,중세국어강독,경쟁률,쿼터없음,1 : 0.70,1 : 0.31,1 : 0.16
국어국문학전공,KOR3203-01,구술문학론,경쟁률,쿼터없음,1 : 0.53,1 : 0.41,1 : 0.09
국어국문학전공,KOR3205-01,문장과수사,경쟁률,쿼터없음,1 : 1.00,1 : 0.71,1 : 1.00
국어국문학전공,KOR3208-01,문학과문화,경쟁률,쿼터없음,1 : 0.40,1 : 0.33,신청없음
국어국문학전공,KOR3209-01,문학주제학,경쟁률,쿼터없음,1 : 0.37,1 : 0.22,1 : 0.13
국어국문학전공,KOR3302-01,고전소설텍스트읽기,경쟁률,쿼터없음,1 : 0.45,1 : 0.23,1 : 0.09
국어국문학전공,KOR3401-01,현대시텍스트읽기I,경쟁률,쿼터없음,1 : 0.87,1 : 0.59,1 : 0.35
국어국문학전공,KOR3402-01,현대소설텍스트읽기I,경쟁률,1 : 2.30,1 : 1.30,1 : 1.30,쿼터없음
국어국문학전공,KOR4001-01,국어학연습,경쟁률,쿼터없음,쿼터없음,1 : 0.60,1 : 0.36
국어국문학전공,KOR4504-01,문학과문화콘텐츠,경쟁률,쿼터없음,1 : 1.00,1 : 1.14,1 : 0.71
국어국문학전공,KOR4505-01,이야기창작,경쟁률,쿼터없음,1 : 1.17,1 : 0.57,1 : 0.60
국어국문학전공,KORG011-01,고전문학연구방법론,경쟁률,쿼터없음,쿼터없음,1 : 0.20,1 : 0.28
국어국문학전공,KORG022-01,현대문학자료연구,경쟁률,쿼터없음,쿼터없음,1 : 0.20,1 : 0.28
국어국문학전공,KORQ983-01,국어교과교재연구및지도법,경쟁률,쿼터없음,신청없음,1 : 0.05,신청없음
국제한국학전공,KOS2112-01,Korean Language and history-Beginner,경쟁률,1 : 0.13,1 : 0.48,1 : 0.08,1 : 0.11
국제한국학전공,KOS2112-02,Korean Language and history-Beginner,경쟁률,1 : 0.23,1 : 0.21,1 : 0.08,신청없음
국제한국학전공,KOS2202-01,Globalisation and Korean Development,경쟁률,1 : 1.00,1 : 0.70,1 : 0.73,1 : 0.13
국제한국학전공,KOS3004-01,The Mediums of Korean Cultural Modernity,경쟁률,1 : 0.55,1 : 0.34,1 : 0.21,1 : 0.04
