학과,과목분반,과목명,1학년,2학년,3학년 ,4학년,전학년
교양학부,LCS2007-05,일본언어와문화I,1 : 1.57,1 : 0.67,1 : 0.29,1 : 1.00,1 : 1.27
교양학부,LCS2008-01,일본언어와문화II,1 : 0.50,1 : 0.13,신청없음,1 : 0.14,1 : 0.40
교양학부,LCS2008-02,일본언어와문화II,1 : 0.29,1 : 0.21,1 : 0.16,1 : 0.21,1 : 0.50
교양학부,LCU4011-01,고급영어회화,쿼터없음,1 : 0.38,1 : 0.36,1 : 0.17,1 : 0.42
교양학부,LCU4015-01,영화를통한영어연습,쿼터없음,1 : 4.00,1 : 1.11,1 : 2.22,1 : 2.46
교양학부,LCU4015-02,영화를통한영어연습,쿼터없음,1 : 4.13,1 : 1.33,1 : 1.78,1 : 2.46
교양학부,LCU4015-03,영화를통한영어연습,쿼터없음,1 : 2.63,1 : 1.44,1 : 1.89,1 : 2.00
교양학부,LCU4015-04,영화를통한영어연습,쿼터없음,1 : 1.25,1 : 0.78,1 : 1.00,1 : 1.15
교양학부,LCU4017-01,비즈니스영어연습,쿼터없음,1 : 0.63,1 : 0.08,1 : 0.40,1 : 0.54
교양학부,LCU4017-02,비즈니스영어연습,쿼터없음,1 : 0.75,1 : 0.36,1 : 0.88,1 : 0.92
교양학부,LCU4017-03,비즈니스영어연습,쿼터없음,1 : 1.13,1 : 1.22,1 : 1.33,1 : 1.27
교양학부,LCU4018-01,연극을통한영어연습,쿼터없음,1 : 0.25,1 : 0.27,1 : 0.20,1 : 0.38
교양학부,LCU4035-01,초급러시아어,1 : 0.45,1 : 0.69,1 : 1.25,1 : 7.00,1 : 1.47
교양학부,LCU4103-01,기본영어,1 : 0.70,1 : 0.50,1 : 0.80,1 : 0.50,1 : 0.96
교양학부,LCU4103-02,기본영어,1 : 0.43,1 : 0.07,1 : 0.50,1 : 0.13,1 : 0.73
교양학부,LCU4103-03,기본영어,1 : 0.91,1 : 2.00,1 : 6.00,1 : 2.00,1 : 1.35
교양학부,LCU4103-04,기본영어,1 : 0.61,1 : 0.70,1 : 2.50,1 : 5.00,1 : 1.38
교양학부,LCU4105-01,초급아랍어,1 : 0.05,1 : 0.08,신청없음,1 : 0.48,1 : 0.53
교양학부,LCU4107-01,튜터링을통한글쓰기능력신장,쿼터없음,1 : 1.80,1 : 0.87,1 : 3.76,1 : 2.38
교양학부,LCU4107-02,튜터링을통한글쓰기능력신장,쿼터없음,1 : 1.20,1 : 0.47,1 : 2.22,1 : 1.75
교양학부,LCU4114-01,중급아랍어,1 : 0.05,1 : 0.04,신청없음,신청없음,1 : 0.07
교양학부,LED3002-01,리더십훈련,1 : 0.33,1 : 0.44,1 : 0.34,1 : 0.50,1 : 0.72
교양학부,LED3010-01,발표와토론,1 : 0.20,1 : 0.33,1 : 0.13,1 : 0.71,1 : 0.77
미디어&엔터테인먼트전공,MAE2001-01,미디어&엔터테인먼트개론,1 : 0.10,1 : 0.89,1 : 4.10,1 : 5.00,1 : 1.85
미디어&엔터테인먼트전공,MAE2003-01,영상제작[캡스톤디자인],쿼터없음,1 : 1.50,1 : 3.00,1 : 0.90,1 : 1.80
미디어&엔터테인먼트전공,MAE3001-01,매스커뮤니케이션,1 : 0.20,1 : 0.54,1 : 0.64,1 : 0.47,1 : 0.84
미디어&엔터테인먼트전공,MAE3002-01,"미디어,인간,사회",1 : 0.20,1 : 1.71,1 : 1.07,1 : 3.80,1 : 1.70
미디어&엔터테인먼트전공,MAE3004-01,영화입문,쿼터없음,1 : 3.95,1 : 3.40,1 : 1.70,1 : 3.02
미디어&엔터테인먼트전공,MAE3007-01,드라마의창조적해석,쿼터없음,1 : 1.55,1 : 0.90,1 : 0.41,1 : 0.97
미디어&엔터테인먼트전공,MAE3014-01,커뮤니케이션학입문,1 : 1.90,1 : 2.00,1 : 1.53,1 : 2.40,1 : 1.85
미디어&엔터테인먼트전공,MAE4003-01,엔터테인먼트 심리학,1 : 0.90,1 : 1.75,1 : 2.45,1 : 2.53,1 : 2.07
미디어&엔터테인먼트전공,MAE4012-01,초지능사회론,쿼터없음,1 : 0.15,1 : 0.11,1 : 0.13,1 : 0.23
미디어&엔터테인먼트전공,MAE4018-01,단편영화제작 워크숍[캡스톤디자인],쿼터없음,1 : 2.60,1 : 2.60,1 : 2.00,1 : 2.45
미디어&엔터테인먼트전공,MAE4020-01,세계연극사,쿼터없음,1 : 0.65,1 : 0.81,1 : 0.64,1 : 0.85
미디어&엔터테인먼트전공,MAE4021-01,공연의미학과이론,쿼터없음,1 : 0.20,1 : 0.17,1 : 0.22,1 : 0.35
미디어&엔터테인먼트전공,MAE4023-01,연출입문,쿼터없음,1 : 1.65,1 : 2.70,1 : 2.20,1 : 2.05
미디어&엔터테인먼트전공,MAE4030-01,뮤지컬창작심화(캡스톤디자인),쿼터없음,1 : 0.12,1 : 0.26,1 : 0.46,1 : 0.58
미디어&엔터테인먼트전공,MAE4032-01,디지털미디어정책론,쿼터없음,1 : 0.25,1 : 0.40,1 : 0.32,1 : 0.53
미디어&엔터테인먼트전공,MAE4035-01,모바일커뮤니케이션,쿼터없음,1 : 0.35,1 : 0.27,1 : 0.23,1 : 0.43
지식융합미디어학부,MAS1003-01,The art of storytelling,1 : 1.84,쿼터없음,쿼터없음,쿼터없음,1 : 1.90
지식융합미디어학부,MAS1003-02,The art of storytelling,1 : 1.55,쿼터없음,쿼터없음,쿼터없음,1 : 1.58
지식융합미디어학부,MAS1003-03,The art of storytelling,1 : 0.35,쿼터없음,쿼터없음,쿼터없음,1 : 0.38
지식융합미디어학부,MAS1003-04,The art of storytelling,1 : 0.40,쿼터없음,쿼터없음,쿼터없음,1 : 0.40
지식융합미디어학부,MAS1004-01,Data&AI,1 : 1.98,쿼터없음,쿼터없음,쿼터없음,1 : 2.00
지식융합미디어학부,MAS1004-02,Data&AI,1 : 1.20,쿼터없음,쿼터없음,쿼터없음,1 : 1.23
지식융합미디어학부,MAS1004-03,Data&AI,1 : 0.70,쿼터없음,쿼터없음,쿼터없음,1 : 0.70
지식융합미디어학부,MAS1004-04,Data&AI,1 : 0.33,쿼터없음,쿼터없음,쿼터없음,1 : 0.33
지식융합미디어학부,MAS1004-05,Data&AI,1 : 0.23,쿼터없음,쿼터없음,쿼터없음,1 : 0.23
지식융합미디어학부,MAS2004-01,인간소통과미디어,쿼터없음,1 : 0.84,1 : 0.48,1 : 0.25,1 : 0.68
지식융합미디어학부,MAS3001-01,미디어커뮤니케이션조사론,쿼터없음,1 : 0.90,1 : 0.67,1 : 0.41,1 : 0.71
지식융합미디어학부,MAS3001-02,미디어커뮤니케이션조사론,쿼터없음,1 : 1.30,1 : 0.83,1 : 0.34,1 : 0.80
수학전공,MAT1060-01,미적분학실습II,1 : 0.50,1 : 0.13,1 : 0.11,1 : 0.56,1 : 0.78
수학전공,MAT1060-02,미적분학실습II,1 : 0.07,신청없음,신청없음,신청없음,1 : 0.06
수학전공,MAT1060-03,미적분학실습II,1 : 0.21,1 : 0.08,신청없음,1 : 0.14,1 : 0.33
수학전공,MAT1060-04,미적분학실습II,1 : 2.36,1 : 1.00,1 : 1.50,1 : 1.00,1 : 2.11
수학전공,MAT2110-01,선형대수학,쿼터없음,1 : 0.58,1 : 0.33,1 : 0.29,1 : 0.67
수학전공,MAT2110-02,선형대수학,쿼터없음,1 : 0.65,1 : 2.00,1 : 1.90,1 : 1.60
수학전공,MAT2110-03,선형대수학,쿼터없음,1 : 1.18,1 : 1.20,1 : 1.00,1 : 1.22
수학전공,MAT2120-01,정수론,쿼터없음,1 : 1.37,1 : 0.70,1 : 0.63,1 : 1.08
수학전공,MAT2120-02,정수론,쿼터없음,1 : 0.30,1 : 0.15,1 : 0.16,1 : 0.37
수학전공,MAT2220-01,고등미적분학II,쿼터없음,1 : 0.70,1 : 0.77,1 : 1.47,1 : 1.12
수학전공,MAT2220-02,고등미적분학II,쿼터없음,1 : 0.15,1 : 0.20,1 : 0.20,1 : 0.40
수학전공,MAT2230-01,미분방정식,쿼터없음,1 : 0.30,1 : 0.15,1 : 0.20,1 : 0.40
수학전공,MAT2230-02,미분방정식,쿼터없음,1 : 0.93,1 : 0.91,1 : 0.83,1 : 0.97
수학전공,MAT2420-01,응용수학II,쿼터없음,1 : 0.62,1 : 0.71,1 : 1.08,1 : 1.01
수학전공,MAT2420-02,응용수학II,쿼터없음,1 : 0.62,1 : 0.57,1 : 0.94,1 : 0.99
수학전공,MAT3020-01,통계학입문,쿼터없음,1 : 0.25,1 : 0.17,1 : 0.12,1 : 0.28
수학전공,MAT3020-02,통계학입문,쿼터없음,1 : 1.20,1 : 0.55,1 : 0.41,1 : 0.80
수학전공,MAT3310-01,현대기하학,쿼터없음,1 : 0.05,1 : 0.20,1 : 0.43,1 : 0.53
수학전공,MAT3410-01,확률론입문,쿼터없음,1 : 0.20,1 : 0.47,1 : 0.58,1 : 0.72
수학전공,MAT3420-01,금융수학,쿼터없음,1 : 0.04,1 : 0.45,1 : 0.42,1 : 0.61
수학전공,MAT4120-01,추상대수학II,쿼터없음,신청없음,1 : 0.58,1 : 0.59,1 : 0.75
수학전공,MAT4220-01,복소수함수론II,쿼터없음,신청없음,1 : 0.15,1 : 0.28,1 : 0.35
수학전공,MAT4320-01,위상수학개론I,쿼터없음,1 : 0.30,1 : 1.05,1 : 1.95,1 : 1.35
수학전공,MAT4331-01,산업수학종합설계,쿼터없음,쿼터없음,1 : 0.20,1 : 1.00,1 : 1.00
수학전공,MAT4510-01,학부개별연구,_,_,_,_,_
수학전공,MATG110-01,고급선형대수학,쿼터없음,1 : 0.10,1 : 0.21,1 : 0.65,1 : 0.70
수학전공,MATG220-01,실해석학II,쿼터없음,신청없음,1 : 0.13,1 : 0.37,1 : 0.42
수학전공,MATQ982-01,수학교과논리및논술,쿼터없음,신청없음,신청없음,1 : 0.24,1 : 0.24
수학전공,MATQ983-01,수학교과교재연구및지도법,쿼터없음,신청없음,신청없음,1 : 0.14,1 : 0.14
기계공학전공,MEE1005-01,C프로그래밍기초,쿼터없음,1 : 0.30,1 : 0.03,1 : 0.03,1 : 0.33
기계공학전공,MEE1005-02,C프로그래밍기초,쿼터없음,1 : 1.16,신청없음,1 : 0.20,1 : 1.10
기계공학전공,MEE2007-01,공학수학II,쿼터없음,1 : 0.80,1 : 0.36,1 : 0.04,1 : 0.75
기계공학전공,MEE2008-01,공학설계개론,1 : 0.52,1 : 0.09,1 : 0.02,1 : 0.04,1 : 0.50
기계공학전공,MEE2012-01,유체역학I,쿼터없음,1 : 0.52,1 : 0.26,1 : 0.11,1 : 0.56
기계공학전공,MEE2012-02,유체역학I,쿼터없음,1 : 0.86,1 : 0.59,1 : 0.12,1 : 0.79
기계공학전공,MEE2013-01,동역학,쿼터없음,1 : 0.84,1 : 0.54,1 : 0.14,1 : 0.84
기계공학전공,MEE2014-01,디자인과재료,쿼터없음,1 : 0.39,1 : 0.12,1 : 0.14,1 : 0.42
기계공학전공,MEE2025-01,모형설계제작,쿼터없음,1 : 0.35,1 : 0.20,신청없음,1 : 0.42
기계공학전공,MEE2025-02,모형설계제작,쿼터없음,1 : 0.40,1 : 0.21,1 : 0.15,1 : 0.54
기계공학전공,MEE2026-01,2DCAD,쿼터없음,1 : 0.86,1 : 0.93,1 : 1.50,1 : 1.07
기계공학전공,MEE3002-01,열역학II,쿼터없음,쿼터없음,1 : 0.44,1 : 0.13,1 : 0.42
기계공학전공,MEE3003-01,진동학,쿼터없음,쿼터없음,1 : 0.61,1 : 0.25,1 : 0.58
기계공학전공,MEE3005-01,공학수치해석,쿼터없음,쿼터없음,1 : 0.50,1 : 0.07,1 : 0.40
기계공학전공,MEE3005-02,공학수치해석,쿼터없음,쿼터없음,1 : 0.40,1 : 0.08,1 : 0.36
기계공학전공,MEE3011-01,부품설계,쿼터없음,쿼터없음,1 : 0.17,1 : 0.22,1 : 0.30
기계공학전공,MEE3012-01,자동차동력공학,쿼터없음,쿼터없음,1 : 0.13,1 : 0.09,1 : 0.16
기계공학전공,MEE3015-01,설계방법론(캡스톤디자인),쿼터없음,쿼터없음,1 : 0.66,1 : 0.17,1 : 0.66
기계공학전공,MEE3025-01,기계공학실험I,쿼터없음,쿼터없음,1 : 1.23,1 : 0.60,1 : 1.14
기계공학전공,MEE3025-02,기계공학실험I,쿼터없음,쿼터없음,1 : 0.47,1 : 0.29,1 : 0.57
기계공학전공,MEE3025-04,기계공학실험I,쿼터없음,쿼터없음,1 : 0.50,1 : 0.10,1 : 0.49
기계공학전공,MEE3301-01,연구프로젝트Ⅰ,쿼터없음,쿼터없음,1 : 1.40,1 : 0.20,1 : 0.80
기계공학전공,MEE4001-01,유한요소해석,쿼터없음,쿼터없음,1 : 0.36,1 : 0.32,1 : 0.44
기계공학전공,MEE4016-01,바이오모방공학개론,쿼터없음,쿼터없음,신청없음,1 : 0.16,1 : 0.16
기계공학전공,MEE4021-01,창의적종합설계,쿼터없음,쿼터없음,쿼터없음,1 : 0.40,1 : 0.40
기계공학전공,MEE4047-01,기계공학세미나,쿼터없음,쿼터없음,1 : 0.03,1 : 0.15,1 : 0.17
기계공학전공,MEEG005-01,연속체역학,쿼터없음,쿼터없음,1 : 0.03,1 : 0.08,1 : 0.10
기계공학전공,MEEG012-01,전산유체역학,쿼터없음,쿼터없음,1 : 0.30,1 : 0.18,1 : 0.30
기계공학전공,MEEG019-01,공정설계의CAE,쿼터없음,쿼터없음,신청없음,1 : 0.15,1 : 0.15
기계공학전공,MEEG032-01,전산열전달,쿼터없음,쿼터없음,신청없음,1 : 0.15,1 : 0.15
경영학전공,MGT2002-01,경영통계학,1 : 0.94,1 : 0.65,1 : 0.94,1 : 0.18,1 : 0.87
경영학전공,MGT2002-02,경영통계학,1 : 0.89,1 : 0.32,1 : 0.30,1 : 0.19,1 : 0.70
경영학전공,MGT2002-03,경영통계학,1 : 4.20,1 : 1.38,1 : 1.46,1 : 0.46,1 : 1.96
경영학전공,MGT2002-04,경영통계학,1 : 1.49,1 : 2.00,1 : 1.10,1 : 0.60,1 : 1.41
경영학전공,MGT2002-05,경영통계학,1 : 0.37,1 : 0.03,1 : 0.04,1 : 0.04,1 : 0.26
경영학전공,MGT2003-01,회계학원론,1 : 0.43,1 : 0.30,1 : 0.68,1 : 0.78,1 : 0.95
경영학전공,MGT2003-02,회계학원론,1 : 0.43,1 : 0.40,1 : 0.12,1 : 0.02,1 : 0.54
경영학전공,MGT2003-03,회계학원론,1 : 0.90,1 : 0.67,1 : 0.56,1 : 0.31,1 : 0.88
경영학전공,MGT2003-04,회계학원론,1 : 0.68,1 : 0.64,1 : 0.86,1 : 1.13,1 : 1.01
경영학전공,MGT2003-05,회계학원론,1 : 0.05,1 : 0.07,1 : 0.08,1 : 0.09,1 : 0.23
경영학전공,MGT2003-06,회계학원론,1 : 3.73,1 : 4.50,1 : 7.00,1 : 6.80,1 : 4.57
경영학전공,MGT3001-01,조직행동이론,1 : 0.40,1 : 2.36,1 : 2.07,1 : 4.60,1 : 2.36
경영학전공,MGT3001-02,조직행동이론,쿼터없음,1 : 1.10,1 : 0.53,1 : 0.50,1 : 0.87
경영학전공,MGT3001-03,조직행동이론,1 : 0.33,1 : 2.17,1 : 2.30,1 : 0.80,1 : 1.83
경영학전공,MGT3001-04,조직행동이론,신청없음,1 : 0.07,1 : 0.06,1 : 0.02,1 : 0.09
경영학전공,MGT3001-05,조직행동이론,신청없음,1 : 0.20,1 : 0.14,1 : 0.09,1 : 0.24
경영학전공,MGT3002-01,경영정보시스템,쿼터없음,1 : 0.48,1 : 0.68,1 : 0.91,1 : 0.96
경영학전공,MGT3002-02,경영정보시스템,쿼터없음,1 : 0.90,1 : 0.41,1 : 0.23,1 : 0.57
경영학전공,MGT3002-03,경영정보시스템,쿼터없음,1 : 3.36,1 : 4.56,1 : 3.50,1 : 3.83
경영학전공,MGT3003-01,생산관리론,쿼터없음,1 : 1.37,1 : 1.33,1 : 3.40,1 : 1.54
경영학전공,MGT3003-02,생산관리론,쿼터없음,1 : 3.50,1 : 1.84,1 : 0.56,1 : 1.86
경영학전공,MGT3003-03,생산관리론,쿼터없음,1 : 1.10,1 : 0.63,1 : 0.23,1 : 0.69
경영학전공,MGT3003-04,생산관리론,쿼터없음,1 : 0.75,1 : 0.37,신청없음,1 : 0.37
경영학전공,MGT3003-05,생산관리론,쿼터없음,1 : 0.07,1 : 0.03,1 : 0.02,1 : 0.07
경영학전공,MGT3004-01,재무관리,1 : 0.10,1 : 3.07,1 : 3.85,1 : 1.50,1 : 2.81
경영학전공,MGT3004-02,재무관리,신청없음,1 : 1.20,1 : 1.35,1 : 0.40,1 : 1.01
경영학전공,MGT3004-03,재무관리,신청없음,1 : 1.20,1 : 0.65,1 : 0.07,1 : 0.73
경영학전공,MGT3004-05,재무관리,신청없음,1 : 1.13,1 : 1.35,1 : 0.35,1 : 0.97
경영학전공,MGT3004-06,재무관리,신청없음,1 : 1.07,1 : 1.25,1 : 0.80,1 : 1.04
경영학전공,MGT3005-01,관리회계,1 : 1.20,1 : 2.30,1 : 1.27,1 : 2.60,1 : 1.85
경영학전공,MGT3005-02,관리회계,신청없음,1 : 0.97,1 : 1.23,1 : 2.10,1 : 1.24
경영학전공,MGT3005-03,관리회계,1 : 0.20,1 : 0.71,1 : 0.23,1 : 0.29,1 : 0.61
경영학전공,MGT3006-01,마케팅원론,쿼터없음,1 : 5.30,1 : 2.57,1 : 1.40,1 : 3.01
경영학전공,MGT3006-02,마케팅원론,쿼터없음,1 : 0.75,1 : 0.11,1 : 0.20,1 : 0.41
경영학전공,MGT3006-03,마케팅원론,쿼터없음,1 : 0.47,1 : 0.30,1 : 0.21,1 : 0.53
경영학전공,MGT3006-04,마케팅원론,쿼터없음,1 : 0.03,1 : 0.03,신청없음,1 : 0.07
경영학전공,MGT3006-05,마케팅원론,쿼터없음,1 : 1.33,1 : 0.53,1 : 0.29,1 : 0.90
경영학전공,MGT3007-01,국제경영론,쿼터없음,1 : 0.95,1 : 1.19,1 : 0.85,1 : 1.02
경영학전공,MGT3007-02,국제경영론,쿼터없음,1 : 3.35,1 : 5.10,1 : 2.17,1 : 3.36
경영학전공,MGT3007-03,국제경영론,쿼터없음,1 : 1.60,1 : 2.05,1 : 0.47,1 : 1.24
경영학전공,MGT3007-04,국제경영론,쿼터없음,1 : 1.35,1 : 1.85,1 : 1.33,1 : 1.49
경영학전공,MGT4102-01,경영전략,쿼터없음,쿼터없음,1 : 0.38,1 : 0.62,1 : 0.79
경영학전공,MGT4102-02,경영전략,쿼터없음,1 : 0.90,1 : 0.50,1 : 0.45,1 : 0.65
경영학전공,MGT4102-03,경영전략,쿼터없음,1 : 1.40,1 : 0.40,1 : 0.50,1 : 0.71
경영학전공,MGT4102-04,경영전략,쿼터없음,신청없음,1 : 0.03,쿼터없음,1 : 0.17
경영학전공,MGT4105-01,기업윤리,쿼터없음,1 : 0.40,1 : 0.85,1 : 2.59,1 : 1.39
경영학전공,MGT4106-01,인적자원관리,쿼터없음,1 : 5.00,1 : 1.50,1 : 3.33,1 : 2.16
경영학전공,MGT4106-02,인적자원관리,쿼터없음,1 : 0.40,1 : 0.28,1 : 0.13,1 : 0.30
경영학전공,MGT4109-01,기업지배구조와기업전략,쿼터없음,쿼터없음,1 : 0.13,쿼터없음,1 : 0.28
경영학전공,MGT4201-01,의사결정론,신청없음,1 : 0.44,1 : 1.05,1 : 1.85,1 : 1.27
경영학전공,MGT4202-01,통계자료분석,신청없음,1 : 0.12,1 : 0.40,1 : 0.48,1 : 0.64
경영학전공,MGT4203-01,경영과학,신청없음,1 : 0.08,1 : 0.13,1 : 0.16,1 : 0.26
경영학전공,MGT4206-01,경영환경에서의시계열자료분석과예측(캡스톤디자인),쿼터없음,쿼터없음,1 : 0.40,1 : 0.19,1 : 0.35
경영학전공,MGT4207-01,응용경영통계,쿼터없음,1 : 0.20,1 : 0.53,1 : 0.27,1 : 0.55
경영학전공,MGT4208-01,웹데이터분석과응용,쿼터없음,1 : 0.17,1 : 0.43,1 : 0.78,1 : 0.84
경영학전공,MGT4224-01,전자상거래개론,쿼터없음,1 : 0.48,1 : 0.92,1 : 2.70,1 : 1.56
경영학전공,MGT4225-01,전사적자원관리소프트웨어활용,신청없음,신청없음,1 : 0.05,1 : 0.13,1 : 0.17
경영학전공,MGT4226-01,빅데이터와비즈니스인텔리젼스,신청없음,1 : 0.33,1 : 0.38,1 : 0.80,1 : 0.87
경영학전공,MGT4227-01,지식경영과서비스혁신,쿼터없음,신청없음,1 : 0.05,1 : 0.02,1 : 0.05
경영학전공,MGT4229-01,미래창업을위한창의성과창의경영,신청없음,신청없음,1 : 0.20,1 : 0.32,1 : 0.41
경영학전공,MGT4241-01,기술경영,쿼터없음,1 : 0.20,1 : 0.22,1 : 0.47,1 : 0.57
경영학전공,MGT4244-01,로지스틱스와생산전략,쿼터없음,1 : 0.10,1 : 0.42,1 : 1.23,1 : 1.16
경영학전공,MGT4246-01,서비스기업운영관리론,쿼터없음,1 : 1.10,1 : 2.30,1 : 5.35,1 : 2.83
경영학전공,MGT4248-01,비즈니스프로세스관리,쿼터없음,1 : 0.05,1 : 0.93,1 : 2.36,1 : 1.54
경영학전공,MGT4301-01,투자론,신청없음,1 : 0.13,1 : 0.57,1 : 0.55,1 : 0.74
경영학전공,MGT4301-02,투자론,신청없음,1 : 0.17,1 : 0.98,1 : 2.33,1 : 1.40
경영학전공,MGT4304-01,포트폴리오관리,신청없음,1 : 0.10,1 : 0.17,1 : 0.46,1 : 0.54
경영학전공,MGT4307-01,금융기관론,1 : 0.10,1 : 0.41,1 : 1.49,1 : 2.40,1 : 1.66
경영학전공,MGT4313-01,벤처와금융시장(캡스톤디자인),쿼터없음,신청없음,1 : 0.20,1 : 0.54,1 : 0.60
경영학전공,MGT4315-01,재무와지속가능사회,신청없음,1 : 0.43,1 : 0.86,1 : 2.36,1 : 1.49
경영학전공,MGT4331-01,보험학원론,신청없음,1 : 0.13,1 : 0.70,1 : 0.65,1 : 0.83
경영학전공,MGT4331-02,보험학원론,신청없음,1 : 0.13,1 : 0.24,1 : 0.20,1 : 0.37
경영학전공,MGT4332-01,기업리스크관리,신청없음,1 : 0.07,1 : 0.19,1 : 0.31,1 : 0.41
경영학전공,MGT4401-01,중급회계1,1 : 0.20,1 : 0.32,1 : 0.24,1 : 0.18,1 : 0.40
경영학전공,MGT4401-02,중급회계1,1 : 0.60,1 : 1.18,1 : 1.50,1 : 1.30,1 : 1.33
경영학전공,MGT4402-01,중급회계2,쿼터없음,1 : 0.20,1 : 0.22,1 : 0.44,1 : 0.57
경영학전공,MGT4404-01,원가회계,1 : 0.60,1 : 1.27,1 : 2.20,1 : 2.25,1 : 1.89
경영학전공,MGT4501-01,마케팅전략,쿼터없음,신청없음,1 : 0.10,1 : 0.21,1 : 0.27
경영학전공,MGT4502-01,소비자행동론,쿼터없음,1 : 1.00,1 : 2.17,1 : 3.60,1 : 2.24
경영학전공,MGT4503-01,시장조사론,쿼터없음,신청없음,1 : 0.02,1 : 0.16,1 : 0.17
경영학전공,MGT4507-01,유통전략론,쿼터없음,1 : 0.05,1 : 0.02,1 : 0.06,1 : 0.09
경영학전공,MGT4508-01,서비스마케팅,쿼터없음,신청없음,1 : 0.08,1 : 0.38,1 : 0.43
경영학전공,MGT4510-01,국제마케팅론,쿼터없음,신청없음,1 : 0.03,1 : 0.01,1 : 0.03
경영학전공,MGT4514-01,아시아마케팅전략(캡스톤디자인),쿼터없음,신청없음,1 : 0.20,1 : 0.27,1 : 0.37
경영학전공,MGT4516-01,인공지능과마케팅,쿼터없음,신청없음,1 : 0.03,1 : 0.17,1 : 0.18
경영학전공,MGT4601-01,기업과국제환경,쿼터없음,1 : 0.15,1 : 0.59,1 : 0.62,1 : 0.77
경영학전공,MGT4601-02,기업과국제환경,쿼터없음,1 : 0.20,1 : 0.22,1 : 0.34,1 : 0.46
경영학전공,MGT4605-01,무역경영관리,쿼터없음,1 : 0.75,1 : 3.16,1 : 3.83,1 : 3.00
경영학전공,MGT4607-01,국제금융시장론,쿼터없음,1 : 0.10,1 : 0.82,1 : 1.49,1 : 1.26
경영학전공,MGT4613-01,중국시장및경영환경의이해,쿼터없음,1 : 0.25,1 : 0.66,1 : 0.95,1 : 0.97
경영학전공,MGT4701-01,경영영어라이팅,쿼터없음,1 : 0.20,1 : 0.16,1 : 0.10,1 : 0.24
경영학전공,MGT4712-01,"지식,인성그리고경영",_,_,_,_,_
경영학전공,MGT4713-01,사회적가치창출프랙티컴,쿼터없음,쿼터없음,1 : 0.83,1 : 0.93,1 : 0.96
경영학전공,MGT4717-01,"지식,인성그리고경영(심화)",신청없음,신청없음,신청없음,1 : 0.05,1 : 0.05
정치학/경제학/철학 연계전공,PEP2000-01,"현대문명의정치,경제,철학적이해",신청없음,1 : 0.01,1 : 0.01,신청없음,1 : 0.02
철학전공,PHI2001-01,철학개론,1 : 1.60,1 : 0.57,1 : 0.16,1 : 0.16,1 : 0.65
철학전공,PHI2004-01,한국철학사,신청없음,1 : 0.27,1 : 0.10,1 : 0.19,1 : 0.33
철학전공,PHI2007-01,인식론,1 : 1.00,1 : 1.00,1 : 0.30,1 : 0.09,1 : 0.56
철학전공,PHI2008-01,윤리학,1 : 1.10,1 : 0.80,1 : 0.42,1 : 0.26,1 : 0.66
철학전공,PHI3004-01,서양현대철학사,쿼터없음,1 : 1.05,1 : 0.65,1 : 0.48,1 : 0.78
철학전공,PHI3013-01,현대독일철학,쿼터없음,1 : 0.30,1 : 0.09,1 : 0.10,1 : 0.23
철학전공,PHI3024-01,예술철학,쿼터없음,1 : 0.25,1 : 0.20,1 : 0.17,1 : 0.33
철학전공,PHI3042-01,한국성리학,쿼터없음,1 : 0.30,1 : 0.15,1 : 0.10,1 : 0.27
철학전공,PHI4013-01,현대미국철학,쿼터없음,1 : 0.70,1 : 0.73,1 : 0.56,1 : 0.80
철학전공,PHI4016-01,동양철학특강,쿼터없음,1 : 0.05,1 : 0.05,1 : 0.02,1 : 0.07
철학전공,PHI4024-01,과학기술의철학,쿼터없음,1 : 1.10,1 : 0.65,1 : 0.59,1 : 0.85
철학전공,PHI4035-01,예술철학특강,쿼터없음,신청없음,1 : 0.10,1 : 0.20,1 : 0.25
철학전공,PHI4099-01,개별연구논문,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
철학전공,PHIG081-01,서양철학연습,쿼터없음,1 : 0.10,신청없음,1 : 0.07,1 : 0.10
철학전공,PHIG082-01,동양철학읽기,쿼터없음,1 : 0.05,신청없음,1 : 0.03,1 : 0.05
철학전공,PHIQ983-01,철학교과교재연구및지도법,_,_,_,_,_
물리학전공,PHY1001-01,일반물리I,1 : 0.71,1 : 1.00,1 : 0.30,1 : 0.25,1 : 0.87
물리학전공,PHY1002-01,일반물리II,1 : 0.76,1 : 0.38,1 : 0.13,1 : 0.04,1 : 0.66
물리학전공,PHY1002-02,일반물리II,1 : 0.16,1 : 0.06,신청없음,1 : 0.02,1 : 0.16
물리학전공,PHY1002-03,일반물리II,1 : 1.40,1 : 1.60,1 : 0.20,1 : 0.08,1 : 1.17
물리학전공,PHY1002-04,일반물리II,1 : 1.31,1 : 0.90,1 : 0.18,1 : 0.36,1 : 1.07
물리학전공,PHY1002-05,일반물리II,1 : 0.07,신청없음,1 : 0.02,1 : 0.02,1 : 0.07
물리학전공,PHY1002-06,일반물리II,1 : 0.93,1 : 0.54,1 : 0.25,1 : 0.24,1 : 0.81
물리학전공,PHY1102-01,일반물리실험II,1 : 2.00,1 : 1.00,1 : 1.50,신청없음,1 : 1.69
물리학전공,PHY1102-02,일반물리실험II,1 : 1.82,1 : 0.50,신청없음,신청없음,1 : 1.31
