학과,과목분반,과목명,1학년,2학년,3학년 ,4학년,전학년
글로벌한국학전공,GKSG007-01,Big Data Analysis in Korean Studies,신청없음,신청없음,1 : 0.08,1 : 0.16,1 : 0.20
교양학부,HFS2001-01,철학적인간학,쿼터없음,1 : 1.28,1 : 2.40,1 : 1.80,1 : 1.54
교양학부,HFS2001-02,철학적인간학,쿼터없음,1 : 1.44,1 : 1.40,1 : 0.80,1 : 1.40
교양학부,HFS2001-03,철학적인간학,쿼터없음,1 : 0.28,1 : 0.04,1 : 0.09,1 : 0.31
교양학부,HFS2001-04,철학적인간학,쿼터없음,1 : 0.28,1 : 0.11,1 : 0.08,1 : 0.36
교양학부,HFS2002-01,신학적인간학,쿼터없음,1 : 0.68,1 : 0.42,1 : 0.12,1 : 0.69
교양학부,HFS2002-02,신학적인간학,쿼터없음,1 : 1.54,1 : 2.30,1 : 1.70,1 : 1.67
교양학부,HFS2002-03,신학적인간학,쿼터없음,1 : 1.48,1 : 1.40,1 : 0.80,1 : 1.40
교양학부,HFS2002-04,신학적인간학,쿼터없음,1 : 0.98,1 : 0.82,1 : 0.67,1 : 0.94
교양학부,HFS2002-05,신학적인간학,쿼터없음,1 : 0.10,신청없음,1 : 0.03,1 : 0.10
교양학부,HFS2002-06,신학적인간학,쿼터없음,1 : 0.16,1 : 0.08,1 : 0.09,1 : 0.24
교양학부,HFS2003-01,그리스도교윤리,쿼터없음,1 : 0.34,1 : 0.12,1 : 0.23,1 : 0.47
교양학부,HFS2003-02,그리스도교윤리,쿼터없음,1 : 0.40,1 : 0.20,1 : 0.10,1 : 0.46
교양학부,HFS2003-03,그리스도교윤리,쿼터없음,1 : 0.20,1 : 0.08,1 : 0.05,1 : 0.24
교양학부,HFS2003-04,그리스도교윤리,쿼터없음,1 : 0.42,1 : 0.23,1 : 0.33,1 : 0.61
교양학부,HFS2003-05,그리스도교윤리,쿼터없음,1 : 0.46,1 : 0.11,1 : 0.12,1 : 0.46
