개설전공,입력코드,과목명,전체,2학년,3학년,4학년,1학년
생명과학전공,BIO3212-01,생명공학개론,1 : 0.23,1 : 0.07,1 : 0.23,1 : 0.11,신청없음
생명과학전공,BIO3311-01,발생학,1 : 0.11,신청없음,1 : 0.13,1 : 0.05,신청없음
생명과학전공,BIO3712-01,미생물생리학,1 : 0.19,1 : 0.07,1 : 0.18,1 : 0.09,신청없음
생명과학전공,BIO4203-01,생명과학특허와기술이전,1 : 0.06,1 : 0.20,신청없음,1 : 0.05,신청없음
생명과학전공,BIO4252-01,암생물학,1 : 0.13,신청없음,1 : 0.08,1 : 0.10,신청없음
생명과학전공,BIO4321-01,인체생리학,1 : 0.17,신청없음,1 : 0.18,1 : 0.09,신청없음
생명과학전공,BIO4521-01,식물발달생물학,1 : 0.14,신청없음,1 : 0.13,1 : 0.08,신청없음
생명과학전공,BIO4721-01,바이러스학,1 : 0.56,1 : 0.60,1 : 0.74,1 : 0.21,신청없음
생명과학전공,BIO4911-01,최신생명과학탐색,1 : 0.03,신청없음,1 : 0.03,1 : 0.01,쿼터없음
생명과학전공,BIO4921-01,특수연구,1 : 0.10,쿼터없음,쿼터없음,1 : 0.10,쿼터없음
바이오융합기술연계전공,BNT3001-01,바이오융합기술프로젝트I,1 : 1.00,쿼터없음,1 : 2.00,1 : 1.00,신청없음
바이오융합기술연계전공,BNT3091-01,특수연구I,1 : 0.10,쿼터없음,쿼터없음,1 : 0.10,쿼터없음
바이오융합기술연계전공,BNTG001-01,바이오테크놀로지,1 : 0.60,쿼터없음,1 : 0.60,1 : 0.36,쿼터없음
바이오융합기술연계전공,BNTG008-01,바이오융합산업기술,1 : 0.90,쿼터없음,1 : 0.50,1 : 0.80,쿼터없음
바이오융합기술연계전공,BNTG031-01,지식재산권과특허,1 : 0.63,쿼터없음,1 : 0.60,1 : 0.43,쿼터없음
화공생명공학전공,CBE2003-01,화공생명공학양론,1 : 1.44,1 : 1.13,쿼터없음,쿼터없음,쿼터없음
화공생명공학전공,CBE2004-01,물리화학,1 : 0.79,1 : 0.78,1 : 0.36,1 : 0.05,쿼터없음
화공생명공학전공,CBE2004-02,물리화학,1 : 0.74,1 : 0.64,1 : 0.27,1 : 0.19,쿼터없음
화공생명공학전공,CBE2005-01,응용유기화학,1 : 0.80,1 : 0.93,1 : 0.07,신청없음,쿼터없음
화공생명공학전공,CBE2005-02,응용유기화학,1 : 0.86,1 : 0.80,1 : 0.38,1 : 0.28,쿼터없음
화공생명공학전공,CBE2008-01,화공생명공학기초실험I,1 : 1.00,1 : 1.07,1 : 0.20,쿼터없음,쿼터없음
화공생명공학전공,CBE2008-02,화공생명공학기초실험I,1 : 0.75,1 : 0.93,신청없음,쿼터없음,쿼터없음
화공생명공학전공,CBE2008-03,화공생명공학기초실험I,1 : 1.05,1 : 1.27,1 : 0.40,쿼터없음,쿼터없음
화공생명공학전공,CBE2008-04,화공생명공학기초실험I,1 : 0.65,1 : 0.67,1 : 0.10,쿼터없음,쿼터없음
화공생명공학전공,CBE2008-05,화공생명공학기초실험I,1 : 0.20,1 : 0.27,신청없음,쿼터없음,쿼터없음
화공생명공학전공,CBE2011-01,화공수학I,1 : 0.69,1 : 0.67,1 : 0.21,1 : 0.07,쿼터없음
화공생명공학전공,CBE2011-02,화공수학I,1 : 0.70,1 : 0.65,1 : 0.28,1 : 0.08,쿼터없음
화공생명공학전공,CBE3002-01,공정열역학,1 : 0.57,쿼터없음,1 : 0.37,1 : 0.38,쿼터없음
화공생명공학전공,CBE3003-01,반응공학,1 : 0.46,쿼터없음,1 : 0.47,1 : 0.10,쿼터없음
화공생명공학전공,CBE3003-02,반응공학,1 : 0.53,쿼터없음,1 : 0.58,1 : 0.03,쿼터없음
화공생명공학전공,CBE3004-01,화공유체역학,1 : 0.50,쿼터없음,1 : 0.53,1 : 0.08,쿼터없음
화공생명공학전공,CBE3004-02,화공유체역학,1 : 0.57,쿼터없음,1 : 0.62,1 : 0.06,쿼터없음
화공생명공학전공,CBE3007-01,고분자공학,1 : 1.16,쿼터없음,1 : 1.07,1 : 1.60,쿼터없음
화공생명공학전공,CBE3010-01,양자화학,1 : 0.26,쿼터없음,1 : 0.12,1 : 0.17,쿼터없음
화공생명공학전공,CBE3013-01,응용분자생물학,1 : 0.94,쿼터없음,1 : 0.95,1 : 0.69,쿼터없음
화공생명공학전공,CBE3015-01,화공생명공학요소실험I,1 : 1.15,쿼터없음,1 : 1.40,1 : 0.20,쿼터없음
화공생명공학전공,CBE3015-02,화공생명공학요소실험I,1 : 0.80,쿼터없음,1 : 1.00,1 : 0.20,쿼터없음
화공생명공학전공,CBE3015-03,화공생명공학요소실험I,1 : 0.50,쿼터없음,1 : 0.67,신청없음,쿼터없음
화공생명공학전공,CBE3015-04,화공생명공학요소실험I,1 : 0.45,쿼터없음,1 : 0.60,신청없음,쿼터없음
화공생명공학전공,CBE3015-05,화공생명공학요소실험I,1 : 0.80,쿼터없음,1 : 1.00,1 : 0.20,쿼터없음
화공생명공학전공,CBE4001-01,화공생명공학심화종합설계,1 : 0.43,쿼터없음,1 : 0.10,1 : 0.41,쿼터없음
화공생명공학전공,CBE4003-01,이동현상,1 : 0.17,쿼터없음,1 : 0.10,1 : 0.16,쿼터없음
화공생명공학전공,CBE4004-01,분리정제공정,1 : 0.33,쿼터없음,1 : 0.20,1 : 0.31,쿼터없음
화공생명공학전공,CBE4013-01,생물화학공학,1 : 0.24,쿼터없음,1 : 0.20,1 : 0.22,쿼터없음
화공생명공학전공,CBE4017-01,화공생명공학공정실험,1 : 0.20,쿼터없음,신청없음,1 : 0.20,쿼터없음
화공생명공학전공,CBE4017-02,화공생명공학공정실험,1 : 0.85,쿼터없음,1 : 0.40,1 : 0.78,쿼터없음
