과목코드+분반코드,과목명,전체,1학년,2학년,3학년,4학년
EUR3216-01,독어학의신세계,0.32 : 1,0.20 : 1,0.33 : 1,0.14 : 1,0.06 : 1
EUR3223-01,독작문2,0.18 : 1,신청없음,0.04 : 1,0.09 : 1,0.09 : 1
EUR3233-01,독일낭만주의문학,0.12 : 1,신청없음,0.30 : 1,신청없음,신청없음
EUR3238-01,독일작가론,0.14 : 1,신청없음,0.16 : 1,0.02 : 1,0.04 : 1
EUR3320-01,시청각프랑스어1,0.51 : 1,신청없음,0.45 : 1,0.14 : 1,0.26 : 1
EUR3322-01,시청각프랑스어3,0.03 : 1,신청없음,신청없음,0.04 : 1,신청없음
EUR3323-01,프랑스어작문1,0.90 : 1,신청없음,0.53 : 1,0.71 : 1,0.70 : 1
EUR3341-01,프랑스문학개론,0.36 : 1,신청없음,0.40 : 1,0.15 : 1,0.12 : 1
EUR3344-01,프랑스희곡읽기,0.46 : 1,신청없음,0.13 : 1,0.52 : 1,0.10 : 1
EUR3372-01,프랑스및프랑스어권의영화,0.40 : 1,신청없음,0.33 : 1,0.20 : 1,0.19 : 1
EUR4106-01,유럽의젠더연구,1.16 : 1,0.20 : 1,0.83 : 1,1.13 : 1,2.00 : 1
EUR4219-01,시청각독어2,0.24 : 1,신청없음,0.40 : 1,0.12 : 1,0.12 : 1
EURG307-01,불어학연구,0.72 : 1,쿼터없음,0.80 : 1,0.27 : 1,0.61 : 1
GES3001-01,성평등인간학,0.10 : 1,0.07 : 1,0.03 : 1,0.05 : 1,0.04 : 1
GES3007-01,여성과정치,0.15 : 1,0.07 : 1,신청없음,0.14 : 1,0.04 : 1
GES3012-01,여성과대중문화,0.22 : 1,0.20 : 1,0.07 : 1,0.08 : 1,0.10 : 1
GES3019-01,성과사랑,0.07 : 1,신청없음,0.03 : 1,0.02 : 1,0.03 : 1
GES3021-01,상담과젠더,0.10 : 1,신청없음,0.03 : 1,신청없음,0.08 : 1
GESG002-01,여성학연구방법론,0.02 : 1,신청없음,신청없음,0.02 : 1,신청없음
GKS2001-01,Introductory Seminar in Korean Studies,0.50 : 1,0.80 : 1,0.55 : 1,0.27 : 1,0.06 : 1
GKS2005-01,AdvancedAcademicWritinginKoreanStudies,0.07 : 1,신청없음,0.10 : 1,신청없음,0.03 : 1
GKS3003-01,Intro to Korean Sociolinguistics,0.06 : 1,신청없음,신청없음,0.04 : 1,0.03 : 1
GKS3006-01,East asian development Revisited,0.37 : 1,신청없음,0.40 : 1,0.14 : 1,0.08 : 1
GKS3024-01,Korean Language&Culture-Intermediate,0.61 : 1,신청없음,0.50 : 1,0.20 : 1,0.38 : 1
GKS3030-01,Korean Language&Culture-Advanced,0.24 : 1,신청없음,신청없음,0.08 : 1,0.20 : 1
GKS4011-01,The Medium of Korean Cultural Modernity,0.24 : 1,신청없음,0.15 : 1,0.12 : 1,0.09 : 1
GKS4013-01,Korean Historians Behind the Camera,0.29 : 1,신청없음,0.22 : 1,0.13 : 1,0.11 : 1
GKS4016-01,국제한국학이론과실습1(캡스톤디자인),0.50 : 1,신청없음,신청없음,0.27 : 1,0.38 : 1
GKSG003-01,Reading Theories of Korean Development,0.15 : 1,신청없음,신청없음,0.07 : 1,0.11 : 1
HFS2001-01,철학적인간학,0.21 : 1,쿼터없음,0.16 : 1,0.08 : 1,0.03 : 1
HFS2001-02,철학적인간학,0.79 : 1,쿼터없음,0.58 : 1,0.39 : 1,0.38 : 1
HFS2001-03,철학적인간학,0.49 : 1,쿼터없음,0.44 : 1,0.18 : 1,0.12 : 1
HFS2001-04,철학적인간학,0.20 : 1,쿼터없음,0.12 : 1,0.13 : 1,신청없음
HFS2001-05,철학적인간학,0.49 : 1,쿼터없음,0.40 : 1,0.18 : 1,0.16 : 1
HFS2002-01,신학적인간학,1.24 : 1,쿼터없음,1.16 : 1,1.20 : 1,1.60 : 1
HFS2002-02,신학적인간학,0.33 : 1,쿼터없음,0.20 : 1,0.18 : 1,0.06 : 1
HFS2002-03,신학적인간학,0.83 : 1,쿼터없음,0.46 : 1,0.51 : 1,0.54 : 1
HFS2002-04,신학적인간학,1.24 : 1,쿼터없음,1.24 : 1,1.20 : 1,1.10 : 1
HFS2002-05,신학적인간학,0.01 : 1,쿼터없음,신청없음,신청없음,0.01 : 1
HFS2002-06,신학적인간학,0.07 : 1,쿼터없음,0.02 : 1,0.05 : 1,0.02 : 1
HFS2003-01,그리스도교윤리,1.23 : 1,쿼터없음,0.98 : 1,1.91 : 1,1.50 : 1
HFS2003-02,그리스도교윤리,1.07 : 1,쿼터없음,0.58 : 1,0.84 : 1,1.33 : 1
HFS2003-03,그리스도교윤리,0.49 : 1,쿼터없음,0.32 : 1,0.23 : 1,0.16 : 1
HFS2003-04,그리스도교윤리,0.46 : 1,쿼터없음,0.44 : 1,0.13 : 1,0.12 : 1
HFS2003-05,그리스도교윤리,1.10 : 1,쿼터없음,1.06 : 1,1.20 : 1,1.10 : 1
HFU4003-01,생명윤리,0.22 : 1,0.20 : 1,0.11 : 1,0.06 : 1,0.11 : 1
HFU4009-01,영성과문화예술,1.56 : 1,3.90 : 1,0.70 : 1,0.66 : 1,1.50 : 1
HFU4012-01,그리스도교신앙과영성,0.56 : 1,쿼터없음,0.93 : 1,0.27 : 1,0.03 : 1
HFU4014-01,영성수련,0.63 : 1,쿼터없음,0.23 : 1,0.22 : 1,0.53 : 1
HFU4023-01,진·선·미·성,1.32 : 1,쿼터없음,1.43 : 1,0.70 : 1,0.77 : 1
HFU4025-01,소명과선택,0.30 : 1,쿼터없음,0.08 : 1,0.12 : 1,0.22 : 1
HIS2002-01,현대세계의역사적이해,0.79 : 1,1.45 : 1,0.90 : 1,0.23 : 1,0.30 : 1
HIS3002-01,고려시대사,0.14 : 1,0.05 : 1,0.03 : 1,0.07 : 1,0.07 : 1
HIS3005-01,한국현대사,0.50 : 1,0.40 : 1,0.38 : 1,0.25 : 1,0.20 : 1
HIS3006-01,중국고대사,0.24 : 1,신청없음,0.15 : 1,0.06 : 1,0.14 : 1
HIS3008-01,중국근세사,1.20 : 1,0.25 : 1,1.31 : 1,0.70 : 1,1.19 : 1
HIS3010-01,중국현대사,0.28 : 1,0.05 : 1,0.15 : 1,0.09 : 1,0.15 : 1
HIS3014-01,일본사개설,0.48 : 1,0.05 : 1,0.51 : 1,0.21 : 1,0.18 : 1
HIS3015-01,요동사,0.04 : 1,신청없음,0.03 : 1,신청없음,0.03 : 1
HIS3021-01,서양고대사,0.24 : 1,0.35 : 1,0.21 : 1,0.07 : 1,0.03 : 1
HIS3037-01,미국사개설,0.10 : 1,신청없음,0.05 : 1,0.02 : 1,0.06 : 1
HIS3040-01,한국사개론Ⅱ,0.13 : 1,0.10 : 1,0.08 : 1,0.05 : 1,0.03 : 1
HIS3041-01,한국사상사,0.31 : 1,0.05 : 1,0.31 : 1,0.13 : 1,0.10 : 1
HIS3052-01,한국금석학,0.10 : 1,신청없음,0.15 : 1,0.02 : 1,0.01 : 1
HIS3057-01,중국사회경제사,0.13 : 1,쿼터없음,0.20 : 1,신청없음,0.07 : 1
HIS3062-01,서양사개론Ⅱ,0.05 : 1,신청없음,0.05 : 1,신청없음,0.03 : 1
HIS3071-01,문화유산현장실습2,0.28 : 1,0.05 : 1,0.18 : 1,0.10 : 1,0.13 : 1
HIS3073-01,문화유산현장실습4,0.80 : 1,0.40 : 1,쿼터없음,쿼터없음,쿼터없음
HIS4004-01,한국사특강4,0.04 : 1,신청없음,0.03 : 1,신청없음,0.03 : 1
HIS4007-01,한국사강독3,0.28 : 1,신청없음,0.05 : 1,0.17 : 1,0.15 : 1
HIS4014-01,서양사특강3,0.19 : 1,0.10 : 1,0.13 : 1,0.06 : 1,0.07 : 1
HIS4018-01,서양사명저해제2,0.10 : 1,신청없음,0.03 : 1,0.08 : 1,0.03 : 1
HIS4031-01,역사글쓰기,0.09 : 1,신청없음,0.07 : 1,0.08 : 1,신청없음
HISQ983-01,역사교과교재연구및지도법,0.03 : 1,신청없음,신청없음,0.03 : 1,신청없음
HLU4001-01,영양과다이어트,0.74 : 1,0.25 : 1,0.29 : 1,0.18 : 1,0.64 : 1
HLU4003-01,운동과건강,0.44 : 1,0.17 : 1,신청없음,0.06 : 1,0.39 : 1
HLU4006-01,요가,0.70 : 1,0.14 : 1,0.15 : 1,0.16 : 1,0.63 : 1
HLU4007-01,테니스,1.30 : 1,0.29 : 1,0.42 : 1,0.20 : 1,1.45 : 1
HLU4013-01,축구,0.57 : 1,0.43 : 1,0.18 : 1,0.12 : 1,0.43 : 1
HLU4014-01,야구,0.60 : 1,0.57 : 1,0.10 : 1,0.12 : 1,0.48 : 1
HLU4015-01,골프,0.60 : 1,0.14 : 1,0.15 : 1,0.05 : 1,0.54 : 1
HLU4015-02,골프,0.20 : 1,신청없음,신청없음,0.05 : 1,0.17 : 1
HSS3002-01,사회봉사,0.92 : 1,0.40 : 1,0.33 : 1,0.21 : 1,0.85 : 1
HSS3002-02,사회봉사,0.62 : 1,0.20 : 1,0.32 : 1,0.19 : 1,0.37 : 1
HSS3005-01,수화의이해,1.96 : 1,1.50 : 1,1.65 : 1,1.30 : 1,3.40 : 1
HSS3005-02,수화의이해,0.50 : 1,0.30 : 1,0.21 : 1,0.07 : 1,0.40 : 1
HSS3011-01,영어토론세미나,1.67 : 1,쿼터없음,1.40 : 1,2.30 : 1,1.20 : 1
HSS3011-02,영어토론세미나,1.80 : 1,쿼터없음,2.00 : 1,1.90 : 1,1.67 : 1
HSS3011-03,영어토론세미나,1.80 : 1,쿼터없음,1.80 : 1,2.20 : 1,1.53 : 1
HSS3013-01,현대인문세미나,0.17 : 1,0.18 : 1,0.15 : 1,0.04 : 1,0.04 : 1
HSS3013-02,현대인문세미나,0.93 : 1,0.40 : 1,0.62 : 1,0.50 : 1,0.69 : 1
HSS3013-03,현대인문세미나,0.19 : 1,0.31 : 1,0.15 : 1,0.03 : 1,0.04 : 1
HSS3013-04,현대인문세미나,0.39 : 1,0.24 : 1,0.23 : 1,0.09 : 1,0.08 : 1
HSS3016-01,진로탐색입문,0.26 : 1,0.68 : 1,0.13 : 1,쿼터없음,쿼터없음
HSS3016-02,진로탐색입문,0.41 : 1,1.15 : 1,0.22 : 1,쿼터없음,쿼터없음
HSS3017-01,학습매니지먼트,2.37 : 1,0.90 : 1,2.45 : 1,4.40 : 1,2.60 : 1
HSS3021-01,인간과지성,0.39 : 1,신청없음,0.09 : 1,0.08 : 1,0.31 : 1
