과목코드+분반코드,개설전공,과목명,전체,2학년,3학년,4학년,1학년
ENG3108-01,영미어문전공,최근미국문학,1.69 : 1,1.20 : 1,2.60 : 1,1.50 : 1,쿼터없음
ENG3201-01,영미어문전공,신화와문학,0.77 : 1,0.95 : 1,1.06 : 1,1.00 : 1,신청없음
ENG3216-01,영미어문전공,영문학특강,0.46 : 1,1.00 : 1,0.27 : 1,0.10 : 1,쿼터없음
ENG3219-01,영미어문전공,미국소수민족문학,1.20 : 1,1.80 : 1,1.50 : 1,1.80 : 1,신청없음
ENG3301-01,영미어문전공,영어음성학,0.14 : 1,신청없음,신청없음,0.14 : 1,쿼터없음
ENG3305-01,영미어문전공,영어화용론,0.46 : 1,0.40 : 1,0.26 : 1,0.23 : 1,쿼터없음
ENG3408-01,영미어문전공,영어교육론,0.33 : 1,0.33 : 1,0.12 : 1,0.16 : 1,쿼터없음
ENG3410-01,영미어문전공,영문창작,0.28 : 1,0.27 : 1,0.15 : 1,0.14 : 1,0.03 : 1
ENGG006-01,영미어문전공,초기및19세기미국문학프로세미나,0.03 : 1,신청없음,신청없음,0.03 : 1,신청없음
ENGG204-01,영미어문전공,음운론 I,0.20 : 1,쿼터없음,신청없음,0.20 : 1,쿼터없음
ETS2001-01,교양학부,현대세계와윤리문제,0.04 : 1,0.05 : 1,0.03 : 1,0.02 : 1,신청없음
ETS2001-02,교양학부,현대세계와윤리문제,0.04 : 1,신청없음,신청없음,0.03 : 1,0.01 : 1
ETS2001-03,교양학부,현대세계와윤리문제,0.41 : 1,0.85 : 1,0.35 : 1,0.20 : 1,0.02 : 1
ETS2001-04,교양학부,현대세계와윤리문제,0.20 : 1,0.30 : 1,0.15 : 1,0.04 : 1,0.04 : 1
ETS2002-01,교양학부,논리와비판적사고,0.20 : 1,0.15 : 1,0.24 : 1,0.08 : 1,신청없음
ETS2002-02,교양학부,논리와비판적사고,0.48 : 1,0.90 : 1,0.23 : 1,0.24 : 1,0.13 : 1
ETS2002-03,교양학부,논리와비판적사고,0.08 : 1,0.10 : 1,0.05 : 1,0.04 : 1,신청없음
ETS2002-04,교양학부,논리와비판적사고,0.29 : 1,0.55 : 1,0.17 : 1,0.14 : 1,0.02 : 1
ETS2002-05,교양학부,논리와비판적사고,0.28 : 1,0.45 : 1,0.19 : 1,0.11 : 1,0.03 : 1
ETS2002-06,교양학부,논리와비판적사고,0.81 : 1,1.85 : 1,0.65 : 1,0.37 : 1,0.14 : 1
ETS2004-01,교양학부,종교와세계문화,0.13 : 1,0.28 : 1,0.07 : 1,0.03 : 1,0.01 : 1
ETS2004-02,교양학부,종교와세계문화,0.08 : 1,신청없음,0.05 : 1,0.07 : 1,신청없음
ETS2004-03,교양학부,종교와세계문화,0.06 : 1,0.10 : 1,0.05 : 1,0.01 : 1,신청없음
ETS2004-04,교양학부,종교와세계문화,0.81 : 1,1.53 : 1,0.60 : 1,0.43 : 1,0.28 : 1
ETS2004-05,교양학부,종교와세계문화,0.09 : 1,0.18 : 1,0.03 : 1,0.01 : 1,0.03 : 1
ETS2004-06,교양학부,종교와세계문화,0.01 : 1,신청없음,신청없음,0.01 : 1,신청없음
ETS2004-07,교양학부,종교와세계문화,0.18 : 1,0.38 : 1,0.08 : 1,0.04 : 1,0.04 : 1
ETU4004-01,교양학부,동아시아철학고전읽기,0.65 : 1,0.80 : 1,0.71 : 1,0.63 : 1,0.07 : 1
ETU4008-01,교양학부,삶과죽음,0.36 : 1,0.40 : 1,0.31 : 1,0.26 : 1,신청없음
ETU4009-01,교양학부,영화와철학,0.81 : 1,0.40 : 1,0.72 : 1,1.17 : 1,신청없음
ETU4010-01,교양학부,한국문화와종교,0.23 : 1,0.08 : 1,0.09 : 1,0.24 : 1,신청없음
ETU4016-01,교양학부,"종교,폭력,평화",0.98 : 1,1.35 : 1,0.95 : 1,1.50 : 1,0.03 : 1
EUR2103-01,유럽문화전공,유럽문학의명작감상,0.53 : 1,0.95 : 1,0.45 : 1,0.38 : 1,0.07 : 1
EUR2201-01,독일문화전공,기초독어,0.62 : 1,0.90 : 1,0.86 : 1,1.17 : 1,신청없음
EUR2303-01,프랑스문화전공,프랑스어문법1,0.35 : 1,0.75 : 1,0.27 : 1,0.05 : 1,0.03 : 1
EUR2315-01,프랑스문화전공,프랑스문화의이해,0.60 : 1,0.85 : 1,0.69 : 1,0.64 : 1,0.04 : 1
EUR3101-01,유럽문화전공,국제관계와유럽,0.54 : 1,0.25 : 1,0.43 : 1,0.24 : 1,0.04 : 1
EUR3152-01,유럽문화전공,유럽의여행문학,0.16 : 1,신청없음,0.13 : 1,0.08 : 1,신청없음
EUR3202-01,독일문화전공,시청각독어1,0.92 : 1,0.75 : 1,0.80 : 1,1.00 : 1,0.20 : 1
EUR3209-01,독일문화전공,독일어어휘연습,0.46 : 1,0.75 : 1,0.24 : 1,0.08 : 1,신청없음
EUR3215-01,독일문화전공,독일어단어형성의이해,0.08 : 1,신청없음,0.05 : 1,0.05 : 1,신청없음
EUR3218-01,독일문화전공,게르만인과언어,0.16 : 1,0.10 : 1,0.05 : 1,0.10 : 1,신청없음
EUR3231-01,독일문화전공,독일문학사,0.26 : 1,0.10 : 1,0.13 : 1,0.16 : 1,신청없음
EUR3237-01,독일문화전공,독일어권문학연구,0.14 : 1,0.15 : 1,0.05 : 1,0.05 : 1,신청없음
EUR3246-01,독일문화전공,독일의청년문화,0.34 : 1,0.60 : 1,0.11 : 1,0.07 : 1,신청없음
EUR3321-01,프랑스문화전공,시청각프랑스어2,0.27 : 1,신청없음,0.25 : 1,0.15 : 1,신청없음
EUR3343-01,프랑스문화전공,프랑스언어학,0.44 : 1,0.10 : 1,0.32 : 1,0.22 : 1,쿼터없음
EUR3350-01,프랑스문화전공,현대프랑스소설1,0.33 : 1,0.10 : 1,0.42 : 1,0.08 : 1,신청없음
EUR3364-01,프랑스문화전공,프랑스문화강독1,0.52 : 1,0.20 : 1,0.44 : 1,0.20 : 1,쿼터없음
EUR3367-01,프랑스문화전공,프랑스대중문화연구,0.23 : 1,신청없음,0.04 : 1,0.21 : 1,쿼터없음
EUR3368-01,프랑스문화전공,프랑스어와대중매체,0.23 : 1,신청없음,0.12 : 1,0.16 : 1,쿼터없음
EUR4381-01,프랑스문화전공,시청각프랑스어4,0.33 : 1,신청없음,신청없음,0.33 : 1,쿼터없음
EUR4395-01,프랑스문화전공,프랑스문학과역사,0.50 : 1,신청없음,0.15 : 1,0.55 : 1,신청없음
EURG211-01,독일문화전공,고급독어,0.20 : 1,0.20 : 1,0.29 : 1,0.05 : 1,신청없음
GES2001-01,여성학 연계전공,현대사회와여성,0.18 : 1,0.27 : 1,0.15 : 1,0.08 : 1,신청없음
GES3009-01,여성학 연계전공,여성심리학,0.37 : 1,0.40 : 1,0.25 : 1,0.24 : 1,0.05 : 1
GES3010-01,여성학 연계전공,남성문화연구,0.12 : 1,신청없음,0.03 : 1,0.14 : 1,신청없음
GESG001-01,여성학 연계전공,여성학이론,0.12 : 1,0.20 : 1,신청없음,0.10 : 1,신청없음
GESG003-01,여성학 연계전공,여성운동사,0.13 : 1,0.20 : 1,0.07 : 1,0.08 : 1,신청없음
GESG004-01,여성학 연계전공,여성과미디어,0.22 : 1,0.07 : 1,0.14 : 1,0.20 : 1,신청없음
GKS2002-01,국제한국학전공,Korean Studies and Data Science,0.15 : 1,0.20 : 1,0.22 : 1,신청없음,신청없음
GKS3001-01,국제한국학전공,Introduction to Korean Literature,0.30 : 1,0.15 : 1,0.30 : 1,0.14 : 1,신청없음
GKS3002-01,글로벌한국학전공,Intro to Korea thru Literature and Film,0.25 : 1,0.35 : 1,0.09 : 1,0.13 : 1,신청없음
GKS3011-01,국제한국학전공,Korean Studies Seminar I : Everyday Life,0.35 : 1,0.35 : 1,0.21 : 1,0.19 : 1,신청없음
GKS3013-01,국제한국학전공,Korean Studies in Practice II(Capstone),0.25 : 1,0.20 : 1,0.28 : 1,0.13 : 1,신청없음
GKS3029-01,글로벌한국학전공,Korean Language and Society-Beginner,0.53 : 1,0.33 : 1,0.40 : 1,0.71 : 1,신청없음
