과목코드+분반코드,개설전공,과목명,전체,2학년,3학년,4학년,1학년
KCS1002-01,교양학부,한국문화의이해와탐색,0.76 : 1,쿼터없음,쿼터없음,쿼터없음,0.76 : 1
KCS1002-02,교양학부,한국문화의이해와탐색,0.18 : 1,쿼터없음,쿼터없음,쿼터없음,0.16 : 1
KIC2001-01,한국발전과국제개발협력연계전공,국제개발협력개론,0.18 : 1,0.07 : 1,0.14 : 1,0.15 : 1,신청없음
KIC3013-01,한국발전과국제개발협력연계전공,한국 국제개발협력 정책과 사례,0.13 : 1,0.07 : 1,0.07 : 1,0.12 : 1,신청없음
KIC3015-01,한국발전과국제개발협력연계전공,국제개발협력실습I,0.03 : 1,신청없음,신청없음,0.03 : 1,신청없음
KIC3101-01,한국발전과국제개발협력연계전공,공공외교와세계시민교육,0.15 : 1,0.10 : 1,0.05 : 1,0.14 : 1,신청없음
KIC3102-01,한국발전과국제개발협력연계전공,문화와공공외교,0.18 : 1,0.10 : 1,신청없음,0.17 : 1,0.03 : 1
KOR2001-01,국어국문학전공,국어학입문,0.40 : 1,1.40 : 1,쿼터없음,쿼터없음,0.03 : 1
KOR2200-01,국어국문학전공,국문학개설,0.80 : 1,1.80 : 1,1.40 : 1,1.00 : 1,0.10 : 1
KOR2201-01,국어국문학전공,문학이란무엇인가,1.18 : 1,2.30 : 1,2.80 : 1,1.40 : 1,0.15 : 1
KOR3004-01,국어국문학전공,국어형태론,1.68 : 1,3.20 : 1,1.10 : 1,1.30 : 1,쿼터없음
KOR3205-01,국어국문학전공,문장과수사,2.25 : 1,1.63 : 1,2.14 : 1,3.40 : 1,쿼터없음
KOR3209-01,국어국문학전공,문학주제학,0.09 : 1,0.10 : 1,0.04 : 1,0.04 : 1,쿼터없음
KOR3213-01,국어국문학전공,기호학,1.11 : 1,0.73 : 1,0.89 : 1,1.29 : 1,쿼터없음
KOR3300-01,국어국문학전공,고전문학사,0.22 : 1,신청없음,0.17 : 1,0.13 : 1,쿼터없음
KOR3313-01,국어국문학전공,판소리연행론,0.70 : 1,0.85 : 1,0.65 : 1,0.36 : 1,쿼터없음
KOR3315-01,국어국문학전공,신화론,1.09 : 1,1.00 : 1,1.33 : 1,0.93 : 1,쿼터없음
KOR3401-01,국어국문학전공,현대시텍스트읽기I,1.10 : 1,1.35 : 1,1.05 : 1,0.90 : 1,쿼터없음
KOR3402-01,국어국문학전공,현대소설텍스트읽기I,0.50 : 1,0.60 : 1,0.22 : 1,쿼터없음,0.10 : 1
KOR3403-01,국어국문학전공,현대희곡텍스트읽기,0.36 : 1,0.33 : 1,0.44 : 1,0.07 : 1,신청없음
KOR4300-01,국어국문학전공,고전문학연습,0.30 : 1,쿼터없음,0.20 : 1,0.22 : 1,쿼터없음
KOR4501-01,국어국문학전공,언어와컴퓨터,1.75 : 1,0.80 : 1,1.36 : 1,3.20 : 1,쿼터없음
KOR4504-01,국어국문학전공,문학과문화콘텐츠,0.63 : 1,0.47 : 1,0.57 : 1,0.72 : 1,신청없음
KORQ981-01,국어국문학전공,국어교과교육론,0.10 : 1,신청없음,신청없음,0.10 : 1,쿼터없음
KSC3004-01,한국사회문화연계전공,한국사회이해를위한논리적말하기,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
KSC4001-01,한국사회문화연계전공,한국대중문화의이해,0.20 : 1,신청없음,0.03 : 1,0.26 : 1,0.02 : 1
KSC4002-01,한국사회문화연계전공,영화로이해하는한국,0.28 : 1,0.25 : 1,0.16 : 1,0.19 : 1,0.04 : 1
KSC4003-01,한국사회문화연계전공,한류와문화산업,0.22 : 1,0.10 : 1,0.04 : 1,0.24 : 1,0.02 : 1
KSC4004-01,한국사회문화연계전공,한국의국제관계,0.17 : 1,0.05 : 1,0.03 : 1,0.18 : 1,0.02 : 1
LAU4014-01,교양학부,한국미술의역사와감상,0.93 : 1,0.50 : 1,0.53 : 1,1.25 : 1,신청없음
LAU4015-01,교양학부,서양미술의역사와감상,0.54 : 1,0.68 : 1,0.27 : 1,0.47 : 1,0.10 : 1
LAU4021-01,교양학부,서양음악의역사와감상,0.52 : 1,0.63 : 1,0.41 : 1,0.38 : 1,0.09 : 1
LAU4029-01,교양학부,세계음악과문화의이해,0.12 : 1,0.18 : 1,0.06 : 1,0.07 : 1,0.01 : 1
LAU4032-01,교양학부,뮤지컬의이해,0.40 : 1,0.60 : 1,0.21 : 1,0.19 : 1,0.11 : 1
LAU4035-01,교양학부,사진의이해,1.43 : 1,1.35 : 1,0.75 : 1,2.76 : 1,0.15 : 1
LAU4038-01,교양학부,동양미술의이해,0.30 : 1,0.30 : 1,0.17 : 1,0.27 : 1,신청없음
LAU4053-01,교양학부,축제적연극의창작,0.01 : 1,0.01 : 1,0.02 : 1,0.01 : 1,신청없음
LCS2001-01,교양학부,독일언어와문화I,0.20 : 1,0.30 : 1,0.10 : 1,0.18 : 1,신청없음
LCS2001-02,교양학부,독일언어와문화I,0.53 : 1,0.60 : 1,0.86 : 1,1.33 : 1,신청없음
LCS2001-03,교양학부,독일언어와문화I,0.03 : 1,0.10 : 1,신청없음,신청없음,신청없음
LCS2001-04,교양학부,독일언어와문화I,0.30 : 1,0.30 : 1,0.50 : 1,0.14 : 1,신청없음
LCS2001-05,교양학부,독일언어와문화I,0.13 : 1,0.20 : 1,0.09 : 1,신청없음,0.04 : 1
LCS2001-06,교양학부,독일언어와문화I,0.13 : 1,0.20 : 1,신청없음,0.15 : 1,신청없음
LCS2002-01,교양학부,독일언어와문화II,0.37 : 1,0.50 : 1,0.25 : 1,0.25 : 1,0.10 : 1
LCS2002-02,교양학부,독일언어와문화II,0.13 : 1,0.20 : 1,신청없음,0.08 : 1,0.04 : 1
LCS2003-01,교양학부,프랑스언어와문화I,0.37 : 1,0.60 : 1,0.44 : 1,쿼터없음,0.07 : 1
LCS2003-02,교양학부,프랑스언어와문화I,0.20 : 1,0.20 : 1,0.31 : 1,쿼터없음,신청없음
LCS2003-03,교양학부,프랑스언어와문화I,0.50 : 1,0.70 : 1,0.63 : 1,쿼터없음,0.07 : 1
LCS2003-04,교양학부,프랑스언어와문화I,0.23 : 1,0.50 : 1,0.10 : 1,쿼터없음,신청없음
LCS2003-05,교양학부,프랑스언어와문화I,0.30 : 1,0.60 : 1,0.22 : 1,쿼터없음,신청없음
LCS2003-06,교양학부,프랑스언어와문화I,0.33 : 1,0.30 : 1,0.42 : 1,쿼터없음,신청없음
LCS2004-01,교양학부,프랑스언어와문화II,0.23 : 1,0.70 : 1,신청없음,쿼터없음,신청없음
LCS2005-01,교양학부,중국언어와문화I,0.17 : 1,0.10 : 1,0.18 : 1,0.03 : 1,0.04 : 1
LCS2005-02,교양학부,중국언어와문화I,0.08 : 1,신청없음,0.07 : 1,0.05 : 1,0.02 : 1
LCS2005-03,교양학부,중국언어와문화I,0.05 : 1,0.10 : 1,신청없음,0.03 : 1,신청없음
LCS2005-04,교양학부,중국언어와문화I,0.10 : 1,0.05 : 1,0.03 : 1,0.08 : 1,0.02 : 1
LCS2006-01,교양학부,중국언어와문화II,0.12 : 1,0.15 : 1,0.07 : 1,신청없음,0.04 : 1
LCS2006-02,교양학부,중국언어와문화II,0.20 : 1,0.30 : 1,0.13 : 1,0.03 : 1,0.04 : 1
LCS2007-01,교양학부,일본언어와문화I,0.87 : 1,1.11 : 1,2.25 : 1,1.00 : 1,0.29 : 1
LCS2007-02,교양학부,일본언어와문화I,1.23 : 1,2.44 : 1,1.50 : 1,2.00 : 1,0.21 : 1
LCS2007-03,교양학부,일본언어와문화I,0.83 : 1,0.78 : 1,1.00 : 1,2.67 : 1,0.29 : 1
LCS2007-04,교양학부,일본언어와문화I,0.67 : 1,0.89 : 1,0.60 : 1,1.20 : 1,0.21 : 1
LCS2007-05,교양학부,일본언어와문화I,0.40 : 1,0.56 : 1,0.50 : 1,0.14 : 1,0.10 : 1
LCS2007-06,교양학부,일본언어와문화I,0.43 : 1,0.33 : 1,0.50 : 1,0.38 : 1,0.11 : 1
LCS2008-01,교양학부,일본언어와문화II,0.37 : 1,0.60 : 1,0.40 : 1,0.10 : 1,신청없음
LCS2008-02,교양학부,일본언어와문화II,0.40 : 1,0.40 : 1,0.25 : 1,0.23 : 1,0.10 : 1
LCU4011-01,교양학부,고급영어회화,0.35 : 1,0.33 : 1,0.18 : 1,0.31 : 1,신청없음
LCU4015-01,교양학부,영화를통한영어연습,2.85 : 1,4.17 : 1,2.43 : 1,4.29 : 1,0.33 : 1
LCU4017-01,교양학부,비즈니스영어연습,0.88 : 1,0.50 : 1,0.38 : 1,0.82 : 1,쿼터없음
LCU4021-01,교양학부,초급라틴어,0.08 : 1,0.05 : 1,0.03 : 1,0.08 : 1,신청없음
LCU4035-01,교양학부,초급러시아어,1.33 : 1,3.60 : 1,2.60 : 1,1.80 : 1,0.20 : 1
LCU4103-01,교양학부,기본영어,0.46 : 1,5.00 : 1,5.00 : 1,0.50 : 1,0.04 : 1
LCU4103-02,교양학부,기본영어,0.62 : 1,6.00 : 1,2.00 : 1,2.00 : 1,0.18 : 1
LCU4103-03,교양학부,기본영어,0.35 : 1,1.00 : 1,4.00 : 1,1.50 : 1,0.05 : 1
LCU4103-04,교양학부,기본영어,0.31 : 1,1.00 : 1,3.00 : 1,1.50 : 1,0.05 : 1
LCU4103-05,교양학부,기본영어,0.08 : 1,신청없음,1.00 : 1,신청없음,신청없음
LCU4104-01,교양학부,한국의명시감상,1.13 : 1,1.60 : 1,2.60 : 1,2.40 : 1,0.07 : 1
LCU4105-01,교양학부,초급아랍어,0.02 : 1,0.10 : 1,신청없음,신청없음,신청없음
LCU4106-01,교양학부,현대중동이해,0.18 : 1,신청없음,0.07 : 1,0.21 : 1,신청없음
LCU4107-01,교양학부,튜터링을통한글쓰기능력신장,2.00 : 1,0.70 : 1,0.83 : 1,3.22 : 1,쿼터없음
LCU4107-02,교양학부,튜터링을통한글쓰기능력신장,2.05 : 1,1.10 : 1,0.80 : 1,3.28 : 1,쿼터없음
LCU4114-01,교양학부,중급아랍어,0.06 : 1,0.10 : 1,신청없음,0.11 : 1,신청없음
LCU4115-01,교양학부,영화로보는동남아시아,0.18 : 1,신청없음,0.05 : 1,0.17 : 1,0.03 : 1
LED3010-01,교양학부,발표와토론,0.53 : 1,0.20 : 1,0.21 : 1,0.52 : 1,0.07 : 1
LED3015-01,교양학부,자기브랜드리더십,0.33 : 1,0.20 : 1,0.15 : 1,0.32 : 1,0.02 : 1
MAE2001-01,미디어&엔터테인먼트전공,미디어&엔터테인먼트개론,2.25 : 1,2.13 : 1,2.65 : 1,3.00 : 1,0.60 : 1
MAE2002-01,미디어&엔터테인먼트전공,연극과엔터테인먼트,1.34 : 1,1.07 : 1,3.20 : 1,0.90 : 1,쿼터없음
MAE2003-01,미디어&엔터테인먼트전공,영상제작[캡스톤디자인],1.83 : 1,1.60 : 1,3.00 : 1,0.90 : 1,쿼터없음
MAE3008-01,미디어&엔터테인먼트전공,미디어엔터테인먼트 기획론,0.42 : 1,신청없음,0.40 : 1,0.20 : 1,쿼터없음
MAE3013-01,미디어&엔터테인먼트전공,Editing Aesthetics,1.92 : 1,1.10 : 1,1.07 : 1,쿼터없음,쿼터없음
MAE3013-02,미디어&엔터테인먼트전공,Editing Aesthetics,1.50 : 1,0.40 : 1,0.92 : 1,2.67 : 1,쿼터없음
MAE3014-01,미디어&엔터테인먼트전공,커뮤니케이션학입문,1.08 : 1,1.10 : 1,2.40 : 1,0.60 : 1,0.14 : 1
MAE4004-01,미디어&엔터테인먼트전공,설득과미디어,5.45 : 1,2.00 : 1,6.71 : 1,9.20 : 1,쿼터없음
MAE4010-01,미디어&엔터테인먼트전공,극작워크샵,0.77 : 1,0.57 : 1,0.39 : 1,0.63 : 1,쿼터없음
MAE4015-01,미디어&엔터테인먼트전공,디지털 미디어 데이터 분석론,0.52 : 1,신청없음,0.40 : 1,0.37 : 1,쿼터없음
MAE4016-01,미디어&엔터테인먼트전공,미디어벤처창업캡스톤디자인,1.07 : 1,0.30 : 1,0.88 : 1,1.17 : 1,쿼터없음
MAE4020-01,미디어&엔터테인먼트전공,세계연극사,1.13 : 1,0.40 : 1,1.09 : 1,1.25 : 1,쿼터없음
MAE4037-01,미디어&엔터테인먼트전공,가상현실콘텐츠기획제작,0.63 : 1,0.05 : 1,0.54 : 1,0.39 : 1,쿼터없음
MAEG403-01,미디어&엔터테인먼트전공,소셜빅데이터분석론,0.87 : 1,쿼터없음,1.20 : 1,0.70 : 1,쿼터없음
MAS1001-01,지식융합미디어학부,지식융합미디어입문,0.12 : 1,0.40 : 1,쿼터없음,쿼터없음,0.08 : 1
MAS1002-01,지식융합미디어학부,Creativity & Visual Expression,0.02 : 1,0.07 : 1,쿼터없음,쿼터없음,0.01 : 1
MAS1002-02,지식융합미디어학부,Creativity & Visual Expression,0.08 : 1,신청없음,쿼터없음,쿼터없음,0.08 : 1
MAS1002-03,지식융합미디어학부,Creativity & Visual Expression,0.61 : 1,2.33 : 1,쿼터없음,쿼터없음,0.17 : 1
MAS1005-01,지식융합미디어학부,Critical Thinking for Social Inquiry,0.68 : 1,2.00 : 1,쿼터없음,쿼터없음,0.28 : 1
MAS2002-01,지식융합미디어학부,전략커뮤니케이션,2.17 : 1,1.20 : 1,4.60 : 1,3.60 : 1,쿼터없음
MAS2004-01,지식융합미디어학부,인간소통과미디어,1.28 : 1,1.60 : 1,0.93 : 1,1.06 : 1,쿼터없음
MAS2005-01,지식융합미디어학부,시각과음향의향연,2.56 : 1,3.90 : 1,쿼터없음,쿼터없음,0.33 : 1
MAS2006-01,지식융합미디어학부,공연과디지털테크놀로지,1.57 : 1,1.11 : 1,2.00 : 1,3.00 : 1,쿼터없음
MAS2008-01,지식융합미디어학부,Fundamentals of Programming and Problem,0.43 : 1,0.47 : 1,0.08 : 1,쿼터없음,쿼터없음
MAS2009-01,지식융합미디어학부,Machine Learning Programming,0.30 : 1,1.00 : 1,0.10 : 1,0.15 : 1,쿼터없음
MAS3001-01,지식융합미디어학부,미디어커뮤니케이션조사론,0.69 : 1,1.30 : 1,0.52 : 1,0.24 : 1,쿼터없음
MAS3001-02,지식융합미디어학부,미디어커뮤니케이션조사론,1.66 : 1,2.85 : 1,1.87 : 1,0.67 : 1,쿼터없음
MAT1050-01,수학전공,미적분학실습I,0.67 : 1,2.00 : 1,2.00 : 1,2.00 : 1,신청없음
MAT1050-02,수학전공,미적분학실습I,0.22 : 1,1.00 : 1,1.00 : 1,신청없음,신청없음
MAT1050-03,수학전공,미적분학실습I,0.28 : 1,1.50 : 1,0.50 : 1,신청없음,0.07 : 1
MAT1050-05,수학전공,미적분학실습I,0.61 : 1,2.50 : 1,2.00 : 1,1.00 : 1,신청없음
MAT2010-01,수학전공,집합론,0.22 : 1,0.08 : 1,0.04 : 1,0.13 : 1,쿼터없음
MAT2010-02,수학전공,집합론,0.87 : 1,1.05 : 1,0.50 : 1,0.33 : 1,쿼터없음
MAT2110-01,수학전공,선형대수학,0.23 : 1,0.05 : 1,0.10 : 1,0.13 : 1,쿼터없음
MAT2110-02,수학전공,선형대수학,2.02 : 1,1.73 : 1,3.00 : 1,2.00 : 1,쿼터없음
MAT2110-03,수학전공,선형대수학,1.47 : 1,1.03 : 1,3.00 : 1,1.70 : 1,쿼터없음
MAT2110-04,수학전공,선형대수학,0.58 : 1,0.70 : 1,0.23 : 1,0.07 : 1,쿼터없음
MAT2110-05,수학전공,선형대수학,0.63 : 1,0.63 : 1,0.28 : 1,0.18 : 1,쿼터없음
MAT2210-01,수학전공,고등미적분학I,0.85 : 1,0.70 : 1,0.45 : 1,0.59 : 1,쿼터없음
MAT2210-02,수학전공,고등미적분학I,0.65 : 1,0.53 : 1,0.28 : 1,0.32 : 1,쿼터없음
MAT2410-01,수학전공,응용수학I,1.02 : 1,1.50 : 1,0.35 : 1,0.30 : 1,쿼터없음
MAT2410-02,수학전공,응용수학I,0.93 : 1,1.37 : 1,0.40 : 1,0.27 : 1,쿼터없음
MAT3020-01,수학전공,통계학입문,1.17 : 1,1.35 : 1,1.15 : 1,0.95 : 1,쿼터없음
MAT3110-01,수학전공,이산수학,0.73 : 1,0.03 : 1,0.27 : 1,0.65 : 1,쿼터없음
MAT3430-01,수학전공,응용통계학및실습,1.25 : 1,신청없음,0.70 : 1,1.38 : 1,쿼터없음
MAT3430-02,수학전공,응용통계학및실습,1.35 : 1,신청없음,0.70 : 1,1.54 : 1,쿼터없음
MAT3440-01,수학전공,통신수학,0.25 : 1,신청없음,0.10 : 1,0.20 : 1,쿼터없음
MAT4110-01,수학전공,추상대수학I,0.73 : 1,0.20 : 1,0.74 : 1,0.40 : 1,쿼터없음
MAT4110-02,수학전공,추상대수학I,0.44 : 1,0.40 : 1,0.42 : 1,0.16 : 1,쿼터없음
MAT4210-01,수학전공,복소수함수론I,0.93 : 1,0.20 : 1,0.53 : 1,0.89 : 1,쿼터없음
MAT4310-01,수학전공,미분기하학,1.08 : 1,0.20 : 1,0.74 : 1,1.17 : 1,쿼터없음
MAT4330-01,수학전공,위상수학개론II,0.28 : 1,신청없음,0.03 : 1,0.27 : 1,쿼터없음
MATG210-01,수학전공,실해석학I,0.46 : 1,신청없음,0.17 : 1,0.40 : 1,쿼터없음
MATQ981-01,수학전공,수학교과교육론,0.10 : 1,신청없음,0.14 : 1,신청없음,쿼터없음
MEE1005-01,기계공학전공,C프로그래밍기초,0.98 : 1,1.06 : 1,0.75 : 1,0.20 : 1,쿼터없음
MEE2006-01,기계공학전공,공학수학I,0.72 : 1,0.75 : 1,0.26 : 1,신청없음,쿼터없음
MEE2011-01,기계공학전공,고체역학,0.57 : 1,0.70 : 1,0.20 : 1,신청없음,쿼터없음
MEE2011-02,기계공학전공,고체역학,0.70 : 1,0.78 : 1,0.33 : 1,0.13 : 1,쿼터없음
MEE2022-01,기계공학전공,열역학I,0.67 : 1,0.74 : 1,0.04 : 1,0.28 : 1,쿼터없음
MEE2022-02,기계공학전공,열역학I,0.46 : 1,0.56 : 1,0.09 : 1,0.03 : 1,쿼터없음
MEE2025-01,기계공학전공,모형설계제작,1.25 : 1,1.56 : 1,신청없음,신청없음,쿼터없음
MEE2025-02,기계공학전공,모형설계제작,1.40 : 1,1.44 : 1,2.00 : 1,0.50 : 1,쿼터없음
MEE2025-03,기계공학전공,모형설계제작,1.25 : 1,1.31 : 1,2.00 : 1,신청없음,쿼터없음
MEE2026-01,기계공학전공,2DCAD,0.63 : 1,0.82 : 1,0.13 : 1,0.11 : 1,쿼터없음
MEE3001-01,기계공학전공,재료거동학,0.31 : 1,쿼터없음,0.28 : 1,0.20 : 1,쿼터없음
MEE3003-01,기계공학전공,진동학,0.63 : 1,쿼터없음,0.79 : 1,0.21 : 1,쿼터없음
MEE3004-01,기계공학전공,생산공정,0.48 : 1,쿼터없음,0.48 : 1,0.11 : 1,쿼터없음
MEE3004-02,기계공학전공,생산공정,0.77 : 1,쿼터없음,0.82 : 1,0.26 : 1,쿼터없음
MEE3006-01,기계공학전공,기계공학해석,0.62 : 1,쿼터없음,0.68 : 1,0.08 : 1,쿼터없음
MEE3006-02,기계공학전공,기계공학해석,0.63 : 1,쿼터없음,0.70 : 1,0.12 : 1,쿼터없음
MEE3013-01,기계공학전공,자동제어,0.66 : 1,쿼터없음,0.79 : 1,0.26 : 1,쿼터없음
MEE3022-01,기계공학전공,유체역학II,0.12 : 1,쿼터없음,0.02 : 1,0.10 : 1,쿼터없음
MEE3026-01,기계공학전공,기계공학실험II,1.28 : 1,쿼터없음,0.60 : 1,1.32 : 1,쿼터없음
MEE3026-03,기계공학전공,기계공학실험II,0.28 : 1,쿼터없음,0.60 : 1,0.18 : 1,쿼터없음
MEE3032-01,기계공학전공,열전달,0.65 : 1,쿼터없음,0.58 : 1,0.43 : 1,쿼터없음
MEE3302-01,기계공학전공,연구프로젝트Ⅱ,0.60 : 1,쿼터없음,신청없음,0.60 : 1,쿼터없음
MEE3302-03,기계공학전공,연구프로젝트Ⅱ,0.60 : 1,쿼터없음,신청없음,0.60 : 1,쿼터없음
MEE4002-01,기계공학전공,냉동및공기조화,0.20 : 1,쿼터없음,0.10 : 1,0.16 : 1,쿼터없음
MEE4004-01,기계공학전공,3D-CAD,0.60 : 1,쿼터없음,0.70 : 1,0.33 : 1,쿼터없음
MEE4011-01,기계공학전공,최적설계및실습,0.28 : 1,쿼터없음,0.03 : 1,0.27 : 1,쿼터없음
MEE4014-01,기계공학전공,MEMS설계제작,0.18 : 1,쿼터없음,0.04 : 1,0.16 : 1,쿼터없음
MEE4015-01,기계공학전공,바이오역학,0.21 : 1,쿼터없음,0.30 : 1,0.07 : 1,쿼터없음
MEE4021-01,기계공학전공,창의적종합설계,1.13 : 1,쿼터없음,쿼터없음,1.13 : 1,쿼터없음
MEE4021-02,기계공학전공,창의적종합설계,0.42 : 1,쿼터없음,쿼터없음,0.42 : 1,쿼터없음
MEE4021-03,기계공학전공,창의적종합설계,0.88 : 1,쿼터없음,쿼터없음,0.83 : 1,쿼터없음
MEE4022-01,기계공학전공,신재생에너지공학개론,0.48 : 1,쿼터없음,0.38 : 1,0.36 : 1,쿼터없음
MEE4032-01,기계공학전공,미소열유체역학,0.24 : 1,쿼터없음,0.16 : 1,0.17 : 1,쿼터없음
MEEG005-01,기계공학전공,연속체역학,0.12 : 1,쿼터없음,0.10 : 1,0.07 : 1,쿼터없음
MEEG018-01,기계공학전공,시스템모델링및해석,0.47 : 1,쿼터없음,0.50 : 1,0.29 : 1,쿼터없음
MEEG019-01,기계공학전공,공정설계의CAE,0.08 : 1,쿼터없음,0.03 : 1,0.07 : 1,쿼터없음
MEEG104-01,기계공학전공,센서공학,0.53 : 1,쿼터없음,0.27 : 1,0.46 : 1,쿼터없음
MGT2002-01,경영학전공,경영통계학,0.57 : 1,0.60 : 1,1.63 : 1,0.10 : 1,0.09 : 1
MGT2002-02,경영학전공,경영통계학,1.48 : 1,1.30 : 1,4.20 : 1,0.70 : 1,0.18 : 1
MGT2002-03,경영학전공,경영통계학,0.39 : 1,0.60 : 1,0.85 : 1,0.43 : 1,0.02 : 1
MGT2002-04,경영학전공,경영통계학,0.81 : 1,1.20 : 1,2.60 : 1,0.60 : 1,0.18 : 1
MGT2002-05,경영학전공,경영통계학,0.74 : 1,2.33 : 1,0.90 : 1,0.36 : 1,0.10 : 1
MGT2003-01,경영학전공,회계학원론,3.90 : 1,2.80 : 1,12.00 : 1,8.40 : 1,0.65 : 1
MGT2003-02,경영학전공,회계학원론,1.49 : 1,1.80 : 1,2.10 : 1,1.40 : 1,0.65 : 1
MGT2003-03,경영학전공,회계학원론,1.09 : 1,1.29 : 1,2.20 : 1,1.40 : 1,0.10 : 1
MGT2003-04,경영학전공,회계학원론,0.33 : 1,0.07 : 1,0.32 : 1,0.18 : 1,0.01 : 1
MGT3001-01,경영학전공,조직행동이론,1.54 : 1,0.90 : 1,1.82 : 1,쿼터없음,쿼터없음
MGT3001-02,경영학전공,조직행동이론,1.41 : 1,1.40 : 1,1.43 : 1,1.20 : 1,쿼터없음
MGT3001-03,경영학전공,조직행동이론,0.93 : 1,1.10 : 1,0.77 : 1,0.53 : 1,쿼터없음
MGT3001-04,경영학전공,조직행동이론,0.43 : 1,0.70 : 1,0.10 : 1,0.09 : 1,쿼터없음
MGT3001-05,경영학전공,조직행동이론,2.10 : 1,2.77 : 1,1.53 : 1,1.80 : 1,쿼터없음
MGT3002-01,경영학전공,경영정보시스템,0.17 : 1,신청없음,0.18 : 1,0.09 : 1,신청없음
MGT3002-02,경영학전공,경영정보시스템,3.17 : 1,1.90 : 1,4.70 : 1,4.35 : 1,0.30 : 1
MGT3002-03,경영학전공,경영정보시스템,2.76 : 1,1.40 : 1,3.32 : 1,3.75 : 1,쿼터없음
MGT3003-01,경영학전공,생산관리론,1.86 : 1,2.75 : 1,2.40 : 1,0.56 : 1,쿼터없음
MGT3003-02,경영학전공,생산관리론,0.77 : 1,0.70 : 1,0.76 : 1,0.41 : 1,쿼터없음
MGT3003-03,경영학전공,생산관리론,0.47 : 1,1.40 : 1,0.20 : 1,신청없음,쿼터없음
MGT3003-04,경영학전공,생산관리론,2.49 : 1,4.95 : 1,2.08 : 1,0.84 : 1,쿼터없음
MGT3004-01,경영학전공,재무관리,1.91 : 1,3.05 : 1,2.75 : 1,0.90 : 1,신청없음
MGT3004-02,경영학전공,재무관리,1.00 : 1,0.90 : 1,1.64 : 1,0.80 : 1,신청없음
MGT3004-03,경영학전공,재무관리,2.00 : 1,1.95 : 1,2.95 : 1,1.90 : 1,0.40 : 1
MGT3004-04,경영학전공,재무관리,1.16 : 1,2.25 : 1,1.40 : 1,0.30 : 1,0.08 : 1
MGT3004-05,경영학전공,재무관리,1.06 : 1,1.80 : 1,1.40 : 1,1.00 : 1,0.05 : 1
MGT3005-01,경영학전공,관리회계,2.09 : 1,0.90 : 1,5.14 : 1,3.80 : 1,신청없음
MGT3005-02,경영학전공,관리회계,0.13 : 1,0.03 : 1,0.08 : 1,0.07 : 1,신청없음
MGT3005-03,경영학전공,관리회계,1.63 : 1,1.03 : 1,5.40 : 1,1.90 : 1,신청없음
MGT3006-01,경영학전공,마케팅원론,0.77 : 1,1.30 : 1,0.80 : 1,0.26 : 1,쿼터없음
MGT3006-02,경영학전공,마케팅원론,3.33 : 1,5.45 : 1,3.10 : 1,1.50 : 1,쿼터없음
MGT3006-03,경영학전공,마케팅원론,1.17 : 1,1.07 : 1,1.35 : 1,1.10 : 1,쿼터없음
MGT3006-04,경영학전공,마케팅원론,0.89 : 1,0.93 : 1,1.18 : 1,쿼터없음,신청없음
MGT3007-01,경영학전공,국제경영론,0.21 : 1,0.15 : 1,0.27 : 1,0.04 : 1,쿼터없음
MGT3007-02,경영학전공,국제경영론,1.03 : 1,0.55 : 1,0.97 : 1,1.10 : 1,쿼터없음
MGT3007-03,경영학전공,국제경영론,2.47 : 1,1.90 : 1,4.30 : 1,1.63 : 1,쿼터없음
MGT3007-04,경영학전공,국제경영론,1.94 : 1,1.30 : 1,3.75 : 1,1.17 : 1,쿼터없음
MGT3007-05,경영학전공,국제경영론,1.07 : 1,0.55 : 1,1.52 : 1,0.67 : 1,쿼터없음
MGT4101-01,경영학전공,경영전략시뮬레이션,0.43 : 1,0.05 : 1,0.05 : 1,0.40 : 1,쿼터없음
MGT4102-01,경영학전공,경영전략,1.40 : 1,쿼터없음,1.48 : 1,1.17 : 1,쿼터없음
MGT4102-02,경영학전공,경영전략,1.02 : 1,0.40 : 1,0.75 : 1,1.04 : 1,쿼터없음
MGT4102-03,경영학전공,경영전략,0.50 : 1,0.25 : 1,0.36 : 1,0.27 : 1,쿼터없음
MGT4102-04,경영학전공,경영전략,0.29 : 1,0.20 : 1,0.11 : 1,0.18 : 1,쿼터없음
MGT4106-01,경영학전공,인적자원관리,2.64 : 1,쿼터없음,1.72 : 1,7.70 : 1,쿼터없음
MGT4106-02,경영학전공,인적자원관리,0.57 : 1,0.50 : 1,0.51 : 1,0.36 : 1,쿼터없음
MGT4106-03,경영학전공,인적자원관리,0.84 : 1,0.70 : 1,1.09 : 1,0.53 : 1,쿼터없음
MGT4201-01,경영학전공,의사결정론,0.54 : 1,신청없음,0.18 : 1,0.48 : 1,쿼터없음
MGT4202-01,경영학전공,통계자료분석,0.70 : 1,0.05 : 1,0.39 : 1,0.58 : 1,쿼터없음
MGT4203-01,경영학전공,경영과학,0.66 : 1,0.05 : 1,0.41 : 1,0.53 : 1,쿼터없음
MGT4204-01,경영학전공,시뮬레이션,0.39 : 1,신청없음,0.23 : 1,0.30 : 1,쿼터없음
MGT4207-01,경영학전공,응용경영통계,0.54 : 1,0.05 : 1,0.24 : 1,0.44 : 1,쿼터없음
