과목코드-분반,과목명,2016_1_1학년,2016_1_2학년,2016_1_3학년,2016_1_4학년,2016_2_1학년,2016_2_2학년,2016_2_3학년,2016_2_4학년,2017_1_1학년,2017_1_2학년,2017_1_3학년,2017_1_4학년,2017_2_1학년,2017_2_2학년,2017_2_3학년,2017_2_4학년,2018_1_1학년,2018_1_2학년,2018_1_3학년,2018_1_4학년,2018_2_1학년,2018_2_2학년,2018_2_3학년,2018_2_4학년,2019_1_1학년,2019_1_2학년,2019_1_3학년,2019_1_4학년,2019_2_1학년,2019_2_2학년,2019_2_3학년,2019_2_4학년,2020_1_1학년,2020_1_2학년,2020_1_3학년,2020_1_4학년,2020_2_1학년,2020_2_2학년,2020_2_3학년,2020_2_4학년,2021_1_1학년,2021_1_2학년,2021_1_3학년,2021_1_4학년
CHU4011-01,영화로본역사,신청없음,1 : 1.40,1 : 0.85,1 : 1.26,1 : 0.65,1 : 0.63,1 : 0.43,1 : 0.43,신청없음,1 : 1.75,1 : 0.95,1 : 1.24,1 : 1.00,1 : 1.20,1 : 0.55,1 : 0.48,1 : 0.15,1 : 1.05,1 : 0.70,1 : 1.00,1 : 1.20,1 : 0.95,1 : 0.38,1 : 0.58,1 : 0.03,1 : 0.85,1 : 0.43,1 : 0.45,1 : 0.20,1 : 0.17,1 : 0.10,1 : 0.17,신청없음,0.37 : 1,0.88 : 1,3.25 : 1,0.10 : 1,0.16 : 1,0.12 : 1,0.20 : 1,0.02 : 1,0.15 : 1,0.14 : 1,0.23 : 1
CHU4018-01,이주의역사,신청없음,1 : 0.05,1 : 0.03,신청없음,,,,,,,,,,,,,신청없음,1 : 0.05,1 : 0.05,1 : 0.07,,,,,1 : 0.02,1 : 0.10,1 : 0.05,1 : 0.11,신청없음,1 : 0.03,1 : 0.03,1 : 0.02,신청없음,0.07 : 1,0.03 : 1,0.32 : 1,,,,,신청없음,0.10 : 1,0.08 : 1,0.07 : 1
COM2001-01,커뮤니케이션학입문,1 : 0.02,쿼터없음,쿼터없음,쿼터없음,1 : 1.00,1 : 0.45,1 : 0.65,1 : 0.90,,,,,1 : 1.75,1 : 1.20,1 : 1.05,1 : 1.10,1 : 0.08,쿼터없음,쿼터없음,쿼터없음,1 : 1.35,1 : 0.85,1 : 0.82,1 : 0.55,,,,,,,,,,,,,,,,,,,,
COM2001-02,커뮤니케이션학입문,신청없음,1 : 0.45,1 : 0.10,1 : 0.06,,,,,,,,,,,,,1 : 0.07,1 : 0.20,1 : 0.22,1 : 0.02,,,,,,,,,,,,,,,,,,,,,,,,
COM2002-01,인간커뮤니케이션,1 : 2.00,1 : 1.50,1 : 1.50,1 : 1.50,1 : 7.10,1 : 1.05,1 : 1.00,1 : 1.00,1 : 2.60,1 : 1.00,1 : 1.35,1 : 4.60,1 : 7.80,1 : 0.90,1 : 1.05,1 : 1.10,1 : 2.30,1 : 1.63,1 : 2.05,1 : 2.10,1 : 6.60,1 : 1.28,1 : 1.05,1 : 2.20,,,,,,,,,,,,,,,,,,,,
COM2004-01,커뮤니케이션조사론,쿼터없음,1 : 1.60,1 : 1.87,1 : 1.87,1 : 0.60,1 : 2.14,1 : 1.27,1 : 1.47,쿼터없음,1 : 2.60,1 : 1.30,1 : 1.95,1 : 3.20,1 : 6.70,1 : 2.87,1 : 1.55,쿼터없음,1 : 2.55,1 : 1.80,1 : 1.20,1 : 2.20,1 : 2.40,1 : 1.44,1 : 1.84,,,,,,,,,,,,,,,,,,,,
COM2006-01,컨텐츠기획론,쿼터없음,1 : 0.70,1 : 1.38,1 : 1.85,,,,,쿼터없음,1 : 0.50,1 : 0.45,1 : 0.92,쿼터없음,쿼터없음,1 : 1.40,1 : 1.85,쿼터없음,1 : 0.95,1 : 0.43,1 : 0.50,,,,,,,,,,,,,,,,,,,,,,,,
COM3101-01,저널리즘개론,쿼터없음,1 : 0.77,1 : 0.54,1 : 0.19,쿼터없음,1 : 0.77,1 : 0.16,1 : 0.08,쿼터없음,1 : 1.03,1 : 0.50,1 : 0.23,쿼터없음,1 : 0.87,1 : 0.38,1 : 0.32,쿼터없음,1 : 1.63,1 : 0.67,1 : 0.27,쿼터없음,1 : 2.40,1 : 0.70,1 : 0.56,,,,,,,,,,,,,,,,,,,,
COM3102-01,방송원론,쿼터없음,1 : 0.57,1 : 0.33,1 : 0.22,쿼터없음,1 : 0.60,1 : 0.26,1 : 0.12,,,,,,,,,쿼터없음,1 : 0.77,1 : 0.81,1 : 0.52,쿼터없음,1 : 6.00,1 : 1.10,1 : 1.60,,,,,,,,,,,,,,,,,,,,
COM3103-01,창의적말하기와글쓰기,쿼터없음,1 : 0.20,1 : 0.46,1 : 3.28,쿼터없음,1 : 0.80,1 : 1.92,1 : 7.50,쿼터없음,1 : 0.10,1 : 0.84,1 : 3.62,,,,,,,,,신청없음,1 : 0.27,1 : 0.35,1 : 1.41,,,,,,,,,,,,,,,,,,,,
COM3111-01,대중문화론,쿼터없음,1 : 0.70,1 : 0.48,1 : 0.38,,,,,쿼터없음,1 : 1.90,1 : 1.35,1 : 1.80,,,,,쿼터없음,1 : 0.40,1 : 0.44,1 : 0.32,,,,,,,,,,,,,,,,,,,,,,,,
COM3117-01,미디어문화사,1 : 0.09,1 : 0.30,1 : 1.24,1 : 0.90,,,,,쿼터없음,1 : 0.40,1 : 0.11,1 : 0.15,,,,,쿼터없음,1 : 1.00,1 : 1.90,1 : 1.25,,,,,,,,,,,,,,,,,,,,,,,,
COM3119-01,미디어기호학,쿼터없음,쿼터없음,1 : 0.93,1 : 0.75,쿼터없음,쿼터없음,1 : 1.30,1 : 1.00,쿼터없음,쿼터없음,1 : 0.75,1 : 0.73,쿼터없음,쿼터없음,1 : 1.15,1 : 1.60,,,,,쿼터없음,1 : 1.90,1 : 1.70,1 : 2.20,,,,,,,,,,,,,,,,,,,,
COM3120-01,융합적문제해결과커뮤니케이션,쿼터없음,1 : 2.00,1 : 1.00,1 : 1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM3124-01,미디어편집의이해와실제,쿼터없음,쿼터없음,1 : 0.53,1 : 0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM3130-01,정보사회론,쿼터없음,신청없음,1 : 0.03,신청없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM3201-01,광고커뮤니케이션,쿼터없음,1 : 2.60,1 : 1.10,1 : 0.55,쿼터없음,1 : 1.10,1 : 0.35,1 : 0.17,쿼터없음,1 : 0.95,1 : 0.67,1 : 0.11,1 : 0.07,1 : 0.76,1 : 0.27,1 : 0.16,쿼터없음,1 : 1.30,1 : 1.30,1 : 0.30,1 : 0.13,1 : 1.50,1 : 1.60,1 : 1.00,,,,,,,,,,,,,,,,,,,,
COM3205-01,PR전략과이론,쿼터없음,1 : 1.80,1 : 1.33,1 : 1.80,쿼터없음,1 : 0.70,1 : 0.38,1 : 0.55,쿼터없음,1 : 1.10,1 : 0.53,1 : 0.32,,,,,쿼터없음,1 : 0.80,1 : 0.76,1 : 0.42,,,,,,,,,,,,,,,,,,,,,,,,
COM3212-01,IMC캠페인실습,쿼터없음,신청없음,신청없음,1 : 0.50,쿼터없음,1 : 0.07,1 : 0.10,1 : 0.08,쿼터없음,쿼터없음,1 : 1.11,1 : 0.80,쿼터없음,쿼터없음,1 : 1.33,1 : 0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM3220-01,헬스커뮤니케이션,쿼터없음,1 : 0.60,1 : 0.58,1 : 0.22,,,,,쿼터없음,쿼터없음,1 : 0.40,1 : 0.13,,,,,쿼터없음,1 : 0.20,1 : 0.22,1 : 0.06,,,,,,,,,,,,,,,,,,,,,,,,
COM3301-01,연극입문,1 : 0.04,1 : 0.33,1 : 0.30,1 : 0.21,,,,,1 : 0.04,1 : 0.57,1 : 0.23,1 : 0.06,,,,,신청없음,1 : 1.40,1 : 0.90,1 : 0.42,,,,,,,,,,,,,,,,,,,,,,,,
COM3302-01,영화입문,1 : 0.07,1 : 1.40,1 : 2.40,1 : 2.07,,,,,신청없음,1 : 1.60,1 : 3.40,1 : 5.20,,,,,신청없음,1 : 2.33,1 : 2.27,1 : 1.53,,,,,,,,,,,,,,,,,,,,,,,,
COM3315-01,대본창작의기초,쿼터없음,1 : 1.40,1 : 2.35,1 : 3.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM3323-01,뮤지컬창작기초(캡스톤디자인),쿼터없음,1 : 0.70,1 : 0.69,1 : 0.72,,,,,,,,,쿼터없음,1 : 0.53,1 : 0.91,1 : 1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM3329-01,판타지콘텐츠창작,쿼터없음,1 : 0.75,1 : 0.42,1 : 0.93,1 : 0.02,1 : 0.06,1 : 0.02,신청없음,쿼터없음,1 : 2.20,1 : 1.60,1 : 2.00,1 : 0.17,1 : 0.40,1 : 0.11,1 : 0.14,쿼터없음,1 : 2.60,1 : 1.10,1 : 1.10,,,,,,,,,,,,,,,,,,,,,,,,
COM3401-01,디지털미디어개론,쿼터없음,1 : 0.27,1 : 0.17,1 : 0.05,,,,,신청없음,1 : 0.13,1 : 0.05,1 : 0.07,1 : 0.10,1 : 0.18,1 : 0.06,1 : 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM3402-01,디지털미디어테크놀로지개론,신청없음,1 : 3.20,1 : 1.20,1 : 0.73,1 : 1.60,1 : 3.40,1 : 0.70,1 : 1.23,1 : 0.30,1 : 3.40,1 : 1.70,1 : 0.75,1 : 0.80,1 : 2.91,1 : 2.00,1 : 1.07,1 : 0.20,1 : 1.50,1 : 1.80,1 : 1.53,신청없음,1 : 2.30,1 : 1.80,1 : 1.25,,,,,,,,,,,,,,,,,,,,
COM3409-01,미디어심리학(캡스톤디자인),쿼터없음,1 : 2.60,1 : 0.67,1 : 1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM3412-01,정보엔터테인먼트산업론,쿼터없음,1 : 0.20,1 : 0.28,1 : 0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM3428-01,모바일커뮤니케이션,쿼터없음,1 : 1.10,1 : 0.65,1 : 0.48,,,,,쿼터없음,1 : 1.20,1 : 0.80,1 : 1.08,,,,,쿼터없음,1 : 0.50,1 : 0.63,1 : 0.42,,,,,,,,,,,,,,,,,,,,,,,,
COM3434-01,"디지털미디어기업,경영컨설팅",쿼터없음,쿼터없음,1 : 0.15,1 : 0.22,쿼터없음,쿼터없음,1 : 0.20,1 : 0.07,쿼터없음,쿼터없음,1 : 0.23,1 : 0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM3437-01,스마트앱스비즈니스모델연구(캡스톤디자인),쿼터없음,1 : 0.10,1 : 0.03,1 : 0.04,,,,,,,,,,,,,,,,,쿼터없음,신청없음,1 : 0.20,1 : 0.38,,,,,,,,,,,,,,,,,,,,
COM3438-01,게임커뮤니케이션,쿼터없음,1 : 0.15,1 : 0.05,1 : 0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM3440-01,가상현실콘텐츠기획제작2,쿼터없음,쿼터없음,1 : 0.13,1 : 0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COR1001-02,읽기와쓰기,1 : 0.03,1 : 1.00,신청없음,1 : 0.33,1 : 0.69,1 : 0.15,신청없음,신청없음,신청없음,1 : 1.00,신청없음,신청없음,1 : 0.37,1 : 0.04,1 : 0.04,신청없음,신청없음,1 : 1.00,1 : 0.50,1 : 0.50,1 : 0.23,1 : 0.16,1 : 0.04,신청없음,,,,,,,,,,,,,,,,,,,,
COR1001-03,읽기와쓰기,신청없음,1 : 0.50,신청없음,신청없음,1 : 0.74,1 : 0.18,신청없음,신청없음,신청없음,신청없음,신청없음,1 : 0.20,1 : 0.31,1 : 0.15,신청없음,신청없음,신청없음,1 : 1.00,신청없음,신청없음,1 : 0.67,1 : 0.08,1 : 0.08,신청없음,,,,,,,,,,,,,,,,,,,,
COR1001-04,읽기와쓰기,1 : 0.03,1 : 0.50,1 : 0.33,신청없음,1 : 1.31,1 : 1.00,신청없음,신청없음,1 : 0.03,1 : 1.00,1 : 0.50,신청없음,1 : 1.20,1 : 2.00,1 : 0.50,1 : 1.00,,,,,1 : 1.23,1 : 3.00,신청없음,1 : 1.00,,,,,,,,,,,,,,,,,,,,
COR1001-05,읽기와쓰기,신청없음,1 : 1.00,신청없음,신청없음,1 : 0.57,1 : 0.06,신청없음,신청없음,,,,,1 : 1.91,1 : 1.00,1 : 1.00,신청없음,신청없음,1 : 0.50,신청없음,1 : 0.50,1 : 0.77,1 : 0.33,신청없음,신청없음,,,,,,,,,,,,,,,,,,,,
COR1001-06,읽기와쓰기,1 : 0.03,1 : 1.00,1 : 0.50,신청없음,1 : 0.09,신청없음,신청없음,신청없음,1 : 0.05,신청없음,1 : 0.25,신청없음,1 : 0.71,1 : 0.17,1 : 0.08,1 : 0.08,,,,,1 : 1.23,1 : 4.50,1 : 0.50,신청없음,,,,,,,,,,,,,,,,,,,,
COR1001-08,읽기와쓰기,1 : 0.05,신청없음,신청없음,1 : 0.20,1 : 1.46,1 : 1.00,신청없음,신청없음,신청없음,1 : 0.50,1 : 0.33,신청없음,1 : 0.91,1 : 0.80,신청없음,신청없음,신청없음,신청없음,신청없음,1 : 0.20,1 : 0.87,1 : 1.17,1 : 0.50,신청없음,,,,,,,,,,,,,,,,,,,,
COR1001-09,읽기와쓰기,신청없음,1 : 2.00,신청없음,1 : 0.33,1 : 0.03,1 : 0.03,신청없음,신청없음,,,,,1 : 0.26,1 : 0.14,1 : 0.04,신청없음,1 : 0.03,1 : 2.00,1 : 0.50,신청없음,1 : 0.73,1 : 0.50,1 : 0.14,신청없음,,,,,,,,,,,,,,,,,,,,
COR1001-10,읽기와쓰기,1 : 0.05,신청없음,신청없음,신청없음,1 : 0.29,신청없음,신청없음,1 : 0.03,1 : 0.03,신청없음,신청없음,신청없음,1 : 0.43,1 : 0.09,신청없음,신청없음,신청없음,1 : 1.00,신청없음,신청없음,1 : 1.27,1 : 2.50,1 : 0.50,신청없음,,,,,,,,,,,,,,,,,,,,
COR1001-11,읽기와쓰기,1 : 0.03,신청없음,신청없음,신청없음,1 : 0.37,신청없음,신청없음,1 : 0.07,1 : 0.03,1 : 0.50,1 : 0.33,신청없음,1 : 0.46,신청없음,신청없음,신청없음,1 : 0.03,신청없음,신청없음,신청없음,1 : 0.53,1 : 0.25,1 : 0.07,1 : 0.07,,,,,,,,,,,,,,,,,,,,
COR1001-12,읽기와쓰기,1 : 0.03,신청없음,신청없음,신청없음,1 : 0.57,1 : 0.18,1 : 0.13,신청없음,신청없음,신청없음,1 : 0.25,신청없음,1 : 0.09,1 : 0.09,1 : 0.06,신청없음,1 : 0.03,1 : 1.00,1 : 0.50,1 : 0.50,1 : 0.50,1 : 0.12,1 : 0.12,신청없음,,,,,,,,,,,,,,,,,,,,
COR1001-14,읽기와쓰기,1 : 0.03,1 : 0.50,신청없음,신청없음,1 : 0.94,1 : 2.00,1 : 0.50,1 : 0.50,신청없음,1 : 4.50,1 : 1.50,신청없음,1 : 1.86,1 : 6.00,1 : 0.50,1 : 0.50,신청없음,1 : 0.50,1 : 0.33,신청없음,1 : 0.13,신청없음,신청없음,신청없음,,,,,,,,,,,,,,,,,,,,
COR1001-15,읽기와쓰기,1 : 0.03,신청없음,신청없음,신청없음,1 : 0.11,1 : 0.03,신청없음,신청없음,신청없음,1 : 0.50,신청없음,신청없음,1 : 0.17,신청없음,1 : 0.03,신청없음,1 : 0.05,1 : 0.50,신청없음,신청없음,1 : 2.23,1 : 7.00,1 : 2.00,1 : 1.00,,,,,,,,,,,,,,,,,,,,
COR1001-16,읽기와쓰기,신청없음,신청없음,신청없음,1 : 0.20,1 : 1.03,1 : 1.00,1 : 0.50,신청없음,신청없음,1 : 0.50,1 : 0.67,신청없음,1 : 0.20,1 : 0.07,1 : 0.07,신청없음,신청없음,신청없음,신청없음,1 : 0.40,1 : 0.97,1 : 2.67,1 : 0.50,1 : 0.50,,,,,,,,,,,,,,,,,,,,
COR1001-17,읽기와쓰기,1 : 0.05,신청없음,신청없음,1 : 0.40,1 : 0.20,1 : 0.03,신청없음,신청없음,신청없음,신청없음,1 : 0.25,신청없음,1 : 1.55,신청없음,신청없음,신청없음,,,,,1 : 0.80,1 : 0.75,1 : 0.50,신청없음,,,,,,,,,,,,,,,,,,,,
COR1001-18,읽기와쓰기,1 : 0.03,1 : 0.50,1 : 0.33,1 : 0.33,1 : 1.69,1 : 1.50,1 : 0.50,1 : 0.50,,,,,1 : 1.55,1 : 2.00,신청없음,신청없음,1 : 0.03,1 : 0.50,신청없음,신청없음,1 : 0.27,1 : 0.29,1 : 0.16,신청없음,,,,,,,,,,,,,,,,,,,,
COR1001-19,읽기와쓰기,신청없음,신청없음,1 : 0.25,신청없음,1 : 1.14,신청없음,신청없음,신청없음,신청없음,1 : 0.50,신청없음,신청없음,1 : 2.65,1 : 2.50,1 : 1.00,신청없음,1 : 0.03,신청없음,신청없음,신청없음,1 : 0.63,1 : 0.08,신청없음,신청없음,,,,,,,,,,,,,,,,,,,,
COR1001-21,읽기와쓰기,신청없음,1 : 1.50,신청없음,신청없음,1 : 0.20,신청없음,신청없음,신청없음,1 : 0.08,1 : 0.50,신청없음,신청없음,1 : 0.95,1 : 1.00,1 : 0.50,신청없음,,,,,1 : 2.07,1 : 0.20,1 : 1.00,1 : 0.50,,,,,,,,,,,,,,,,,,,,
COR1001-23,읽기와쓰기,신청없음,1 : 0.50,신청없음,신청없음,,,,,1 : 0.03,1 : 1.00,신청없음,신청없음,,,,,신청없음,1 : 2.00,신청없음,신청없음,1 : 0.73,1 : 0.11,1 : 0.18,신청없음,,,,,,,,,,,,,,,,,,,,
COR1001-24,읽기와쓰기,1 : 0.05,1 : 2.00,신청없음,신청없음,,,,,1 : 0.03,1 : 0.50,신청없음,1 : 0.25,,,,,1 : 0.08,신청없음,신청없음,신청없음,1 : 1.73,1 : 0.40,1 : 1.33,신청없음,,,,,,,,,,,,,,,,,,,,
COR1001-31,읽기와쓰기,신청없음,신청없음,1 : 0.25,1 : 0.25,,,,,1 : 0.57,1 : 0.50,1 : 0.50,신청없음,,,,,1 : 0.50,1 : 1.50,1 : 0.50,1 : 1.00,,,,,,,,,,,,,,,,,,,,,,,,
COR1001-32,읽기와쓰기,신청없음,1 : 1.00,신청없음,신청없음,,,,,1 : 0.36,신청없음,신청없음,신청없음,,,,,1 : 0.30,1 : 1.50,신청없음,신청없음,,,,,,,,,,,,,,,,,,,,,,,,
COR1001-33,읽기와쓰기,1 : 0.02,신청없음,신청없음,신청없음,,,,,1 : 0.04,신청없음,신청없음,신청없음,,,,,1 : 0.09,1 : 3.00,1 : 0.50,신청없음,,,,,,,,,,,,,,,,,,,,,,,,
COR1001-34,읽기와쓰기,1 : 0.03,1 : 0.50,신청없음,신청없음,,,,,1 : 0.14,1 : 2.00,1 : 1.00,신청없음,,,,,1 : 0.23,1 : 2.50,신청없음,1 : 0.33,,,,,,,,,,,,,,,,,,,,,,,,
COR1001-35,읽기와쓰기,1 : 0.03,신청없음,1 : 0.25,신청없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COR1003-01,글로벌의사소통I,1 : 0.09,1 : 3.00,1 : 1.00,1 : 1.00,1 : 1.41,1 : 9.00,신청없음,1 : 0.33,1 : 0.08,신청없음,1 : 0.50,1 : 0.33,1 : 1.09,1 : 3.00,1 : 2.00,1 : 0.50,1 : 0.23,1 : 1.00,1 : 1.00,1 : 1.00,1 : 0.14,1 : 0.10,신청없음,신청없음,,,,,,,,,,,,,,,,,,,,
COR1003-02,글로벌의사소통I,1 : 0.04,1 : 2.00,신청없음,1 : 0.50,1 : 0.09,1 : 0.10,신청없음,신청없음,1 : 0.09,신청없음,1 : 1.00,1 : 0.50,1 : 0.23,1 : 0.06,신청없음,신청없음,1 : 0.04,1 : 1.00,신청없음,신청없음,1 : 0.55,1 : 0.09,신청없음,1 : 0.08,,,,,,,,,,,,,,,,,,,,
COR1003-03,글로벌의사소통I,1 : 0.08,1 : 7.00,신청없음,1 : 0.50,1 : 2.32,1 : 3.00,1 : 1.00,신청없음,1 : 0.20,1 : 1.00,신청없음,신청없음,1 : 1.73,신청없음,신청없음,신청없음,1 : 0.17,1 : 7.00,신청없음,1 : 0.67,1 : 0.45,신청없음,신청없음,신청없음,,,,,,,,,,,,,,,,,,,,
COR1003-04,글로벌의사소통I,1 : 0.13,1 : 4.00,신청없음,1 : 0.50,1 : 1.32,신청없음,1 : 0.50,신청없음,1 : 0.17,1 : 6.00,1 : 2.00,신청없음,1 : 2.36,1 : 4.00,1 : 1.00,1 : 0.50,1 : 0.08,1 : 11.00,신청없음,1 : 0.33,신청없음,1 : 0.09,신청없음,1 : 0.04,,,,,,,,,,,,,,,,,,,,
COR1003-05,글로벌의사소통I,신청없음,1 : 4.00,신청없음,신청없음,1 : 3.09,1 : 2.00,1 : 1.00,1 : 1.00,1 : 0.04,1 : 1.00,1 : 2.00,신청없음,1 : 0.45,1 : 0.15,1 : 0.08,신청없음,1 : 0.16,1 : 3.00,신청없음,신청없음,1 : 1.86,1 : 1.00,신청없음,신청없음,,,,,,,,,,,,,,,,,,,,
COR1003-06,글로벌의사소통I,1 : 0.08,1 : 8.00,1 : 1.00,신청없음,1 : 1.27,1 : 3.00,신청없음,신청없음,1 : 0.04,1 : 5.00,신청없음,1 : 0.33,1 : 2.68,1 : 5.00,1 : 1.00,1 : 1.00,1 : 0.04,1 : 1.00,신청없음,신청없음,1 : 0.86,신청없음,1 : 0.40,신청없음,,,,,,,,,,,,,,,,,,,,
COR1003-07,글로벌의사소통I,1 : 0.04,1 : 2.00,1 : 3.00,신청없음,1 : 1.86,1 : 3.00,신청없음,1 : 0.67,1 : 0.17,1 : 1.00,1 : 1.00,신청없음,1 : 0.55,1 : 0.18,신청없음,1 : 0.08,신청없음,1 : 1.00,신청없음,신청없음,1 : 1.41,1 : 1.00,신청없음,1 : 0.67,,,,,,,,,,,,,,,,,,,,
COR1003-08,글로벌의사소통I,1 : 0.25,1 : 1.00,신청없음,1 : 0.50,1 : 1.41,1 : 1.00,신청없음,신청없음,신청없음,1 : 2.00,1 : 2.00,신청없음,1 : 1.09,1 : 2.00,신청없음,1 : 0.33,,,,,1 : 2.18,1 : 3.00,신청없음,1 : 0.33,,,,,,,,,,,,,,,,,,,,
COR1003-09,글로벌의사소통I,1 : 0.17,1 : 3.00,신청없음,1 : 0.50,1 : 2.18,1 : 2.00,1 : 3.00,1 : 0.50,신청없음,1 : 4.00,신청없음,1 : 0.33,1 : 1.23,1 : 2.00,1 : 1.00,신청없음,신청없음,1 : 2.00,1 : 1.00,신청없음,1 : 0.91,1 : 1.67,신청없음,신청없음,,,,,,,,,,,,,,,,,,,,
COR1003-10,글로벌의사소통I,1 : 0.04,1 : 1.00,신청없음,신청없음,1 : 1.55,1 : 4.00,신청없음,신청없음,1 : 0.13,1 : 3.00,1 : 2.00,신청없음,1 : 0.64,1 : 0.33,신청없음,신청없음,1 : 0.04,1 : 2.00,신청없음,신청없음,1 : 0.55,1 : 0.27,신청없음,1 : 0.09,,,,,,,,,,,,,,,,,,,,
COR1003-11,글로벌의사소통I,신청없음,신청없음,신청없음,1 : 0.67,1 : 1.09,1 : 4.00,1 : 1.00,신청없음,1 : 0.04,신청없음,1 : 0.50,1 : 0.33,1 : 2.59,1 : 6.00,1 : 1.00,1 : 0.50,1 : 0.04,1 : 1.00,신청없음,1 : 0.33,1 : 0.36,신청없음,신청없음,신청없음,,,,,,,,,,,,,,,,,,,,
COR1003-12,글로벌의사소통I,신청없음,1 : 2.00,신청없음,신청없음,1 : 0.27,신청없음,신청없음,신청없음,1 : 0.08,신청없음,1 : 0.50,신청없음,1 : 1.14,1 : 1.00,신청없음,신청없음,1 : 0.13,1 : 6.00,신청없음,1 : 0.33,1 : 1.00,1 : 6.00,1 : 1.00,신청없음,,,,,,,,,,,,,,,,,,,,
COR1003-13,글로벌의사소통I,신청없음,1 : 2.00,1 : 1.00,신청없음,1 : 0.50,신청없음,신청없음,1 : 0.13,1 : 0.71,1 : 7.00,1 : 2.00,신청없음,1 : 2.50,1 : 3.00,1 : 1.00,신청없음,1 : 0.38,1 : 6.00,신청없음,1 : 0.33,1 : 1.05,1 : 5.00,신청없음,신청없음,,,,,,,,,,,,,,,,,,,,
COR1003-14,글로벌의사소통I,1 : 0.12,1 : 9.00,신청없음,신청없음,1 : 0.23,신청없음,신청없음,신청없음,,,,,1 : 0.14,1 : 0.05,신청없음,신청없음,1 : 0.17,1 : 3.00,1 : 1.00,신청없음,1 : 2.09,1 : 5.00,1 : 2.00,신청없음,,,,,,,,,,,,,,,,,,,,
COR1003-15,글로벌의사소통I,신청없음,1 : 4.00,1 : 2.00,신청없음,1 : 0.45,1 : 0.31,신청없음,1 : 0.08,1 : 0.08,1 : 7.00,신청없음,신청없음,1 : 1.23,1 : 12.00,신청없음,신청없음,1 : 0.04,1 : 2.00,신청없음,1 : 0.33,1 : 1.09,신청없음,1 : 0.50,신청없음,,,,,,,,,,,,,,,,,,,,
COR1003-16,글로벌의사소통I,신청없음,신청없음,1 : 0.50,1 : 0.50,1 : 1.27,1 : 1.00,신청없음,신청없음,1 : 0.13,1 : 1.00,신청없음,1 : 0.33,1 : 0.68,1 : 0.25,1 : 0.14,신청없음,1 : 0.13,1 : 2.00,1 : 1.00,신청없음,1 : 0.27,1 : 0.06,1 : 0.06,신청없음,,,,,,,,,,,,,,,,,,,,
COR1003-17,글로벌의사소통I,1 : 0.12,신청없음,1 : 0.50,신청없음,1 : 0.95,1 : 0.50,1 : 0.50,신청없음,1 : 0.48,1 : 3.00,신청없음,신청없음,1 : 0.23,신청없음,1 : 0.05,신청없음,,,,,1 : 0.59,신청없음,1 : 0.18,신청없음,,,,,,,,,,,,,,,,,,,,
COR1003-18,글로벌의사소통I,신청없음,1 : 2.00,신청없음,신청없음,1 : 0.05,1 : 0.05,신청없음,신청없음,1 : 0.08,1 : 3.00,신청없음,신청없음,1 : 0.59,1 : 0.50,1 : 0.17,신청없음,1 : 0.04,1 : 2.00,1 : 2.00,1 : 0.50,1 : 1.64,1 : 3.00,1 : 2.00,신청없음,,,,,,,,,,,,,,,,,,,,
COR1003-19,글로벌의사소통I,신청없음,신청없음,1 : 0.50,신청없음,1 : 1.55,1 : 2.00,신청없음,1 : 0.33,,,,,1 : 0.05,신청없음,신청없음,신청없음,신청없음,1 : 1.00,1 : 1.00,신청없음,1 : 2.23,1 : 5.00,1 : 1.00,신청없음,,,,,,,,,,,,,,,,,,,,
COR1003-21,글로벌의사소통I,1 : 0.04,1 : 4.00,신청없음,신청없음,1 : 0.73,1 : 0.29,1 : 0.17,신청없음,1 : 0.08,신청없음,신청없음,1 : 0.25,1 : 0.41,신청없음,신청없음,신청없음,1 : 0.04,신청없음,신청없음,신청없음,1 : 0.82,1 : 1.00,1 : 1.00,신청없음,,,,,,,,,,,,,,,,,,,,
COR1003-22,글로벌의사소통I,신청없음,신청없음,신청없음,1 : 0.33,1 : 0.09,1 : 0.14,신청없음,신청없음,신청없음,1 : 1.00,신청없음,신청없음,1 : 0.09,신청없음,신청없음,신청없음,1 : 0.04,1 : 1.00,신청없음,신청없음,1 : 0.05,1 : 0.09,신청없음,1 : 0.04,,,,,,,,,,,,,,,,,,,,
