전공,입력코드,과목명,2학년,3학년,4학년,1학년
생명과학전공,BIO2601-01,유전자클로닝개론,1 : 0.20,1 : 0.21,1 : 0.07,신청없음
생명과학전공,BIO3123-01,현대생물학실험III,1 : 0.33,1 : 0.25,1 : 0.11,쿼터없음
생명과학전공,BIO3123-02,현대생물학실험III,1 : 0.33,1 : 0.38,신청없음,쿼터없음
생명과학전공,BIO3123-03,현대생물학실험III,신청없음,1 : 1.56,1 : 2.33,쿼터없음
생명과학전공,BIO3123-04,현대생물학실험III,신청없음,1 : 1.44,1 : 0.67,쿼터없음
생명과학전공,BIO3161-01,유전학,1 : 0.07,1 : 0.23,1 : 0.04,신청없음
생명과학전공,BIO3212-01,생명공학개론,신청없음,1 : 0.55,1 : 0.12,신청없음
생명과학전공,BIO3712-01,미생물생리학,1 : 0.07,1 : 0.33,1 : 0.06,신청없음
생명과학전공,BIO4203-01,생명과학특허와기술이전,신청없음,1 : 0.04,1 : 0.02,신청없음
생명과학전공,BIO4252-01,암생물학,신청없음,1 : 0.05,1 : 0.10,신청없음
생명과학전공,BIO4321-01,인체생리학,신청없음,1 : 0.43,1 : 0.27,신청없음
생명과학전공,BIO4521-01,식물발달생물학,신청없음,1 : 0.15,1 : 0.14,신청없음
생명과학전공,BIO4921-01,특수연구,쿼터없음,쿼터없음,1 : 0.15,쿼터없음
바이오융합기술연계전공,BNT3002-01,바이오융합기술프로젝트II,쿼터없음,1 : 0.30,1 : 0.06,쿼터없음
바이오융합기술연계전공,BNT3006-01,의공학개론I,쿼터없음,1 : 0.15,1 : 0.32,쿼터없음
바이오융합기술연계전공,BNT3091-01,특수연구I,쿼터없음,쿼터없음,1 : 0.05,쿼터없음
바이오융합기술연계전공,BNTG001-01,바이오테크놀로지,쿼터없음,1 : 0.06,1 : 0.06,쿼터없음
바이오융합기술연계전공,BNTG008-01,바이오융합산업기술,쿼터없음,신청없음,1 : 0.53,쿼터없음
바이오융합기술연계전공,BNTG031-01,지식재산권과특허,신청없음,1 : 0.10,1 : 0.11,쿼터없음
화공생명공학전공,CBE2003-01,화공생명공학양론,1 : 0.41,쿼터없음,쿼터없음,쿼터없음
화공생명공학전공,CBE2003-02,화공생명공학양론,1 : 0.54,쿼터없음,쿼터없음,쿼터없음
화공생명공학전공,CBE2004-01,물리화학,1 : 0.67,1 : 0.14,신청없음,쿼터없음
화공생명공학전공,CBE2004-02,물리화학,1 : 0.73,신청없음,1 : 0.03,쿼터없음
화공생명공학전공,CBE2005-01,응용유기화학,1 : 0.71,1 : 0.38,1 : 0.05,쿼터없음
화공생명공학전공,CBE2005-02,응용유기화학,1 : 0.76,1 : 0.13,1 : 0.24,쿼터없음
화공생명공학전공,CBE2008-01,화공생명공학기초실험I,1 : 1.00,1 : 0.20,쿼터없음,쿼터없음
화공생명공학전공,CBE2008-02,화공생명공학기초실험I,1 : 1.33,신청없음,쿼터없음,쿼터없음
화공생명공학전공,CBE2008-03,화공생명공학기초실험I,1 : 1.13,신청없음,쿼터없음,쿼터없음
화공생명공학전공,CBE2008-04,화공생명공학기초실험I,1 : 0.40,1 : 0.07,쿼터없음,쿼터없음
화공생명공학전공,CBE2008-05,화공생명공학기초실험I,1 : 0.93,1 : 0.17,쿼터없음,쿼터없음
화공생명공학전공,CBE2011-01,화공수학I,1 : 0.69,1 : 0.15,1 : 0.04,쿼터없음
화공생명공학전공,CBE2011-02,화공수학I,1 : 0.62,1 : 0.06,신청없음,쿼터없음
화공생명공학전공,CBE3002-01,공정열역학,쿼터없음,1 : 0.80,1 : 0.55,쿼터없음
화공생명공학전공,CBE3003-01,반응공학,쿼터없음,1 : 1.30,1 : 0.30,쿼터없음
화공생명공학전공,CBE3004-01,화공유체역학,쿼터없음,1 : 0.48,1 : 0.20,쿼터없음
화공생명공학전공,CBE3004-02,화공유체역학,쿼터없음,1 : 0.63,1 : 0.03,쿼터없음
화공생명공학전공,CBE3007-01,고분자공학,쿼터없음,1 : 0.40,1 : 0.09,쿼터없음
화공생명공학전공,CBE3007-02,고분자공학,쿼터없음,1 : 0.72,1 : 0.33,쿼터없음
화공생명공학전공,CBE3013-01,응용분자생물학,쿼터없음,1 : 0.57,1 : 0.64,쿼터없음
화공생명공학전공,CBE3015-01,화공생명공학요소실험I,쿼터없음,1 : 1.00,1 : 0.60,쿼터없음
화공생명공학전공,CBE3015-02,화공생명공학요소실험I,쿼터없음,1 : 0.80,1 : 0.13,쿼터없음
화공생명공학전공,CBE3015-03,화공생명공학요소실험I,쿼터없음,1 : 0.87,신청없음,쿼터없음
화공생명공학전공,CBE3015-04,화공생명공학요소실험I,쿼터없음,1 : 1.00,신청없음,쿼터없음
화공생명공학전공,CBE3015-05,화공생명공학요소실험I,쿼터없음,1 : 1.07,1 : 0.20,쿼터없음
화공생명공학전공,CBE4001-01,화공생명공학심화종합설계,쿼터없음,신청없음,1 : 0.87,쿼터없음
화공생명공학전공,CBE4003-01,이동현상,쿼터없음,1 : 0.10,1 : 0.58,쿼터없음
화공생명공학전공,CBE4004-01,분리정제공정,쿼터없음,신청없음,1 : 0.41,쿼터없음
화공생명공학전공,CBE4013-01,생물화학공학,쿼터없음,1 : 0.40,1 : 0.59,쿼터없음
화공생명공학전공,CBE4017-01,화공생명공학공정실험,쿼터없음,1 : 0.20,1 : 1.58,쿼터없음
화공생명공학전공,CBE4017-02,화공생명공학공정실험,쿼터없음,신청없음,1 : 0.65,쿼터없음
화공생명공학전공,CBE4017-03,화공생명공학공정실험,쿼터없음,1 : 0.20,1 : 0.68,쿼터없음
화공생명공학전공,CBEG005-01,화공산업과기술경영-기업가정신,쿼터없음,1 : 0.20,1 : 0.59,쿼터없음
중국문화전공,CHI2001-01,전공기초중국어1,1 : 0.30,1 : 0.25,1 : 0.29,신청없음
중국문화전공,CHI2006-01,"오늘의중국,중국인",1 : 0.30,1 : 0.41,1 : 0.47,1 : 0.08
중국문화전공,CHI3001-01,중국어회화1,신청없음,1 : 0.30,1 : 0.11,신청없음
중국문화전공,CHI3003-01,중국어3,1 : 1.50,1 : 1.20,1 : 1.60,신청없음
중국문화전공,CHI3005-01,고급중국어,1 : 0.60,1 : 1.86,1 : 0.80,1 : 0.17
중국문화전공,CHI3014-01,중국고전명문산책,1 : 1.30,1 : 1.30,1 : 1.20,신청없음
중국문화전공,CHI3015-01,현대중국문학의이해,1 : 0.30,1 : 0.18,1 : 0.16,1 : 0.05
중국문화전공,CHI3020-01,한자로읽는중국문화코드,1 : 0.30,1 : 0.35,1 : 0.38,신청없음
중국문화전공,CHI4005-01,중국문학주제특강,1 : 2.10,1 : 1.70,1 : 0.80,신청없음
중국문화전공,CHI4012-01,현대중국:구조와쟁점,1 : 0.20,1 : 0.22,1 : 0.37,신청없음
중국문화전공,CHI4014-01,글로벌라이제이션과중국,1 : 0.10,1 : 0.26,1 : 0.11,신청없음
중국문화전공,CHI4099-01,개별연구논문,쿼터없음,쿼터없음,쿼터없음,쿼터없음
중국문화전공,CHIG005-01,중국문학연구방법론,신청없음,신청없음,1 : 0.04,신청없음
화학전공,CHM1001-02,일반화학I,쿼터없음,쿼터없음,1 : 1.00,1 : 0.01
화학전공,CHM1001-03,일반화학I,쿼터없음,쿼터없음,신청없음,신청없음
화학전공,CHM1001-04,일반화학I,쿼터없음,쿼터없음,1 : 1.50,1 : 0.03
화학전공,CHM1001-05,일반화학I,쿼터없음,쿼터없음,1 : 2.50,1 : 0.03
화학전공,CHM1001-06,일반화학I,쿼터없음,쿼터없음,1 : 0.50,1 : 0.01
화학전공,CHM1001-07,일반화학I,쿼터없음,쿼터없음,1 : 0.50,신청없음
화학전공,CHM1001-08,일반화학I,쿼터없음,쿼터없음,1 : 0.50,신청없음
화학전공,CHM1051-01,일반화학실험I,쿼터없음,쿼터없음,1 : 0.25,신청없음
화학전공,CHM1051-02,일반화학실험I,쿼터없음,쿼터없음,1 : 0.50,신청없음
화학전공,CHM1051-05,일반화학실험I,쿼터없음,쿼터없음,1 : 0.50,신청없음
화학전공,CHM1051-07,일반화학실험I,쿼터없음,쿼터없음,신청없음,1 : 0.06
화학전공,CHM1051-13,일반화학실험I,쿼터없음,쿼터없음,신청없음,1 : 0.06
화학전공,CHM1051-15,일반화학실험I,쿼터없음,쿼터없음,1 : 0.50,1 : 0.06
화학전공,CHM1051-17,일반화학실험I,쿼터없음,쿼터없음,1 : 0.50,신청없음
화학전공,CHM2101-01,분석화학,1 : 0.32,1 : 0.07,1 : 0.01,신청없음
화학전공,CHM2151-01,분석화학실험,1 : 1.00,1 : 3.00,신청없음,쿼터없음
화학전공,CHM2151-02,분석화학실험,1 : 0.86,1 : 0.67,신청없음,쿼터없음
화학전공,CHM2151-03,분석화학실험,1 : 0.64,1 : 0.33,1 : 0.20,쿼터없음
화학전공,CHM2151-04,분석화학실험,1 : 0.07,신청없음,신청없음,쿼터없음
화학전공,CHM2202-01,물리화학II,1 : 0.08,1 : 0.22,1 : 0.07,신청없음
화학전공,CHM2231-01,물리화학특론,신청없음,신청없음,1 : 0.05,신청없음
화학전공,CHM2251-01,물리화학실험I,1 : 0.50,1 : 1.07,1 : 2.50,쿼터없음
화학전공,CHM2251-02,물리화학실험I,신청없음,1 : 0.81,1 : 0.40,쿼터없음
화학전공,CHM2251-03,물리화학실험I,신청없음,1 : 0.31,1 : 0.08,쿼터없음
화학전공,CHM2301-01,유기화학I,1 : 0.40,1 : 0.23,1 : 0.01,신청없음
화학전공,CHM2301-02,유기화학I,1 : 0.15,1 : 0.16,1 : 0.03,신청없음
화학전공,CHM2303-01,유기화학III,신청없음,1 : 0.06,1 : 0.03,신청없음
화학전공,CHM2331-01,유기화학특론I,신청없음,1 : 0.08,1 : 0.09,신청없음
화학전공,CHM2352-01,유기화학실험II,신청없음,1 : 0.08,1 : 0.12,신청없음
화학전공,CHM2401-01,무기화학I,1 : 0.02,1 : 0.18,1 : 0.05,신청없음
화학전공,CHM2501-01,고분자화학,신청없음,1 : 0.17,1 : 0.16,신청없음
화학전공,CHM2602-01,생화학II,신청없음,1 : 0.12,1 : 0.09,신청없음
화학전공,CHM2651-01,생화학실험,쿼터없음,1 : 0.14,1 : 0.62,쿼터없음
화학전공,CHM2651-02,생화학실험,쿼터없음,1 : 0.86,1 : 0.63,쿼터없음
화학전공,CHM2651-03,생화학실험,쿼터없음,1 : 1.00,1 : 2.14,쿼터없음
화학전공,CHM4055-01,첨단화학캡스톤디자인,쿼터없음,1 : 1.20,1 : 0.90,쿼터없음
화학전공,CHM4203-01,화학특허와기술이전,신청없음,신청없음,1 : 0.03,신청없음
화학전공,CHMG301-01,고급유기화학I,신청없음,1 : 0.05,1 : 0.07,신청없음
화학전공,CHMG401-01,고급무기화학,신청없음,신청없음,1 : 0.04,신청없음
교양학부(사학),CHS2001-01,한국문화와역사,1 : 0.70,1 : 0.15,1 : 0.19,1 : 0.09
교양학부(사학),CHS2001-02,한국문화와역사,1 : 0.55,1 : 0.31,1 : 0.20,1 : 0.02
교양학부(사학),CHS2002-01,현대한국의형성,1 : 0.90,1 : 0.05,1 : 0.07,1 : 0.10
교양학부(사학),CHS2002-02,현대한국의형성,1 : 0.85,1 : 0.48,1 : 0.19,1 : 0.07
교양학부(사학),CHS2002-03,현대한국의형성,1 : 1.35,1 : 0.15,1 : 0.14,1 : 0.13
교양학부(사학),CHS2002-04,현대한국의형성,1 : 0.25,1 : 0.11,1 : 0.02,1 : 0.04
교양학부(사학),CHS2003-01,현대동아시아의형성,1 : 0.65,신청없음,신청없음,1 : 0.21
교양학부(사학),CHS2003-02,현대동아시아의형성,1 : 0.25,1 : 0.03,신청없음,신청없음
교양학부(사학),CHS2003-03,현대동아시아의형성,1 : 3.90,1 : 0.90,1 : 0.41,1 : 0.42
교양학부(사학),CHS2004-01,현대서양의형성,1 : 1.55,1 : 0.20,1 : 0.14,1 : 0.18
교양학부(사학),CHS2004-02,현대서양의형성,1 : 0.50,1 : 0.03,1 : 0.08,1 : 0.02
교양학부(사학),CHS2004-03,현대서양의형성,1 : 0.95,1 : 0.24,1 : 0.25,1 : 0.32
교양학부(사학),CHS2006-01,역사란무엇인가,1 : 0.45,1 : 0.06,1 : 0.08,1 : 0.05
교양학부,CHU4002-01,인물로본한국사,1 : 0.20,1 : 0.17,1 : 0.06,신청없음
교양학부,CHU4007-01,인물로본서양사,1 : 0.30,1 : 0.12,1 : 0.08,신청없음
교양학부,CHU4011-01,영화로본역사,1 : 1.05,1 : 0.70,1 : 1.00,1 : 0.15
교양학부,CHU4018-01,이주의역사,1 : 0.05,1 : 0.05,1 : 0.07,신청없음
신문방송학전공,COM2001-01,커뮤니케이션학입문,쿼터없음,쿼터없음,쿼터없음,1 : 0.08
신문방송학전공,COM2001-02,커뮤니케이션학입문,1 : 0.20,1 : 0.22,1 : 0.02,1 : 0.07
신문방송학전공,COM2002-01,인간커뮤니케이션,1 : 1.63,1 : 2.05,1 : 2.10,1 : 2.30
신문방송학전공,COM2004-01,커뮤니케이션조사론,1 : 2.55,1 : 1.80,1 : 1.20,쿼터없음
신문방송학전공,COM2006-01,컨텐츠기획론,1 : 0.95,1 : 0.43,1 : 0.50,쿼터없음
신문방송학전공,COM3101-01,저널리즘개론,1 : 1.63,1 : 0.67,1 : 0.27,쿼터없음
신문방송학전공,COM3102-01,방송원론,1 : 0.77,1 : 0.81,1 : 0.52,쿼터없음
신문방송학전공,COM3111-01,대중문화론,1 : 0.40,1 : 0.44,1 : 0.32,쿼터없음
신문방송학전공,COM3117-01,미디어문화사,1 : 1.00,1 : 1.90,1 : 1.25,쿼터없음
신문방송학전공,COM3118-01,통일커뮤니케이션,1 : 0.20,1 : 0.37,1 : 0.13,쿼터없음
신문방송학전공,COM3121-01,영상문화와사회,1 : 1.20,1 : 1.55,1 : 0.60,쿼터없음
신문방송학전공,COM3127-01,방송시사예능포맷론,1 : 0.33,1 : 0.44,1 : 0.28,쿼터없음
신문방송학전공,COM3201-01,광고커뮤니케이션,1 : 1.30,1 : 1.30,1 : 0.30,쿼터없음
신문방송학전공,COM3202-01,PR의이해,1 : 2.05,1 : 1.50,1 : 0.50,쿼터없음
신문방송학전공,COM3204-01,광고와소비자심리,1 : 0.40,1 : 1.31,1 : 0.85,1 : 0.13
신문방송학전공,COM3205-01,PR전략과이론,1 : 0.80,1 : 0.76,1 : 0.42,쿼터없음
신문방송학전공,COM3214-01,PR작문,1 : 0.20,1 : 1.33,1 : 3.90,쿼터없음
신문방송학전공,COM3220-01,헬스커뮤니케이션,1 : 0.20,1 : 0.22,1 : 0.06,쿼터없음
신문방송학전공,COM3301-01,연극입문,1 : 1.40,1 : 0.90,1 : 0.42,신청없음
신문방송학전공,COM3302-01,영화입문,1 : 2.33,1 : 2.27,1 : 1.53,신청없음
신문방송학전공,COM3303-01,세계연극사,1 : 0.60,1 : 0.68,1 : 0.52,1 : 0.03
신문방송학전공,COM3317-01,영상편집,1 : 0.40,1 : 1.70,1 : 2.00,쿼터없음
신문방송학전공,COM3329-01,판타지콘텐츠창작,1 : 2.60,1 : 1.10,1 : 1.10,쿼터없음
신문방송학전공,COM3402-01,디지털미디어테크놀로지개론,1 : 1.50,1 : 1.80,1 : 1.53,1 : 0.20
신문방송학전공,COM3421-01,TV제작,1 : 0.10,1 : 0.53,1 : 0.21,쿼터없음
신문방송학전공,COM3428-01,모바일커뮤니케이션,1 : 0.50,1 : 0.63,1 : 0.42,쿼터없음
신문방송학전공,COM3431-01,디지털콘텐츠서비스기획캡스톤디자인,쿼터없음,쿼터없음,쿼터없음,쿼터없음
신문방송학전공,COM4001-01,텍스트마이닝,1 : 0.10,1 : 0.21,1 : 0.40,쿼터없음
교양학부(중핵),COR1001-01,읽기와쓰기,신청없음,1 : 0.25,신청없음,1 : 0.08
교양학부(중핵),COR1001-02,읽기와쓰기,1 : 1.00,1 : 0.50,1 : 0.50,신청없음
교양학부(중핵),COR1001-03,읽기와쓰기,1 : 1.00,신청없음,신청없음,신청없음
교양학부(중핵),COR1001-05,읽기와쓰기,1 : 0.50,신청없음,1 : 0.50,신청없음
교양학부(중핵),COR1001-07,읽기와쓰기,1 : 1.00,1 : 0.50,신청없음,1 : 0.03
교양학부(중핵),COR1001-08,읽기와쓰기,신청없음,신청없음,1 : 0.20,신청없음
교양학부(중핵),COR1001-09,읽기와쓰기,1 : 2.00,1 : 0.50,신청없음,1 : 0.03
교양학부(중핵),COR1001-10,읽기와쓰기,1 : 1.00,신청없음,신청없음,신청없음
교양학부(중핵),COR1001-11,읽기와쓰기,신청없음,신청없음,신청없음,1 : 0.03
교양학부(중핵),COR1001-12,읽기와쓰기,1 : 1.00,1 : 0.50,1 : 0.50,1 : 0.03
교양학부(중핵),COR1001-13,읽기와쓰기,1 : 1.50,신청없음,신청없음,1 : 0.03
교양학부(중핵),COR1001-14,읽기와쓰기,1 : 0.50,1 : 0.33,신청없음,신청없음
교양학부(중핵),COR1001-15,읽기와쓰기,1 : 0.50,신청없음,신청없음,1 : 0.05
교양학부(중핵),COR1001-16,읽기와쓰기,신청없음,신청없음,1 : 0.40,신청없음
교양학부(중핵),COR1001-18,읽기와쓰기,1 : 0.50,신청없음,신청없음,1 : 0.03
교양학부(중핵),COR1001-19,읽기와쓰기,신청없음,신청없음,신청없음,1 : 0.03
교양학부(중핵),COR1001-20,읽기와쓰기,1 : 0.50,신청없음,신청없음,1 : 0.03
교양학부(중핵),COR1001-22,읽기와쓰기,신청없음,신청없음,1 : 0.20,1 : 0.08
교양학부(중핵),COR1001-23,읽기와쓰기,1 : 2.00,신청없음,신청없음,신청없음
교양학부(중핵),COR1001-24,읽기와쓰기,신청없음,신청없음,신청없음,1 : 0.08
교양학부(중핵),COR1001-26,읽기와쓰기,신청없음,신청없음,신청없음,1 : 0.05
교양학부(중핵),COR1001-27,읽기와쓰기,신청없음,1 : 0.25,1 : 0.50,1 : 0.03
교양학부(중핵),COR1001-29,읽기와쓰기,신청없음,신청없음,1 : 0.20,1 : 0.13
교양학부(중핵),COR1001-30,읽기와쓰기,1 : 3.00,신청없음,신청없음,1 : 0.17
교양학부(중핵),COR1001-31,읽기와쓰기,1 : 1.50,1 : 0.50,1 : 1.00,1 : 0.50
교양학부(중핵),COR1001-32,읽기와쓰기,1 : 1.50,신청없음,신청없음,1 : 0.30
교양학부(중핵),COR1001-33,읽기와쓰기,1 : 3.00,1 : 0.50,신청없음,1 : 0.09
교양학부(중핵),COR1001-34,읽기와쓰기,1 : 2.50,신청없음,1 : 0.33,1 : 0.23
교양학부(중핵),COR1003-01,글로벌의사소통I,1 : 1.00,1 : 1.00,1 : 1.00,1 : 0.23
교양학부(중핵),COR1003-02,글로벌의사소통I,1 : 1.00,신청없음,신청없음,1 : 0.04
교양학부(중핵),COR1003-03,글로벌의사소통I,1 : 7.00,신청없음,1 : 0.67,1 : 0.17
교양학부(중핵),COR1003-04,글로벌의사소통I,1 : 11.00,신청없음,1 : 0.33,1 : 0.08
교양학부(중핵),COR1003-05,글로벌의사소통I,1 : 3.00,신청없음,신청없음,1 : 0.16
교양학부(중핵),COR1003-06,글로벌의사소통I,1 : 1.00,신청없음,신청없음,1 : 0.04
교양학부(중핵),COR1003-07,글로벌의사소통I,1 : 1.00,신청없음,신청없음,신청없음
교양학부(중핵),COR1003-09,글로벌의사소통I,1 : 2.00,1 : 1.00,신청없음,신청없음
교양학부(중핵),COR1003-10,글로벌의사소통I,1 : 2.00,신청없음,신청없음,1 : 0.04
교양학부(중핵),COR1003-11,글로벌의사소통I,1 : 1.00,신청없음,1 : 0.33,1 : 0.04
교양학부(중핵),COR1003-12,글로벌의사소통I,1 : 6.00,신청없음,1 : 0.33,1 : 0.13
교양학부(중핵),COR1003-13,글로벌의사소통I,1 : 6.00,신청없음,1 : 0.33,1 : 0.38
교양학부(중핵),COR1003-14,글로벌의사소통I,1 : 3.00,1 : 1.00,신청없음,1 : 0.17
교양학부(중핵),COR1003-15,글로벌의사소통I,1 : 2.00,신청없음,1 : 0.33,1 : 0.04
교양학부(중핵),COR1003-16,글로벌의사소통I,1 : 2.00,1 : 1.00,신청없음,1 : 0.13
교양학부(중핵),COR1003-18,글로벌의사소통I,1 : 2.00,1 : 2.00,1 : 0.50,1 : 0.04
교양학부(중핵),COR1003-19,글로벌의사소통I,1 : 1.00,1 : 1.00,신청없음,신청없음
교양학부(중핵),COR1003-20,글로벌의사소통I,신청없음,신청없음,신청없음,1 : 0.27
교양학부(중핵),COR1003-21,글로벌의사소통I,신청없음,신청없음,신청없음,1 : 0.04
교양학부(중핵),COR1003-22,글로벌의사소통I,1 : 1.00,신청없음,신청없음,1 : 0.04
교양학부(중핵),COR1003-24,글로벌의사소통I,1 : 3.00,신청없음,신청없음,1 : 0.08
교양학부(중핵),COR1003-25,글로벌의사소통I,1 : 3.00,신청없음,신청없음,신청없음
교양학부(중핵),COR1003-26,글로벌의사소통I,1 : 1.00,신청없음,신청없음,1 : 0.08
교양학부(중핵),COR1003-27,글로벌의사소통I,1 : 1.00,신청없음,신청없음,1 : 0.04
교양학부(중핵),COR1003-28,글로벌의사소통I,1 : 3.00,1 : 1.00,신청없음,신청없음
교양학부(중핵),COR1003-29,글로벌의사소통I,1 : 1.00,신청없음,신청없음,1 : 0.04
교양학부(중핵),COR1003-31,글로벌의사소통I,신청없음,신청없음,1 : 0.25,신청없음
교양학부(중핵),COR1003-32,글로벌의사소통I,1 : 1.00,신청없음,신청없음,신청없음
교양학부(중핵),COR1003-33,글로벌의사소통I,1 : 1.00,신청없음,신청없음,신청없음
교양학부(중핵),COR1003-34,글로벌의사소통I,1 : 1.00,신청없음,신청없음,1 : 0.08
교양학부(중핵),COR1003-35,글로벌의사소통I,1 : 1.00,신청없음,1 : 0.33,1 : 0.04
교양학부(중핵),COR1003-36,글로벌의사소통I,1 : 1.05,쿼터없음,쿼터없음,1 : 4.33
교양학부(중핵),COR1005-01,글로벌의사소통I(고급),1 : 1.00,1 : 1.00,신청없음,신청없음
교양학부(중핵),COR1007-01,성찰과성장1,1 : 2.67,1 : 1.00,쿼터없음,1 : 0.08
교양학부(중핵),COR1007-02,성찰과성장1,1 : 1.00,신청없음,쿼터없음,1 : 0.05
교양학부(중핵),COR1007-03,성찰과성장1,신청없음,신청없음,쿼터없음,1 : 0.02
