과목코드-분반,과목명,2018_2_1학년,2018_2_2학년,2018_2_3학년,2018_2_4학년
HLU4013-02,축구,1 : 0.13,1 : 0.13,1 : 0.17,1 : 0.29
HLU4014-01,야구,1 : 0.63,1 : 0.25,1 : 0.28,1 : 0.73
HLU4015-01,골프,1 : 0.38,1 : 0.36,1 : 0.39,1 : 0.50
HLU4015-02,골프,신청없음,1 : 0.06,1 : 0.04,1 : 0.30
HLU4015-03,골프,1 : 0.25,1 : 0.13,신청없음,1 : 0.10
HLU4015-04,골프,1 : 0.13,1 : 0.13,신청없음,1 : 0.13
HLU4016-01,춤과풍물,신청없음,신청없음,1 : 0.04,1 : 0.06
HLU4102-01,테니스II,신청없음,1 : 0.18,1 : 0.17,1 : 0.36
HSS3002-01,사회봉사,1 : 0.80,1 : 0.95,1 : 1.09,1 : 6.20
HSS3002-02,사회봉사,1 : 0.15,1 : 0.16,1 : 0.11,1 : 0.24
HSS3005-01,수화의이해,1 : 1.70,1 : 2.35,1 : 0.87,1 : 2.56
HSS3005-02,수화의이해,1 : 1.16,1 : 2.12,1 : 1.30,1 : 2.40
HSS3013-01,현대인문세미나,1 : 0.05,1 : 0.51,1 : 0.69,1 : 4.77
HSS3013-02,현대인문세미나,신청없음,1 : 0.20,1 : 0.19,1 : 0.24
HSS3013-03,현대인문세미나,1 : 0.10,1 : 0.21,1 : 0.48,1 : 1.26
HSS3014-01,신입생세미나,1 : 0.04,쿼터없음,쿼터없음,쿼터없음
HSS3016-01,진로탐색입문,1 : 2.05,1 : 0.33,쿼터없음,쿼터없음
HSS3016-02,진로탐색입문,1 : 3.35,1 : 0.26,쿼터없음,쿼터없음
HSS3017-01,학습매니지먼트,신청없음,1 : 0.07,1 : 0.13,쿼터없음
HSS3021-01,인간과지성,1 : 0.05,1 : 0.18,1 : 0.06,1 : 0.75
HSS3024-01,글로벌기업CEO특강,쿼터없음,1 : 1.00,1 : 1.43,쿼터없음
HSS3026-01,SOFEX100동아시아와예수회교육,쿼터없음,쿼터없음,쿼터없음,쿼터없음
JPN2001-01,중급일본어I,1 : 0.30,1 : 0.06,1 : 0.03,1 : 0.08
JPN2003-01,미디어일본어,1 : 0.10,1 : 0.13,1 : 0.17,1 : 0.09
JPN2004-01,일본어회화,1 : 0.60,1 : 0.42,1 : 0.29,1 : 0.27
JPN2008-01,일본문학의이해,1 : 0.10,1 : 0.04,1 : 0.18,1 : 0.11
JPN2009-01,일본문화의이해,1 : 0.10,1 : 0.08,1 : 0.08,1 : 0.06
JPN2013-01,일본문화특강I,1 : 0.40,1 : 0.19,1 : 0.15,1 : 0.31
JPN3001-01,일본사회의이해,1 : 0.20,1 : 0.22,1 : 0.27,1 : 0.28
KIC2002-01,공적개발원조,1 : 0.07,1 : 0.10,1 : 0.07,1 : 0.04
KIC3005-01,국제개발협력의주요의제,신청없음,신청없음,1 : 0.02,1 : 0.05
KOR2001-01,국어학입문,1 : 0.90,1 : 0.67,1 : 0.43,1 : 0.08
KOR2200-01,국문학개설,1 : 0.70,1 : 0.74,쿼터없음,쿼터없음
KOR2201-01,문학이란무엇인가,1 : 1.95,1 : 4.80,1 : 2.00,쿼터없음
KOR3002-01,국어의음운체계,1 : 0.75,1 : 1.93,1 : 1.25,1 : 1.25
KOR3003-01,국어의문장구조,쿼터없음,1 : 2.00,1 : 1.00,1 : 0.47
KOR3015-01,국어사,쿼터없음,1 : 1.87,1 : 0.73,1 : 0.37
KOR3202-01,한문II,신청없음,1 : 0.08,1 : 0.05,1 : 0.04
KOR3204-01,국문학과전통문화,쿼터없음,1 : 0.75,1 : 0.35,1 : 0.21
KOR3303-01,고전수필론,1 : 0.30,1 : 0.41,1 : 0.11,1 : 0.08
KOR3315-01,신화론,1 : 0.20,1 : 0.37,1 : 0.28,1 : 0.24
KOR3405-01,현대시텍스트읽기II,신청없음,1 : 0.37,1 : 0.21,1 : 0.24
KOR3406-01,현대소설텍스트읽기II,1 : 0.20,1 : 0.32,1 : 0.31,1 : 0.23
KOR3407-01,희곡과공연,쿼터없음,1 : 0.56,1 : 0.25,1 : 0.58
KOR4000-01,국어국문학특강,쿼터없음,쿼터없음,1 : 0.60,1 : 0.36
KOR4002-01,외국어로서의한국어교육,쿼터없음,1 : 0.10,1 : 0.17,1 : 0.16
KOR4099-01,개별연구논문,쿼터없음,쿼터없음,쿼터없음,쿼터없음
KOR4300-01,고전문학연습,쿼터없음,쿼터없음,1 : 0.13,1 : 0.14
KOR4500-01,국어와생활,쿼터없음,1 : 0.20,1 : 0.11,1 : 0.10
KOR4504-01,문학과문화콘텐츠,신청없음,신청없음,1 : 0.04,1 : 0.17
KORG002-01,국어학자료연구,쿼터없음,쿼터없음,1 : 0.67,1 : 1.25
KORG021-01,현대문학연구방법론,쿼터없음,쿼터없음,1 : 0.33,1 : 0.80
KORQ982-01,국어교과논리및논술,쿼터없음,신청없음,1 : 0.10,1 : 0.14
KORQ983-01,국어교과교재연구및지도법,쿼터없음,신청없음,신청없음,1 : 0.17
KOS2102-01,Korean Language&History-Intermediate,신청없음,1 : 0.05,1 : 0.10,1 : 0.04
KOS2102-02,Korean Language&History-Intermediate,1 : 0.50,1 : 0.46,1 : 0.39,1 : 0.03
KOS2203-01,Introduction to Korean Literature,1 : 0.05,1 : 0.14,1 : 0.17,1 : 0.10
KOS2204-01,Introduction to Korean History,1 : 0.40,1 : 0.69,1 : 0.07,1 : 0.26
KOS3004-01,The Mediums of Korean Cultural Modernity,1 : 0.30,1 : 0.13,1 : 0.10,1 : 0.13
KOS3006-01,East asian development Revisited,1 : 0.40,1 : 1.38,1 : 1.00,1 : 1.10
KOS3015-01,INTL.l Politics of Korean Peninsula,1 : 2.10,1 : 1.47,1 : 0.72,1 : 1.40
KOS3041-01,Korean Studies in Practice I (Capstone),신청없음,신청없음,1 : 0.08,1 : 0.03
KOS4002-01,Thesis Writing,1 : 0.20,신청없음,신청없음,1 : 0.13
KOSG003-01,Reading Theories of Korean Development,신청없음,1 : 0.20,1 : 0.25,1 : 0.19
KOSG007-01,한국학빅데이터분석,1 : 0.50,1 : 0.25,1 : 0.18,1 : 0.25
LAU4001-01,현대사회와문학예술,1 : 0.20,1 : 0.21,신청없음,1 : 0.14
LAU4006-01,문학과판타지,1 : 3.00,1 : 1.53,1 : 0.93,1 : 1.69
LAU4014-01,한국미술의역사와감상,1 : 0.50,1 : 0.60,1 : 0.38,1 : 0.15
LAU4015-01,서양미술의역사와감상,1 : 1.25,1 : 1.43,1 : 1.10,1 : 1.55
LAU4018-01,한국건축사,1 : 0.27,1 : 0.15,1 : 0.22,1 : 0.36
LAU4022-01,서양대중음악의이해,1 : 0.53,1 : 0.65,1 : 0.19,1 : 0.26
LAU4029-01,세계음악과문화의이해,1 : 1.20,1 : 1.80,1 : 0.53,1 : 0.50
LAU4031-01,영화로보는복식사(복식사와영화의상),쿼터없음,1 : 0.73,1 : 0.42,1 : 0.43
LAU4036-01,드로잉-선을통한사고와표현,1 : 4.10,1 : 6.80,1 : 4.60,1 : 12.80
LAU4037-01,동양화그리기,1 : 2.29,1 : 4.43,1 : 5.14,1 : 17.86
LAU4042-01,자연과문화속의언어,1 : 0.30,1 : 0.29,1 : 0.18,1 : 0.18
LAU4045-01,치유서사창작론,1 : 0.33,1 : 0.96,1 : 1.25,1 : 2.13
LAU4046-01,연극과퍼포먼스,1 : 0.71,1 : 0.89,1 : 0.63,1 : 0.50
LAU4052-01,아시아의미술과문명,1 : 0.03,1 : 0.04,1 : 0.09,1 : 0.20
LAU4053-01,축제적연극의창작,신청없음,1 : 0.13,1 : 0.04,1 : 0.15
LCS2001-01,독일언어와문화I,1 : 1.40,1 : 0.30,1 : 0.20,1 : 0.40
LCS2001-02,독일언어와문화I,1 : 0.27,1 : 0.05,1 : 0.04,1 : 0.08
LCS2001-03,독일언어와문화I,1 : 1.00,1 : 0.70,1 : 1.00,1 : 1.50
LCS2001-04,독일언어와문화I,1 : 0.40,1 : 0.16,1 : 0.05,신청없음
LCS2001-05,독일언어와문화I,1 : 1.87,1 : 0.60,1 : 0.43,1 : 0.33
LCS2001-06,독일언어와문화I,1 : 0.20,1 : 0.09,신청없음,신청없음
LCS2002-01,독일언어와문화II,1 : 0.20,1 : 0.23,1 : 0.10,1 : 0.15
LCS2003-01,프랑스언어와문화I,1 : 2.10,1 : 0.60,1 : 0.56,1 : 0.67
LCS2003-02,프랑스언어와문화I,1 : 1.00,1 : 0.20,신청없음,1 : 0.11
LCS2003-03,프랑스언어와문화I,1 : 1.00,1 : 0.30,1 : 0.25,신청없음
LCS2003-04,프랑스언어와문화I,1 : 0.60,1 : 0.07,신청없음,1 : 0.04
LCS2003-05,프랑스언어와문화I,1 : 3.00,1 : 0.40,1 : 0.18,1 : 0.14
LCS2004-01,프랑스언어와문화II,1 : 1.90,1 : 0.40,1 : 0.09,1 : 0.27
LCS2005-01,중국언어와문화I,1 : 0.80,1 : 0.25,1 : 0.14,1 : 0.06
LCS2005-02,중국언어와문화I,1 : 0.50,1 : 0.13,1 : 0.11,1 : 0.14
LCS2005-03,중국언어와문화I,1 : 0.20,1 : 0.22,1 : 0.16,1 : 0.10
LCS2005-04,중국언어와문화I,1 : 1.40,1 : 0.90,1 : 0.50,1 : 0.63
LCS2006-01,중국언어와문화II,1 : 0.40,1 : 0.31,1 : 0.13,1 : 0.37
LCS2006-02,중국언어와문화II,1 : 0.20,1 : 0.17,신청없음,1 : 0.04
LCS2007-01,일본언어와문화I,1 : 1.29,1 : 0.89,1 : 0.20,1 : 0.14
LCS2007-02,일본언어와문화I,1 : 1.29,1 : 1.67,1 : 1.00,1 : 2.00
LCS2007-03,일본언어와문화I,1 : 1.00,1 : 0.67,1 : 0.43,1 : 1.00
LCS2007-04,일본언어와문화I,1 : 1.43,1 : 0.78,1 : 0.17,1 : 0.38
LCS2008-01,일본언어와문화II,1 : 0.08,1 : 0.61,1 : 0.47,1 : 1.00
LCS2009-01,한국어와문화I,1 : 0.45,1 : 0.76,1 : 1.29,쿼터없음
LCS2009-02,한국어와문화I,1 : 0.65,1 : 0.35,1 : 0.38,쿼터없음
LCS2009-03,한국어와문화I,1 : 0.50,1 : 0.15,1 : 0.05,쿼터없음
LCS2009-04,한국어와문화I,1 : 0.20,1 : 0.27,1 : 0.05,쿼터없음
LCS2010-01,한국어와문화II,1 : 0.05,1 : 0.14,1 : 0.15,쿼터없음
LCS2010-02,한국어와문화II,1 : 0.70,1 : 0.50,1 : 0.30,쿼터없음
LCU4011-01,고급영어회화,1 : 0.33,1 : 0.50,1 : 0.50,1 : 0.77
LCU4015-01,영화를통한영어연습,쿼터없음,1 : 1.50,1 : 2.00,1 : 3.11
LCU4015-02,영화를통한영어연습,쿼터없음,1 : 2.75,1 : 1.00,1 : 1.78
LCU4017-01,비즈니스영어연습,쿼터없음,1 : 0.63,1 : 0.33,1 : 0.71
LCU4017-02,비즈니스영어연습,쿼터없음,1 : 0.50,1 : 0.15,1 : 0.45
LCU4018-01,연극을통한영어연습,쿼터없음,1 : 0.50,1 : 0.38,1 : 0.41
LCU4021-01,초급라틴어,1 : 0.27,1 : 0.12,1 : 0.09,1 : 0.25
LCU4030-01,초급스페인어,1 : 0.90,1 : 1.00,1 : 0.20,1 : 0.56
LCU4035-01,초급러시아어,1 : 1.60,1 : 4.30,1 : 1.60,1 : 3.00
LCU4103-01,기본영어,1 : 0.87,1 : 4.25,1 : 1.00,1 : 2.00
LCU4103-02,기본영어,1 : 2.26,1 : 9.00,1 : 6.00,1 : 3.00
LCU4103-03,기본영어,1 : 1.13,1 : 4.00,1 : 2.00,1 : 1.00
LCU4103-04,기본영어,1 : 0.87,1 : 1.00,신청없음,신청없음
LCU4107-01,튜터링을통한글쓰기능력신장,쿼터없음,1 : 0.53,1 : 0.36,1 : 1.38
LCU4107-02,튜터링을통한글쓰기능력신장,쿼터없음,1 : 0.60,1 : 0.14,1 : 1.11
LCU4107-03,튜터링을통한글쓰기능력신장,쿼터없음,1 : 0.20,1 : 0.44,1 : 2.16
LCU4109-01,글쓰기를위한기초인문학,1 : 0.88,1 : 2.00,1 : 1.57,1 : 2.14
LCU4110-01,문학예술과창의적글쓰기,1 : 2.00,1 : 2.13,1 : 1.71,1 : 2.43
LCU4111-01,해석과설득적글쓰기,1 : 0.63,1 : 0.64,1 : 0.73,1 : 0.60
LCU4113-01,사회학적참여관찰과글쓰기,1 : 0.63,1 : 0.55,1 : 0.08,1 : 0.67
LCU4114-01,중급아랍어,1 : 0.10,신청없음,신청없음,신청없음
LED3002-01,리더십훈련,1 : 0.40,1 : 0.38,1 : 0.10,1 : 0.25
LED3010-01,발표와토론,쿼터없음,신청없음,신청없음,1 : 0.03
LED3010-02,발표와토론,쿼터없음,신청없음,1 : 0.07,1 : 0.34
MAT1060-01,미적분학실습II,1 : 1.58,1 : 2.00,1 : 1.00,1 : 0.50
MAT1060-02,미적분학실습II,1 : 0.08,신청없음,신청없음,신청없음
MAT1060-03,미적분학실습II,1 : 1.75,1 : 1.50,1 : 1.50,신청없음
MAT1060-04,미적분학실습II,1 : 0.08,1 : 0.08,1 : 0.21,1 : 0.08
MAT1060-05,미적분학실습II,1 : 0.33,신청없음,신청없음,1 : 0.07
MAT2110-01,선형대수학,쿼터없음,1 : 0.43,1 : 0.64,1 : 0.55
MAT2110-02,선형대수학,쿼터없음,1 : 0.88,1 : 1.13,1 : 1.70
MAT2110-03,선형대수학,쿼터없음,1 : 0.95,1 : 2.33,1 : 0.40
MAT2120-01,정수론,쿼터없음,1 : 0.83,1 : 0.68,1 : 0.61
MAT2120-02,정수론,쿼터없음,1 : 1.53,1 : 1.10,1 : 1.30
MAT2220-01,고등미적분학II,쿼터없음,1 : 0.45,1 : 1.34,1 : 1.60
MAT2220-02,고등미적분학II,쿼터없음,1 : 0.25,1 : 0.18,1 : 0.07
MAT2230-01,미분방정식,쿼터없음,1 : 0.73,1 : 0.21,1 : 0.13
MAT2230-02,미분방정식,쿼터없음,1 : 0.97,1 : 1.33,1 : 1.40
MAT2420-01,응용수학II,쿼터없음,1 : 0.70,1 : 0.74,1 : 0.73
MAT2420-02,응용수학II,쿼터없음,1 : 0.45,1 : 0.24,1 : 0.29
MAT3020-01,통계학입문,쿼터없음,1 : 1.55,1 : 0.50,1 : 0.20
MAT3020-02,통계학입문,쿼터없음,1 : 0.80,1 : 1.04,1 : 0.35
MAT3310-01,현대기하학,쿼터없음,1 : 0.05,1 : 0.27,1 : 0.35
MAT3410-01,확률론입문,쿼터없음,1 : 0.30,1 : 0.43,1 : 0.44
MAT3420-01,금융수학,쿼터없음,신청없음,1 : 0.32,1 : 0.44
MAT4120-01,추상대수학II,쿼터없음,신청없음,1 : 1.05,1 : 1.20
MAT4220-01,복소수함수론II,쿼터없음,신청없음,1 : 0.43,1 : 0.19
MAT4320-01,위상수학개론I,쿼터없음,1 : 0.30,1 : 1.14,1 : 1.75
MAT4510-01,학부개별연구,쿼터없음,쿼터없음,신청없음,1 : 0.07
MATG220-01,실해석학II,쿼터없음,신청없음,1 : 0.07,1 : 0.08
MATQ982-01,수학교과논리및논술,쿼터없음,1 : 0.29,신청없음,1 : 0.16
MATQ983-01,수학교과교재연구및지도법,쿼터없음,신청없음,1 : 0.07,1 : 0.05
MEE1005-01,C프로그래밍기초,쿼터없음,1 : 0.09,신청없음,쿼터없음
MEE2007-01,공학수학II,쿼터없음,1 : 0.66,1 : 0.30,1 : 0.03
MEE2008-01,공학설계개론,1 : 0.30,1 : 0.05,1 : 0.14,신청없음
MEE2008-02,공학설계개론,1 : 0.34,1 : 0.34,1 : 0.10,신청없음
MEE2012-01,유체역학I,쿼터없음,1 : 0.60,1 : 0.17,1 : 0.06
MEE2012-02,유체역학I,쿼터없음,1 : 0.66,1 : 0.19,1 : 0.13
MEE2013-01,동역학,쿼터없음,1 : 0.68,1 : 0.38,1 : 0.03
MEE2014-01,디자인과재료,쿼터없음,1 : 0.58,1 : 0.35,1 : 0.13
MEE2025-01,모형설계제작,쿼터없음,1 : 0.38,1 : 0.25,신청없음
MEE2025-02,모형설계제작,쿼터없음,1 : 0.81,1 : 0.20,신청없음
MEE2025-03,모형설계제작,쿼터없음,1 : 0.19,1 : 0.27,1 : 0.08
MEE3001-01,재료거동학,쿼터없음,쿼터없음,1 : 0.48,1 : 0.33
MEE3002-01,열역학II,쿼터없음,쿼터없음,1 : 0.38,1 : 0.15
MEE3005-01,공학수치해석,쿼터없음,쿼터없음,1 : 0.78,1 : 0.10
MEE3005-02,공학수치해석,쿼터없음,쿼터없음,1 : 0.40,1 : 0.17
MEE3011-01,부품설계,쿼터없음,쿼터없음,1 : 0.95,1 : 0.64
MEE3012-01,내연기관,쿼터없음,쿼터없음,1 : 0.85,1 : 0.35
MEE3015-01,설계방법론(캡스톤디자인),쿼터없음,쿼터없음,1 : 0.70,1 : 0.19
MEE3025-01,기계공학실험I,쿼터없음,쿼터없음,1 : 0.40,1 : 0.20
MEE3025-02,기계공학실험I,쿼터없음,쿼터없음,1 : 0.36,1 : 0.10
MEE3025-03,기계공학실험I,쿼터없음,쿼터없음,1 : 0.40,1 : 0.05
MEE3025-04,기계공학실험I,쿼터없음,쿼터없음,1 : 1.32,1 : 0.60
MEE4001-01,유한요소해석,쿼터없음,쿼터없음,1 : 0.16,1 : 0.16
MEE4021-01,창의적종합설계,쿼터없음,쿼터없음,쿼터없음,1 : 0.67
MEE4023-01,로봇설계및제어,쿼터없음,쿼터없음,1 : 0.14,1 : 0.17
MEE4047-01,기계공학세미나,쿼터없음,쿼터없음,1 : 0.07,1 : 0.21
MEEG005-01,연속체역학,쿼터없음,쿼터없음,신청없음,1 : 0.05
MEEG012-01,전산유체역학,쿼터없음,쿼터없음,신청없음,1 : 0.45
MEEG017-01,미소열유체공학,쿼터없음,쿼터없음,신청없음,1 : 0.08
MEEG019-01,공정설계의CAE,쿼터없음,쿼터없음,신청없음,1 : 0.10
MEEG032-01,전산열전달,쿼터없음,쿼터없음,1 : 0.20,1 : 0.83
MGT2002-01,경영통계학,1 : 3.46,1 : 0.67,1 : 1.07,1 : 1.10
MGT2002-02,경영통계학,1 : 1.03,1 : 0.47,1 : 0.56,1 : 0.22
MGT2002-03,경영통계학,1 : 0.94,1 : 0.29,1 : 0.18,1 : 0.04
MGT2002-04,경영통계학,1 : 0.26,1 : 0.07,1 : 0.06,1 : 0.02
MGT2003-01,회계학원론,1 : 0.34,1 : 0.34,1 : 0.18,1 : 0.09
MGT2003-02,회계학원론,1 : 0.39,1 : 0.18,1 : 0.21,1 : 0.13
MGT2003-03,회계학원론,1 : 0.53,1 : 0.60,1 : 0.50,1 : 0.44
MGT2003-04,회계학원론,1 : 5.10,1 : 1.40,1 : 1.10,1 : 3.60
MGT2003-05,회계학원론,1 : 4.60,1 : 1.57,1 : 1.33,1 : 4.60
MGT2003-06,회계학원론,1 : 4.10,1 : 1.07,1 : 0.60,1 : 0.06
MGT3001-01,조직행동이론,1 : 0.07,1 : 1.09,1 : 2.20,1 : 0.53
MGT3001-02,조직행동이론,쿼터없음,1 : 0.60,1 : 0.38,1 : 0.14
MGT3001-03,조직행동이론,쿼터없음,1 : 1.80,1 : 0.60,1 : 0.64
MGT3001-04,조직행동이론,신청없음,1 : 0.10,1 : 0.09,1 : 0.07
MGT3001-05,조직행동이론,신청없음,1 : 0.73,1 : 1.21,1 : 0.80
MGT3002-01,경영정보시스템,쿼터없음,1 : 0.60,1 : 1.43,1 : 3.35
MGT3002-02,경영정보시스템,쿼터없음,1 : 0.30,1 : 0.50,1 : 0.34
MGT3003-01,생산관리론,쿼터없음,1 : 1.63,1 : 0.60,1 : 0.27
MGT3003-02,생산관리론,쿼터없음,1 : 2.40,1 : 1.36,1 : 0.68
MGT3003-03,생산관리론,쿼터없음,1 : 0.50,1 : 0.20,1 : 0.13
MGT3003-04,생산관리론,쿼터없음,1 : 2.50,1 : 1.03,1 : 0.30
MGT3004-01,재무관리,신청없음,1 : 1.37,1 : 1.95,1 : 0.85
MGT3004-02,재무관리,1 : 0.20,1 : 2.32,1 : 1.75,1 : 1.20
MGT3004-03,재무관리,1 : 0.20,1 : 0.46,1 : 1.00,1 : 0.60
MGT3004-04,재무관리,1 : 0.20,1 : 1.21,1 : 1.60,1 : 1.00
MGT3005-01,관리회계,신청없음,1 : 1.23,1 : 1.17,1 : 1.70
MGT3005-02,관리회계,1 : 1.00,1 : 2.07,1 : 1.43,1 : 1.80
MGT3005-03,관리회계,신청없음,1 : 0.23,1 : 0.33,1 : 0.44
MGT3006-01,마케팅원론,쿼터없음,1 : 2.05,1 : 1.17,1 : 0.90
MGT3006-02,마케팅원론,쿼터없음,1 : 2.10,1 : 1.57,1 : 0.80
MGT3006-03,마케팅원론,쿼터없음,1 : 0.50,1 : 0.29,1 : 0.13
MGT3006-04,마케팅원론,쿼터없음,1 : 1.50,1 : 1.23,1 : 0.60
MGT3006-05,마케팅원론,쿼터없음,1 : 0.03,1 : 0.07,1 : 0.09
MGT3007-01,국제경영론,쿼터없음,1 : 0.70,1 : 0.57,1 : 0.33
MGT3007-02,국제경영론,쿼터없음,1 : 2.30,1 : 3.45,1 : 1.30
MGT3007-03,국제경영론,쿼터없음,1 : 1.60,1 : 4.40,1 : 1.57
MGT4102-01,경영전략,쿼터없음,쿼터없음,1 : 0.49,1 : 0.96
MGT4102-02,경영전략,쿼터없음,1 : 1.30,1 : 0.23,1 : 0.80
MGT4104-01,리더쉽이론,쿼터없음,1 : 0.13,1 : 0.54,1 : 0.66
MGT4105-01,기업윤리,쿼터없음,1 : 1.67,1 : 2.43,1 : 6.10
MGT4106-01,인적자원관리,쿼터없음,쿼터없음,1 : 0.43,1 : 0.84
MGT4106-02,인적자원관리,쿼터없음,1 : 0.07,1 : 0.19,1 : 0.16
MGT4106-03,인적자원관리,쿼터없음,1 : 0.13,1 : 0.05,1 : 0.08
MGT4201-01,의사결정론,신청없음,1 : 0.08,1 : 0.19,1 : 0.39
MGT4203-01,경영과학,신청없음,1 : 0.20,1 : 0.40,1 : 0.62
MGT4207-01,응용경영통계,신청없음,1 : 0.16,1 : 0.46,1 : 0.38
MGT4221-01,경영과정보기술,쿼터없음,1 : 0.05,1 : 0.44,1 : 0.84
MGT4226-01,빅데이터와비즈니스인텔리젼스,쿼터없음,1 : 0.20,1 : 0.61,1 : 0.89
MGT4227-01,지식경영과서비스혁신,쿼터없음,1 : 0.10,1 : 0.24,1 : 0.47
MGT4230-01,비즈니스앱개발,쿼터없음,1 : 0.10,1 : 0.23,1 : 0.13
MGT4241-01,기술경영,쿼터없음,1 : 0.10,1 : 0.16,1 : 0.44
MGT4243-01,경영품질의이해,쿼터없음,1 : 0.20,1 : 0.37,1 : 0.27
MGT4244-01,로지스틱스와생산전략,쿼터없음,쿼터없음,1 : 0.23,1 : 0.21
MGT4245-01,정보화시대의기업경영과혁신,쿼터없음,1 : 0.05,1 : 0.16,1 : 0.15
MGT4246-01,서비스기업운영관리론,쿼터없음,1 : 0.53,1 : 1.06,1 : 2.20
MGT4248-01,비즈니스프로세스관리,쿼터없음,1 : 0.20,1 : 0.76,1 : 0.89
MGT4301-01,투자론,신청없음,1 : 0.30,1 : 0.68,1 : 0.73
MGT4301-02,투자론,신청없음,1 : 0.33,1 : 0.85,1 : 1.12
MGT4303-01,선물옵션투자론,신청없음,1 : 0.07,1 : 0.52,1 : 0.77
MGT4304-01,포트폴리오관리,신청없음,1 : 0.07,1 : 0.25,1 : 0.25
MGT4307-01,금융기관론,신청없음,1 : 0.10,1 : 0.43,1 : 0.38
MGT4308-01,재무사례분석(캡스톤디자인),쿼터없음,쿼터없음,신청없음,1 : 0.06
MGT4309-01,고급재무이론,신청없음,1 : 0.10,1 : 0.32,1 : 0.48
MGT4310-01,재무특강,쿼터없음,쿼터없음,1 : 0.10,1 : 0.12
MGT4313-01,벤처와금융시장(캡스톤디자인),쿼터없음,신청없음,1 : 0.09,1 : 0.15
MGT4331-01,보험학원론,신청없음,1 : 0.03,1 : 0.22,1 : 0.21
MGT4331-02,보험학원론,신청없음,신청없음,1 : 0.22,1 : 0.27
MGT4332-01,기업리스크관리,신청없음,신청없음,1 : 0.02,1 : 0.07
MGT4401-01,중급회계1,신청없음,1 : 0.29,1 : 0.28,1 : 0.19
MGT4401-02,중급회계1,신청없음,1 : 0.48,1 : 0.91,1 : 0.92
MGT4402-01,중급회계2,쿼터없음,1 : 0.30,1 : 0.71,1 : 0.80
MGT4404-01,원가회계,1 : 0.20,1 : 1.17,1 : 1.70,1 : 1.50
MGT4406-01,세무회계,쿼터없음,1 : 0.13,1 : 0.64,1 : 1.00
MGT4502-01,소비자행동론,쿼터없음,1 : 0.25,1 : 1.46,1 : 2.80
MGT4503-01,시장조사론,쿼터없음,신청없음,1 : 0.14,1 : 0.25
MGT4507-01,유통전략론,쿼터없음,신청없음,1 : 0.13,1 : 0.27
MGT4513-01,마케팅최신주제및사례연구,쿼터없음,신청없음,1 : 0.05,1 : 0.12
MGT4514-01,아시아마케팅,쿼터없음,쿼터없음,쿼터없음,쿼터없음
MGT4605-01,무역경영관리,쿼터없음,1 : 0.40,1 : 1.94,1 : 2.50
MGT4613-01,중국시장및경영환경의이해,쿼터없음,1 : 0.20,1 : 0.81,1 : 0.73
MGT4701-01,경영영어라이팅,쿼터없음,신청없음,1 : 0.10,1 : 0.33
MGT4712-01,"지식,인성그리고경영",쿼터없음,쿼터없음,쿼터없음,쿼터없음
MGT4713-01,사회적가치창출프랙티컴,쿼터없음,쿼터없음,1 : 1.28,1 : 1.16
MGT4714-01,사회적기업창업과운영,쿼터없음,신청없음,1 : 0.16,1 : 0.46
PEP2000-01,"현대문명의정치,경제,철학적이해",1 : 0.02,1 : 0.02,신청없음,신청없음
PHI2001-01,철학개론,1 : 3.20,1 : 0.67,1 : 0.22,1 : 0.22
PHI2004-01,한국철학사,쿼터없음,1 : 0.20,1 : 0.10,1 : 0.05
PHI2007-01,인식론,쿼터없음,1 : 0.20,1 : 0.10,1 : 0.09
PHI2008-01,윤리학,1 : 1.50,1 : 0.40,1 : 0.14,1 : 0.06
PHI3004-01,서양현대철학사,쿼터없음,1 : 0.60,1 : 0.36,1 : 0.32
PHI3006-01,아리스토텔레스철학,쿼터없음,1 : 0.65,1 : 0.56,1 : 1.00
PHI3011-01,독일관념론,쿼터없음,1 : 0.10,1 : 0.03,1 : 0.04
PHI3024-01,예술철학,쿼터없음,1 : 0.30,1 : 0.09,1 : 0.04
PHI3026-01,심리철학,쿼터없음,1 : 0.75,1 : 0.64,1 : 0.69
PHI3034-01,"위진,당철학사",쿼터없음,1 : 0.20,1 : 0.08,1 : 0.02
PHI3043-01,주자학,쿼터없음,1 : 0.15,신청없음,1 : 0.07
PHI3044-01,양명학,쿼터없음,1 : 0.15,1 : 0.14,1 : 0.08
PHI4006-01,인식론특강,쿼터없음,신청없음,1 : 0.03,1 : 0.03
PHI4007-01,형이상학특강,쿼터없음,1 : 0.05,1 : 0.03,1 : 0.07
PHIG082-01,동양철학읽기,쿼터없음,쿼터없음,1 : 0.10,1 : 0.11
PHIG083-01,서양철학읽기,쿼터없음,쿼터없음,1 : 0.15,1 : 0.08
PHY1001-01,일반물리I,1 : 0.71,1 : 0.17,1 : 0.14,1 : 0.10
PHY1002-01,일반물리II,1 : 1.20,1 : 0.60,1 : 0.29,1 : 0.20
PHY1002-02,일반물리II,1 : 0.64,1 : 0.15,1 : 0.03,1 : 0.03
PHY1002-03,일반물리II,1 : 0.13,1 : 0.04,신청없음,신청없음
PHY1002-04,일반물리II,1 : 0.73,1 : 0.50,신청없음,1 : 0.23
PHY1002-05,일반물리II,1 : 0.53,1 : 0.39,1 : 0.10,1 : 0.03
PHY1002-06,일반물리II,1 : 0.96,1 : 0.33,신청없음,신청없음
