과목번호-분반,과목명,교수,학점,수업시간/강의실,학년,강의평,담은 인원,비고
ENG2001-01,영문학개론,장기윤,3,"화,목 13:30~14:45 [J217]",1학년,,42,영어강의
ENG2001-02,영문학개론,윤주옥,3,"수,금 13:30~14:45 [J215]",1학년,,49,영어강의
ENG2003-01,언어학개론,채서영,3,"화,목 12:00~13:15 [J215]",1-4학년,,26,영어강의
ENG2101-01,영문학작문,BonfiglioRichardPaul,3,"화,목 12:00~13:15 [J217]",1-2학년,,20,영어강의
ENG2101-02,영문학작문,김치헌,3,"화,목 09:00~10:15 [J217]",1-2학년,,20,영어강의
ENG2101-03,영문학작문,신문주,3,"월,수 12:00~13:15 [J217]",1-2학년,,23,영어강의
ENG3008-01,초기영국소설,신경원,3,"수,금 15:00~16:15 [J217]",2-4학년,,26,
ENG3010-01,빅토리아시대의소설,BonfiglioRichardPaul,3,"화,목 15:00~16:15 [J217]",2-4학년,,20,영어강의
ENG3012-01,초기및19세기미국소설,장기윤,3,"화,목 16:30~17:45 [J217]",2-4학년,,18,영어강의
ENG3102-01,현대서양문학,신문주,3,"화,목 16:30~17:45 [J219]",2-4학년,,25,영어강의
ENG3106-01,현대미국희곡,Chambers Claire Maria,3,"월,수 10:30~11:45 [J217]",2-4학년,,25,영어강의
ENG3108-01,최근미국문학,황은주,3,"수,금 09:00~10:15 [J313]",2-4학년,,11,
ENG3207-01,영어권대중문학,손일수,3,"화,목 09:00~10:15 [J315]",2-4학년,,20,영어강의
ENG3216-01,영문학특강,신경원,3,"수,금 13:30~14:45 [J325]",2-4학년,,23,부제:페미니즘 이론(Feminist Theory)
ENG3223-01,시와문화,"Disney, Daniel James Philip",3,"화,목 10:30~11:45 [J325]",2-4학년,,28,영어강의
ENG3227-01,문학과예술,BonfiglioRichardPaul,3,"월,수 12:00~13:15 [J215]",2-4학년,,16,영어강의
ENG3301-01,영어음성학,정인기,3,"월,수 10:30~11:45 [J313]",2-4학년,,17,영어강의
ENG3305-01,영어화용론,한승훈,3,금 10:30~13:15 [J102],2-4학년,,55,인원제한 없음/ 전학년
ENG3306-01,영어통사론,Barrie Michael Jonathan Mathew,3,"화,목 15:00~16:15 [J313]",2-4학년,,23,영어강의
ENG3319-01,언어조사및분석,Barrie Michael Jonathan Mathew,3,"화,목 10:30~11:45 [J315]",2-4학년,,13,영어강의
ENG3412-01,영어연설과원고작성법,채서영,3,"화,목 13:30~14:45 [J321]",1-4학년,,15,영어연설연습(ENG2109)의 대체과목
ENGG282-01,영어논리/논증적글쓰기의이론과실제,이요안,3,목 14:00~17:00 [J614],3-4학년,,1,"학석사연계과목, 대학원초급과목"
ENGG284-01,글쓰기문법과논리적사고,Yoo Isaiah WonHo,3,월 14:00~17:00 [J323],3-4학년,,15,"영어강의, 학석사연계과목"
HIS2003-01,한국사개론Ⅰ,정선용,3,"화,목 15:00~16:15 [J307]",2-4학년,,49,"구 한국사개설I,II 통합과목"
HIS2004-01,동아시아사개론Ⅰ,윤대영,3,"화,목 09:00~10:15 [J317]",2-4학년,,17,"구 동양사개설I,II 통합과목"
HIS2005-01,서양사개론Ⅰ,오흥식,3,"월,수 16:30~17:45 [J217]",2-4학년,,27,"구 서양사개설I,II 통합과목"
HIS2006-01,역사학입문,윤병남,3,"화,목 13:30~14:45 [J219]",1-4학년,,34,역사란무엇인가(HIS2001)의 대체과목(2013학번이전의경우)
HIS3007-01,중국중세사,정면,3,월 13:30~16:15 [J309],2-4학년,,68,
HIS3012-01,근대일본의형성,정녕,3,"화,목 15:00~16:15 [J309]",1-4학년,,41,
HIS3018-01,아시아지역사특강1,윤대영,3,"화,목 10:30~11:45 [J102]",2-4학년,,11,
HIS3023-01,르네상스와종교개혁사,박효근,3,월 13:30~16:15 [J106],2-4학년,,28,
HIS3028-01,서양현대사,이종훈,3,"수,금 15:00~16:15 [J215]",2-4학년,,22,
HIS3029-01,20세기세계사,"Swain, Nigel",3,"화,목 13:30~14:45 [J313]",2-4학년,,17,영어강의
HIS3039-01,한국사학사,최기영,3,"화,목 10:30~11:45 [J217]",2-4학년,,25,
HIS3042-01,한국정치사,최희정,3,"월,수 12:00~13:15 [J325]",2-4학년,,30,
HIS3053-01,한국여성사,계승범,3,"월,수 10:30~11:45 [J215]",2-4학년,,28,
HIS3056-01,중국사상사,최진묵,3,금 10:30~13:15 [J313],2-4학년,,15,
HIS3060-01,동아시아의국제질서,정면,3,"월,수 10:30~11:45 [J327]",2-4학년,,22,
HIS3070-01,문화유산현장실습1,계승범,1,수 16:30~17:45 [J102],2-4학년,,42,성적평가:S/U
HIS3071-01,문화유산현장실습2,계승범,1,수 16:30~17:45 [J102],1-4학년,,2,성적평가:S/U
HIS4005-01,한국사강독1,조범환,3,"화,목 13:30~14:45 [J317]",3-4학년,,14,
HIS4012-01,서양사특강1,이한규,3,금 10:30~13:15 [J315],3-4학년,,17,부제 : 아프리카의 역사
HIS4017-01,서양사명저해제1,임지현,3,"수,금 13:30~14:45 [J327]",3-4학년,,24,
HISG105-01,한국제도사연습,최기영,3,화 15:00~17:45 [J109],3-4학년,,0,학석사연계과목
HISQ981-01,역사교과교육론,김민정,3,"화,목 12:00~13:15 [D406]",3-4학년,,6,교직이수자만 전공학점으로 인정
HISQ982-01,역사교과논리및논술,김민정,3,"화,목 15:00~16:15 [J104]",2-4학년,,5,"영어강의, 교직이수자만 전공학점으로 인정"
PHI2002-01,동양철학개론,하유진,3,"화,목 10:30~11:45 [J207]",2-4학년,,30,
PHI2003-01,서양철학사,서동욱,3,"월,수 10:30~11:45 [J311]",2-4학년,,68,
PHI3003-01,서양근대철학사,"Kim, Halla",3,"월,수 12:00~13:15 [J315]",2-4학년,,17,영어강의
PHI2005-01,논리학개론,서상복,3,"수,금 15:00~16:15 [K201]",2-4학년,,71,
PHI2006-01,형이상학,백승영,3,월 13:30~16:15 [J102],2-4학년,,82,
PHI3010-01,영국경험론,김종원,3,"화,목 16:30~17:45 [J106]",2-4학년,,19,
PHI3014-01,미학개론,김산춘,3,"화,목 10:30~11:45 [K401]",2-4학년,,38,(구 철학탐구방법론 대체과목)
PHI3023-01,분석철학,김영건,3,"화,목 12:00~13:15 [J107]",2-4학년,,61,
PHI3033-01,"선진,한철학사",정재현,3,"화,목 13:30~14:45 [J311]",2-4학년,,18,영어강의
PHI3035-01,"송,명,청철학사",정종모,3,"화,목 09:00~10:15 [J202]",2-4학년,,13,
PHI3037-01,도가철학,이임찬,3,"수,금 13:30~14:45 [J204]",2-4학년,,32,
PHI4010-01,실용논리,석기용,3,"월,수 12:00~13:15 [K307]",2-4학년,,48,"교과목명 변경: ""실용논리"""
PHI4011-01,그리스철학특강,전헌상,3,"화,목 15:00~16:15 [J202]",2-4학년,,26,
PHI4025-01,철학과문학,서동욱,3,"월,수 16:30~17:45 [J327]",2-4학년,,21,
PHI4036-01,동양철학의원리,정재현,3,"화,목 15:00~16:15 [J120]",1-4학년,,8,Honors과목
PHI4099-01,개별연구논문,전헌상,3,,3-4학년,,0,"Honors과목, 승인과목, 3-4학년, 학과장수강승인"
KOR4099-01,개별연구논문,이지영,3,,3-4학년,,0,"Honors과목, 승인과목, 강의 없음. 졸업 학점에는 포함하나 전공 학점에는 포함하지 않음. 학과장 수강 승인, 졸업학점에는 포함되나 전공학점에 포함되지 않음"
PHIQ981-01,철학교과논리및논술,김민정,3,"화,목 15:00~16:15 [J104]",2-4학년,,1,교직이수자만 전공학점으로 인정
MAT1050-01,미적분학실습I,조장현,1,월 15:00~16:50 [RA205],1학년,,23,실습과목
MAT1050-02,미적분학실습I,이영란,1,월 17:00~18:50 [RA205],1학년,,19,실습과목
MAT1050-03,미적분학실습I,조장현,1,수 15:00~16:50 [RA205],1학년,,25,실습과목
MAT1050-04,미적분학실습I,이영란,1,수 17:00~18:50 [RA205],1학년,,17,실습과목
MAT1050-05,미적분학실습I,조장현,1,금 10:30~12:20 [RA205],1학년,,34,실습과목
MAT2010-01,집합론,신창언,3,"수,금 13:30~14:45 [RA408]",2학년,,51,공학인증
MAT2010-02,집합론,하구용,3,"월,수 12:00~13:15 [K502]",2학년,,62,공학인증
MAT2110-01,선형대수학,김종수,3,"화,목 10:30~11:45 [RA408]",2학년,,60,공학인증
MAT2110-02,선형대수학,조상현,3,"수,금 13:30~14:45 [K212]",2학년,,55,공학인증
MAT2110-03,선형대수학,조성희,3,"화,목 13:30~14:45 [K307]",2학년,,63,공학인증
MAT2110-04,선형대수학,김순영,3,"화,목 10:30~11:45 [RA410]",2학년,,58,공학인증
MAT2110-05,선형대수학,최미란,3,금 10:30~13:15 [RA408],2학년,,103,공학인증
MAT2210-01,고등미적분학I,이재성,3,"화,목 15:00~16:15 [RA406B]",2학년,,62,영어강의
MAT2210-02,고등미적분학I,이영란,3,"월,수 10:30~11:45 [RA310]",2학년,,55,
MAT2410-01,응용수학I,유지현,3,"월,수 12:00~13:15 [K504]",2학년,,67,"공학인증, 홀짝구분, 컴퓨터공학전공(가능), 짝수, 컴퓨터공학전공만 가능, 통계학입문(MAT3020)과 동등한 과목"
MAT2410-02,응용수학I,유지현,3,"화,목 12:00~13:15 [K303]",2학년,,65,"공학인증, 홀짝구분, 컴퓨터공학전공(가능), 홀수, 컴퓨터공학전공만 가능, 통계학입문(MAT3020)과 동등한 과목"
MAT2510-01,푸리에해석및응용,임경수,3,"월,수 12:00~13:15 [K309]",2-4학년,,16,
