과목번호-분반,과목명,교수,학점,수업시간/강의실,학년,강의평,담은 인원,비고
ENG2001-01,영문학개론,장기윤,3,월 15:00~16:15 / 수 16:30~17:45 [J215],,,20,영어강의
ENG2003-01,언어학개론,이성범,3,월 12:00~13:15 / 금 10:30~11:45 [J311],,,85,승인과목
ENG2003-02,언어학개론,채서영,3,"수,금 09:00~10:15 [J219]",,,11,영어강의
ENG2004-01,현대영미문학,신경원,3,"화,목 12:00~13:15 [J313]",,,11,2-4학년
ENG2005-01,영국문화사,김치헌,3,"화,목 09:00~10:15 [J327]",,,28,영어강의
ENG2009-01,영미단편소설,황은주,3,"수,금 09:00~10:15 [J602]",,,6,2-4학년
ENG2101-01,영문학작문,"Bonfiglio, Richard Paul",3,"화,목 09:00~10:15 [J217]",,,13,영어강의
ENG2101-02,영문학작문,윤주옥,3,월 12:00~13:15 / 금 10:30~11:45 [J315],,,9,영어강의
ENG2101-03,영문학작문,김부성,3,월 10:30~11:45 / 수 12:00~13:15 [J315],,,8,영어강의
ENG2103-01,작문과수사학,채서영,3,"수,금 15:00~16:15 [J321]",,,13,2-4학년
ENG2104-01,실용영문법,Yoo Isaiah Wonho,3,"화,목 13:30~14:45 [J107]",,,40,영어강의
ENG3001-01,초서연구,윤주옥,3,월 13:30~14:45 / 금 12:00~13:15 [J315],,,13,2-4학년
ENG3004-01,셰익스피어,김태원,3,"화,목 13:30~14:45 [J209]",,,20,2-4학년
ENG3010-01,빅토리아시대의소설,"Bonfiglio, Richard Paul",3,"화,목 10:30~11:45 [J217]",,,16,영어강의
ENG3012-01,초기및19세기미국소설,장기윤,3,"수,금 15:00~16:15 [J215]",,,11,영어강의
ENG3103-01,현대영국희곡,Chambers Claire Maria,3,월 09:00~10:15 / 수 10:30~11:45 [J325],,,14,영어강의
ENG3104-01,현대영국소설,김영주,3,"화,목 10:30~11:45 [J209]",,,29,2-4학년
ENG3203-01,식민주의및탈식민주의문학,김부성,3,월 15:00~16:15 / 수 16:30~17:45 [J315],,,9,영어강의
ENG3204-01,모더니즘과포스트모더니즘,Chambers Claire Maria,3,월 10:30~11:45 / 수 12:00~13:15 [J325],,,11,영어강의
ENG3207-01,영어권대중문학,신문주,3,월 09:00~10:15 / 수 10:30~11:45 [J215],,,19,2-4학년
ENG3216-01,영문학특강,황은주,3,"수,금 13:30~14:45 [J609]",,,8,2-4학년
ENG3217-01,정신분석학과문학,신문주,3,"월,금 16:30~17:45 [J217]",,,8,2-4학년
ENG3222-01,소설의기원과발달,신경원,3,"화,목 15:00~16:15 [J313]",,,13,2-4학년
ENG3303-01,영어사,이성범,3,월 13:30~14:45 / 금 12:00~13:15 [J311],,,49,2-4학년
ENG3304-01,영어음운론,Barrie Michael Jonathan Mathew,3,"화,목 12:00~13:15 [J317]",,,15,영어강의
ENG3309-01,언어와인지,조숙환,3,"화,목 15:00~16:15 [J219]",,,17,2-4학년
PHI3030-01,언어철학,김영건,3,"화,목 15:00~16:15 [J309]",,,34,2-4학년
ENG3312-01,언어와사회,채서영,3,"수,금 13:30~14:45 [J219]",,,18,2-4학년
CSE3040-01,JAVA언어,김주호,3,월 09:00~10:15 / 수 10:30~11:45 [D105],,,61,영어강의
ENGG230-01,언어와인지과학,조숙환,3,수 14:00~17:00 [J614],,,5,승인과목
EUR3343-01,프랑스언어학,박정섭,3,"화,목 10:30~11:45 [J609]",,,9,승인과목
CHI3018-01,중국언어의이해,강병규,3,"수,금 15:00~16:15 [J209]",,,45,1-4학년
EEE1002-01,C언어기초,이행선,3,"수,금 09:00~10:15 [AS109]",,,27,전자공학전공(가능)
