과목번호-분반,과목명,교수,학점,수업시간/강의실,학년,강의평,담은 인원,비고
ENG2001-01,영문학개론,"Disney, Daniel James Philip",3,월 09:00~10:15 / 수 10:30~11:45 [J313],전학년,,17,영어강의
ENG2002-01,영문학배경,김치헌,3,"화,목 09:00~10:15 [J107]",전학년,,22,영어강의
ENG2003-01,언어학개론,이성범,3,"수,금 09:00~10:15 [J102]",전학년,,32,권장학년: 1-4학년
ENG2004-01,현대영미문학,신경원,3,"화,목 12:00~13:15 [J313]",전학년,,7,권장학년: 2-4학년
ENG2101-01,영문학작문,"Disney, Daniel James Philip",3,월 15:00~16:15 / 수 16:30~17:45 [J311],"1,2학년",,15,영어강의
ENG2101-02,영문학작문,윤주옥,3,월 12:00~13:15 / 금 10:30~11:45 [J202],"3,4학년",,11,영어강의
ENG2101-03,영문학작문,손일수,3,"수,금 15:00~16:15 [J315]","1,2학년",,19,영어강의
ENG2103-01,작문과수사학,채서영,3,"화,목 10:30~11:45 [J319]","2,3,4학년",,9,권장학년: 2-4학년
ENG2104-01,실용영문법,Yoo Isaiah Wonho,3,"화,목 15:00~16:15 [D209A]",전학년,,40,영어강의
ENG3002-01,초기영문학,윤주옥,3,월 13:30~14:45 / 금 12:00~13:15 [J217],전학년,,9,권장학년: 2-4학년
ENG3004-01,셰익스피어,김태원,3,"화,목 13:30~14:45 [J602]","2,3,4학년",,19,권장학년: 2-4학년
ENG3011-01,19세기미국문학,"Noble, Marianne",3,월 13:30~14:45 / 금 12:00~13:15 [J315],"2,3,4학년",,9,영어강의
ENG3101-01,현대시,"Disney, Daniel James Philip",3,월 10:30~11:45 / 수 12:00~13:15 [J313],전학년,,8,영어강의
ENG3108-01,최근미국문학,황은주,3,"수,금 09:00~10:15 [J602]","2,3,4학년",,10,권장학년: 2-4학년
ENG3201-01,신화와문학,김태원,3,"화,목 16:30~17:45 [J602]","2,3,4학년",,17,권장학년: 2-4학년
ENG3208-01,번역의이론과실제,윤주옥,3,"월,금 16:30~17:45 [J315]","2,3,4학년",,3,권장학년: 2-4학년
ENG3209-01,공상과학문학,황은주,3,"수,금 13:30~14:45 [J602]","2,3,4학년",,10,권장학년: 2-4학년
ENG3222-01,소설의기원과발달,신경원,3,"화,목 15:00~16:15 [J321]",전학년,,8,권장학년: 2-4학년
ENG3225-01,영국소수민족문학,김영주,3,"화,목 10:30~11:45 [J317]",전학년,,8,권장학년: 2-4학년
ENG3228-01,여행문학,"Bonfiglio, Richard Paul",3,월 15:00~16:15 / 수 16:30~17:45 [J327],"2,3,4학년",,9,영어강의
ENG3303-01,영어사,이성범,3,"수,금 15:00~16:15 [J307]",전학년,,20,권장학년: 2-4학년
ENG3304-01,영어음운론,정인기,3,월 10:30~11:45 / 수 12:00~13:15 [J315],"2,3,4학년",,2,영어강의
ENG3309-01,언어와인지,조숙환,3,"화,목 16:30~17:45 [D201]","2,3,4학년",,9,권장학년: 2-4학년
PHI3030-01,언어철학,오은영,3,월 10:30~11:45 / 수 12:00~13:15 [J307],전학년,,14,영어강의
ENG3312-01,언어와사회,채서영,3,"수,금 13:30~14:45 [J209]","2,3,4학년",,19,승인과목
CSE3040-01,JAVA언어,김주호,3,월 09:00~10:15 / 수 10:30~11:45 [D105],전학년,,24,영어강의
STS2008-01,C언어,김선호,3,"화,목 12:00~13:15 [AS111]",전학년,,20,권장학년: 1학년
STS2008-02,C언어,장나은,3,월 12:00~13:15 / 금 10:30~11:45 [AS109],전학년,,12,권장학년: 1학년
STS2008-03,C언어,장나은,3,월 13:30~14:45 / 금 12:00~13:15 [AS111],전학년,,17,권장학년: 1학년
STS2008-04,C언어,서경희,3,"수,금 09:00~10:15 [AS111]",전학년,,9,권장학년: 1학년
KOR3011-01,언어정보이론,황화상,3,"화,목 13:30~14:45 [AS109]","2,3,4학년",,11,권장학년: 2-4학년
EUR3343-01,프랑스언어학,박정섭,3,"화,목 10:30~11:45 [J202]",전학년,,9,권장학년: 2-4학년
CHI3018-01,중국언어의이해,강병규,3,"수,금 13:30~14:45 [J219]",전학년,,9,권장학년: 1-4학년
PSY3015-01,언어심리학,이창환,3,"화,목 13:30~14:45 [D302]",전학년,,6,권장학년: 2-4학년
EEE1002-01,C언어기초,이행선,3,"수,금 13:30~14:45 [AS111]",전학년,,26,권장학년: 1-4학년
EEE1002-02,C언어기초,강석주,3,"화,목 13:30~14:45 [AS111]",전학년,,27,권장학년: 1-4학년
EEE1002-03,C언어기초,소재우,3,월 12:00~13:15 / 금 10:30~11:45 [AS111],전학년,,24,권장학년: 1-4학년
EEE1002-04,C언어기초,유양모,3,"화,목 09:00~10:15 [AS111]",전학년,,25,영어강의
CSW2020-01,기초Java언어,이지선,3,월 15:00~16:15 / 수 16:30~17:45 [K502],전학년,,35,권장학년: 2-4학년
CSW2050-01,코퍼스언어학,홍정하,3,"화,목 13:30~14:45 [K212]",전학년,,10,권장학년: 2-4학년
LAU4042-01,자연과문화속의언어,박미영,3,월 15:00~16:15 / 수 16:30~17:45 [J209],전학년,,18,권장학년: 1-4학년
LCS2001-01,독일언어와문화I,이승희,3,월 10:30~11:45 / 수 12:00~13:15 [J215],전학년,,16,권장학년: 1학년
LCS2001-02,독일언어와문화I,송완용,3,"화,목 09:00~10:15 [J219]",전학년,,10,권장학년: 1학년
LCS2001-03,독일언어와문화I,성현숙,3,월 15:00~16:15 / 수 16:30~17:45 [J215],전학년,,12,권장학년: 1학년
LCS2001-04,독일언어와문화I,허정화,3,"수,금 15:00~16:15 [J325]",전학년,,18,권장학년: 1학년
