과목번호-분반,과목명,교수,학점,수업시간/강의실,학년,강의평,담은 인원,비고
STS2010-01,과학사,이정희,3,"월,수 10:30~11:45 [AS412]",1-2학년,,25,공학인증
STS2010-02,과학사,이정희,3,"월,수 12:00~13:15 [AS412]",1-2학년,,16,공학인증
STU4004-01,생명의신비,김원선,3,"월,수 10:30~11:45 [K305]",1-4학년,,18,
STU4005-01,바다의이해,이은일,3,토 09:00~11:45 [J102],1-4학년,,37,
STU4007-01,지구과학,김현주,3,"화,목 13:30~14:45 [K402]",1-4학년,,53,
STU4010-01,건강과한의학,최현,3,월 13:30~16:15 [K402],1-4학년,,75,
STU4012-01,물리학의세계,임채호,3,"월,수 10:30~11:45 [K212]",1-4학년,,17,"일반물리 I,II 기수강자는 수강불가"
STU4023-01,우주와인생,박영재,3,"수,금 15:00~16:15 [K309]",1-4학년,,20,
TLS1001-01,독서와토론,한새해,3,"화,목 10:30~11:45 [J325]",1학년,,28,
TLS1001-02,독서와토론,박성광,3,"수,금 13:30~14:45 [J211]",1학년,,13,
TLS1001-03,독서와토론,박인성,3,"월,수 12:00~13:15 [J108]",1학년,,32,
TLS1002-01,비평적글쓰기연습,허윤진,3,"월,수 10:30~11:45 [J202]",1-4학년,,28,"(구) 계열별글쓰기대체, 구 계열별글쓰기의 대체과목"
TLS1002-02,비평적글쓰기연습,김효은,3,"화,목 10:30~11:45 [J108]",1-4학년,,31,"(구) 계열별글쓰기대체, 구 계열별글쓰기의 대체과목"
TLS1002-03,비평적글쓰기연습,강지연,3,"수,금 09:00~10:15 [J327]",1-4학년,,17,"(구) 계열별글쓰기대체, 구 계열별글쓰기의 대체과목"
TLS1002-04,비평적글쓰기연습,김난희,3,"화,목 12:00~13:15 [J219]",1-4학년,,40,"(구) 계열별글쓰기대체, 구 계열별글쓰기의 대체과목"
TLS1002-05,비평적글쓰기연습,강지연,3,"수,금 15:00~16:15 [J202]",1-4학년,,31,"(구) 계열별글쓰기대체, 구 계열별글쓰기의 대체과목"
TLS1002-06,비평적글쓰기연습,김신정,3,"화,목 15:00~16:15 [J204]",1-4학년,,41,"(구) 계열별글쓰기대체, 구 계열별글쓰기의 대체과목"
TLS1002-07,비평적글쓰기연습,박인성,3,"월,수 16:30~17:45 [J106]",1-4학년,,33,"(구) 계열별글쓰기대체, 구 계열별글쓰기의 대체과목"
TLS1003-01,스토리텔링글쓰기연습,박진혁,3,"화,목 13:30~14:45 [J104]",1학년,,45,
TLS1003-02,스토리텔링글쓰기연습,이소연,3,"월,수 16:30~17:45 [J108]",1학년,,38,
TLS1003-03,스토리텔링글쓰기연습,김신정,3,"수,금 13:30~14:45 [J207]",1학년,,28,
TLS1003-04,스토리텔링글쓰기연습,전주희,3,"화,목 10:30~11:45 [J104]",1학년,,34,
TLS1004-01,글로벌의사소통II,"Willers, Arthur Gregory",3,"수,금 09:00~10:15 [J321]",1학년,,19,"영어강의, 공학인증, 구 영어II의 대체과목"
TLS1004-02,글로벌의사소통II,"Kim, Jae Pil",3,"월,수 10:30~11:45 [J110]",1학년,,25,"영어강의, 공학인증, 구 영어II의 대체과목"
