과목번호-분반,과목명,교수,학점,수업시간/강의실,학년,강의평,담은 인원,비고
ENG2001-01,영문학개론,신경원,3,"화,목 10:30~11:45 [J313]",1학년,,35,영미문화계열 2020학번 신입생만 수강 가능
ENG2001-02,영문학개론,윤주옥,3,"월,수 10:30~11:45 [J215]",1학년,,56,영어강의
ENG2003-01,언어학개론,이성범,3,"수,금 09:00~10:15 [J217]",1-4학년,,34,
ENG2003-02,언어학개론,정인기,3,"월,수 10:30~11:45 [J315]",1-4학년,,22,영어강의
ENG2101-01,영문학작문,BonfiglioRichardPaul,3,"수,금 15:00~16:15 [J315]",1-2학년,,17,영어강의
ENG2101-02,영문학작문,김치헌,3,"화,목 09:00~10:15 [J317]",1-2학년,,28,영어강의
ENG2101-03,영문학작문,전선재,3,"화,목 16:30~17:45 [J317]",1-2학년,,20,영어강의
ENG2105-01,산문비평과인문학적사유,김영주,3,"화,목 15:00~16:15 [J602]",2-4학년,,18,
ENG3004-01,셰익스피어,김태원,3,"화,목 16:30~17:45 [J307]",2-4학년,,66,
ENG3008-01,초기영국소설,신경원,3,"화,목 13:30~14:45 [J211]",2-4학년,,18,
ENG3011-01,19세기미국문학,장기윤,3,"수,금 15:00~16:15 [J217]",2-4학년,,27,
ENGG006-01,초기및19세기미국문학프로세미나,장기윤,3,월 15:00~18:00 [J111],3-4학년,,4,"영어강의, Honors과목, 학석사연계과목"
ENG3102-01,현대서양문학,황은주,3,"수,금 09:00~10:15 [J315]",2-4학년,,22,
ENG3105-01,최근영국문학,김영주,3,"화,목 12:00~13:15 [J602]",2-4학년,,20,
ENG3108-01,최근미국문학,황은주,3,"수,금 13:30~14:45 [J215]",2-4학년,,38,
ENG3201-01,신화와문학,김태원,3,"화,목 12:00~13:15 [J307]",2-4학년,,60,
ENG3216-01,영문학특강,신경원,3,"화,목 15:00~16:15 [J202]",2-4학년,,19,부제: 페미니즘 이론
ENG3219-01,미국소수민족문학,전선재,3,"월,수 12:00~13:15 [J209]",2-4학년,,37,"영어강의, 새로운목소리들(AMC3085)의 대체과목"
ENG3301-01,영어음성학,정인기,3,"화,목 09:00~10:15 [J120]",2-4학년,,14,
ENG3305-01,영어화용론,한승훈,3,월 13:30~16:15 [J104],2-4학년,,35,
ENG3408-01,영어교육론,박은성,3,"화,목 13:30~14:45 [J104]",1-4학년,,20,영어강의
ENG3410-01,영문창작,"Disney, Daniel James Philip",3,"월,수 16:30~17:45 [J104]",2-4학년,,20,영어강의
ENGG204-01,음운론 I,정인기,3,월 13:30~16:20 [J614],3-4학년,,4,"Honors과목, 학석사연계(대학원초급)과목, 대학원초급과목"
HIS2003-01,한국사개론Ⅰ,김아네스,3,"화,목 12:00~13:15 [K407]",2-4학년,,50,"구 한국사개설I,II 통합과목"
HIS2004-01,동아시아사개론Ⅰ,전인갑,3,"월,수 12:00~13:15 [J602]",2-4학년,,25,"구 동양사개설I,II 통합과목"
HIS2005-01,서양사개론Ⅰ,오흥식,3,"월,수 16:30~17:45 [J215]",2-4학년,,56,"구 서양사개설I,II 통합과목"
HIS2006-01,역사학입문,윤병남,3,"화,목 13:30~14:45 [J219]",1-4학년,,47,역사란무엇인가(HIS2001)의 대체과목(2013학번이전의경우)
HIS3001-01,한국고대사,조범환,3,"월,수 10:30~11:45 [J321]",2-4학년,,10,
HIS3007-01,중국중세사,정면,3,"화,목 09:00~10:15 [J309]",2-4학년,,60,
HIS3019-01,아시아지역사특강2,윤대영,3,"수,금 13:30~14:45 [J120]",2-4학년,,4,
HIS3025-01,프랑스혁명과나폴레옹시대사,백인호,3,"화,목 15:00~16:15 [J321]",2-4학년,,17,
HIS3026-01,민족주의와제국주의시대사,이종훈,3,금 10:30~13:15 [J215],2-4학년,,46,
HIS3028-01,서양현대사,박단,3,"화,목 16:30~17:45 [J211]",2-4학년,,13,
HIS3035-01,동유럽의역사와문화,임지현,3,"수,금 13:30~14:45 [K507]",2-4학년,,13,
HIS3043-01,한국사회경제사,계승범,3,"화,목 12:00~13:15 [J104]",2-4학년,,26,
HIS3046-01,한중교섭사,계승범,3,"화,목 09:00~10:15 [J211]",2-4학년,,7,
HIS3047-01,한일관계사,허지은,3,"수,금 09:00~10:15 [J323]",2-4학년,,1,
HIS3049-01,한국독립운동사,최기영,3,"화,목 10:30~11:45 [J307]",2-4학년,,43,"부제: 자료로 보는 한국 독립운동의 역사와 사상, 그리고 인물"
HIS3072-01,문화유산현장실습3,조범환,1,화 16:30~17:45 [K203],1-4학년,,85,"구 고적답사3, 성적평가:S/U"
HIS4009-01,동양사특강2,김성운,3,"수,금 09:00~10:15 [J120]",3-4학년,,6,
HIS4010-01,동양사강독1,전인갑,3,"월,수 10:30~11:45 [J106]",3-4학년,,32,공통과목
HIS4017-01,서양사명저해제1,백인호,3,"화,목 10:30~11:45 [J321]",3-4학년,,8,
