과목번호-분반,과목명,교수,학점,수업시간/강의실,학년,강의평,담은 인원,비고
ENG2001-01,영문학개론,황은주,3,"화,목 16:30~17:45 [J327]",1학년,,36,
ENG2003-01,언어학개론,Barrie Michael Jonathan Mathew,3,"화,목 15:00~16:15 [K405]",1-4학년,,60,영어강의
ENG2003-02,언어학개론,채서영,3,"화,목 09:00~10:15 [J327]",1-4학년,,18,"영어강의, 1-4학년/ 20명 이하 1학년 위주"
ENG2005-01,영국문화사,김치헌,3,"화,목 09:00~10:15 [J219]",2-4학년,,51,영어강의
ENG2007-01,영미수필,신경원,3,"화,목 10:30~11:45 [J327]",2-4학년,,29,
ENG2009-01,영미단편소설,황은주,3,"수,금 13:30~14:45 [J327]",2-4학년,,37,
ENG2101-01,영문학작문,김영주,3,"화,목 16:30~17:45 [J319]",1-2학년,,21,1-2학년 대상
ENG2101-02,영문학작문,장기윤,3,"월,수 12:00~13:15 [J321]",1-2학년,,21,"영어강의, 1-2학년대상, 교환학생,영어원어민수강 제한"
ENG2101-03,영문학작문,"Disney, Daniel James Philip",3,"월,수 10:30~11:45 [J211]",1-2학년,,11,"영어강의, 3-4학년 대상"
ENG2103-01,작문과수사학,채서영,3,"화,목 13:30~14:45 [J108]",2-4학년,,19,"2-4학년/ 20명 이하, 영작문연습(ENG2107)의 대체과목"
ENG2106-01,시사영문강독,이성범,3,"수,금 13:30~14:45 [J107]",1-4학년,,37,"""인원제한 없음/ 
전학년"", 인터넷을통한영어(ENG2108)의 대체과목"
ENG3007-01,낭만주의시대의영문학,신경원,3,"화,목 15:00~16:15 [J104]",2-4학년,,19,
ENG3009-01,빅토리아시대의영문학,BonfiglioRichardPaul,3,"월,수 16:30~17:45 [J217]",2-4학년,,14,영어강의
ENG3101-01,현대시,"Disney, Daniel James Philip",3,"월,수 12:00~13:15 [J313]",2-4학년,,22,영어강의
KOR3405-01,현대시텍스트읽기II,김정현,3,"화,목 15:00~16:15 [J209]",2-4학년,,38,
ENG3107-01,현대미국소설,황은주,3,"수,금 09:00~10:15 [J104]",2-4학년,,23,
ENG3213-01,여성문학,김영주,3,"화,목 12:00~13:15 [J602]",2-4학년,,23,
ENG3214-01,영어권아동/청소년문학,장기윤,3,"월,수 16:30~17:45 [J104]",2-4학년,,35,
ENG3222-01,소설의기원과발달,신경원,3,"화,목 13:30~14:45 [J104]",2-4학년,,25,
ENG3228-01,여행문학,BonfiglioRichardPaul,3,"수,금 15:00~16:15 [J217]",2-4학년,,16,"영어강의, 2018이후 학번 미국문화 전공인정불가"
ENG3302-01,영어형태론,정인기,3,"화,목 10:30~11:45 [J120]",2-4학년,,15,
ENG3304-01,영어음운론,정인기,3,"월,수 10:30~11:45 [J120]",2-4학년,,12,영어강의
