과목번호-분반,과목명,교수,학점,수업시간/강의실,학년,강의평,담은 인원,비고
ENG2001-01,영문학개론,김치헌,3,"수,금 09:00~10:15 [J327]",전학년,,26,영어강의
ENG2001-02,영문학개론,윤주옥,3,"화,목 09:00~10:15 [J307]",1학년,,41,영어강의
ENG2003-01,언어학개론,채서영,3,"수,금 13:30~14:45 [J215]",전학년,,30,권장학년: 1-4학년
ENG2007-01,영미수필,신경원,3,"화,목 10:30~11:45 [J323]","2,3,4학년",,12,권장학년: 2-4학년
ENG2101-01,영문학작문,Chambers Claire Maria,3,월 15:00~16:15 / 수 16:30~17:45 [J315],"1,2학년",,12,영어강의
ENG2101-02,영문학작문,신문주,3,월 09:00~10:15 / 수 10:30~11:45 [J315],"1,2학년",,12,영어강의
ENG2101-03,영문학작문,손일수,3,월 10:30~11:45 / 수 12:00~13:15 [J317],"3,4학년",,14,영어강의
ENG2105-01,산문비평과인문학적사유,김영주,3,"화,목 16:30~17:45 [J325]",전학년,,8,권장학년: 2-4학년
ENG2106-01,시사영문강독,이성범,3,"화,목 10:30~11:45 [J107]",전학년,,32,권장학년: 1-4학년
ENG2111-01,영어연설과원고작성법,채서영,3,"수,금 15:00~16:15 [J215]","2,3,4학년",,9,권장학년: 1-4학년
ENG3007-01,낭만주의시대의영문학,신경원,3,"화,목 12:00~13:15 [J323]","2,3,4학년",,12,권장학년: 2-4학년
ENG3008-01,초기영국소설,신경원,3,"화,목 15:00~16:15 [J323]","2,3,4학년",,13,권장학년: 2-4학년
ENG3107-01,현대미국소설,황은주,3,"수,금 09:00~10:15 [J602]","2,3,4학년",,15,권장학년: 2-4학년
ENG3202-01,문학과환경,김치헌,3,"수,금 15:00~16:15 [J327]",전학년,,36,영어강의
ENG3206-01,영어권세계의문학,이주리,3,월 09:00~10:15 / 수 10:30~11:45 [J327],"2,3,4학년",,16,영어강의
ENG3213-01,여성문학,김영주,3,"화,목 13:30~14:45 [J126]","2,3,4학년",,17,권장학년: 2-4학년
ENG3301-01,영어음성학,정인기,3,월 10:30~11:45 / 수 12:00~13:15 [J609],"2,3,4학년",,10,영어강의
ENG3306-01,영어통사론,Barrie Michael Jonathan Mathew,3,월 12:00~13:15 / 금 10:30~11:45 [J602],전학년,,25,영어강의
ENG3308-01,심리언어학,조숙환,3,"화,목 13:30~14:45 [J219]","2,3,4학년",,28,권장학년: 2-4학년
ENG3310-01,담화분석개론,이요안,3,"화,목 12:00~13:15 [J128]","2,3,4학년",,12,영어강의
ENG3313-01,영어교육론,박은성,3,"수,금 13:30~14:45 [J313]","2,3,4학년",,14,영어강의
ENG3314-01,모국어습득론,조숙환,3,"화,목 16:30~17:45 [D201]","2,3,4학년",,15,권장학년: 1-4학년
ENG3319-01,언어조사및분석,Barrie Michael Jonathan Mathew,3,월 13:30~14:45 / 금 12:00~13:15 [J609],전학년,,3,영어강의
KOR4099-01,개별연구논문,황화상,3,,전학년,,0,
ENG4099-01,개별연구논문,김영주,3,목 18:00~20:45 [J112],"3,4학년",,0,권장학년: 3-4학년
ENGG002-01,중세르네상스영문학프로세미나,김태원,3,화 15:00~18:00 [J616],"3,4학년",,1,권장학년: 3-4학년
ENGG204-01,음운론 I,정인기,3,목 14:00~17:00 [J616],"3,4학년",,1,권장학년: 3-4학년
HIS2003-01,한국사개론,최희정,3,월 09:00~10:15 / 수 10:30~11:45 [J307],전학년,,25,권장학년: 2-4학년
HIS2006-01,역사학입문,임상우,3,"화,목 15:00~16:15 [J307]",전학년,,32,권장학년: 1-4학년
HIS3007-01,중국중세사,정면,3,"화,목 13:30~14:45 [J307]",전학년,,15,권장학년: 2-4학년
HIS3009-01,근대중국의개혁과혁명,전인갑,3,월 10:30~11:45 / 수 12:00~13:15 [J602],전학년,,24,권장학년: 2-4학년
HIS3013-01,일본현대사,윤병남,3,월 09:00~10:15 / 수 10:30~11:45 [J602],전학년,,14,권장학년: 1-4학년
HIS3019-01,아시아지역사특강2,허지은,3,"수,금 09:00~10:15 [J319]",전학년,,3,권장학년: 2-4학년
HIS3021-01,서양고대사,오흥식,3,"월,금 16:30~17:45 [J215]",전학년,,22,권장학년: 2-4학년
HIS3022-01,서양중세사,이상동,3,월 15:00~16:15 / 수 16:30~17:45 [J321],전학년,,9,권장학년: 2-4학년
PHI3002-01,서양중세철학사,이상섭,3,"화,목 13:30~14:45 [J319]",전학년,,10,권장학년: 2-4학년
HIS3026-01,민족주의와제국주의시대사,이종훈,3,"수,금 15:00~16:15 [J128]",전학년,,26,권장학년: 2-4학년
HIS3027-01,양차세계대전사,임지현,3,"수,금 13:30~14:45 [J602]",전학년,,28,권장학년: 2-4학년
HIS3030-01,영국사개설,이민경,3,"수,금 13:30~14:45 [J202]",전학년,,8,권장학년: 2-4학년
HIS3037-01,미국사개설,박현숙,3,"화,목 16:30~17:45 [J107]",전학년,,31,영어강의
HIS3041-01,한국사상사,이숙경,3,"화,목 10:30~11:45 [J202]",전학년,,13,권장학년: 2-4학년
