과목번호-분반,과목명,교수,학점,수업시간/강의실,학년,강의평,담은 인원,비고
ENG2001-01,영문학개론,신경원,3,"화,목 16:30~17:45",1학년,,12,영미문화계열 2021년 신입생만 수강 가능
ENG2001-02,영문학개론,황은주,3,"화,목 10:30~11:45",1학년,,55,"영미문화계열, 영미어문전공(제 1, 2, 3전공, 설계전공에 영미어문전공이 포함된 경우), 미국문화전공(제1전공) 수강 가능"
ENG2002-01,영문학배경,김치헌,3,"수,금 13:30~14:45",2-4학년,,62,"영어강의, 1~4학년 대상"
ENG2003-01,언어학개론,이성범,3,"수,금 09:00~10:15 [J107]",1-4학년,,20,[대면수업]
ENG2003-02,언어학개론,채서영,3,"월,수 10:30~11:45",1-4학년,,47,
ENG2101-01,영문학작문,장기윤,3,"화,목 15:00~16:15",1-2학년,,24,"영어강의, EFL(영어가 외국어인 학생)만 수강 가능 / 교환학생 수강불가"
ENG2101-02,영문학작문,BonfiglioRichardPaul,3,"월,수 16:30~17:45",1-2학년,,12,"영어강의, 교환학생 수강불가"
ENG2101-03,영문학작문,전선재,3,"수,금 09:00~10:15",1-2학년,,26,"영어강의, 교환학생 수강불가"
ENG2103-01,작문과수사학,채서영,3,"수,금 15:00~16:15",2-4학년,,17,영작문연습(ENG2107)의 대체과목
ENG2105-01,산문비평과인문학적사유,김영주,3,"수,금 15:00~16:15",2-4학년,,20,
ENG3005-01,17세기영문학,김태원,3,"월,수 12:00~13:15",2-4학년,,51,
ENG3007-01,낭만주의시대의영문학,신경원,3,"화,목 13:30~14:45",2-4학년,,16,
ENG3102-01,현대서양문학,장기윤,3,"월,수 16:30~17:45",2-4학년,,42,
ENG3108-01,최근미국문학,황은주,3,"화,목 09:00~10:15",2-4학년,,44,
ENG3211-01,성과문학,김영주,3,"수,금 13:30~14:45",2-4학년,,25,
ENG3222-01,소설의기원과발달,신경원,3,"화,목 12:00~13:15",2-4학년,,20,
ENG3301-01,영어음성학,정인기,3,"월,수 10:30~11:45",2-4학년,,24,영어강의
ENG3302-01,영어형태론,정인기,3,"화,목 09:00~10:15",2-4학년,,11,
ENG3305-01,영어화용론,한승훈,3,월 13:30~16:15,2-4학년,,20,
ENG3306-01,영어통사론,Barrie Michael Jonathan Mathew,3,"화,목 12:00~13:15",2-4학년,,27,영어강의
ENG3317-01,세계화시대의영어:최근동향과이슈,박은성,3,"화,목 16:30~17:45",2-4학년,,12,"영어강의, 2~4학년 대상"
ENG3319-01,언어조사및분석,Barrie Michael Jonathan Mathew,3,"화,목 15:00~16:15",2-4학년,,12,영어강의
ENG3408-01,영어교육론,박은성,3,"화,목 10:30~11:45",1-4학년,,15,"영어강의, 2-4학년 대상"
ENG3409-01,영어발음의이해,Yoo Isaiah WonHo,3,"화,목 13:30~14:45",1-4학년,,31,"(구) ENG3316, 영어듣기,말하기캡스톤디자인"
ENG3412-01,영어연설과원고작성법,채서영,3,"월,수 12:00~13:15",1-4학년,,3,영어연설연습(ENG2109)의 대체과목
ENGG004-01,19세기영국문학프로세미나,BonfiglioRichardPaul,3,목 15:00~18:00,3-4학년,,4,"영어강의, Honors과목, 대학원 초급과목, 대학원초급과목"
ENGG007-01,20세기미국문학프로세미나,황은주,3,금 09:00~12:00,3-4학년,,4,"Honors과목, 대학원 초급과목, 대학원초급과목"
ENGG231-01,제2언어습득론입문:이론과적용,박은성,3,월 14:00~17:00,3-4학년,,3,"영어강의, Honors과목, 대학원 초급과목, 대학원초급과목"
ENGG282-01,영어논리/논증적글쓰기의이론과실제,이요안,3,월 13:30~16:20,3-4학년,,12,"대학원 초급과목, 대학원초급과목"
HIS2003-01,한국사개론Ⅰ,정일영,3,"수,금 13:30~14:45",2-4학년,,39,"구 한국사개설I,II 통합과목"
HIS2004-01,동아시아사개론Ⅰ,전인갑,3,"월,수 10:30~11:45",2-4학년,,53,"구 동양사개설I,II 통합과목"
HIS2005-01,서양사개론Ⅰ,박효근,3,월 13:30~16:15,2-4학년,,38,"구 서양사개설I,II 통합과목"
HIS2006-01,역사학입문,윤병남,3,"화,목 13:30~14:45",1-4학년,,48,역사란무엇인가(HIS2001)의 대체과목(2013학번이전의경우)
HIS3003-01,조선시대사,계승범,3,"월,수 10:30~11:45",2-4학년,,28,
HIS3007-01,중국중세사,정면,3,"수,금 09:00~10:15",2-4학년,,48,
HIS3013-01,일본현대사,정녕,3,"수,금 15:00~16:15",1-4학년,,49,
HIS3026-01,민족주의와제국주의시대사,임지현,3,"수,금 13:30~14:45",2-4학년,,17,
HIS3027-01,양차세계대전사,이종훈,3,금 10:30~13:15,2-4학년,,45,
HIS3038-01,현대미국의역사적이해,박현숙,3,"화,목 15:00~16:15",2-4학년,,33,
HIS3039-01,한국사학사,최기영,3,"화,목 10:30~11:45",2-4학년,,11,
HIS3046-01,한중교섭사,계승범,3,"월,수 12:00~13:15",2-4학년,,8,
HIS3048-01,한미관계사,허준,3,"화,목 16:30~17:45",2-4학년,,20,영어강의
HIS3058-01,동서교류사,윤대영,3,"화,목 10:30~11:45",2-4학년,,9,
HIS3070-01,문화유산현장실습1,계승범,1,수 16:30~17:45,2-4학년,,59,성적평가:S/U
HIS4003-01,한국사특강3,최기영,3,"화,목 13:30~14:45",3-4학년,,10,Honors과목
HIS4008-01,동양사특강1,이기천,3,"화,목 09:00~10:15",3-4학년,,63,Honors과목
HIS4012-01,서양사특강1,박단,3,"화,목 16:30~17:45",3-4학년,,6,"Honors과목, 부제: 유럽과 이슬람 세계의 만남"
HIS4017-01,서양사명저해제1,백인호,3,"화,목 09:00~10:15",3-4학년,,11,Honors과목
HISQ981-01,역사교과교육론,김민정,3,"화,목 12:00~13:15",3-4학년,,5,"PHIQ982 철학교과교육론, RELQ981 종교교과교육론과 합반, 교직이수자만 전공학점으로 인정"
HISQ982-01,역사교과논리및논술,김민정,3,"화,목 15:00~16:15",2-4학년,,5,"영어강의, PHIQ981 철학교과논리및논술, RELQ982 종교교과논리및논술과 합반, 교직이수자만 전공학점으로 인정"
PHI2002-01,동양철학개론,이임찬,3,월 13:30~16:15,2-4학년,,61,
PHI2003-01,서양철학사,서동욱,3,"월,수 10:30~11:45",2-4학년,,39,
PHI3003-01,서양근대철학사,"Kim, Halla",3,"화,목 10:30~11:45",2-4학년,,9,영어강의
PHI2005-01,논리학개론,오은영,3,"화,목 10:30~11:45",2-4학년,,110,
PHI2006-01,형이상학,박병준,3,"월,수 10:30~11:45",2-4학년,,10,
PHI4007-01,형이상학특강,이상섭,3,"화,목 12:00~13:15",2-4학년,,22,
PHI3005-01,플라톤철학,전헌상,3,"화,목 16:30~17:45",2-4학년,,67,
PHI3008-01,토마스철학,이상섭,3,"화,목 15:00~16:15",2-4학년,,17,
PHI3012-01,현대프랑스철학,서동욱,3,"월,수 12:00~13:15",2-4학년,,30,
PHI3014-01,미학개론,김산춘,3,"수,금 15:00~16:15 [J107]",2-4학년,,24,"[대면수업], (구 철학탐구방법론 대체과목)"
PHI3023-01,분석철학,김준걸,3,"월,수 12:00~13:15",2-4학년,,13,영어강의
PHI3033-01,"선진,한철학사",정재현,3,"월,수 16:30~17:45",2-4학년,,27,영어강의
PHI3035-01,"송,명,청철학사",류희성,3,"화,목 13:30~14:45",2-4학년,,19,
PHI4035-01,예술철학특강,김산춘,3,"화,목 15:00~16:15 [J107]",2-4학년,,9,[대면수업]
PHIQ981-01,철학교과논리및논술,김민정,3,"화,목 15:00~16:15",2-4학년,,1,"영어강의, HISQ982 역사교과논리및논술, RELQ982 종교교과논리및논술과 합반, 교직이수자만 전공학점으로 인정"
MAT1050-01,미적분학실습I,오영탁,1,월 13:30~15:20,1학년,,22,실습과목
MAT1050-02,미적분학실습I,오영탁,1,월 15:30~17:20,1학년,,19,실습과목
MAT1050-03,미적분학실습I,오영탁,1,수 13:30~15:20,1학년,,16,실습과목
MAT1050-04,미적분학실습I,오영탁,1,수 15:30~17:20,1학년,,13,실습과목
MAT1050-05,미적분학실습I,오영탁,1,금 10:30~12:20,1학년,,30,실습과목
MAT2010-01,집합론,신창언,3,"화,목 10:30~11:45",2학년,,45,
MAT2110-01,선형대수학,조상현,3,"수,금 09:00~10:15",2학년,,62,
MAT2110-02,선형대수학,조상현,3,"수,금 13:30~14:45",2학년,,71,
MAT2110-03,선형대수학,이영란,3,"화,목 09:00~10:15",2학년,,66,
MAT2110-04,선형대수학,"Ho, Pak Tung",3,"월,수 12:00~13:15",2학년,,65,영어강의
MAT2110-05,선형대수학,옥지훈,3,"화,목 13:30~14:45",2학년,,39,영어강의
MAT2210-01,고등미적분학I,정순영,3,"월,수 10:30~11:45",2학년,,41,
MAT2210-02,고등미적분학I,김현석,3,"화,목 13:30~14:45",2학년,,75,
