과목번호-분반,과목명,교수,학점,수업시간/강의실,학년,강의평,담은 인원,비고
COM3201-01,광고커뮤니케이션,유지영,3,"수,금 15:00~16:15 [GA401]",2학년,,73,구 광고학개론
COM3202-01,PR의이해,신호창,3,"화,목 10:30~11:45 [MA206]",2-4학년,,86,50명 전학년 대상
COM3206-01,마케팅커뮤니케이션과시장읽기,유현재,3,"화,목 10:30~11:45 [GA403]",3-4학년,,65,구)통합마케팅커뮤니케이션론
COM3210-01,광고카피라이팅과전략적글쓰기,유현재,3,"화,목 12:00~13:15 [GA401]",3-4학년,,38,광고카피와제작
COM3214-01,PR작문,박혜영,3,"화,목 12:00~13:15 [GA305]",3-4학년,,24,
COM3215-01,PR캠페인기획실습,신호창,3,금 10:30~13:15 [GA402],3-4학년,,17,2-4학년 PR과목 한과목 이상 수강한 학생 대상
COM3216-01,쟁점및위기커뮤니케이션,김수연,3,"수,금 13:30~14:45 [GA305]",3-4학년,,33,영어강의
COM3305-01,작품분석과해석,김용수,3,"월,수 10:30~11:45 [MA106]",2학년,,93,"(구 드라마분석론,영화분석의 대체과목)"
COM3307-01,공연의미학과이론,정지수,3,"화,목 13:30~14:45 [MA204]",3-4학년,,75,
COM3314-01,단편영화제작,김재홍,3,"월,수 12:00~13:15 [GA402]",3학년,,25,
COM3402-01,디지털미디어테크놀로지개론,김정현,3,"수,금 13:30~14:45 [GA401]",2학년,,43,영어강의
COM3404-01,텔레커뮤니케이션론,김기윤,3,월 13:30~16:15 [MA104],2학년,,72,
COM3409-01,미디어심리학,나은영,3,"화,목 15:00~16:15 [GA403]",3-4학년,,77,구 디지털미디어심리학
COM3421-01,TV제작,현대원,3,"월,수 16:30~17:45 [GA404]",3학년,,33,
COM3427-01,ICT와지능정보사회,현대원,3,"월,수 10:30~11:45 [GA305]",1-4학년,,39,
COM3437-01,스마트앱스비즈니스모델연구(캡스톤디자인),최형우,3,"화,목 15:00~16:15 [GA404]",3-4학년,,10,캡스톤디자인
COM4001-01,텍스트마이닝,임종섭,3,"화,목 10:30~11:45 [GA303B]",3-4학년,,6,영어강의
EDUF981-01,외국어교과교육론,박은성,3,"화,목 15:00~16:15 [J609]",1-4학년,,18,"영어강의, 교직이수자만 전공학점으로 인정"
EDUS982-01,과학교과논리및논술,남경식,3,금 17:00~19:45 [J609],1-4학년,,6,교직이수자만 전공학점으로 인정
EDUS983-01,과학교과교재연구및지도,곽성일,3,수 16:30~19:15 [J209],1-4학년,,12,교직이수자만 전공학점으로 인정
EEE2011-01,전자공학세미나I,유양모,1,월 13:30~14:45 [RA204],2-4학년,,87,성적평가:S/U
EEE2052-01,디지털논리회로실험,김경환,2,월 15:00~18:50 [R708],2학년,,25,실험강의 월:19:00~20:30
EEE2052-02,디지털논리회로실험,유양모,2,화 15:00~18:50 [R708],2학년,,19,실험강의 월:19:00~20:30
EEE2052-03,디지털논리회로실험,송태경,2,수 15:00~18:50 [R708],2학년,,25,실험강의 월:19:00~20:30
EEE2052-04,디지털논리회로실험,강석주,2,목 15:00~18:50 [R708],2학년,,20,실험강의 월:19:00~20:30
EEE2052-05,디지털논리회로실험,김경환,2,금 15:00~18:50 [R708],2학년,,17,실험강의 월:19:00~20:30
EEE2102-01,전자장론II,윤상원,3,"화,목 10:30~11:45 [AS305]",2학년,,10,전자기학II(물리학PHY2004)로 대체가능.둘 중 한 과목만 학점인정
EEE2104-01,고급공학수학II,윤상원,3,"화,목 12:00~13:15 [AS510]",2학년,,57,
EEE2104-02,고급공학수학II,윤광석,3,"수,금 13:30~14:45 [RA204]",2학년,,53,
EEE2108-01,공학프로그래밍,황선영,3,"화,목 13:30~14:45 [AS305]",2학년,,7,"홀짝구분, 학번이 1,3,5로 끝나는 학생 수강"
EEE2108-02,공학프로그래밍,장주욱,3,"수,금 09:00~10:15 [AS111]",2학년,,35,"홀짝구분, 학번이 2,4,6으로 끝나는 학생 수강"
EEE2108-03,공학프로그래밍,범진욱,3,"월,수 10:30~11:45 [AS111]",2학년,,37,"홀짝구분, 학번이 7,8,9,0으로 끝나는 학생 수강"
EEE2111-01,기초회로이론,최용,3,"월,수 10:30~11:45 [AS303]",1학년,,48,"홀짝구분, 학번이 1,3,5로 끝나는 학생 수강, 구) 회로이론I"
EEE2111-02,기초회로이론,김영록,3,"화,목 10:30~11:45 [AS301]",1학년,,56,"영어강의, 홀짝구분, 학번이 2,4,6으로 끝나는 학생 수강, 구) 회로이론I"
EEE2111-03,기초회로이론,이행선,3,"수,금 09:00~10:15 [AS303]",1학년,,42,"홀짝구분, 학번이 7,8,9,0으로 끝나는 학생 수강, 구) 회로이론I"
EEE2120-01,물리전자공학I,지용,3,"월,수 12:00~13:15 [AS303]",2학년,,52,"홀짝구분, 학번이 홀수로 끝나는 학생 수강"
EEE2120-02,물리전자공학I,최우영,3,"화,목 13:30~14:45 [AS301]",2학년,,61,"영어강의, 홀짝구분, 학번이 짝수로 끝나는 학생 수강"
EEE2153-01,신호및시스템,박래홍,3,"화,목 09:00~10:15 [AS301]",2학년,,52,
EEE2153-02,신호및시스템,성원진,3,"월,수 12:00~13:15 [K301]",2학년,,63,영어강의
EEE3132-01,전자회로II,이승훈,3,"화,목 13:30~14:45 [R404]",3학년,,37,"홀짝구분, 학번이 홀수로 끝나는 학생 수강"
EEE3132-02,전자회로II,안길초,3,"월,수 12:00~13:15 [AS305]",3학년,,26,"영어강의, 홀짝구분, 학번이 짝수로 끝나는 학생 수강"
EEE3142-01,디지털제어,강석주,3,"화,목 09:00~10:15 [AS412]",3학년,,9,영어강의
EEE3146-01,반도체공학I,최우영,3,"수,금 13:30~14:45 [AS303]",3학년,,44,영어강의
EEE3149-01,디지털통신,성원진,3,"월,수 10:30~11:45 [K301]",3학년,,46,영어강의
EEE3163-01,고급디지털회로설계,송태경,3,"화,목 10:30~11:45 [R404]",3학년,,55,
EEE3178-01,컴퓨터아키텍쳐,황선영,3,"화,목 12:00~13:15 [AS305]",3학년,,28,
EEE3182-01,고급전자회로실험,지용,2,월 15:00~18:50 [R712],3학년,,14,실험강의 수:19:00~20:30
EEE3182-02,고급전자회로실험,윤상원,2,화 15:00~18:50 [R712],3학년,,11,실험강의 수:19:00~20:30
EEE3182-03,고급전자회로실험,지용,2,수 15:00~18:50 [R712],3학년,,17,실험강의 수:19:00~20:30
EEE3182-04,고급전자회로실험,이행선,2,목 15:00~18:50 [R712],3학년,,13,실험강의 수:19:00~20:30
EEE3182-05,고급전자회로실험,김광수,2,금 15:00~18:50 [R712],3학년,,9,실험강의 수:19:00~20:30
EEE4125-01,광전자공학,김광수,3,"월,수 12:00~13:15 [K212]",4학년,,10,
EEE4159-01,이동통신공학,홍대형,3,"화,목 13:30~14:45 [AS311]",4학년,,9,
EEE4161-01,인터넷통신망,장주욱,3,"수,금 13:30~14:45 [AS311]",4학년,,9,
EEE4168-01,마이크로프로세서시스템설계,김경환,3,"월,수 10:30~11:45 [AS311]",4학년,,13,
EEE4169-01,VLSI시스템설계,안길초,3,"수,금 15:00~16:15 [AS311]",4학년,,9,
EEE4174-01,기초초고주파회로해석,정진호,3,금 10:30~13:15 [AS305],3-4학년,,5,
EEE4176-01,디지털신호처리응용,김영록,3,"화,목 12:00~13:15 [AS311]",4학년,,6,
EEE4178-01,인공지능(딥러닝)개론,박형민,3,"화,목 10:30~11:45 [AS111]",4학년,,25,신규개설교과목(과목코드수정)
EEEG274-01,IoT디바이스설계기술(캡스톤디자인),정옥현,3,목 15:00~17:45 [K103],4학년,,12,"대학원초급과목, 구 휴대폰설계기술과비즈니스모델"
POL2002-01,정치학개론,김영수,3,"월,수 10:30~11:45 [DB101]",1학년,,59,
POL2002-02,정치학개론,김종원,3,"수,금 15:00~16:15 [D504]",1학년,,34,
POL2004-01,연구방법론,하상응,3,"화,목 10:30~11:45 [D502]",1-4학년,,45,영어강의
RELG001-01,종교연구방법론,박병관,3,"수,금 15:00~16:15 [K204]",3-4학년,,8,"영어강의, Honors과목, 학석사 연계과목, 대학원초급과목"
PSY4025-01,심리학연구방법론,연규진,3,"월,수 10:30~11:45 [D412]",2-4학년,,18,"영어강의, 수강 추가신청시 교수와 면담 요망"
POL2005-01,"정치,행정과법",서희경,3,월 13:30~16:15 [D402],1-4학년,,30,
POL3068-01,한국의선거,이현우,3,"월,수 10:30~11:45 [D302]",1-4학년,,66,
POL3081-01,남북한관계의이해,김영수,3,"월,수 12:00~13:15 [DB101]",1-4학년,,90,
POL3094-01,정당과정당제,이현우,3,"월,수 12:00~13:15 [D504]",1-4학년,,42,
POL3107-01,고대중세정치사상,박수인,3,금 10:30~13:15 [D502],1-4학년,,49,
POL3122-01,소유와화폐의정치,김종철,3,"월,수 16:30~17:45 [D412]",1-4학년,,12,영어강의
POL3132-01,동북아정치질서(중국어강의),전성흥,3,"화,목 16:30~17:45 [D201]",1-4학년,,42,"중국어강의, 중국어 수업; 한국/중국학생 모두 수강가능"
POL3138-01,외교정책론,배기현,3,"화,목 13:30~14:45 [DB102]",1-4학년,,81,구 외교정책결정론
POL3153-01,한국외교사,이헌미,3,월 13:30~16:15 [D303A],1-4학년,,18,
POL3165-01,중국정치의이해,전성흥,3,"화,목 15:00~16:15 [DB101]",1-4학년,,126,
SHU4068-01,한중정치사회의이해(중국어)(중국어강의),전성흥,3,"화,목 12:00~13:15 [D201]",1-4학년,,49,"중국어강의, 국제학생전용반-중국어; 중국학생 대상; 한국 학생 수강 불허"
POL3179-01,비교민주주의론,조영호,3,"화,목 13:30~14:45 [D412]",1-4학년,,9,영어강의
POL4084-01,한반도정치론,정영철,3,"화,목 09:00~10:15 [D502]",3-4학년,,32,
POL4169-01,비교정치특강,황인혜,3,"수,금 13:30~14:45 [D303B]",1-4학년,,15,"영어강의, 부제: 비교 복지국가론"
CBE2002-01,창의설계,김현철,3,월 13:30~16:15 [K305],1학년,,34,영어강의
CBE2002-02,창의설계,김정욱,3,월 13:30~16:15 [K306],1학년,,26,영어강의
