과목번호-분반,과목명,교수,학점,수업시간/강의실,학년,강의평,담은 인원,비고
ENG2001-01,영문학개론,김영주,3,"화,목 12:00~13:15 [J209]",1학년,,47,
ENG2001-02,영문학개론,"Bonfiglio, Richard Paul",3,월 13:30~14:45 / 금 12:00~13:15 [J215],1학년,,48,영어강의
ENG2003-01,언어학개론,채서영,3,"화,목 10:30~11:45 [J209]",1-4학년,,20,영어강의
ENG2003-02,언어학개론,Barrie Michael Jonathan Mathew,3,"화,목 12:00~13:15 [J325]",1-4학년,,17,영어강의
ENG2007-01,영미수필,신경원,3,"화,목 10:30~11:45 [J313]",2-4학년,,20,
ENG2101-01,영문학작문,장기윤,3,월 10:30~11:45 / 수 12:00~13:15 [J325],1-2학년,,20,영어강의
ENG2101-02,영문학작문,김치헌,3,"화,목 09:00~10:15 [J313]",1-2학년,,21,영어강의
ENG2101-03,영문학작문,이수경,3,"수,금 13:30~14:45 [J325]",1-2학년,,18,영어강의
ENG3007-01,낭만주의시대의영문학,신경원,3,"화,목 13:30~14:45 [J313]",2-4학년,,18,
ENG3008-01,초기영국소설,신경원,3,"화,목 15:00~16:15 [J313]",2-4학년,,25,
ENG3009-01,빅토리아시대의영문학,"Bonfiglio, Richard Paul",3,"월,금 16:30~17:45 [J217]",2-4학년,,11,영어강의
ENG3102-01,현대서양문학,신문주,3,"월,금 16:30~17:45 [J327]",2-4학년,,37,영어강의
ENG3105-01,최근영국문학,김영주,3,"화,목 16:30~17:45 [J602]",2-4학년,,14,
ENG3107-01,현대미국소설,황은주,3,"수,금 13:30~14:45 [J602]",2-4학년,,25,
ENG3201-01,신화와문학,김태원,3,"수,금 15:00~16:15 [J602]",2-4학년,,40,
ENG3224-01,서양문학전통,장기윤,3,월 15:00~16:15 / 수 16:30~17:45 [J602],2-4학년,,23,영어강의
ENG3305-01,영어화용론,이성범,3,월 12:00~13:15 / 금 10:30~11:45 [J102],2-4학년,,60,
ENG3306-01,영어통사론,Barrie Michael Jonathan Mathew,3,"화,목 09:00~10:15 [J325]",2-4학년,,12,영어강의
ENG3308-01,심리언어학,조숙환,3,"화,목 15:00~16:15 [J215]",2-4학년,,23,
ENG3314-01,모국어습득론(캡스톤디자인),조숙환,3,"화,목 16:30~17:45 [J215]",1-4학년,,16,
ENG3406-01,영문자서전창작,"Disney, Daniel James Philip",3,월 12:00~13:15 / 금 10:30~11:45 [J313],1-4학년,,13,영어강의
ENG3408-01,영어교육론,박은성,3,"수,금 15:00~16:15 [J317]",1-4학년,,11,영어강의
ENG3412-01,영어연설과원고작성법,채서영,3,"화,목 13:30~14:45 [J209]",1-4학년,,11,영어연설연습(ENG2109)의 대체과목
KOR4099-01,개별연구논문,이지영,3,,3-4학년,,0,
PHI4099-01,개별연구논문,이상섭,3,,3-4학년,,0,
REL4099-01,개별연구논문,정소이,3,월 18:00~18:50 [J114],4학년,,0,Honors과목
ENG4099-01,개별연구논문,Yoo Isaiah Wonho,3,,3-4학년,,0,
EUR4399-01,프랑스문화개별연구논문,권현정,3,,3-4학년,,0,
ENGG004-01,19세기영국문학프로세미나,김치헌,3,화 15:00~18:00 [J124],3-4학년,,2,영어강의
ENGG231-01,제2언어습득론입문:이론과적용,박은성,3,수 10:00~13:00 [J616],3-4학년,,0,영어강의
ENGG282-01,영어논리/논증적글쓰기의이론과실제,이요안,3,수 15:00~18:00 [J122],3-4학년,,2,영어강의
HIS2003-01,한국사개론,최희정,3,월 09:00~10:15 / 수 10:30~11:45 [J307],2-4학년,,21,"구 한국사개설I,II 통합과목"
HIS2005-01,서양사개론,박단,3,"화,목 15:00~16:15 [J107]",2-4학년,,59,"구 서양사개설I,II 통합과목"
HIS2006-01,역사학입문,윤병남,3,"화,목 13:30~14:45 [J102]",1-4학년,,74,역사란무엇인가(HIS2001)의 대체과목(2013학번이전의경우)
HIS3001-01,한국고대사,조범환,3,"화,목 10:30~11:45 [J217]",2-4학년,,25,
HIS3008-01,중국근세사,박장배,3,"화,목 12:00~13:15 [J307]",2-4학년,,32,
HIS3013-01,일본현대사,정녕,3,"수,금 13:30~14:45 [J217]",1-4학년,,29,
HIS3015-01,요동사,정면,3,"화,목 15:00~16:15 [J219]",2-4학년,,17,
HIS3019-01,아시아지역사특강2,박현도,3,월 10:30~11:45 / 수 12:00~13:15 [J313],2-4학년,,14,부제:서아시아이슬람의 역사
HIS3020-01,오리엔트문명사,오흥식,3,"화,목 16:30~17:45 [J217]",2-4학년,,17,
HIS3025-01,프랑스혁명과나폴레옹시대사,백인호,3,"화,목 10:30~11:45 [J319]",2-4학년,,5,
HIS3047-01,한일관계사,허지은,3,"수,금 09:00~10:15 [J217]",2-4학년,,19,
HIS3051-01,한국고고학,홍은경,3,"화,목 13:30~14:45 [J319]",2-4학년,,9,
HIS3064-01,서양지성사1,최성철,3,"수,금 15:00~16:15 [J315]",2-4학년,,13,
HIS3072-01,문화유산현장실습3,조범환,1,화 16:30~17:45 [J102],1-4학년,,46,"구 고적답사3, 성적평가:S/U"
HIS4002-01,한국사특강2,강희정,3,월 15:00~16:15 / 수 16:30~17:45 [J317],3-4학년,,11,Honors과목
HIS4011-01,동양사강독2,전인갑,3,월 10:30~11:45 / 수 12:00~13:15 [J317],3-4학년,,12,
HIS4017-01,서양사명저해제1,백인호,3,"화,목 09:00~10:15 [J319]",3-4학년,,3,Honors과목
HIS4099-01,논문세미나,박단,3,"화,목 13:30~14:45 [J609]",3-4학년,,2,Honors과목
HISG106-01,역사자료연습I,최기영,3,"화,목 15:00~16:15 [J925]",3-4학년,,2,
HISQ981-01,역사교과교육론,김민정,3,"화,목 12:00~13:15 [J315]",3-4학년,,6,영어강의
HISQ982-01,역사교과논리및논술,김민정,3,"화,목 15:00~16:15 [J315]",2-4학년,,2,영어강의
PHI2002-01,동양철학개론,정재현,3,"화,목 12:00~13:15 [J102]",2-4학년,,38,영어강의
PHI2003-01,서양철학사,서동욱,3,월 10:30~11:45 / 수 12:00~13:15 [J107],2-4학년,,60,
PHI3003-01,서양근대철학사,"Kim, Halla",3,"화,목 09:00~10:15 [J217]",2-4학년,,11,영어강의
PHI2005-01,논리학개론,석기용,3,월 15:00~16:15 / 수 16:30~17:45 [K501],2-4학년,,81,
PHI2006-01,형이상학,박병준,3,"화,목 10:30~11:45 [J609]",2-4학년,,18,
PHI3005-01,플라톤철학,전헌상,3,"화,목 15:00~16:15 [J307]",2-4학년,,46,영어강의
PHI3007-01,아우구스티누스철학,이상섭,3,"화,목 13:30~14:45 [J217]",2-4학년,,18,
PHI3014-01,미학개론,김산춘,3,"화,목 10:30~11:45 [J327]",2-4학년,,28,(구 철학탐구방법론 대체과목)
PHI3019-01,철학적신론,"Palmquist, Stephen",3,월 12:00~13:15 / 금 10:30~11:45 [J319],2-4학년,,9,영어강의
HFS2001-01,철학적인간학,박경자,3,"화,목 16:30~17:45 [K402]",2학년,,58,구 인간세계에대한관상 대체과목
HFS2001-02,철학적인간학,홍경자,3,"화,목 13:30~14:45 [K502]",2학년,,101,공학인증
HFS2001-03,철학적인간학,홍경자,3,"화,목 16:30~17:45 [K502]",2학년,,91,공학인증
HFS2001-04,철학적인간학,김옥경,3,"수,금 13:30~14:45 [K503]",2학년,,144,공학인증
HFS2001-05,철학적인간학,홍영미,3,"수,금 13:30~14:45 [MA106]",2학년,,59,구 인간세계에대한관상 대체과목
PHI3022-01,철학적인간학,박병준,3,"화,목 13:30~14:45 [J602]",2-4학년,,14,철학전공과목(중핵 철학적인간학과 다른 과목임)
PHI3029-01,종교철학,서동욱,3,월 15:00~16:15 / 수 16:30~17:45 [J327],2-4학년,,19,
