학년도,학기,소속,학과,과목번호,분반,과목명,학점,수업시간/강의실,시간,교수진,수강생수,영어강의,중국어강의,공학인증,국제학생,Honors과목,홀짝구분,승인과목,시험일자,수강대상,권장학년,수강신청 참조사항,과목 설명,비고
2021 학년도,1학기,학부,영미어문전공,ENG2001,1,영문학개론,3.0,"화,목 16:30~17:45",3.0,신경원,11,,,,,,,,,1학년,1학년,"영미어문전공,미국문화전공,영미문화계(가능)",,영미문화계열 2021년 신입생만 수강 가능
2021 학년도,1학기,학부,영미어문전공,ENG2001,2,영문학개론,3.0,"화,목 10:30~11:45",3.0,황은주,46,,,,,,,,,,1학년,"영미어문전공,미국문화전공,영미문화계(가능)",,"영미문화계열, 영미어문전공(제 1, 2, 3전공, 설계전공에 영미어문전공이 포함된 경우), 미국문화전공(제1전공) 수강 가능"
2021 학년도,1학기,학부,영미어문전공,ENG2002,1,영문학배경,3.0,"수,금 13:30~14:45",3.0,김치헌,57,O,,,,,,,,전학년,2-4학년,,,1~4학년 대상
2021 학년도,1학기,학부,영미어문전공,ENG2003,1,언어학개론,3.0,"수,금 09:00~10:15 [J107]",3.0,이성범,20,,,,,,,,,,1-4학년,,,[대면수업]
2021 학년도,1학기,학부,영미어문전공,ENG2003,2,언어학개론,3.0,"월,수 10:30~11:45",3.0,채서영,44,,,,,,,,,,1-4학년,,,
2021 학년도,1학기,학부,영미어문전공,ENG2101,1,영문학작문,3.0,"화,목 15:00~16:15",3.0,장기윤,19,O,,,,,,,,1학년,1-2학년,,,EFL(영어가 외국어인 학생)만 수강 가능 / 교환학생 수강불가
2021 학년도,1학기,학부,영미어문전공,ENG2101,2,영문학작문,3.0,"월,수 16:30~17:45",3.0,BonfiglioRichardPaul,9,O,,,,,,,,"2,3,4학년",1-2학년,,,교환학생 수강불가
2021 학년도,1학기,학부,영미어문전공,ENG2101,3,영문학작문,3.0,"수,금 09:00~10:15",3.0,전선재,23,O,,,,,,,,전학년,1-2학년,,,교환학생 수강불가
2021 학년도,1학기,학부,영미어문전공,ENG2103,1,작문과수사학,3.0,"수,금 15:00~16:15",3.0,채서영,16,,,,,,,,,전학년,2-4학년,,영작문연습(ENG2107)의 대체과목,
2021 학년도,1학기,학부,영미어문전공,ENG2105,1,산문비평과인문학적사유,3.0,"수,금 15:00~16:15",3.0,김영주,19,,,,,,,,,전학년,2-4학년,,,
