학년도,학기,소속,학과,과목번호,분반,과목명,학점,수업시간/강의실,시간,교수진,수강생수,영어강의,중국어강의,공학인증,국제학생,Honors과목,홀짝구분,승인과목,시험일자,수강대상,권장학년,수강신청 참조사항,과목 설명,비고
2018 학년도,2학기,학부,영미어문전공,ENG2001,1,영문학개론,3.0,"화,목 16:30~17:45 [J204]",3.0,"Disney, Daniel James Philip",17,O,,,,,,,,"1,2학년",1학년,,,1-2학년
2018 학년도,2학기,학부,영미어문전공,ENG2001,2,영문학개론,3.0,"월,수 16:30~17:45 [J110]",3.0,"Disney, Daniel James Philip",11,O,,,,,,,,전학년,1학년,,,전학년
2018 학년도,2학기,학부,영미어문전공,ENG2002,1,영문학배경,3.0,"화,목 09:00~10:15 [J202]",3.0,김치헌,32,O,,,,,,,,전학년,2-4학년,,,1-4학년
2018 학년도,2학기,학부,영미어문전공,ENG2002,2,영문학배경,3.0,"월,수 12:00~13:15 [J319]",3.0,윤주옥,10,O,,,,,,,,전학년,2-4학년,,,1-4학년
2018 학년도,2학기,학부,영미어문전공,ENG2003,1,언어학개론,3.0,"화,목 12:00~13:15 [J307]",3.0,Barrie Michael Jonathan Mathew,42,O,,,,,,,,전학년,1-4학년,,,
2018 학년도,2학기,학부,영미어문전공,ENG2003,2,언어학개론,3.0,월 13:30~16:15 [J207],3.0,허세문,25,,,,,,,,,전학년,1-4학년,,,전학년
2018 학년도,2학기,학부,영미어문전공,ENG2004,1,현대영미문학,3.0,"화,목 12:00~13:15 [J209]",3.0,신경원,8,,,,,,,,,전학년,2-4학년,,,
2018 학년도,2학기,학부,영미어문전공,ENG2006,1,연극의이해,3.0,"화,목 10:30~11:45 [J311]",3.0,Chambers Claire Maria,18,O,,,,,,,,전학년,2-4학년,,연극을통한영어연습(ENG2110)의 대체과목,1-2학년 우선 수강대상
2018 학년도,2학기,학부,영미어문전공,ENG2009,1,영미단편소설,3.0,"월,수 12:00~13:15 [J317]",3.0,장기윤,22,O,,,,,,,,전학년,2-4학년,,,2-4학년
2018 학년도,2학기,학부,영미어문전공,ENG2101,1,영문학작문,3.0,"화,목 13:30~14:45 [J209]",3.0,BonfiglioRichardPaul,14,O,,,,,,,,1학년,1-2학년,,,1학년 대상
2018 학년도,2학기,학부,영미어문전공,ENG2101,2,영문학작문,3.0,"월,수 10:30~11:45 [J209]",3.0,"Disney, Daniel James Philip",15,O,,,,,,,,전학년,1-2학년,,,1-4학년 대상
