학년도,학기,소속,학과,과목번호,분반,과목명,학점,수업시간/강의실,시간,교수진,수강생수,영어강의,중국어강의,공학인증,국제학생,Honors과목,홀짝구분,승인과목,시험일자,수강대상,권장학년,수강신청 참조사항,과목 설명,비고
2020 학년도,1학기,학부,영미어문전공,ENG2001,1,영문학개론,3.0,"화,목 10:30~11:45 [J313]",3.0,신경원,33,,,,,,,,,1학년,1학년,"영미어문전공,미국문화전공,영미문화계(1전공 가능)",,영미문화계열 2020학번 신입생만 수강 가능
2020 학년도,1학기,학부,영미어문전공,ENG2001,2,영문학개론,3.0,"월,수 10:30~11:45 [J215]",3.0,윤주옥,52,O,,,,,,,,전학년,1학년,,,
2020 학년도,1학기,학부,영미어문전공,ENG2003,1,언어학개론,3.0,"수,금 09:00~10:15 [J217]",3.0,이성범,30,,,,,,,,,전학년,1-4학년,,,
2020 학년도,1학기,학부,영미어문전공,ENG2003,2,언어학개론,3.0,"월,수 10:30~11:45 [J315]",3.0,정인기,20,O,,,,,,,,전학년,1-4학년,,,
2020 학년도,1학기,학부,영미어문전공,ENG2101,1,영문학작문,3.0,"수,금 15:00~16:15 [J315]",3.0,BonfiglioRichardPaul,13,O,,,,,,,,1학년,1-2학년,,,
2020 학년도,1학기,학부,영미어문전공,ENG2101,2,영문학작문,3.0,"화,목 09:00~10:15 [J317]",3.0,김치헌,20,O,,,,,,,,전학년,1-2학년,,,
2020 학년도,1학기,학부,영미어문전공,ENG2101,3,영문학작문,3.0,"화,목 16:30~17:45 [J317]",3.0,전선재,16,O,,,,,,,,전학년,1-2학년,,,
2020 학년도,1학기,학부,영미어문전공,ENG2105,1,산문비평과인문학적사유,3.0,"화,목 15:00~16:15 [J602]",3.0,김영주,19,,,,,,,,,전학년,2-4학년,,,
2020 학년도,1학기,학부,영미어문전공,ENG3004,1,셰익스피어,3.0,"화,목 16:30~17:45 [J307]",3.0,김태원,58,,,,,,,,,전학년,2-4학년,,,
2020 학년도,1학기,학부,영미어문전공,ENG3008,1,초기영국소설,3.0,"화,목 13:30~14:45 [J211]",3.0,신경원,14,,,,,,,,,전학년,2-4학년,,,
2020 학년도,1학기,학부,영미어문전공,ENG3011,1,19세기미국문학,3.0,"수,금 15:00~16:15 [J217]",3.0,장기윤,26,,,,,,,,,전학년,2-4학년,,,
2020 학년도,1학기,학부,영미어문전공,ENG3102,1,현대서양문학,3.0,"수,금 09:00~10:15 [J315]",3.0,황은주,18,,,,,,,,,전학년,2-4학년,,,
2020 학년도,1학기,학부,영미어문전공,ENG3105,1,최근영국문학,3.0,"화,목 12:00~13:15 [J602]",3.0,김영주,16,,,,,,,,,전학년,2-4학년,,,
2020 학년도,1학기,학부,영미어문전공,ENG3108,1,최근미국문학,3.0,"수,금 13:30~14:45 [J215]",3.0,황은주,22,,,,,,,,,전학년,2-4학년,,,
2020 학년도,1학기,학부,영미어문전공,ENG3201,1,신화와문학,3.0,"화,목 12:00~13:15 [J307]",3.0,김태원,52,,,,,,,,,전학년,2-4학년,,,
2020 학년도,1학기,학부,영미어문전공,ENG3216,1,영문학특강,3.0,"화,목 15:00~16:15 [J202]",3.0,신경원,16,,,,,,,,,전학년,2-4학년,,,부제: 페미니즘 이론
2020 학년도,1학기,학부,영미어문전공,ENG3219,1,미국소수민족문학,3.0,"월,수 12:00~13:15 [J209]",3.0,전선재,39,O,,,,,,,,전학년,2-4학년,,새로운목소리들(AMC3085)의 대체과목,
2020 학년도,1학기,학부,영미어문전공,ENG3301,1,영어음성학,3.0,"화,목 09:00~10:15 [J120]",3.0,정인기,15,,,,,,,,,전학년,2-4학년,,,
2020 학년도,1학기,학부,영미어문전공,ENG3305,1,영어화용론,3.0,월 13:30~16:15 [J104],3.0,한승훈,32,,,,,,,,,전학년,2-4학년,,,
2020 학년도,1학기,학부,영미어문전공,ENG3408,1,영어교육론,3.0,"화,목 13:30~14:45 [J104]",3.0,박은성,23,O,,,,,,,,전학년,1-4학년,,,
2020 학년도,1학기,학부,영미어문전공,ENG3410,1,영문창작,3.0,"월,수 16:30~17:45 [J104]",3.0,"Disney, Daniel James Philip",19,O,,,,,,,,전학년,2-4학년,,,
2020 학년도,1학기,학부,영미어문전공,ENGG006,1,초기및19세기미국문학프로세미나,3.0,월 15:00~18:00 [J111],3.0,장기윤,5,O,,,,O,,,,전학년,3-4학년,,,학석사연계과목
2020 학년도,1학기,학부,영미어문전공,ENGG204,1,음운론I,3.0,월 13:30~16:20 [J614],3.0,정인기,2,,,,,O,,,,"3,4학년",3-4학년,,대학원초급과목,학석사연계(대학원초급)과목
2020 학년도,1학기,학부,사학전공,HIS2003,1,한국사개론Ⅰ,3.0,"화,목 12:00~13:15 [K407]",3.0,김아네스,48,,,,,,,,,전학년,2-4학년,,"구 한국사개설I,II 통합과목",
2020 학년도,1학기,학부,사학전공,HIS2004,1,동아시아사개론Ⅰ,3.0,"월,수 12:00~13:15 [J602]",3.0,전인갑,25,,,,,,,,,전학년,2-4학년,,"구 동양사개설I,II 통합과목",
2020 학년도,1학기,학부,사학전공,HIS2005,1,서양사개론Ⅰ,3.0,"월,수 16:30~17:45 [J215]",3.0,오흥식,52,,,,,,,,,전학년,2-4학년,,"구 서양사개설I,II 통합과목",
2020 학년도,1학기,학부,사학전공,HIS2006,1,역사학입문,3.0,"화,목 13:30~14:45 [J219]",3.0,윤병남,47,,,,,,,,,전학년,1-4학년,,역사란무엇인가(HIS2001)의 대체과목(2013학번이전의경우),
2020 학년도,1학기,학부,사학전공,HIS3001,1,한국고대사,3.0,"월,수 10:30~11:45 [J321]",3.0,조범환,8,,,,,,,,,전학년,2-4학년,,,
2020 학년도,1학기,학부,사학전공,HIS3007,1,중국중세사,3.0,"화,목 09:00~10:15 [J309]",3.0,정면,64,,,,,,,,,전학년,2-4학년,,,
2020 학년도,1학기,학부,사학전공,HIS3019,1,아시아지역사특강2,3.0,"수,금 13:30~14:45 [J120]",3.0,윤대영,4,,,,,,,,,전학년,2-4학년,,,
2020 학년도,1학기,학부,사학전공,HIS3025,1,프랑스혁명과나폴레옹시대사,3.0,"화,목 15:00~16:15 [J321]",3.0,백인호,13,,,,,,,,,전학년,2-4학년,,,
2020 학년도,1학기,학부,사학전공,HIS3026,1,민족주의와제국주의시대사,3.0,금 10:30~13:15 [J215],3.0,이종훈,40,,,,,,,,,전학년,2-4학년,,,
2020 학년도,1학기,학부,사학전공,HIS3028,1,서양현대사,3.0,"화,목 16:30~17:45 [J211]",3.0,박단,8,,,,,,,,,전학년,2-4학년,,,
2020 학년도,1학기,학부,사학전공,HIS3035,1,동유럽의역사와문화,3.0,"수,금 13:30~14:45 [K507]",3.0,임지현,8,,,,,,,,,전학년,2-4학년,,,
2020 학년도,1학기,학부,사학전공,HIS3043,1,한국사회경제사,3.0,"화,목 12:00~13:15 [J104]",3.0,계승범,22,,,,,,,,,전학년,2-4학년,,,
2020 학년도,1학기,학부,사학전공,HIS3046,1,한중교섭사,3.0,"화,목 09:00~10:15 [J211]",3.0,계승범,6,,,,,,,,,전학년,2-4학년,,,
2020 학년도,1학기,학부,사학전공,HIS3047,1,한일관계사,3.0,"수,금 09:00~10:15 [J323]",3.0,허지은,2,,,,,,,,,전학년,2-4학년,,,
2020 학년도,1학기,학부,사학전공,HIS3049,1,한국독립운동사,3.0,"화,목 10:30~11:45 [J307]",3.0,최기영,32,,,,,,,,,전학년,2-4학년,,,"부제: 자료로 보는 한국 독립운동의 역사와 사상, 그리고 인물"
2020 학년도,1학기,학부,사학전공,HIS3072,1,문화유산현장실습3,1.0,화 16:30~17:45 [K203],1.5,조범환,75,,,,,,,,,전학년,1-4학년,,"구 고적답사3, 성적평가:S/U",
2020 학년도,1학기,학부,사학전공,HIS4009,1,동양사특강2,3.0,"수,금 09:00~10:15 [J120]",3.0,김성운,6,,,,,,,,,전학년,3-4학년,,,
2020 학년도,1학기,학부,사학전공,HIS4010,1,동양사강독1,3.0,"월,수 10:30~11:45 [J106]",3.0,전인갑,30,,,,,,,,,전학년,3-4학년,,,공통과목
2020 학년도,1학기,학부,사학전공,HIS4017,1,서양사명저해제1,3.0,"화,목 10:30~11:45 [J321]",3.0,백인호,3,,,,,,,,,전학년,3-4학년,,,
2020 학년도,1학기,학부,사학전공,HISQ981,1,역사교과교육론,3.0,"화,목 12:00~13:15 [J323]",3.0,김민정,5,,,,,,,,,전학년,3-4학년,,교직이수자만 전공학점으로 인정,PHIQ982 철학교과교육론과 합반
2020 학년도,1학기,학부,사학전공,HISQ982,1,역사교과논리및논술,3.0,"화,목 15:00~16:15 [J323]",3.0,김민정,5,O,,,,,,,,전학년,2-4학년,,교직이수자만 전공학점으로 인정,PHIQ981 철학교과논리및논술과 합반
2020 학년도,1학기,학부,철학전공,PHI2002,1,동양철학개론,3.0,"화,목 13:30~14:45 [J215]",3.0,이임찬,45,,,,,,,,,전학년,2-4학년,,,
2020 학년도,1학기,학부,철학전공,PHI2003,1,서양철학사,3.0,"월,수 10:30~11:45 [J107]",3.0,서동욱,51,,,,,,,,,"2,3,4학년",2-4학년,,,
2020 학년도,1학기,학부,철학전공,PHI2005,1,논리학개론,3.0,"화,목 10:30~11:45 [J102]",3.0,오은영,78,,,,,,,,,전학년,2-4학년,,,
2020 학년도,1학기,학부,철학전공,PHI2006,1,형이상학,3.0,"월,수 10:30~11:45 [J120]",3.0,박병준,10,,,,,,,,,"2,3,4학년",2-4학년,,,
2020 학년도,1학기,학부,철학전공,PHI3002,1,서양중세철학사,3.0,"화,목 12:00~13:15 [J311]",3.0,이상섭,32,,,,,,,,,"2,3,4학년",2-4학년,,,
2020 학년도,1학기,학부,철학전공,PHI3003,1,서양근대철학사,3.0,"화,목 10:30~11:45 [J315]",3.0,"Kim, Halla",15,O,,,,,,,,"2,3,4학년",2-4학년,,,
2020 학년도,1학기,학부,철학전공,PHI3027,1,과학철학,3.0,"화,목 15:00~16:15 [J107]",3.0,김영건,58,,,,,,,,,"2,3,4학년",2-4학년,,,
2020 학년도,1학기,학부,철학전공,PHI3029,1,종교철학,3.0,"월,수 16:30~17:45 [J106]",3.0,서동욱,28,,,,,,,,,"2,3,4학년",2-4학년,,,
2020 학년도,1학기,학부,철학전공,PHI3030,1,언어철학,3.0,"화,목 13:30~14:45 [J102]",3.0,김준걸,29,O,,,,,,,,"2,3,4학년",2-4학년,,,
2020 학년도,1학기,학부,철학전공,PHI3033,1,"선진,한철학사",3.0,"월,수 12:00~13:15 [J107]",3.0,정재현,45,O,,,,,,,,"2,3,4학년",2-4학년,,,
2020 학년도,1학기,학부,철학전공,PHI3036,1,중국근현대철학사,3.0,월 13:30~16:15 [J108],3.0,류희성,29,,,,,,,,,"2,3,4학년",2-4학년,,,
2020 학년도,1학기,학부,철학전공,PHI4001,1,소크라테스이전철학과소크라테스철학,3.0,"화,목 16:30~17:45 [J107]",3.0,전헌상,47,,,,,,,,,"2,3,4학년",2-4학년,,,
2020 학년도,1학기,학부,철학전공,PHI4037,1,서양철학의원리,3.0,"화,목 15:00~16:15 [J120]",3.0,이상섭,8,,,,,O,,,,"2,3,4학년",1-4학년,,,
2020 학년도,1학기,학부,철학전공,PHIQ981,1,철학교과논리및논술,3.0,"화,목 15:00~16:15 [J323]",3.0,김민정,0,O,,,,,,,,전학년,2-4학년,,교직이수자만 전공학점으로 인정,HISQ982 역사교과논리및논술과 합반
2020 학년도,1학기,학부,철학전공,PHIQ982,1,철학교과교육론,3.0,"화,목 12:00~13:15 [J323]",3.0,김민정,1,,,,,,,,,전학년,3-4학년,,교직이수자만 전공학점으로 인정,HISQ981 역사교과교육론과 합반
2020 학년도,1학기,학부,수학전공,MAT1050,1,미적분학실습I,1.0,월 13:30~15:20 [RA205],2.0,이영란,19,,,,,,,,,전학년,1학년,,,실습과목(RA205)
2020 학년도,1학기,학부,수학전공,MAT1050,2,미적분학실습I,1.0,월 15:30~17:20 [RA205],2.0,이영란,18,,,,,,,,,전학년,1학년,,,실습과목(RA205)
2020 학년도,1학기,학부,수학전공,MAT1050,3,미적분학실습I,1.0,수 15:00~16:50 [RA205],2.0,김종락,18,,,,,,,,,전학년,1학년,,,실습과목(RA205)
2020 학년도,1학기,학부,수학전공,MAT1050,4,미적분학실습I,1.0,수 17:00~18:50 [RA205],2.0,김종락,16,,,,,,,,,전학년,1학년,,,실습과목(RA205)
2020 학년도,1학기,학부,수학전공,MAT1050,5,미적분학실습I,1.0,금 10:30~12:20 [RA205],2.0,이영란,20,,,,,,,,,전학년,1학년,,,실습과목(RA205)
2020 학년도,1학기,학부,수학전공,MAT2010,1,집합론,3.0,"수,금 09:00~10:15 [R1418]",3.0,이종범,21,O,,O,,,,,,"2,3,4학년",2학년,,,
2020 학년도,1학기,학부,수학전공,MAT2010,2,집합론,3.0,"수,금 13:30~14:45 [RA408]",3.0,신창언,56,,,O,,,,,,"2,3,4학년",2학년,,,
2020 학년도,1학기,학부,수학전공,MAT2110,1,선형대수학,3.0,"수,금 09:00~10:15 [RA406B]",3.0,조상현,45,,,O,,,,,,"2,3,4학년",2학년,,,
2020 학년도,1학기,학부,수학전공,MAT2110,2,선형대수학,3.0,"화,목 10:30~11:45 [RA406B]",3.0,조성희,54,,,O,,,,,,"2,3,4학년",2학년,,,
2020 학년도,1학기,학부,수학전공,MAT2110,3,선형대수학,3.0,"화,목 09:00~10:15 [RA406B]",3.0,"Ho, Pak Tung",60,O,,O,,,,,,"2,3,4학년",2학년,,,
2020 학년도,1학기,학부,수학전공,MAT2110,4,선형대수학,3.0,"화,목 12:00~13:15 [RA406B]",3.0,조성희,55,,,O,,,,,,"2,3,4학년",2학년,,,
2020 학년도,1학기,학부,수학전공,MAT2110,5,선형대수학,3.0,"화,목 13:30~14:45 [RA308]",3.0,한상현,57,,,O,,,,,,"2,3,4학년",2학년,,,
2020 학년도,1학기,학부,수학전공,MAT2210,1,고등미적분학I,3.0,"화,목 10:30~11:45 [RA308]",3.0,김현석,46,,,,,,,,,"2,3,4학년",2학년,,,고미연습 화요일 오후 7:00~8:30
2020 학년도,1학기,학부,수학전공,MAT2210,2,고등미적분학I,3.0,"월,수 10:30~11:45 [RA408]",3.0,이영란,49,,,,,,,,,"2,3,4학년",2학년,,,고미연습 월요일 오후 7:00~8:30
2020 학년도,1학기,학부,수학전공,MAT2410,1,응용수학I,3.0,"화,목 09:00~10:15 [K303]",3.0,유지현,65,,,O,,,"[1,3,5,7,9]",,,"2,3,4학년",2학년,컴퓨터공학전공(가능),"컴퓨터공학전공만 가능, 통계학입문(MAT3020)과 동등한 과목","컴퓨터공학전공가능(홀수학번), 통계학입문과 동등과목"
2020 학년도,1학기,학부,수학전공,MAT2410,2,응용수학I,3.0,"수,금 09:00~10:15 [RA310]",3.0,하구용,68,,,O,,,"[2,4,6,8,0]",,,"2,3,4학년",2학년,컴퓨터공학전공(가능),"컴퓨터공학전공만 가능, 통계학입문(MAT3020)과 동등한 과목","컴퓨터공학전공가능(짝수학번), 통계학입문과 동등과목"
2020 학년도,1학기,학부,수학전공,MAT3020,1,통계학입문,3.0,"화,목 12:00~13:15 [RA308]",3.0,최정아,53,,,,,,,,,"2,3,4학년",2학년,컴퓨터공학전공(1전공 불가능),응용수학I(MAT2410)과 동등한 과목임,컴퓨터공학 1전공학생수강불가(응용수학I과 동등과목)
2020 학년도,1학기,학부,수학전공,MAT3110,1,이산수학,3.0,"월,수 16:30~17:45 [RA410]",3.0,오영탁,47,,,,,,,,,"2,3,4학년",3-4학년,,,
2020 학년도,1학기,학부,수학전공,MAT3430,1,응용통계학및실습,3.0,"화,목 09:00~10:15 [RA205]",3.0,임경필,20,,,,,,,,,"2,3,4학년",3-4학년,,,실습과목(RA205)
2020 학년도,1학기,학부,수학전공,MAT3430,2,응용통계학및실습,3.0,"화,목 12:00~13:15 [RA205]",3.0,임경필,18,,,,,,,,,"2,3,4학년",3-4학년,,,실습과목(RA205)
2020 학년도,1학기,학부,수학전공,MAT3440,1,통신수학,3.0,"월,수 10:30~11:45 [K208]",3.0,김종락,25,,,,,,,,,"2,3,4학년",3-4학년,,,
2020 학년도,1학기,학부,수학전공,MAT4110,1,추상대수학I,3.0,"월,수 10:30~11:45 [RA410]",3.0,오영탁,43,,,,,,,,,"2,3,4학년",3학년,,,
2020 학년도,1학기,학부,수학전공,MAT4110,2,추상대수학I,3.0,"화,목 15:00~16:15 [RA408]",3.0,박진형,25,O,,,,,,,,"2,3,4학년",3학년,,,
2020 학년도,1학기,학부,수학전공,MAT4210,1,복소수함수론I,3.0,"월,수 12:00~13:15 [RA406B]",3.0,조상현,58,,,,,,,,,"2,3,4학년",3학년,,,
2020 학년도,1학기,학부,수학전공,MAT4310,1,미분기하학,3.0,"화,목 13:30~14:45 [RA310]",3.0,김종수,65,,,,,,,,,"2,3,4학년",3학년,,,
2020 학년도,1학기,학부,수학전공,MAT4330,1,위상수학개론II,3.0,"수,금 13:30~14:45 [RA310]",3.0,조장현,14,,,,,,,,,"2,3,4학년",4학년,,구MATG320/구 위상수학특론의대체과목,
2020 학년도,1학기,학부,수학전공,MAT4510,1,학부개별연구,3.0,,,이영란,0,,,,,,,,,"3,4학년",3-4학년,,"특수연구, 전공학점으로 인정되지 않음",
2020 학년도,1학기,학부,수학전공,MATG210,1,실해석학I,3.0,"화,목 10:30~11:45 [RA408]",3.0,신창언,27,O,,,,,,,,"2,3,4학년",4학년,,"대학원초급과목,구MAT5210",학부-대학원 연계과목
2020 학년도,1학기,학부,수학전공,MATQ981,1,수학교과교육론,3.0,"화,목 12:00~13:15 [J609]",3.0,김구연,4,O,,,,,,,,"2,3,4학년",3-4학년,,교직이수자만 전공학점으로 인정,교직이수자만 전공과목 인정
2020 학년도,1학기,학부,물리학전공,PHY1001,1,일반물리I,3.0,"월,수 12:00~13:15 [RA310]",3.0,이현철,74,,,,,,,,,전학년,1학년,,,
2020 학년도,1학기,학부,물리학전공,PHY1001,2,일반물리I,3.0,"월,수 16:30~17:45 [AS510]",3.0,Scopel Stefano,72,O,,,,,,,,전학년,1학년,,,
2020 학년도,1학기,학부,물리학전공,PHY1001,3,일반물리I,3.0,"화,목 09:00~10:15 [AS414]",3.0,이기진,73,,,,,,,,,전학년,1학년,,,
2020 학년도,1학기,학부,물리학전공,PHY1001,4,일반물리I,3.0,"화,목 10:30~11:45 [R404]",3.0,정현식,55,,,,,,,,,전학년,1학년,물리학전공(가능),,물리전공 전용반
