학년도,학기,소속,학과,과목번호,분반,과목명,학점,수업시간/강의실,시간,교수진,수강생수,영어강의,중국어강의,공학인증,국제학생,Honors과목,홀짝구분,승인과목,시험일자,수강대상,권장학년,수강신청 참조사항,과목 설명,비고
2016 학년도,2학기,학부,학부,HI400201,1,기초평면(2),3.0,,,,0,,,,,,,,,,1-4학년,,,
2016 학년도,2학기,학부,학부,KGERM114,1,유럽문화예술스케치,3.0,,,,0,,,,,,,,,,1-4학년,,,
2016 학년도,2학기,학부,학부,KIFLS301,1,고급영어,3.0,,,,0,,,,,,,,,,1-4학년,,,
2016 학년도,2학기,학부,학부,KPHIL140,1,미학입문,3.0,,,,0,,,,,,,,,,1-4학년,,,
2016 학년도,2학기,학부,학부,KPOLI161,1,정치학원론,3.0,,,,0,,,,,,,,,,1-4학년,,,
2016 학년도,2학기,학부,학부,KPSYC110,1,심리학의이해,3.0,,,,0,,,,,,,,,,1-4학년,,,
2016 학년도,2학기,학부,학부,SN345.320,1,천문관측및실험 2,3.0,,,,0,,,,,,,,,,1-4학년,,,
2016 학년도,2학기,학부,학부,SSU435102,1,무역보험론,3.0,,,,0,,,,,,,,,,1-4학년,,,
2016 학년도,2학기,학부,학부,YENG3002,1,경제성공학,3.0,,,,0,,,,,,,,,,1-4학년,,,
2016 학년도,2학기,학부,학부,YSTA2105,1,통계방법론,3.0,,,,0,,,,,,,,,,1-4학년,,,
2016 학년도,2학기,학부,학부,YUCH1102,1,지구와우주,3.0,,,,0,,,,,,,,,,1-4학년,,연세대교류과목,
2016 학년도,2학기,학부,학부,YUCH1108,1,환경과대기,3.0,,,,0,,,,,,,,,,1-4학년,,,
2016 학년도,2학기,학부,학부,YUCJ1111,1,사진예술의이해,2.0,,,,0,,,,,,,,,,1-4학년,,연세대교류과목,
2016 학년도,2학기,학부,학부,ZGKAP21,1,학문한국어1(교환학생용),12.0,"월,화,수,목,금 14:30~16:30",6.0,강수미,2,,,,,,,,,,1-4학년,,,
