소속,과목코드,과목명,교수명,학점,수업요일,수업시간,강의실_x,권장학년,교수특징,경쟁점수,꿀점수,배움점수
철학전공,PHI2003-01,서양철학사,서동욱,3,[월수],10:30~11:45,J311,"['2', '4']",[],0.9189375,10.737166666666663,12.0225
철학전공,PHI3003-01,서양근대철학사,"Kim, Halla",3,[월수],12:00~13:15,J315,"['2', '4']",[],0.6909882352941178,9.1,8.7
철학전공,PHI2005-01,논리학개론,서상복,3,[수금],15:00~16:15,K201,"['2', '4']","['꼰대', '열정러']",,9.366866666666667,8.454333333333333
철학전공,PHI2006-01,형이상학,백승영,3,[월],13:30~16:15,J102,"['2', '4']",[],,13.557392307692306,5.834653846153847
철학전공,PHI3010-01,영국경험론,김종원,3,[화목],16:30~17:45,J106,"['2', '4']",['귀요미'],,14.14,14.7
철학전공,PHI3014-01,미학개론,김산춘,3,[화목],10:30~11:45,K401,"['2', '4']",[],,14.28,6.6000000000000005
철학전공,PHI3023-01,분석철학,김영건,3,[화목],12:00~13:15,J107,"['2', '4']","['카리스마', '시크']",,18.18,11.55
철학전공,PHI3033-01,"선진,한철학사",정재현,3,[화목],13:30~14:45,J311,"['2', '4']",[],0.8818874999999999,17.01,4.5
철학전공,PHI3035-01,"송,명,청철학사",정종모,3,[화목],09:00~10:15,J202,"['2', '4']",[],,,
철학전공,PHI3037-01,도가철학,이임찬,3,[수금],13:30~14:45,J204,"['2', '4']",[],,12.24,11.0
철학전공,PHI4010-01,실용논리,석기용,3,[월수],12:00~13:15,K307,"['2', '4']",['열정러'],,,
철학전공,PHI4011-01,그리스철학특강,전헌상,3,[화목],15:00~16:15,J202,"['2', '4']",[],,16.32,7.700000000000001
철학전공,PHI4025-01,철학과문학,서동욱,3,[월수],16:30~17:45,J327,"['2', '4']",[],,,
철학전공,PHI4036-01,동양철학의원리,정재현,3,[화목],15:00~16:15,J120,"['1', '4']",[],,,
철학전공,PHIQ981-01,철학교과논리및논술,김민정,3,[화목],15:00~16:15,J104,"['2', '4']",,,,
수학전공,MAT1050-01,미적분학실습I,조장현,1,[월],15:00~16:50,RA205,['1'],[],,,
수학전공,MAT1050-02,미적분학실습I,이영란,1,[월],17:00~18:50,RA205,['1'],[],,11.340000000000002,9.0
수학전공,MAT1050-03,미적분학실습I,조장현,1,[수],15:00~16:50,RA205,['1'],[],,,
수학전공,MAT1050-04,미적분학실습I,이영란,1,[수],17:00~18:50,RA205,['1'],[],,11.340000000000002,9.0
수학전공,MAT1050-05,미적분학실습I,조장현,1,[금],10:30~12:20,RA205,['1'],[],,,
수학전공,MAT2010-01,집합론,신창언,3,[수금],13:30~14:45,RA408,['2'],[],1.0732090909090908,13.685555555555556,7.0888888888888895
수학전공,MAT2010-02,집합론,하구용,3,[월수],12:00~13:15,K502,['2'],[],,11.44,10.2
수학전공,MAT2110-01,선형대수학,김종수,3,[화목],10:30~11:45,RA408,['2'],[],,12.186466666666664,4.5456666666666665
수학전공,MAT2110-02,선형대수학,조상현,3,[수금],13:30~14:45,K212,['2'],[],1.6458122641509434,18.046766666666674,5.318277777777777
수학전공,MAT2110-03,선형대수학,조성희,3,[화목],13:30~14:45,K307,['2'],['꼰대'],,14.317866666666665,8.077666666666666
수학전공,MAT2110-04,선형대수학,김순영,3,[화목],10:30~11:45,RA410,['2'],"['시크', '열정러', '엔젤']",,10.2,8.8
수학전공,MAT2110-05,선형대수학,최미란,3,[금],10:30~13:15,RA408,['2'],[],,11.340000000000002,10.75
수학전공,MAT2210-01,고등미적분학I,이재성,3,[화목],15:00~16:15,RA406B,['2'],[],,14.073233333333334,6.512833333333334
수학전공,MAT2210-02,고등미적분학I,이영란,3,[월수],10:30~11:45,RA310,['2'],[],,7.695,15.925
수학전공,MAT2410-01,응용수학I,유지현,3,[월수],12:00~13:15,K504,['2'],"['시크', '열정러', '엔젤']",1.1673633802816898,11.203733333333338,11.738666666666667
수학전공,MAT2410-02,응용수학I,유지현,3,[화목],12:00~13:15,K303,['2'],"['시크', '열정러', '엔젤']",1.1673633802816898,11.203733333333338,11.738666666666667
수학전공,MAT2510-01,푸리에해석및응용,임경수,3,[월수],12:00~13:15,K309,"['2', '4']",[],,16.32,4.4
수학전공,MAT3020-01,통계학입문,임경수,3,[월수],10:30~11:45,K303,['2'],[],,9.72,9.275
수학전공,MAT3110-01,이산수학,"Ho, Pak Tung",3,[수금],09:00~10:15,K307,"['3', '4']",[],,11.44,11.1
수학전공,MAT3430-01,응용통계학및실습,임경필,3,[화목],09:00~10:15,RA205,"['3', '4']",[],1.3677300000000001,17.34,11.55
수학전공,MAT3430-02,응용통계학및실습,임경필,3,[화목],12:00~13:15,RA205,"['3', '4']",[],1.3677300000000001,17.34,11.55
수학전공,MAT3450-01,계산수학및실습,임경수,3,[월수],16:30~17:45,K309,"['3', '4']",[],,,
수학전공,MAT4110-01,추상대수학I,박진형,3,[화목],10:30~11:45,K507,['3'],[],2.2544363636363642,11.7,15.3
수학전공,MAT4110-02,추상대수학I,조장현,3,[월수],12:00~13:15,RA408,['3'],[],,10.71,9.9
수학전공,MAT4210-01,복소수함수론I,조상현,3,[월수],10:30~11:45,K502,['3'],[],1.3710125,17.17,15.75
수학전공,MAT4310-01,미분기하학,"Ho, Pak Tung",3,[수금],13:30~14:45,RA410,['3'],[],,16.476566666666667,9.962833333333334
수학전공,MAT4330-01,위상수학개론II,이종범,3,[수금],15:00~16:15,K507,['4'],['시크'],,,
수학전공,MATG210-01,실해석학I,이재성,3,[화목],10:30~11:45,K404,['4'],[],,,
수학전공,MATQ981-01,수학교과교육론,김구연,3,[화목],12:00~13:15,J317,"['3', '4']",[],1.82,,
물리학전공,PHY1001-01,일반물리I,김도석,3,[월수],10:30~11:45,RA406B,['1'],['카리스마'],,8.427192307692305,6.72057692307692
물리학전공,PHY1001-02,일반물리I,이현철,3,[월수],12:00~13:15,RA406B,['1'],[],,14.863409523809526,8.48895238095238
물리학전공,PHY1001-03,일반물리I,이기진,3,[화목],09:00~10:15,RA406B,['1'],[],2.0650591549295774,15.2903,13.312928571428573
물리학전공,PHY1001-04,일반물리I,임채호,3,[화목],10:30~11:45,RA406B,['1'],[],,13.426666666666666,5.633333333333333
