과목번호,분반,과목코드,과목명,교수,담은인원,수강생수,exp_capa,review,popular,score
STS2005,03,STS2005-03,미적분학I,유지현,112,63,68,41.0,0,2.2289647058823525
PHY1101,10,PHY1101-10,일반물리실험I,Scopel Stefano,32,18,19,8.0,0,2.2069894736842106
HSS3017,01,HSS3017-01,학습매니지먼트,김세영,65,39,39,17.0,0,2.2034999999999996
ETS2002,06,ETS2002-06,논리와비판적사고,서상복,65,56,40,40.0,0,2.197
ECO2001,01,ECO2001-01,경제학원론I,양현주,136,84,107,22.0,1,2.195294205607477
MGT3006,02,MGT3006-02,마케팅원론,김주영,76,72,60,24.0,1,2.192042666666667
MGT2002,03,MGT2002-03,경영통계학,이윤동,82,73,67,50.0,1,2.171776119402985
MGT4203,03,MGT4203-03,경영과학,김범수,88,70,69,6.0,1,2.1682944927536236
ECO4032,01,ECO4032-01,금융시장계량분석(캡스톤디자인),최인,23,17,18,2.0,1,2.1637633333333337
CBE4013,02,CBE4013-02,생물화학공학,김현철,58,58,35,1.0,0,2.15644
SHS2005,05,SHS2005-05,법과지식산업,안재형,112,87,70,32.0,0,2.14656
MGT3004,03,MGT3004-03,재무관리,김도성,108,95,88,34.0,1,2.14461
BIO4252,01,BIO4252-01,암생물학,김정호,28,30,17,0.0,0,2.1411764705882352
PUB3008,01,PUB3008-01,범죄와형벌의이해,이호중,31,20,19,9.0,0,2.1401421052631577
COR1013,02,COR1013-02,자연계글쓰기,김영경,44,30,27,10.0,0,2.139703703703704
STS2011,02,STS2011-02,기초빅데이터프로그래밍,서경희,44,28,27,9.0,0,2.137585185185185
COR1016,25,COR1016-25,알바트로스세미나(경영),김창수,18,9,11,1.0,0,2.1294
MGT4203,01,MGT4203-01,경영과학,민재형,82,68,66,13.0,1,2.1269930303030304
LCS2007,06,LCS2007-06,일본언어와문화I,임시은,39,32,24,5.0,0,2.1230625
LCS2007,04,LCS2007-04,일본언어와문화I,김선희,47,29,29,7.0,0,2.1216448275862065
ECO3002,01,ECO3002-01,노동경제학,안태현,71,68,57,5.0,1,2.1156131578947366
MGT4604,01,MGT4604-01,국제경영전략,김창수,79,77,64,9.0,1,2.10486859375
LCS2003,03,LCS2003-03,프랑스언어와문화I,임애리,36,28,23,26.0,0,2.0876869565217393
LCS2005,04,LCS2005-04,중국언어와문화I,박지영,51,29,33,35.0,0,2.0794090909090905
COR1012,12,COR1012-12,인문사회글쓰기,이해진,47,30,30,20.0,0,2.0774
SHS2002,04,SHS2002-04,한국과세계,한영빈,108,99,70,35.0,0,2.0759142857142856
ECO2001,07,ECO2001-07,경제학원론I,김홍균,119,100,100,31.0,1,2.0734441
PHY1001,02,PHY1001-02,일반물리I,이기진,112,91,71,7.0,0,2.0650591549295774
ECO2002,02,ECO2002-02,경제학원론II,송의영,122,96,105,50.0,1,2.0618000000000003
MEE3006,01,MEE3006-01,기계공학해석,박정열,105,108,67,10.0,0,2.0576865671641795
ETS2001,02,ETS2001-02,현대세계와윤리문제,하유진,99,79,65,38.0,0,2.0552400000000004
CHS2003,02,CHS2003-02,현대동아시아의형성,방향숙,155,108,104,59.0,0,2.0518125
ECO2006,03,ECO2006-03,미시경제학I,김도영,91,78,77,26.0,1,2.0492018181818183
PHY4003,01,PHY4003-01,현대광학I,장준익,36,40,23,6.0,0,2.0469913043478263
ECO2001,02,ECO2001-02,경제학원론I,안태현,119,88,105,67.0,1,2.043660666666667
MGT3007,04,MGT3007-04,국제경영론,정선욱,90,75,77,31.0,1,2.03655974025974
MGT4601,01,MGT4601-01,기업과국제환경,정선욱,83,78,70,15.0,1,2.0339150000000004
MEE2022,02,MEE2022-02,열역학I,김대중,60,60,39,15.0,0,2.03
MAS2002,01,MAS2002-01,전략커뮤니케이션,신호창,140,139,92,23.0,0,2.023760869565217
MEE4014,01,MEE4014-01,MEMS설계제작,최범규,45,43,29,2.0,0,2.0212758620689653
MGT2002,05,MGT2002-05,경영통계학,정예숙,67,60,57,17.0,1,2.0202615789473684
MGT4301,01,MGT4301-01,투자론,홍광헌,95,93,82,28.0,1,2.0127487804878053
ECO2004,04,ECO2004-04,경제통계학,사공용,96,92,87,77.0,1,2.0084193103448276
LCS2005,05,LCS2005-05,중국언어와문화I,이소영,20,25,13,3.0,0,2.006
STS2005,14,STS2005-14,미적분학I,김현정,87,64,59,43.0,0,1.9993779661016948
STS2004,01,STS2004-01,대학수학,김지현,87,58,60,58.0,0,1.9943300000000004
COR1012,17,COR1012-17,인문사회글쓰기,이해진,45,30,30,20.0,0,1.9889999999999999
COR1012,06,COR1012-06,인문사회글쓰기,엄미옥,41,29,28,38.0,0,1.975907142857143
LCS2001,02,LCS2001-02,독일언어와문화I,성현숙,37,27,25,24.0,0,1.9701760000000001
MGT3003,01,MGT3003-01,생산관리론,김길선,77,69,68,28.0,1,1.967259411764706
ENG3301,01,ENG3301-01,영어음성학,정인기,24,19,16,7.0,0,1.96365
HFS2001,03,HFS2001-03,철학적인간학,김승욱,100,70,68,25.0,0,1.9595588235294117
PSY4024,01,PSY4024-01,창의성의심리학,장재윤,66,62,44,2.0,0,1.9539
EDU2002,01,EDU2002-01,교육철학및교육사,한석훈,51,35,35,30.0,0,1.9511142857142856
ECO2007,01,ECO2007-01,거시경제학I,이윤수,80,66,71,22.0,1,1.946118309859155
EDU3045,01,EDU3045-01,특수교육학개론,박미경,28,25,19,4.0,0,1.9234526315789473
POL3141,01,POL3141-01,현대국제기구의이해,배기현,60,48,41,8.0,0,1.9176585365853658
EEE4183,01,EEE4183-01,마이크로프로세서응용실험,김경환,22,18,15,3.0,0,1.9123866666666665
EEE4183,02,EEE4183-02,마이크로프로세서응용실험,김경환,22,21,15,3.0,0,1.9123866666666665
BIO2601,01,BIO2601-01,유전자클로닝개론,김정호,70,68,48,6.0,0,1.9072083333333332
BIO3123,01,BIO3123-01,현대생물학실험III,김건수,19,16,13,1.0,0,1.9018999999999997
MGT4241,01,MGT4241-01,기술경영,김미리,75,73,68,18.0,1,1.8975220588235295
ETS2002,03,ETS2002-03,논리와비판적사고,김영건,115,84,83,52.0,0,1.894867469879518
HFS2003,03,HFS2003-03,그리스도교윤리,박은미,93,73,68,65.0,0,1.8935073529411766
CSE3013,01,CSE3013-01,컴퓨터공학설계및실험I,김영재,45,31,31,2.0,0,1.8908709677419355
COR1012,02,COR1012-02,인문사회글쓰기,박숙자,41,28,30,64.0,0,1.8903733333333337
MAT3430,01,MAT3430-01,응용통계학및실습,임경필,29,24,20,2.0,0,1.8887700000000003
MEE2026,01,MEE2026-01,2DCAD,이철수,43,40,30,11.0,0,1.8838299999999997
LCS2003,02,LCS2003-02,프랑스언어와문화I,전재연,35,29,25,33.0,0,1.8800599999999998
MGT4307,01,MGT4307-01,금융기관론,이상호,133,151,122,20.0,1,1.8792245901639348
SHS2002,03,SHS2002-03,한국과세계,오세제,131,96,94,37.0,0,1.8787351063829787
HFS2003,02,HFS2003-02,그리스도교윤리,강영옥,95,73,69,49.0,0,1.8775579710144925
HFS2003,01,HFS2003-01,그리스도교윤리,강영옥,95,68,69,49.0,0,1.8775579710144925
COR1003,22,COR1003-22,영어글로벌의사소통I,"Kim, Jae Pil",35,26,25,29.0,0,1.87278
EDU3047,01,EDU3047-01,교육평가,이예경,23,21,16,2.0,0,1.8724875
SHU4054,01,SHU4054-01,인간관계의심리와대인관계기술,김태사,74,60,52,11.0,0,1.87035
MGT4207,01,MGT4207-01,응용경영통계,이윤동,49,58,45,15.0,1,1.8678255555555556
CSE4175,01,CSE4175-01,기초컴퓨터네트워크,김승욱,84,86,59,9.0,0,1.8675050847457626
COR1003,19,COR1003-19,영어글로벌의사소통I,조혜연,34,25,24,14.0,0,1.86745
SHS2002,02,SHS2002-02,한국과세계,이지호,104,98,78,74.0,0,1.8616000000000004
PHY1101,15,PHY1101-15,일반물리실험I,이범훈,27,17,19,0.0,0,1.8473684210526315
STS2011,01,STS2011-01,기초빅데이터프로그래밍,서경희,38,29,27,9.0,0,1.846096296296296
COR1012,14,COR1012-14,인문사회글쓰기,박숙자,40,29,30,64.0,0,1.8442666666666667
STU4011,03,STU4011-03,우주와원자시대,김도현,82,73,59,20.0,0,1.8429152542372884
MGT3001,01,MGT3001-01,조직행동이론,양동훈,72,70,67,9.0,1,1.8324644776119405
ECO3008,01,ECO3008-01,금융경제학,남주하,72,63,67,7.0,1,1.8288322388059703
CSE3080,01,CSE3080-01,자료구조,양지훈,69,65,50,17.0,0,1.824498
MGT3002,04,MGT3002-04,경영정보시스템,한재형,88,75,84,30.0,1,1.8235904761904764
ECO2004,02,ECO2004-02,경제통계학,사공용,87,79,87,77.0,1,1.82013
MATQ981,01,MATQ981-01,수학교과교육론,김구연,7,7,5,0.0,0,1.8199999999999998
PHY1101,23,PHY1101-23,일반물리실험I,정명화,25,15,18,6.0,0,1.8163888888888888
CSE4170,01,CSE4170-01,기초컴퓨터그래픽스,임인성,100,95,72,5.0,0,1.8145833333333332
LCU4021,01,LCU4021-01,초급라틴어,이규성,22,19,16,7.0,0,1.8000124999999998
KSC4003,01,KSC4003-01,한류와문화산업,정호대,47,72,34,0.0,0,1.7970588235294118
CHM1051,17,CHM1051-17,일반화학실험I,옥강민,22,16,16,1.0,0,1.7892875
CSE4050,02,CSE4050-02,프로그래밍언어,낭종호,73,71,54,17.0,0,1.7872833333333333
MGT4202,01,MGT4202-01,통계자료분석,이군희,62,61,59,6.0,1,1.7865877966101698
TLS1004,03,TLS1004-03,영어글로벌의사소통II,"Barnard,Stephen John",31,23,23,14.0,0,1.776704347826087
CHS2002,03,CHS2002-03,현대한국의형성,장준호,58,62,43,12.0,0,1.7745302325581398
MGT3004,02,MGT3004-02,재무관리,홍광헌,74,66,73,33.0,1,1.7696846575342466
LCU4035,01,LCU4035-01,초급러시아어,서승현,59,47,46,58.0,0,1.7641000000000002
CHM1051,05,CHM1051-05,일반화학실험I,이덕형,23,16,17,3.0,0,1.7641
MGT4106,02,MGT4106-02,인적자원관리,최장호,71,66,69,13.0,1,1.7615923188405793
MGT2003,04,MGT2003-04,회계학원론,변상혁,122,80,124,58.0,1,1.7591809677419357
ECO2009,01,ECO2009-01,계량경제학I,남준우,81,79,79,15.0,1,1.7587765822784809
MAT2110,02,MAT2110-02,선형대수학,조상현,71,60,53,9.0,0,1.7571830188679243
CBE3015,01,CBE3015-01,화공생명공학요소실험I,오세용,27,18,20,0.0,0,1.7550000000000001
HSS3025,01,HSS3025-01,진로탐색심화,김경아,31,22,23,1.0,0,1.7539260869565216
HFS2003,04,HFS2003-04,그리스도교윤리,박은미,86,69,68,65.0,0,1.750985294117647
LCS2003,05,LCS2003-05,프랑스언어와문화I,임애리,30,28,23,26.0,0,1.7397391304347827
MGT3007,02,MGT3007-02,국제경영론,김창수,73,78,73,29.0,1,1.73901
MEEG005,01,MEEG005-01,연속체역학,정현용,12,9,9,3.0,0,1.7385333333333333
MGT2002,04,MGT2002-04,경영통계학,김범수,76,68,76,28.0,1,1.7373200000000002
MEE2025,01,MEE2025-01,모형설계제작,신충수,24,20,18,1.0,0,1.7350666666666665
PSY4014,01,PSY4014-01,유아및아동심리학,김근영,91,92,69,10.0,0,1.7316376811594203
MGT4106,01,MGT4106-01,인적자원관리,양동훈,70,69,70,22.0,1,1.7271800000000002
EEEG273,01,EEEG273-01,나노반도체소자공정실무와특허사례(캡스톤디자인),윤규한,67,58,51,9.0,0,1.723213725490196
PSY2001,01,PSY2001-01,일반심리학,김근영,209,178,165,44.0,0,1.71912
PSY2002,01,PSY2002-01,심리통계,석혜원,102,94,78,11.0,0,1.7186999999999997
MEE4022,01,MEE4022-01,신재생에너지공학개론,강성원,79,84,60,4.0,0,1.7185133333333333
HSS3016,02,HSS3016-02,진로탐색입문,김경아,227,200,189,100.0,0,1.7175132275132279
BIO1101,01,BIO1101-01,일반생물학I,정광환,77,68,59,11.0,0,1.7152728813559324
PUB2005,01,PUB2005-01,법과현대사회,이상수,73,65,57,30.0,0,1.7148596491228072
EDU2001,01,EDU2001-01,교육학개론,김재웅,30,27,23,9.0,0,1.7109130434782607
CHM1051,10,CHM1051-10,일반화학실험I,옥강민,21,13,16,1.0,0,1.7079562499999998
ECO4004,01,ECO4004-01,경제수리통계학,남준우,66,69,66,7.0,1,1.70183
MGT2003,03,MGT2003-03,회계학원론,변상혁,118,84,124,58.0,1,1.7015029032258064
ECO2009,02,ECO2009-02,계량경제학I,이한식,100,89,102,20.0,1,1.6900000000000002
LCS2001,03,LCS2001-03,독일언어와문화I,이승희,37,31,29,17.0,0,1.6868172413793103
JPN2010,01,JPN2010-01,일본학개론,윤병남,22,23,17,2.0,0,1.6857176470588235
BIO4521,01,BIO4521-01,식물발달생물학,이병하,22,20,17,2.0,0,1.6857176470588235
COR1003,15,COR1003-15,영어글로벌의사소통I,"Barnard,Stephen John",30,25,24,34.0,0,1.68025
PSY3012,01,PSY3012-01,생리및생물심리학,이연경,73,68,57,5.0,0,1.673236842105263
PHY1101,20,PHY1101-20,일반물리실험I,손원민,23,14,18,3.0,0,1.6660944444444443
CSE4050,01,CSE4050-01,프로그래밍언어,낭종호,68,62,54,17.0,0,1.6648666666666665
MGT4203,02,MGT4203-02,경영과학,조성빈,44,44,45,5.0,1,1.6607066666666666
COR1003,24,COR1003-24,영어글로벌의사소통I,"Willers, Arthur Gregory",32,25,26,36.0,0,1.6576000000000002
PHY1101,12,PHY1101-12,일반물리실험I,Scopel Stefano,24,16,19,8.0,0,1.655242105263158
SHS2005,01,SHS2005-01,법과지식산업,권세진,114,93,95,61.0,0,1.6551600000000002
STS2002,02,STS2002-02,생명과환경,김건수,118,85,99,68.0,0,1.6548606060606061
PHY1001,03,PHY1001-03,일반물리I,정현식,70,62,56,18.0,0,1.65425
CHM1051,04,CHM1051-04,일반화학실험I,조규봉,19,17,15,1.0,0,1.6483133333333333
CSE3030,02,CSE3030-02,어셈블리프로그래밍,김영재,124,121,99,10.0,0,1.6445656565656568
SHS2002,01,SHS2002-01,한국과세계,서복경,121,98,105,95.0,0,1.6404142857142858
CBE3013,01,CBE3013-01,응용분자생물학,오병근,39,38,31,2.0,0,1.6387548387096775
LCS2003,04,LCS2003-04,프랑스언어와문화I,백수린,32,27,26,24.0,0,1.6384
ECO3011,01,ECO3011-01,국제금융론,김윤정,106,96,111,13.0,1,1.6348542342342345
LCS2005,02,LCS2005-02,중국언어와문화I,이경하,27,22,22,20.0,0,1.6273636363636363
COR1003,17,COR1003-17,영어글로벌의사소통I,"Barnard,Stephen John",29,26,24,34.0,0,1.6242416666666668
KOR3004,01,KOR3004-01,국어형태론,황화상,57,48,46,7.0,0,1.622145652173913
STS2008,03,STS2008-03,고급응용C프로그래밍,서경희,50,34,41,21.0,0,1.6186585365853658
STS2008,04,STS2008-04,고급응용C프로그래밍,서경희,50,31,41,21.0,0,1.6186585365853658
MGT4102,02,MGT4102-02,경영전략,서정일,62,64,66,19.0,1,1.617739696969697
MEE2025,03,MEE2025-03,모형설계제작,정봉근,21,20,17,7.0,0,1.6171235294117645
COR1003,20,COR1003-20,영어글로벌의사소통I,"Kim, Jae Pil",30,26,25,29.0,0,1.60524
BIO2121,01,BIO2121-01,현대생물학실험I,신형두,16,14,13,0.0,0,1.6
EDU2004,01,EDU2004-01,교육방법및교육공학,양미경,22,16,18,5.0,0,1.5968333333333333
EEE3131,01,EEE3131-01,전자회로I,이승훈,69,70,57,12.0,0,1.5925684210526316
CHM1001,01,CHM1001-01,일반화학I,옥강민,70,59,58,15.0,0,1.5924999999999998
HFS2002,05,HFS2002-05,신학적인간학,최현순,88,71,75,43.0,0,1.5909226666666667
MEE2011,02,MEE2011-02,고체역학,정현용,52,50,43,10.0,0,1.5878139534883722
ETS2002,04,ETS2002-04,논리와비판적사고,김영건,96,77,83,52.0,0,1.5818024096385546
LCS2008,01,LCS2008-01,일본언어와문화II,최은희,23,27,19,5.0,0,1.5815526315789472
HSS3016,01,HSS3016-01,진로탐색입문,김경아,209,193,189,100.0,0,1.5813227513227515
MEE3013,01,MEE3013-01,자동제어,전도영,94,93,78,9.0,0,1.5807666666666664
COR1012,05,COR1012-05,인문사회글쓰기,심진경,32,31,28,61.0,0,1.576342857142857
MGT3006,06,MGT3006-06,마케팅원론,박세훈,62,58,68,22.0,1,1.5747817647058826
STS2001,01,STS2001-01,자연과인간,이덕환,97,99,85,56.0,0,1.5666070588235297
BIO1105,04,BIO1105-04,일반생물학실험I,이병하,18,17,15,2.0,0,1.56312
BIO4203,01,BIO4203-01,생명과학특허와기술이전,김현진,6,5,5,0.0,0,1.56
MGT2003,05,MGT2003-05,회계학원론,양준선,71,67,81,53.0,1,1.55987
COR1003,27,COR1003-27,영어글로벌의사소통I,"Willers, Arthur Gregory",30,26,26,36.0,0,1.554
ETS2004,07,ETS2004-07,종교와세계문화,이윤미,90,78,80,61.0,0,1.5517124999999998
MGT4401,02,MGT4401-02,중급회계1,송민섭,72,62,81,31.0,1,1.5487911111111112
COR1003,11,COR1003-11,영어글로벌의사소통I,채현순,28,23,24,20.0,0,1.547
ECO4009,01,ECO4009-01,파생상품시장,사공용,98,92,109,18.0,1,1.5467996330275229
HIS2006,01,HIS2006-01,역사학입문,윤병남,48,49,41,16.0,0,1.5463024390243905
CBE2004,01,CBE2004-01,물리화학,강문성,47,43,40,8.0,0,1.5397200000000002
COR1003,18,COR1003-18,영어글로벌의사소통I,조혜연,28,26,24,14.0,0,1.5379
HLU4007,01,HLU4007-01,테니스,이문진,34,28,29,7.0,0,1.534806896551724
MAT2110,01,MAT2110-01,선형대수학,조상현,62,58,53,9.0,0,1.5344415094339623
MGT3001,04,MGT3001-04,조직행동이론,장영균,63,72,71,23.0,1,1.534067746478873
HLU4006,01,HLU4006-01,요가,허가영,34,24,29,5.0,0,1.5317586206896552
MEE3003,01,MEE3003-01,진동학,이승엽,98,100,84,8.0,0,1.5288000000000002
EEE3181,01,EEE3181-01,전자회로실험,안길초,27,24,23,1.0,0,1.5276130434782609
COR1003,28,COR1003-28,영어글로벌의사소통I,"Thigpen, Byron Douglas",25,24,22,30.0,0,1.5215909090909092
COR1003,29,COR1003-29,영어글로벌의사소통I,"Thigpen, Byron Douglas",25,25,22,30.0,0,1.5215909090909092
COR1003,30,COR1003-30,영어글로벌의사소통I,"Thigpen, Byron Douglas",25,25,22,30.0,0,1.5215909090909092
SUA4005,01,SUA4005-01,기업과지식재산,홍철기,21,17,18,1.0,0,1.518183333333333
EDUS981,01,EDUS981-01,과학교과교육론,곽성일,14,13,12,0.0,0,1.5166666666666666
PHY1101,17,PHY1101-17,일반물리실험I,이범훈,22,17,19,0.0,0,1.5052631578947369
MGT2003,06,MGT2003-06,회계학원론,최순재,74,69,86,35.0,1,1.5050825581395348
AMC3014,01,AMC3014-01,번역연습,김혜진,23,18,20,6.0,0,1.50397
SHU4031,01,SHU4031-01,인권과교육,김녕,23,23,20,5.0,0,1.502475
COR1003,25,COR1003-25,영어글로벌의사소통I,"Willers, Arthur Gregory",29,26,26,36.0,0,1.5022000000000002
SHU4024,01,SHU4024-01,결혼준비특강,김영희,64,59,56,11.0,0,1.5020571428571428
CSE2003,01,CSE2003-01,기초공학설계,장형수,40,37,35,11.0,0,1.5020571428571428
BIO3123,03,BIO3123-03,현대생물학실험III,주봉건,15,13,13,0.0,0,1.5
STS2005,09,STS2005-09,미적분학I,강유태,75,63,68,45.0,0,1.498345588235294
MGT4701,01,MGT4701-01,경영영어라이팅,김이권,21,25,24,12.0,1,1.496495
COR1012,19,COR1012-19,인문사회글쓰기,엄미옥,31,29,28,38.0,0,1.4939785714285716
HSS3004,01,HSS3004-01,특수교육과장애의이해,안영회,41,41,36,7.0,0,1.4909194444444445
COR1003,07,COR1003-07,영어글로벌의사소통I,정지수,26,22,23,12.0,0,1.4872000000000003
PHY1001,09,PHY1001-09,일반물리I,Scopel Stefano,83,77,74,18.0,0,1.484354054054054
SHS2005,02,SHS2005-02,법과지식산업,권세진,102,91,95,61.0,0,1.4809326315789473
COR1009,13,COR1009-13,컴퓨팅사고력,권미수,61,40,59,100.0,0,1.4784745762711866
COR1012,10,COR1012-10,인문사회글쓰기,박숙자,32,29,30,64.0,0,1.4754133333333335
ECO3021,01,ECO3021-01,경제성장론,송의영,72,60,83,5.0,1,1.47335421686747
EEE4167,01,EEE4167-01,마이크로프로세서개론,김경환,44,42,39,3.0,0,1.4710666666666665
