,종목코드,종목명,분류,영업이익률,PER
347,151910,나노스,kosdak150,"['-20.54', '-5.79']","['-111.95', '-119.79']"
348,78070,유비쿼스홀딩스,kosdak150,"['19.86', '21.14']","['71.17', '50.67']"
349,232140,와이아이케이,kosdak150,"['15.14', '13.05']","['202.69', '39.22']"
350,183300,코미코,kosdak150,"['22.09', '21.42']","['14.57', '48.78']"
351,33290,코웰패션,kosdak150,"['20.23', '17.22']","['9.07', '9.29']"
352,32620,유비케어,kosdak150,"['8.85', '17.09']","['72.19', '63.18']"
353,332570,와이팜,kosdak150,"['5.32', '9.89']","['52.39', '438.94']"
354,950160,코오롱티슈진,kosdak150,"['-1,131.19', '-2,048.05']","['-11.66', '-11.64']"
355,175250,아이큐어,kosdak150,"['-8.19', '-24.23']","['-17.35', '-16.45']"
356,321550,티움바이오,kosdak150,['-720.54'],['-49.92']
357,122450,KMH,kosdak150,"['32.10', '24.78']","['7.45', '13.27']"
358,34950,한국기업평가,kosdak150,"['49.33', '23.52']","['15.81', '21.72']"
359,32190,다우데이타,kosdak150,"['15.20', '28.90']","['6.67', '4.63']"
360,39840,디오,kosdak150,"['26.09', '27.77']","['48.13', '71.23']"
